id,artist,sculpt,name,img
265bf498,404Artisans,#094,OG,https://lh3.googleusercontent.com/c8RGBiE62tXhCtXIA23kOVtq3wkDnfMptVwQEJst7X95N2JNGA6yJn-vD6RPz5wd0eUxhtvcuMqTDmwZRFJ1B8YiMEaV8rt4atYdJxnvTO0TBK9hPClpgug_g0NzH-l_P2wQa9hcXb8
6b7cd1e9,404Artisans,#094,H2O,https://lh4.googleusercontent.com/SC7PaW8QWPLV_c3ct4xXEf7MhK4Jtw3aGiL0LbKGSq9HT9cH4UvZgiAYyW7qNWZyylaDQ64WyghiqUxvAwSTQmedMOyrdwBanvFunu3cdWO3n27Gt6bQuQxrBncPmLFC9d0cQhfHXm0
93b54c00,404Artisans,#094,Hallows' Eve,https://lh6.googleusercontent.com/9kVbYIcjRpFoKNv8brKQozNUw88g9TRSaSeFmwxKKYBuhyRqD8_X9xC1Ktoqq75T3I_XIU3yHqUQRzCyYce-RNT591pe26nMQ6u2jJZBBSqNKiHmboZralfVTVi8LUuG6SVxGkfG-Hk
206d0388,404Artisans,#094,Will-O'-Wisp,https://lh5.googleusercontent.com/BIndmcf3hLsUDSt_bt3Nvwz15nNbYKpd1v25ByWLR82rcuvPx6s9XaUqe2L1EWpApx_xZ5N2wix51B-ycj0TruFP3aDkzjRtR2_L0R2aowCyzONWYG4iImDEq3758nmzFyvoQVrP2r4
3ea46c06,404Artisans,#094,Pikachu,https://lh5.googleusercontent.com/NIkbIBa7qBDV5J_fegKS760kE28CbEasHVMVOtaPomGWpVqLKXHlhkyAUfv44RLYOH6jOEvDq-AeNo4k5KMjd3tkdjM1Mn-nLvGuDal5d9DejQLve8kws0QsPA7lLGtmZw2YOCaCUy0
20b05877,404Artisans,#094,EoE Hospital Scene,https://lh5.googleusercontent.com/ghwsOJ-myJacE1cRbr7IcRxW4eqDoUwvFuMZSbrCBFlMdc_Zm3_2WD6A-uhbpRZg_VHl6Zv50p1QgzMpiPaUBDYlXFJGmMzOCbsm1TmpqiNcA2qUrD3_TBsoCc-78iSAwpQ6YXfQJbo
e314e290,404Artisans,#094,Para-Flinch,https://lh6.googleusercontent.com/39gZnZfnEPnd156z84IdDINL5MV1Wwqgp1TSA6ZNC-VkKBzdwWHATAx5v9l_ILXu6hyjq2Fb6SEN9YX6bvgo3c5em2Az0ZXrCfsV5AA_nwgyOFVjQzV5SfeGh63NiDZ1A6LAn-IAhLc
bde2dd8a,404Artisans,#094,Neo,https://lh6.googleusercontent.com/NFRcWPzU-7N9i0h7NaTU2WHknChFZy_J_e-3Pfv6KA7WwXYlfphxNk2IrUrGd6Sj7rkKuPOEXdS6EoPWQcTNqmjFtT_2tmNkcEk-QWkyBB5vqYfbimdfj1yqZNh3qyBnrJXBmzS5ofE
58fd356a,404Artisans,#094,Deep Dive,https://lh6.googleusercontent.com/860Sr65dLIw0M5yLp9-eLVyfpQWcEJMuSN1SCl5L3lzyDLp04pCv1cy3k5ndBAyWirXIainXc4PRAYe1ssayqY4Fx2hQNoaM5nZv5zYWEze0VlmwL-7OPZq91f_vCx9UFX7fMTIExUk
ad0f5447,404Artisans,#094,Mahjulah,https://lh3.googleusercontent.com/vL0SDgYYe409LI0mbMdJCS2XBxiA6Z18d37rzVnr-NUWeHp5lJHZ8rd4ACOzAxEZ4og8eKx446BtHoOFUEgnrjzQFwx9wm37lY4Rngm6NFdsVmcBrBDqQd5FZs-y0mp8lktX32pTA20
dcf17841,404Artisans,#094,Shiny,https://lh3.googleusercontent.com/e3OvrgoDU9lJMiPeGSdUcBdydJegSR6cd-Hx71ZpU148MVzfN_qe2wdKdh-_F2HtleoKxjKJDFziMBAhxCHJm2XZIif7GlGbO6YVskTnwIekFdfqVxQ6l2M7ctHRfKnLv7FTf6Vp5AU
3e86e37,404Artisans,#094 × Christmas,OG,https://lh5.googleusercontent.com/5RsVdwzvJS8fRFisrmuG0dvG0E0Tyak72SMfdUZf8NtS5cTzHXp4m4p5XJAi1b7OJsMTQq9TJyK8pQuY89qhd6XTC9tR5QUAV_RAEHr0nmbhDS8hHaSNEGp0O04T0Y_Tn_Ex7UjpboE
7c46a7f,404Artisans,#094 × Christmas,The Grinch,https://lh4.googleusercontent.com/YRCb-Kwfe1wOawfqspaW01k-DVNRiu1Plx2fReIEh3QTJGOYdjUBYmd0qE70XvZyBrzm2T86Q7BYgsecHmRObPH5nMutZA9As5V5SYVh_UNtH0Z7nwWkn2mIURMjTPzNS2c-dnw2lPs
7ca9c35f,404Artisans,INKM,INUKUMA,https://lh3.googleusercontent.com/S4DHjjYJX1A6qdg5ZGkam79MXX1bR6c7C2I4gLGswwN7S_XbiZREO2NDiW4-HslV7aGyCN05cbvh7l1B6lO5UGVtjiqjM6ypAd4tFOjo3W8sJRBr-r1FdZu0cr07y7vxbDMIVacKz3I
2e785104,404Artisans,INKM,Pikachu,https://lh4.googleusercontent.com/pla86_qNAARUtT4LLWT_4bT2CwAPSfNVMkGCfssO_2Dr3-9yVpVX-Kl4BpgwvYR08fJpsAbCD9nkIaZNDBy1IGaeDfY6sRfRD9Sj60hhFOjTvFm-WX1J6apw2DAcllm5hpEhj8Oy5B4
18650d22,404Artisans,INKM,God Killer,https://lh3.googleusercontent.com/K6hQCygAtdOxnv61mKSh9cyX4UXV0OS3q87runtbi9Ebye1WiEAUNmUakjGgQbqqfsFzNZNpKV_EXUh5VNifqEjseq-sXsrhJndhQAfF9lAcEEcJEhite_G971Drpv_duEUDelHIglk
bd8d59b3,404Artisans,INKM,Derp-raemon,https://lh3.googleusercontent.com/tZh_VezSmHNuTA0DIaKT87aLBP0BF8KvYmNEzoNg-kfAc1MJNSE8EAowi6ZjyU7SivFvY0hl2pF65Ro5AP_OphpMGyrDGJGo2CaxuJlWB_P1bNwVHQ899XftDbaUSMxKLcjp4NHf9BI
6a4415d9,404Artisans,INKM,Pennywise,https://lh5.googleusercontent.com/fFMV5lBThXbHurXwhlCwleYuJlo2711wtthYzDKv65Q-5__eIrUHQAdi5zwAF-SiN5uo9x-uTZrR7KKIbWlerK48ukwMawg80GDTa1pP3lbMYfpxkLegZR8Rsr9haOoKEDpds5Rmk2M
a7919e81,404Artisans,INKM,Sukuna,https://lh3.googleusercontent.com/9Mijx0j0_TVK_34XEIG8dEwMn0qwJP7umviKtgApeFOt0tykfbYtB5RGRvbX4QQ7KooUND2Rd2sblXKcRX2Tmqn0r0g8GIWUEPcF-04OUXs9gzMhR3W9nIcXd9PzwrjB8yS1nfg54xs
cac7c3bc,404Artisans,INKM,Mahjulah,https://lh4.googleusercontent.com/m5bHExQL4aytkCvpz-OWCRqAL2GmdQZsbFV4eTOlfc2kTfy3_rosUBT91FUPPvdAch0lmXhQ7mT8x1BZYdl8VSOBoL9cMujMSE6uVZR_miRZU4mMGxDus58jl6Gx4mhUXEA0HwosI-0
e879f770,404Artisans,INKM,Wade,https://lh3.googleusercontent.com/hCQOo9koYTFQTEda0yQYjdQd978MbrL6HtDhrlkp9ww_vmfL7dCXnkz0BFeOa3LG0cZaUxRJKLZD7Wa3DUD-CW0Hg27le4jh6vpu4sG0NHHH68n5Zll9OHpoXbLujOZkJTgr4iS7qYE
4eebba36,404Artisans,INKM,Jack,https://lh4.googleusercontent.com/RQGHQBlv-tvZABEc2IB3uHtTLn3oC3tbqg5QRD7eXDUFO45EPG3Fus7RP76UeEgYIT2Amv1OPN8rzaiAYDT1Zb0UdxwIM2EwVc3GX3Crag1gNTZ2lhJsKAYtVk0BBEixat9ZFJ5xpb0
23caf4c1,404Artisans,INKM,Frosty,https://lh3.googleusercontent.com/1ci6vgpioOVA0hLsMXhzuBw-dvd4UskEcqcuDySZsGa_DL-P8yM2Y_7NhfqaP-1X0eK1W80nxDYYZZh3rAk5mmp3EsXp3kKafQ0xgD3umC5_ZIGlP63pApK55Nd5EVSEj-q5gYWPH2c
21b9b083,404Artisans,INKM,Wayne,https://lh4.googleusercontent.com/AU1Whwb4o5uy_lVQEN-TEO4jvry1yOJ29LN7qo4aG7NSFLWY20B544rlGmIbnF6xo6PfREWkla3B1JgXSRoWQr8An5yKDLUQJ12WgjOEnbYGeMV-UafxLmRMk_3JLxbHYl2bV_bqI8U
a019b631,404Artisans,INKM,No Face,https://lh5.googleusercontent.com/N6BJsUYeUKYUrPpFGvboPHEsODs0YEiihwubkheCb6hlzqK0OtrrWWUnhNeAm2ehy7CTXyzWLH-wLSes7aBjffuDPWS9mvLuV8UnZNU2yf4TdVUhyGqyXudejBHqjU20CXTku-fHa08
6040b015,404Artisans,INKM,Steve,https://lh5.googleusercontent.com/m0ecejMYEECalTdcujT-MTdaSuDGiOQvmSBHmKMmJa5KwQYTGEsytQk_lF77mtKuJkvNGk5Us_qCJzbl47xrmfFBp_SyRD1ax3zXpDJVv4oW8GJwvOFVUCCEdT89736fwsJ2zXhNS5k
95427566,404Artisans,RUE,Triangle,https://lh5.googleusercontent.com/wxduNVfCr95aMuq8_lT3vBgtUBkAQRpBWsb8v5SIuASG2lFKwcG3n05P87mZi73ihzY32sayqh3ZLUp-s9i-EEVt5vniUwX2-c_ZFM9_gPAgPqP3XXohhvV1yeKADzZlJ2bcPpcxqi0
76470713,404Artisans,RUE,Yip²,https://lh5.googleusercontent.com/1Oz-u6fD_K_G1CMe2nkosodxfYiMsOsfD2OccluiiqXVY-rb0nUmwX9vprjvevnRGZWSBzLKO8z3tJiifXuzrVvZqYppD018KmZXpCA5GC6qfyrplhTl2uF9HTR5NFQGm1KDKGSRTFM
6a996385,404Artisans,RUE,Inukuma,https://lh4.googleusercontent.com/Pl2syL2GSZaEK0Hm_ViQy64CygHfa9HW61TVWRg6il1yR0q66FwwA8tUN5Kham-G0m7HsvOZM-JMyXgRhFaP0K0de5WdnN_aVmEBqF9rKzQEUdxLVbhq9FYCrP22OPWNxLRqBYOpG2w
eef5c269,404Artisans,RUE,Lego,https://lh3.googleusercontent.com/6BDSnn_7JmWctbRaqx2YqoH961T7BNchcCqCvTWpGA2M31nDFVXWX1m2hHldkMzeZfUIvccmS-XFzai6EqxYj17Pk3s0NqgF2pG7k56lDF-zNAHbb4Q-vVdSwOIUiE6IWRRkZjIhAHQ
1b8028f,404Artisans,RUE,Suicune,https://lh6.googleusercontent.com/LpTkm5TCSbDLyWtVLurvtAd1WJ5OYcP0WUJgbRV4y9vUeuS9cwRh0wrzHm5QYeLfW9WLw5B2A97fik7W4l_jJi9rHvWEKfpA0vOhWxwvgZowIMEe0TW5z0G24NLD0wgZJVapjnRqEAg
d2c03812,404Artisans,RUE,Entei,https://lh5.googleusercontent.com/-yTvndfBAwwAD7Uwg9CsIZNSAmHnwWWuzT7g0FpCf_z-DX3XiOivD06xivaUxIpIE2QWuDMD_bUxW14NVCAHImBXgd3k1C5F6zmk1Ked7YaUYYuYQSu11bGZ4eMSGnjucWUbvwlQ2IE
16617552,404Artisans,RUE,Raikou,https://lh4.googleusercontent.com/022rHGLXnDJ6T7-mzFKgsIT2GqwnX0o0mWLmsD4__7WGaW1QJfBSsUoTteVZg8aRc1qeOxY7kwMHZU26z0NpRgNRca-QJRoI4BEdwPyqw4_OzRVb9e0gCj9FT3G0fGgDlZG0plvrEew
d651d1d6,404Artisans,RUE,No Face,https://lh4.googleusercontent.com/_US5pttvplc2QXKoIR4pYM4Mctm0mx0UoMFWKrZiUNt_KvLMwsLso99XOxWBxEa12PDa2d1TxaZs7rt7zXNl8z70B7IiB_6eQ2pL9RbHfhx63ntbFZLlx7QRZdts9EZCi3_l2hKg8xY
3ca63158,404Artisans,EZIO,Pharaoh,https://lh4.googleusercontent.com/D7EDp4f7z6T7I1oUjBNFPsE8v0ddsoW4dU9cmuKrVQv6LSwep597RNKgLpY0Rp1xwaAoW804ucgyYD0l0iVRflVmmBl2u7SP3PkItWpCPc5UmHvBhDD53JIYw0NpRuQUGPc3bSCfBGk
c8ad6677,404Artisans,EZIO,Squid,https://lh6.googleusercontent.com/V3OznJqWctGxNQC5mpeIplvBrciHm6xQLMu2VRU2QNVrDIJOlNu25pRFi-RvbYSlIP_dvD19Kw55B3m80EyTyVqwDxf_F4k11FFEFWqiH0tU9npAB-ptgBWWfUSVt0xdyaxSsm8iuJ8
66f955ba,404Artisans,ELI,OG,https://lh3.googleusercontent.com/71_SLof3h4v0Y4fpbaDvougxerMRGa5FY4TtGx3cQHXRpZ80pZlXLt6M588dB4EF6LxrrpLiYkBAq_P0LI1RXr6UC1Cjgo0UqtwJNMRHk59dOJMp6pX-XGaB5QjlF6A6-BLIQV32Nn4
1e936528,404Artisans,ELI,PInk Bean,https://lh5.googleusercontent.com/IgdLxGHW90dWJ7alz-hflMMN0eh9FEzavNH_h0SBm2fC4UkbdlbNinLt3IBMCepTmRcT0Dnisf-b7YXVr_nsOU4MWi5j3q5sZYdr2rEyfr6awBNNHn1fsCJD7l5Cmo-37a-Giuv1d_0
bca4889b,404Artisans,ELI,Witch,https://lh4.googleusercontent.com/AZyce38l4YvUEjeYb0bQ7eXzui88IAt8NQ6SFxYfutHPI_FH4ysPS6NMFDat08x52b0I-tFP0zfYRdNR4cLzjFs4ztY9pa2a7F3yj_SAtOerahalD8cGfkIZLe4n67D_woPiZ71FxF0
babec10a,404Artisans,ELI,Santa Claws,https://lh6.googleusercontent.com/z7Ny4qidXi7KHugPuk-uvIGSWbRZp9xoaJc0qdMS9U3JShvg46hepibJD5NfaalvivXJrDOjie9MqtaKkoT-DhB6veJXiytnj1AvYQApubSS5_X-OzJgLnRXDE04IBl296iFzn6byGg
75205bae,404Artisans,ELI,Rude-olph,https://lh6.googleusercontent.com/ZUr4RztIj1AhLxnMXH4VEZ_kV3rffwUi9prlYPnVxq9oRjneeCt9iKofzvqatzShNGT8fD_LPvLwjVikHfYkFgGF-H8qiJV9_17hN8kOuHMOgQit4uzDqd-OmgmRXomYRI39foQFkK4
b85500a,404Artisans,ELI,BoW,https://lh4.googleusercontent.com/QCUXW8Ey2at-DhnT6Fej2Ylo5eq7Nhc_YM5gETu71CLRr24xjVZIpAAjOLpYnJd6G3zhcuRhOUgG4zqXJvvjikS8yEelMPIxKLuZobcGQWEeVLr02joykWLd2cyPJTl4QZU4T4eYjAY
460353ba,404Artisans,ELI,WoB,https://lh5.googleusercontent.com/Nss1_tmUJlkTLD5qChuShBHIFTVshSAZOz05j86PNRkvrb_3VwJ7nMMizDyUbUBA_Be97Kp3gCGvWVOs-yDVfUpw-sE9kU_lrOD0yUCdYiuW1NyPaLqxvsgd3L9jL5zbOADSc5pycHY
9b4cce7,404Artisans,ELI,Haku,https://lh6.googleusercontent.com/1aBY8JXVci47ML49GoQ0zmyRIIhVZZ1rZ3hzcAgpnoQv_cA8SBlwIHXUxQ0M5QW_as2-p9MA6Wuav6SV-_B-fMsXpBdbYFaqgG-5219Pv1It5lWBN3JHPtGeBOrj5teh-gjo4CO6KP4
4e9192f3,404Artisans,ELI,Maneki Neko,https://lh6.googleusercontent.com/proIZqA9h7m-LgSOnIHvTsV3ssQfX_5kSeIXKh_hh9zJhJbaW0QrNRQsLTIUOjJgRMdqL429BrZC9p1n57GgiG1zWNSryRfDTwyUdYsS_tOcHqypdY6f5EP5OtNCSuNLte3q4mLzC84
b631cb46,404Artisans,ELI,Golden Maneki Neko,https://lh6.googleusercontent.com/16Ut21T6R8V2PuBrCLwMbaPAlMMiIYIEFkqBNBEPWPNXCJc1fVUJYsjden2N-WLhrXMiqDBj6ul4LNMMgFLlkZqwT-SrQgUcXFTwgiNArtex5qV940jC6It0855MXf89q6mw7KczCQA
865372c5,404Artisans,ELI,Cupid,https://lh5.googleusercontent.com/JCYwsq98FvKEmdDA5TS35YgNK-XxMp4Jd62DFGCQZkPKef3vp_oyOoczonhl8vIpeQOl7U1vU61Dw_y5WUZGlxdbBVd9-N6wma1p9WQoYInVneOWZkzcNMTPlrOThAp0ZyljWQ5x39Q
df06d826,404Artisans,ELI,Pikachu,https://lh3.googleusercontent.com/n7t5CHjW3n1VuJ9HfpU2bYQvP_rZexy29FR9Un9ZmULW6gVU7Wh7kp_qHZ-T74TycAcKWE-qVzhgOfN0aeEGIEGA_fTuhd6299aV7tav3ttj3BVbSnXk-VQmbQhwfIYLbrzEobByeiI
e8d1b715,404Artisans,ELI,Umbreon,https://lh3.googleusercontent.com/81sqQVi6YRTLKj_uD31AG1lqWfDacbQsEmgFSMA90hbg_YEOkbdRmyA5UaZJMC4g8QvEzdeivh6qdvWUyvzmNBV5HbHoehrhEF0i4jWgsRGs-3EF4fShITvrbhYbFEBcRIUCaCsSVME
1952ede,404Artisans,ELI,Eren,https://lh6.googleusercontent.com/ELhzMv9Uj8jwTIIuHOUfylHAFDLyWb6g04wVoHSjH-gEbZTfUToAH3Jty9u8QRhXnqQpo3P1LFG0_Cv9DMz6V4EgnBXzKqFYTSWdXpQlzNQnsOyMZ09emJj2cbJXunytM-GJJlLwbuE
