id,artist,sculpt,name,img
9e2b6e8c,8o8keys,TT v1,Graduation,https://lh6.googleusercontent.com/1o9v6GuQ8mFKJmRogkcv1V5atJsiKWWnERbp6cqIdWsm4GD76u2Lg-b_htMTFgmoEaR6CRKhbEF31D27hVxKb_-WnZp8qaXlkmDsedyfl5XebRQ7ZsJBEeS2y1leeHmm6n4vFxoIh24
5b64d9b6,8o8keys,TT v1,OG,https://lh4.googleusercontent.com/lTwnmWX5up0gB2twasJpThBdhosxaYBRkIJsc7p5kAlPvoY1CpdwpNGU2Z4ytHEbhRt8OZ0zcItBOqwaZPqiTHhflid3N6kAPLM4oEOexqFEm-1BlgSUHOJn0E7ug75-wKeg0aUo1Dc
e6b3ae00,8o8keys,TT v1,Grinch,https://lh5.googleusercontent.com/1cyTocOeQMhdwv9Uaam-L8aRpqTg12_lU03Jex_Vtq1ZovGn19ZmYMz_jjUIvJr-kG_Vf8VtnU2UaclEgCFOAEHS83WxpfQ7sIlvMZ8Ieuw6trxQHIqm7lxNmQb5b9rMsJc58d4PcFI
b05f67eb,8o8keys,TT v1,Taegeukgi,https://lh6.googleusercontent.com/HnLQbfuYP3v2sB7G4moPqYlJ8IUwEbS4ZkNVMMhWUI8WCaSa_IRfpDqYVDvi0xrCli5vOb9ThPSvH6mANQ_K298paYCQmzq54GixF9dhFrI1m-FRC6bcIj_SkAdotyTAcg4nyX6vpXI
232d65a9,8o8keys,TT v1,Gateway,https://lh5.googleusercontent.com/ioVI6o9Wp_at3HgYqOZAy1EtHyaG4p9ryqa-dQhzCoRfjX-4nW0qFaJK4bVrmrCF235rgSOK5ktYlLgLU7rmyPADiSn5yaGcjuvsxQx0wc7KRbNhqQL35X1ngf8qyhn1BWZh2rPCXlA
3bab3313,8o8keys,TT v1,Transparent V-day,https://lh3.googleusercontent.com/5AbAyXssqbZAgwgZ4eMtXIfJGYvsEAHQeTx2fOd95voPqAxpYWH28oVC1f8wHAAQAYf35sXlFie-Md-s6oLSt5x0YOGxNbuaW95UZzo2AY2YvYBb7QKdzKezmF51hu5yYKo9jQmNhas
bcc505b2,8o8keys,TT v1,Cyberspace,https://lh5.googleusercontent.com/79fJGrp943UkI8icm4TnUNHuoT6gcJclIq0IuRUG7f0g6LpROZFRIZxUXUxPF9WMvk5qye2LU4Fzf32oQSqfiGoLfnAjGBCzbPRRqg-Rq4erdqVDn35s_4vyswUB2VNQfFPKO5nuNRU
6f5fb816,8o8keys,TT v2,Dead Presidents,https://lh6.googleusercontent.com/I6E46F71HBSWbD3-Q7J4fX7W8JBtq6QWTzFzsZ1DAfGkvdzOpwEfaqOTVgIFbrWzKIqss-hScxHb0OkNLi2HQnwDi_rSgcsuYI70Flu0w53YXtFmR6pHVUjLae0NE1yOZEyCW5lo8uI
8a4e9180,8o8keys,TT v2,Flesh of my Flesh Blood of my Blood,https://lh5.googleusercontent.com/ofg0L4eXsCwpvbuVUj1XLoB5JPrNuizPRx-xjq0PSrwbRHkW_HdiYI0cjgWu9cfIHikVXxhzC3RucNzDP1z2LP2rdKE4ghuJGw2RkaTXDKTLPRO3VuLwL4iK8Q7U5iII3KLwXZP9LzY
b8d300e6,8o8keys,TT v2,TTowelie,https://lh5.googleusercontent.com/a1FAP6EoeK-qH2ifJmYiZPv_-V6MyTgE6v_WYATXnVYNfB3nGwH22ZLOsQU8NzI9EAMQZQwKsluovOi1-vFLmUaXIqlzG-huTwDNkMEW7dUg-C-q4gu_rz8e-JgaYIylTzttBrdSfR4
