id,artist,sculpt,name,img
39c64fb5,ACkeys,JawsCat,JawsCat,https://lh3.googleusercontent.com/MTs984rwbmz5QyzDRyrYRsY4pm7eEmr-MLOIv4mwVTDGryugwDAlM-DVlWAyJ2FmSHTqG3tRjb6taAIHrxK8Z8Edtd3za3AhPfazjk2RMrfdMGKh__Ikpa5VHaPArF9TipQ0uQrAGd4
ade223ff,ACkeys,BearCat,BBearCat V1,https://lh5.googleusercontent.com/VxyPGnJTC1Iq7vF7TClhlIP2BnGCNpXeRKUh2CpzwDpO2v4z9_wq5XWlsTvsYYpbv-vzaJSI2SSubVhyKQfBv-VgWxRNcbnKoVsUpEqhfUTe7muo30aHHRcHQD8xFgntFZY1GFFe3i4
b0832a9d,ACkeys,BearCat,PolarbearCat,https://lh4.googleusercontent.com/XKPsZp7n733CsDQb78YMwDa2InkNezjTZzh48WQwdWEpoVg5zCWgAdixP8fUExa1nwKl19QUEZaedKLIWwcLy59iClQRjcMEP_OzlmAqNKYsNIB88wc_Zeg3D7OaJHixndhtOeo6tlY
bd4ba16c,ACkeys,BearCat,IronbearCat,https://lh4.googleusercontent.com/FP7u9uCvSC_NdRP2oNZppESI6GbE73LkfOhVQxwqpystkHPHI7EOb3CEpvUaFcUQXI1BctsAulTgRWVLbURa8cLYH4xEQiExT_6Tsea6DptaIDlhLtIL81ZDF1zfcL_f297dh6ZEQBY
f2fc591c,ACkeys,ForestDrake,Forest Drake V1,https://lh3.googleusercontent.com/ygUMNLU0javsS6bUr6GRbqhVz3b9fBNdC4L0zLSVK76hEzRJzn_QvthjJWVhuMpy-w-r-ORzE23c7Iuk1DulaSyVdJMS0_BG1gDSsxfYIsfhfQ9Wi40BFehdpcbsuYqPvILMR1iXmks
c6ad4d76,ACkeys,ForestDrake,Forest Drake V1 Berserk,https://lh3.googleusercontent.com/ce3YxC5KmoOrd-rMY4YGP43npnb42oxCLpene-qMJbrCcinS09ynJrWn8qNsOOcDGFSYufwrlsciInE1t_DAkAPO8GCkjh7NAIq8lfQ2G3HCK5YbV_z-KhEztcXq1F9aGJfFPs6kfnY
6339e97a,ACkeys,ForestDrake,ArticunoDrake,https://lh5.googleusercontent.com/bYgckIfMog8Uce9Hmyy3MbJZxbKRz1xGmXHTR2MnUKAtYSu8ztwtK6sq98vM8FB25CeCPNziR657ff7G3TtfY0Pq8q64x46rFcUIyJ3UDk6qUmcurUrx01dGfMYOwi2ywXRAJdDTaAo
29e705b3,ACkeys,EnderDragon,EnderDragon,https://lh5.googleusercontent.com/tFMl0UKAAIeXfynkzew9TuXQQiOdhFYCWl181oN_O0xx7BJBZJkQ7fJR-vae_VTFcXbk19QfNeDCsytp73v0iWPaq_LIvYidflLkwuA7p54Q1g9VUgIcNXe-4qjC0tEisOHvT9jQago
f496aaec,ACkeys,EnderDragon,MoltresDragon,https://lh4.googleusercontent.com/nFnlpZQN95Wl9doxvjdHrzinhbj-xS6rNrAtqdnqcWFurHDz_ka2g8OMS9zYW4X-UJ-2EpEclaoE4ucTvF6kFl_I5lEQrC8P5FCeQ1vPSP6j6M75Q43Hh93rsA1gF23dkICGOzXnXUY
25673547,ACkeys,AmaranthineDragon,AmaranthineDragon (Ver.G),https://lh3.googleusercontent.com/FIEEzzJl6oDhwTMgVYdUozZ_5aLdPBl3uLKGikH6g0ymIiTf3Yy_j_e5iHAPZo3ifqRrA7O9kzVJHUpD4AbjGxD6QjojdFz_r0atX10n76YJ4c3D4ubfjRA4uf8y8VVy5R9xQ0L5dUA
c87b4e22,ACkeys,AmaranthineDragon,AmaranthineDragon (Ver.P),https://lh6.googleusercontent.com/rxQF_lYSJ34KEXIxbaqYaF8nFMrm_xxBnVM9fHuIwqYCYRPuLaYn6esgmuTXR_mOZ6Xlb4B9IsuEsDxF-riNRmSjpJ0Jc9RyRR_pjm9s8xp4xh9AllRYaSimFkAOxliVj1upZR8sn20
758ad659,ACkeys,AmaranthineDragon,AmaranthineDragon (Ver. Cosmos),https://lh3.googleusercontent.com/FUYNKZil2x2iLj3KOj6s0rLlRNKu91OWRxgW0-GHHrsa-hkZHWCnxcORp8qiaNBzOyqC0wqA4weJ_ENyTGE2PvIwFCnikly53EvKhdNgbVnlUiqnOPc7ZePmiyyKTZ6Z68eM0HHOLCM
f62fee13,ACkeys,AmaranthineDragon,ZapdosDragon,https://lh6.googleusercontent.com/nOJGBNwAOi9lh0Ucob3QaCuTcyAu2FyXac-R5pKfv25mZQlQck0kw1n-k9VnbRrALk5NOL5rDU376fqjdf93__wuYYFCaiqSPU1Cu-M8n-yzfkX1cG-HHMw7BqBuNMilZCaYrVIHUIE
