id,artist,sculpt,name,img
a2957e0e,Anomaly Caps,Arlo,OG,https://lh4.googleusercontent.com/Yq5Nw5ga6nHT8W6XiVvQeKw25mWVnUOBhP1DqS9oculSupB7M5boOu3eK3bOgViCSa-4EWlIgcVlT8o5dBQ46ZTGfAMZfTnuQ-4-IBhIMwReRmAJTzbxv3WaxDhgif7zwAdj2fgJkVY
fcf8f1a8,Anomaly Caps,Arlo,Jealous,https://lh6.googleusercontent.com/rnyT3GpxJd9h6bHn019Kp1ADXeKwTSZcIjJbPWfLuJM79hROMrAlkAqL0aqSNlkdUATYjU5apfsyRMIbSX9s7J_qfyPo40cM63y_Vp4TfHPXDr8yYLDMvhXmUdsq8JBj1ZVpqDvHWhs
d3fbce63,Anomaly Caps,Arlo,Black infected,https://lh4.googleusercontent.com/hEcupJY2zmdYJM7iGTEqODInHppFKA0gap85TgNnN9wSTtGylbOPtFyW7WkHokgkCHckZKYe8ygK05zd6bM6-Nzc__QKrBxLL4tD0-f9ixglbktnTUDf8x8fUI1X90CESXQOyKCJeaw
a1e215b4,Anomaly Caps,Arlo,White infected,https://lh6.googleusercontent.com/odA010FcYuZkGPgPF-YTWaUb2Z85sa6LaR_3W3eY7XhhJD4v-667PbwUat-yVXX_ngQtWmjssdlcoom5rw8SBRhidFn8VwjvW90el7aZcmKA1uExsw822HbLBccYTaibnA8rQlDzoJ0
8aae8e3d,Anomaly Caps,Arlo,Red Infected,https://lh4.googleusercontent.com/-EUW1AsUnz9DYoqU3gRS5j-8OYbuCLjggpx1Fdfi17PqCNgAGMgC-NtUjK7MC0l_bes3MTzdV7NLXaCiVdIf57kTyBPBAgC8KXCMQCG7gDj1W6Er0eO7kD7IpllKwcyzAWDJql-y0UI
13341cd1,Anomaly Caps,Arlo,Lovely,https://lh5.googleusercontent.com/cO8XhdUZYsd8CIx6tx7hC62xS2YukrifD_R-x9__KxgS5N-366EGUX6IYEoRoJ3y5qKbQhpqdh1dth9x0ysC3f8qXKxGW0sR_esAsS1PGnmxuwAi6T2NC5l73aghp_x0jN6hZz_78bg
595dae4e,Anomaly Caps,Arlo,Lazurite,https://lh4.googleusercontent.com/5sHWlr3G7aweRWk7jxMTMv3gPgbSvhkp3NCr-kvtBY5ikbEMey2HwZ6-fJXXowUQ0hbJlujYgaG3pXS0X6wPEA31LJTdPg-tJ2BzkVhjroSUfwNYqKgjP0w2ybo9PgvSj_d-6JtLYXM
4f152824,Anomaly Caps,Arlo,No Face,https://lh3.googleusercontent.com/RpeLDGMRep7vKPYdgV6y1Sg7URxvh6ElGXQOVlftdxV0wRM3Z6gMMoSm_AByYNOouMkUu0WAFI2wQowjTX5q-9qLzmOrIx6U4Emo5bompBbhzL5391W_dlJgCh10TmYVQONPWfEA8G8
88746698,Anomaly Caps,Arlo,Pumpkin,https://lh3.googleusercontent.com/dzlBexg1tLk1KnF-2EKnH1gfqcABbDcI_dUiXJfIGEcHzdTRamSqmpJcOsVQNcgas-hpjra21WrWUd3xtW-knTlfrwzFJyB2Hi5sL34l9LxybFrY8gaMYrbL7Oa1xb6tHEj0qyfN0-Q
78c1346f,Anomaly Caps,Arlo,Witch,https://lh5.googleusercontent.com/XHoJMkIeuuZeLBRV0_EDIBS033T559Ia0jXUqtuQbdZ71fA1KC9Xc9qPQIaLJV5sI173xtiXR9mtCca9Q5uM1ijxDmMhvUUPmuL_fVluBL4Mo_pPiFcvMK2-BSI8YiZ977t2wZJVRJo
79040974,Anomaly Caps,Novuz,Master,https://lh5.googleusercontent.com/wjy8jEWkBA5I6DIGamahQXtqyWklTmHVp9jONyM-2pKMFhseI-yNgZaRrV1Iv_9u8NGbnUeJZZu5T8hlaV-uU9jd9AXcQIPjH7IsfY1rzTZUfeiQBV9cjPGt5DtJhl95EVG4aXPHO_w
81c9761a,Anomaly Caps,Novuz,Lazurite,https://lh6.googleusercontent.com/PhoeLxGn1tpe4xB5DH4mIo6zT6CGgTXmoCu5f-P6y0QzJ1rZ7PPKKvyU_K_CLbP1tCfJWiZfKirPJt2y7kzE61sSi41OB1RgtAz4yvzTC-7HoIwc3kQY7qujP2zY2UW55JNgb_L_uNk
a68c5204,Anomaly Caps,Novuz,No Face,https://lh3.googleusercontent.com/VP7W-3VDFkhZiCVpSoDS-X1nmJVsX8zxU3UQqx5IGshJ1zHNe4C3ObRpffQM_Cgisrfn0dfSDTuIR5NtZ4WZnIuQJvV0sr1CNWgfV-AzONzXKI7rSRzUhQgn-e4_mfndjRM-phfP604
865531bf,Anomaly Caps,Novuz,Pumpkin,https://lh5.googleusercontent.com/Se9YiRDfHUoXxQvIuz7ypK_t46GbxoXHBt5JOK5fUvinFRI9uzhBP30XyrT2m8raaD_xLvhkpPax-iNw8jMQddDdOOU94hNf_Gmj5f_A4ah9KxqLDbtLDCWxtfGmUCZhRgtR-sFbyo8
d65828cc,Anomaly Caps,Novuz,Witch,https://lh3.googleusercontent.com/GddMyRH7e2cmdPvFRFM-YlBK7xoTo1ZXw45j4fkXhkM1MzumLXimZEMxb6OrVbopE-Tc50JVAoMFxt9mEUCuV6T7wJuznlF0Ybrv7FdAltL3i8_XYYofblrgYmcxGQHLT1KNOXYPM9E
f79a50a7,Anomaly Caps,Novuz,Googly moogly,https://lh3.googleusercontent.com/n93sxkFU2P-hJIty_7gwnF6OZvLJ9betOx6iFmBhuo3WfqQFVdUDfA5V3n8Y_1veU0sQkF7FuLkG2dsFa23rjZn_lv0G1Zib0xKiwAy1D4iJO1h_FwcIq1vsZdHN0WtyaqooF3vzntI
7046c1e0,Anomaly Caps,Novuz,In Love,https://lh4.googleusercontent.com/1tFKiXhyO3ko46xAsFQXIF4pm9RaOWe2OOTpgM8a-uv1Hv_8I69GFL8YGI8OgZjzfKips4gLM1ylbqg1D_N5EBuCKpyggrw_3HvYB2okSNHUmrtAC4u9YP1jkPMwgpwYnZpf-tXVWBI
49ff82b2,Anomaly Caps,Novuz,Ocean,https://lh3.googleusercontent.com/JmhOuLv9yQf3e_2Z4GWorcJYurM_QUecpRge2-eQEfk6nF5f0AFEAd9HAcmtHn79hoQEeS-Rhm7JUgBxsE8i70jLRMwNU2ESN0icBTckM0fovNWmTme1_n6RX3QanbxAt27_dn-O8VQ
fba794ce,Anomaly Caps,Novuz,Taro,https://lh5.googleusercontent.com/ggiA59RyVb1FukQtHYIU0s7Z328Zyd9Ir8bec_z5JJr5soKI7-la0E8umlkiEVXBtO0CHFgtXSxup1cBrOsLiyZVcFaXRWoa3XbxQ2PnMGhrfT19-ANsTU9UJ1fcjN7eFFF2X-LgdjI
435c9848,Anomaly Caps,Novuz,Voynich,https://lh6.googleusercontent.com/F2yVusiCujhekL1SY90QKSyuqcu4ybHsOVkPJs9rH6WipfL39_z6sUgSGnAX9bCtZeQQ-xGRRy2WfMwcoAOPhWw3KRj9R0_CRHanr2EFfOycKumG6ztNXDpoqVKEXZ9SZp92o-Gj8sI
4cb2e97b,Anomaly Caps,Skippy,Master,https://lh4.googleusercontent.com/hqlC5TVTZPMdu4E1fCIKLKC57NfB95_ED2b1UAUXwb3q-ALh0ldAY5eWQpCrCxX51i7lj9FXngrizqSiouuZrh-ytd08fYJdDuyBEmQ9dJq46zW_SbOOvO6Z2UqvRbJLEHROd5bQufU
580c689c,Anomaly Caps,Skippy,OG,https://lh5.googleusercontent.com/WsQUsTBjHJzn1737zg1FGazgs9ti8PDCALICzHz7X58dy9svQNHajW8cFEbboQ_qB_QQ2vnViXw0iJRnbWkY_OGjKJZ25_IAHH0N4dtsTcahCdJAyrfOYb8a-WYAZ7rBlnCQquqwDik
96c366,Anomaly Caps,Skippy,Snowy,https://lh3.googleusercontent.com/QZ7IXrq1A7T9LH2ZfIkutuoayD-lJaBSjwpjq3R7uk_t1SB4_RKhh0hjklpRlJFSHjk5PdchVGjbP5NvyqJj38mkzK49P8JrQIzeUiQsIN7pifxAuee6GaiJYHKmn2_MgWmU5fu1qOM
e1dbdcfe,Anomaly Caps,Skippy,Smokey,https://lh4.googleusercontent.com/DOtnBSJeUsuI3e9VmibHrCjwAf2y60DstSga2hXcOA2frDK4Citp8472Pdt-m20G0cH-rrDIHCkjo88uuVzlUsInaAW9wX_4RXh9mtcbLf92b9FO7GICRrFquHAjRK8a-LLOA5tQZAo
