id,artist,sculpt,name,img
dfa441fc,Apothecary Caps,Gateway,Gateway,https://cdn.keycap-archivist.com/keycaps/dfa441fc.jpg
c78ca22a,Apothecary Caps,Gateway,Reina,https://cdn.keycap-archivist.com/keycaps/c78ca22a.jpg
c03ced39,Apothecary Caps,Gateway,Luna,https://cdn.keycap-archivist.com/keycaps/c03ced39.jpg
856ab1d0,Apothecary Caps,Gateway,Pay Your Taxes,https://cdn.keycap-archivist.com/keycaps/856ab1d0.jpg
ce3cbd4a,Apothecary Caps,Gateway,You Died,https://cdn.keycap-archivist.com/keycaps/ce3cbd4a.jpg
802274b4,Apothecary Caps,Gateway,Fae Portal,https://cdn.keycap-archivist.com/keycaps/802274b4.jpg
77d93914,Apothecary Caps,Gateway,Pink Pony Club,https://cdn.keycap-archivist.com/keycaps/77d93914.jpg
9f1978c3,Apothecary Caps,Gateway,Cloud 9,https://cdn.keycap-archivist.com/keycaps/9f1978c3.jpg
96e6d1,Apothecary Caps,Gateway,Lake of Rot,https://cdn.keycap-archivist.com/keycaps/96e6d1.jpg
6b448ace,Apothecary Caps,Gateway,Gilded Grave,https://cdn.keycap-archivist.com/keycaps/6b448ace.jpg
7cea6666,Apothecary Caps,Gateway,Shadow,https://cdn.keycap-archivist.com/keycaps/7cea6666.jpg
914697d0,Apothecary Caps,Gateway,Goop,https://cdn.keycap-archivist.com/keycaps/914697d0.jpg
af910def,Apothecary Caps,Gateway,Borealis,https://cdn.keycap-archivist.com/keycaps/af910def.jpg
ecd81f7d,Apothecary Caps,Gateway,Aurora,https://cdn.keycap-archivist.com/keycaps/ecd81f7d.jpg
f15aa993,Apothecary Caps,Gateway,You Died (again),https://cdn.keycap-archivist.com/keycaps/f15aa993.jpg
b21f889b,Apothecary Caps,Gateway,Black Hole Sun,https://cdn.keycap-archivist.com/keycaps/b21f889b.jpg
47c51993,Apothecary Caps,Gateway,Hyacinth,https://cdn.keycap-archivist.com/keycaps/47c51993.jpg
5536445b,Apothecary Caps,Gateway,Sleepy Dragon,https://cdn.keycap-archivist.com/keycaps/5536445b.jpg
c2b9958,Apothecary Caps,Gateway,I’m Blue (Alert),https://cdn.keycap-archivist.com/keycaps/c2b9958.jpg
483db505,Apothecary Caps,Phantom Gateway,Borealis,https://cdn.keycap-archivist.com/keycaps/483db505.jpg
c352c23e,Apothecary Caps,Phantom Gateway,You Died (again),https://cdn.keycap-archivist.com/keycaps/c352c23e.jpg
