id,artist,sculpt,name,img
afda17ab,Archetype,Clifford,Noble,https://cdn.keycap-archivist.com/keycaps/afda17ab.jpg
6f21291c,Archetype,Clifford,Hyperfuse (HP),https://cdn.keycap-archivist.com/keycaps/6f21291c.jpg
546d1c4b,Archetype,Clifford,Hyperfuse,https://cdn.keycap-archivist.com/keycaps/546d1c4b.jpg
f8c8c167,Archetype,Clifford,Sloth (HP),https://cdn.keycap-archivist.com/keycaps/f8c8c167.jpg
7a0819d1,Archetype,Clifford,Bliss Pink,https://cdn.keycap-archivist.com/keycaps/7a0819d1.jpg
58211b51,Archetype,Clifford,Bliss Grey (HP),https://cdn.keycap-archivist.com/keycaps/58211b51.jpg
7572941,Archetype,Clifford,Indighoul,https://cdn.keycap-archivist.com/keycaps/7572941.jpg
9ae53c17,Archetype,Clifford,Hulk,https://cdn.keycap-archivist.com/keycaps/9ae53c17.jpg
806a3c81,Archetype,Clifford,,https://cdn.keycap-archivist.com/keycaps/806a3c81.jpg
bc586233,Archetype,Clifford,,https://cdn.keycap-archivist.com/keycaps/bc586233.jpg
6cb2598,Archetype,Clifford,,https://cdn.keycap-archivist.com/keycaps/6cb2598.jpg
8f3c24f6,Archetype,Clifford,,https://cdn.keycap-archivist.com/keycaps/8f3c24f6.jpg
febfcb16,Archetype,Clifford,,https://cdn.keycap-archivist.com/keycaps/febfcb16.jpg
e0d709a6,Archetype,Clifford,,https://cdn.keycap-archivist.com/keycaps/e0d709a6.jpg
d1bbe6c,Archetype,Clifford,Kopper,https://cdn.keycap-archivist.com/keycaps/d1bbe6c.jpg
a39fe784,Archetype,Clifford,Boss,https://cdn.keycap-archivist.com/keycaps/a39fe784.jpg
44fc32f8,Archetype,Clifford,Wild,https://cdn.keycap-archivist.com/keycaps/44fc32f8.jpg
d43865d3,Archetype,Clifford,Early Night,https://cdn.keycap-archivist.com/keycaps/d43865d3.jpg
ebd4466f,Archetype,Clifford,Debri5,https://cdn.keycap-archivist.com/keycaps/ebd4466f.jpg
a5592966,Archetype,Clifford,H0ver,https://cdn.keycap-archivist.com/keycaps/a5592966.jpg
379fa962,Archetype,Clifford,Laz4r,https://cdn.keycap-archivist.com/keycaps/379fa962.jpg
27e034b9,Archetype,Clifford,Studio 54,https://cdn.keycap-archivist.com/keycaps/27e034b9.jpg
c17382fb,Archetype,Clifford,SA Bliss,https://cdn.keycap-archivist.com/keycaps/c17382fb.jpg
722c3dc6,Archetype,Clifford,Teenage Mutant,https://cdn.keycap-archivist.com/keycaps/722c3dc6.jpg
87725b80,Archetype,Clifford,Secondary,https://cdn.keycap-archivist.com/keycaps/87725b80.jpg
96d50d3d,Archetype,Clifford,Shipwrecked,https://cdn.keycap-archivist.com/keycaps/96d50d3d.jpg
383ba8ea,Archetype,Clifford,Booster,https://cdn.keycap-archivist.com/keycaps/383ba8ea.jpg
9d49f26d,Archetype,Clifford,Forge,https://cdn.keycap-archivist.com/keycaps/9d49f26d.jpg
d1d08422,Archetype,Clifford,Doom,https://cdn.keycap-archivist.com/keycaps/d1d08422.jpg
817c0e5d,Archetype,Clifford,Epsilon,https://cdn.keycap-archivist.com/keycaps/817c0e5d.jpg
91f79e0c,Archetype,Clifford,Fred,https://cdn.keycap-archivist.com/keycaps/91f79e0c.jpg
6933749c,Archetype,Clifford,I Want Both,https://cdn.keycap-archivist.com/keycaps/6933749c.jpg
1a1cebc7,Archetype,Clifford,Krang,https://cdn.keycap-archivist.com/keycaps/1a1cebc7.jpg
cb8b6621,Archetype,Clifford,Stark,https://cdn.keycap-archivist.com/keycaps/cb8b6621.jpg
36a8e4ca,Archetype,Clifford,Tide,https://cdn.keycap-archivist.com/keycaps/36a8e4ca.jpg
42aa51c0,Archetype,Clifford,Twinkie,https://cdn.keycap-archivist.com/keycaps/42aa51c0.jpg
d6eee5ae,Archetype,Clifford,Vaelorin,https://cdn.keycap-archivist.com/keycaps/d6eee5ae.jpg
b0cc6690,Archetype,Clifford,Proteus,https://cdn.keycap-archivist.com/keycaps/b0cc6690.jpg
cbbc4b7e,Archetype,Clifford,Howlite,https://cdn.keycap-archivist.com/keycaps/cbbc4b7e.jpg
6601f957,Archetype,Clifford,Sekimen,https://cdn.keycap-archivist.com/keycaps/6601f957.jpg
bf25d5b7,Archetype,Clifford,Stone (HP),https://cdn.keycap-archivist.com/keycaps/bf25d5b7.jpg
c889c5a1,Archetype,Clifford,Ashes,https://cdn.keycap-archivist.com/keycaps/c889c5a1.jpg
82b4459d,Archetype,Clifford,Glacier,https://cdn.keycap-archivist.com/keycaps/82b4459d.jpg
83d4e5b0,Archetype,Clifford,Ice King,https://cdn.keycap-archivist.com/keycaps/83d4e5b0.jpg
123bfe64,Archetype,Clifford,Mud Blood,https://cdn.keycap-archivist.com/keycaps/123bfe64.jpg
d0efc3d6,Archetype,Clifford,Stonewarden,https://cdn.keycap-archivist.com/keycaps/d0efc3d6.jpg
a361513f,Archetype,Clifford,Gargoyle,https://cdn.keycap-archivist.com/keycaps/a361513f.jpg
92c494b3,Archetype,Clifford,Sugma,https://cdn.keycap-archivist.com/keycaps/92c494b3.jpg
52541d22,Archetype,Clifford (Mustache),WoB,https://cdn.keycap-archivist.com/keycaps/52541d22.jpg
32fe59da,Archetype,Clifford (Mustache),BoW,https://cdn.keycap-archivist.com/keycaps/32fe59da.jpg
1204b050,Archetype,Clifford (Mustache),Oddjob,https://cdn.keycap-archivist.com/keycaps/1204b050.jpg
67e8ae2a,Archetype,Clifford (Mustache),Charlie,https://cdn.keycap-archivist.com/keycaps/67e8ae2a.jpg
3f139270,Archetype,Kolkrabba (SA Profile),Limestone,https://cdn.keycap-archivist.com/keycaps/3f139270.jpg
9be7453f,Archetype,Kolkrabba (SA Profile),Luna The Octonaut (Collab with PrimeCaps),https://cdn.keycap-archivist.com/keycaps/9be7453f.jpg
9dc2fc16,Archetype,Kolkrabba (SA Profile),Calm Depths (HP),https://cdn.keycap-archivist.com/keycaps/9dc2fc16.jpg
6dbfff5f,Archetype,Kolkrabba (SA Profile),Bliss (HP),https://cdn.keycap-archivist.com/keycaps/6dbfff5f.jpg
7f03eae6,Archetype,Kolkrabba (SA Profile),,https://cdn.keycap-archivist.com/keycaps/7f03eae6.jpg
b2880451,Archetype,Kolkrabba (SA Profile),Deep Field (Casted by Primecaps),https://cdn.keycap-archivist.com/keycaps/b2880451.jpg
c0bca171,Archetype,Kolkrabba (SA Profile),Bliss,https://cdn.keycap-archivist.com/keycaps/c0bca171.jpg
2e6eb5fc,Archetype,Kolkrabba (SA Profile),,https://cdn.keycap-archivist.com/keycaps/2e6eb5fc.jpg
956a2c20,Archetype,Kolkrabba (SA Profile),,https://cdn.keycap-archivist.com/keycaps/956a2c20.jpg
27ba7b03,Archetype,Kolkrabba (SA Profile),,https://cdn.keycap-archivist.com/keycaps/27ba7b03.jpg
562d463a,Archetype,Kolkrabba (SA Profile),Leviathan (HP),https://cdn.keycap-archivist.com/keycaps/562d463a.jpg
9e0bc751,Archetype,Kolkrabba,Hyperfuse (HP),https://cdn.keycap-archivist.com/keycaps/9e0bc751.jpg
f80120bb,Archetype,Kolkrabba,Iron,https://cdn.keycap-archivist.com/keycaps/f80120bb.jpg
152b4bd0,Archetype,Kolkrabba,Rust,https://cdn.keycap-archivist.com/keycaps/152b4bd0.jpg
f3eef2d3,Archetype,Kolkrabba,Sloth (HP),https://cdn.keycap-archivist.com/keycaps/f3eef2d3.jpg
30883c88,Archetype,Kolkrabba,,https://cdn.keycap-archivist.com/keycaps/30883c88.jpg
8e6ef79d,Archetype,Kolkrabba,Civilizations,https://cdn.keycap-archivist.com/keycaps/8e6ef79d.jpg
c8c8a4dd,Archetype,Kolkrabba,Pular,https://cdn.keycap-archivist.com/keycaps/c8c8a4dd.jpg
8c7f6e0d,Archetype,Kolkrabba,Lark,https://cdn.keycap-archivist.com/keycaps/8c7f6e0d.jpg
85e2cd8,Archetype,Kolkrabba,Kernel,https://cdn.keycap-archivist.com/keycaps/85e2cd8.jpg
1cb73bc4,Archetype,Kolkrabba,Tsunami,https://cdn.keycap-archivist.com/keycaps/1cb73bc4.jpg
ce701e88,Archetype,Kolkrabba,Dawn,https://cdn.keycap-archivist.com/keycaps/ce701e88.jpg
725bec49,Archetype,Kolkrabba,Velvet,https://cdn.keycap-archivist.com/keycaps/725bec49.jpg
74446d16,Archetype,Kolkrabba,Cloud,https://cdn.keycap-archivist.com/keycaps/74446d16.jpg
f4d9d728,Archetype,Kolkrabba,Sterling,https://cdn.keycap-archivist.com/keycaps/f4d9d728.jpg
6734b872,Archetype,Kolkrabba,Peony,https://cdn.keycap-archivist.com/keycaps/6734b872.jpg
c78e6c5,Archetype,Kolkrabba,Ajisal,https://cdn.keycap-archivist.com/keycaps/c78e6c5.jpg
b12dd069,Archetype,Kolkrabba,Eucalyptus,https://cdn.keycap-archivist.com/keycaps/b12dd069.jpg
300bfbe8,Archetype,Kolkrabba,Origin,https://cdn.keycap-archivist.com/keycaps/300bfbe8.jpg
3d33c9bf,Archetype,Kolkrabba,Artifac7,https://cdn.keycap-archivist.com/keycaps/3d33c9bf.jpg
