id,artist,sculpt,name,img
7961b458,AsianJoyCo,Jiaozi | Chinese Dumpling | 饺子,OG Jiaozi (Crispy Bottom),https://lh3.googleusercontent.com/fFePkAa3c0SlYhBMeVW7AptZWYk4Sjfmt_37CMpCQTYPfkf9Mtx2MU3ATO34ajEbiZsYbFqVhWr3OzMQBd7IjMO5Fbkh3buWaHxZTif9T7UhfYdUnp6RU_1aNwNI6mklSRybdBM9olM
476e184e,AsianJoyCo,Jiaozi | Chinese Dumpling | 饺子,Seen In Action,https://lh5.googleusercontent.com/lr48oNZXk_grVxW43pSCP3Ru3iDhXaOYWBtPw2TWBn4ImPgsM0S9gFygEaabO6oQZzwTLbsV30XDGl-XARuomASkZLBbtOQ0HYjj0E8KjaPiSVKpncLJX4sOuVth9z2RwhzWxUt1_H0
c9c2724b,AsianJoyCo,Shumai | 燒賣,OG Shumai,https://lh3.googleusercontent.com/P_HsGi12jYdfuNn5Sg-iOXL50MpLQzGn-aqaoHu9qJ44FfzMDO8iLHJ4O8FsgHOfjeWTe2MVThKMc23QPJ6F8Pbpp8wO65xuP2IShRL6guqKVDsOxHMVUdGr8xd6PH2FEfzhWyY_nCg
8a149521,AsianJoyCo,Har Gow | Shrimp Dumpling | 虾饺,OG Hargow,https://lh6.googleusercontent.com/cST4v4B1RyauJVC6ZHBdWO6UQOAIx0nA0Wk_jul3GAbI98y2B_SbSYAzxrflTyZ9QK1TIVGoeARBVq0jXoXQqyQDDlglEJiEnkbaWxiNTuN4wDzFXWhGUQp423cUrU34FZTadVzVV18
56438bbd,AsianJoyCo,Har Gow | Shrimp Dumpling | 虾饺,Mounted Hargow,https://lh6.googleusercontent.com/kpQDrCEiQgUutvdAyx3xrLP4fJmc71vvxX2k52owwEDKarsgjdkwOSeTjYSaUtCQl24koxAcEzLmURoFi-FKE3k4eRaBnDEH_JHdAQ8_2QHyYdNT4ZYPHpdByZ4Pj4C-uhAl3LzmbOQ
e29c5125,AsianJoyCo,XLB | Soup Dumpling | 小笼包,OG XLB,https://lh5.googleusercontent.com/GX-AmeY_ij-9z26QU5v2K1xEaYkBJB_nLreUMDKkw6ftpnCh7wrstLS7RAFkelyBB8kFj8m2P120b1OXP4euJ4i4ik9SdmerVTn2acfmnnB1NWNkfJM9uvRs15MDMes95y_kAnLrlq8
3623807d,AsianJoyCo,XLB | Soup Dumpling | 小笼包,In action,https://lh5.googleusercontent.com/XOgxeFXnmE_ujUdLNkE2Nc8fCS85q06mhQVIthGdwNKTgOjaXnpSZNbcXXydHV62ap8yiqLUcFlpdm3OMO1WUYsctUlmWbLdvCXu-GThefzVmRFVexrmEZn3stdkcaF28wZnvSFlXHs
b5891942,AsianJoyCo,Dan Tat | Egg Tart | 蛋塔,OG Egg Tart,https://lh6.googleusercontent.com/qRG42n39zCbVvOqRq2V33n_vGUblF4si1jAV7WkeCg3XMG1snxbmvj0mGZxrI0Wo_HlIQF7MiaQrgVWJH9jU9QRcKuR7mT9P30EwxgbnTFSS1Xm9qAXQRted-z4WIau82H19Wdc4y9o
9ae7cde5,AsianJoyCo,Dan Tat | Egg Tart | 蛋塔,Shiny Tin Upgrade,https://lh6.googleusercontent.com/LzPpjLAkUSTzOqm8d138Q1RT95Bg4s9KngnPFs5K-hxpwl0rMEvST9JjLjTqSyyN4c9fUxSPzuroB0Bld1WHAj7aCekx2qYOQE4QYlZjY1yLV6r7anUfxc40MDLcyDZB8DFYhCD-z9k
673fd8ae,AsianJoyCo,Zongzi |,OG Zongi,https://lh4.googleusercontent.com/X3sNaOmxHwS1u7JbFzn8P9ETpsmc-srk7P68BR1l-UB-4sjbdg1YT0dOd1l-KJewbNL-1iMXqn0fuOu7lvKNkiDSgE_sO2d6Yv4W57gtnk2iS3a2RA1x2cIO3F0Z0Hd00MJLWB4XteE
