id,artist,sculpt,name,img
c1bef8ee,Atelier Rng,Cursed Goat,Dark,https://cdn.keycap-archivist.com/keycaps/c1bef8ee.jpg
53803b32,Atelier Rng,Cursed Goat,Metal Starry Night,https://cdn.keycap-archivist.com/keycaps/53803b32.jpg
69615cde,Atelier Rng,Cursed Goat,Burnt Gold,https://cdn.keycap-archivist.com/keycaps/69615cde.jpg
6f8fc03d,Atelier Rng,Cursed Goat,Moon Grey,https://cdn.keycap-archivist.com/keycaps/6f8fc03d.jpg
2aafcbe,Atelier Rng,Cursed Goat,Bone,https://cdn.keycap-archivist.com/keycaps/2aafcbe.jpg
eb3d0669,Atelier Rng,Cursed Goat,Swamp,https://cdn.keycap-archivist.com/keycaps/eb3d0669.jpg
fdc488f1,Atelier Rng,Cursed Goat,Zombie,https://cdn.keycap-archivist.com/keycaps/fdc488f1.jpg
4456d85e,Atelier Rng,Cursed Goat,Gold,https://cdn.keycap-archivist.com/keycaps/4456d85e.jpg
26721cfe,Atelier Rng,Cursed Goat,Navy Blue,https://cdn.keycap-archivist.com/keycaps/26721cfe.jpg
3244a9f5,Atelier Rng,Cursed Goat,Coal,https://cdn.keycap-archivist.com/keycaps/3244a9f5.jpg
4832bb4b,Atelier Rng,Cursed Goat,Pistachio,https://cdn.keycap-archivist.com/keycaps/4832bb4b.jpg
134e6c5c,Atelier Rng,Cursed Goat,Blood v2,https://cdn.keycap-archivist.com/keycaps/134e6c5c.jpg
be755d3a,Atelier Rng,Cursed Goat,Frozen,https://cdn.keycap-archivist.com/keycaps/be755d3a.jpg
5e6b6d3e,Atelier Rng,Cursed Goat,Dark Steel,https://cdn.keycap-archivist.com/keycaps/5e6b6d3e.jpg
dca816a4,Atelier Rng,Cursed Goat,Mystic Purple,https://cdn.keycap-archivist.com/keycaps/dca816a4.jpg
87c24943,Atelier Rng,Cursed Goat,Oxidized copper,https://cdn.keycap-archivist.com/keycaps/87c24943.jpg
e55903b7,Atelier Rng,Devil Cat,Emerald,https://cdn.keycap-archivist.com/keycaps/e55903b7.jpg
7df7fbcc,Atelier Rng,Devil Cat,Bone,https://cdn.keycap-archivist.com/keycaps/7df7fbcc.jpg
9d32b5ac,Atelier Rng,Devil Cat,Metal Starry Night,https://cdn.keycap-archivist.com/keycaps/9d32b5ac.jpg
2462b672,Atelier Rng,Devil Cat,Lemon,https://cdn.keycap-archivist.com/keycaps/2462b672.jpg
960d9da7,Atelier Rng,Devil Cat,Lime,https://cdn.keycap-archivist.com/keycaps/960d9da7.jpg
c95a812a,Atelier Rng,Devil Cat,Navy Blue,https://cdn.keycap-archivist.com/keycaps/c95a812a.jpg
