id,artist,sculpt,name,img
8274bac0,Ato Works,Samurai,1- Yukimura,https://lh6.googleusercontent.com/g5rMT4gszq4mkKwcqmfL18ayepgKbfPjUfcX-1uNNlUvjMRiRpJ9XJ2Mms3-_wbNCuUHn62AIcUE1dr6IVcS8YQEsQz8EieSrRp4An6CroajuE5GR6Bo26kkIVnPy7wsYZfq5xup0zk
a00a9184,Ato Works,Samurai,2- Imagawa,https://lh5.googleusercontent.com/WTGjLx_yPyr48LGF2tCWGsC4lF_MUcwzVQJXg5MgNy8r0D6EUZtZJv_W833NOYKIUsVKA2KhJsQhzLph2JXWQ1PBeiVcznV7wjH-199LIf_3WivbORts2jXKAK-bp3Fm-Q63OzIJzVY
a945385d,Ato Works,Samurai,2.5- Copper Imagawa,https://lh6.googleusercontent.com/VtZvHoR1MZccurqslztL620J8WrtrwGTDPc9wqedSXiLwhQvgIuamSYlgmRB97zefN9pzh3q-hOvvDlbPhovpdnj2ugcMKQvGtwMQhsCG0_-3kVos2Txt60qzlAaH6kYOcK2mjPMAL8
4cbf059f,Ato Works,Samurai,3- Nobunaga,https://lh4.googleusercontent.com/x61W5uyaKbDtq-y1k1aVKLvewaWvXWDeNKOtkXmKbigdBsNM64_GgZg2B3dDK7n7Qb6qVNIAwzhC-MPcwoo6KPAWJ4nwIYi45-T9YTD_SZVcsQTDg3rNZFpwHkJO5S9KZmcgiU8tgpA
a481a551,Ato Works,Kobutsu,The Ancient One,https://lh4.googleusercontent.com/uQzg8iipHqoUaPRWkaFofztbx7B3eS-Mj0UEkGNBA_gZN1r3zu3WDGujxdjzwwSwdIdvpAQaE4PUNzw3JACKJ7IiyZkrEFWvxm_2sWtG6ChI8A2rpiMsLIcNkeiKxCkJ3honnBSzG-Q
eaeaaa92,Ato Works,Kobutsu,Blood Tears,https://lh6.googleusercontent.com/Ae2ZoDsq2r6XWgxj84C5sfguo5cgS7E5pNQKblMTO_99_Dcmvc7Svrl9cTxFe4UtqsWD5fvvsj_s6ZbnLKz6giG99uQBldRaW2bHguaJqHw8XpxxgzviXss3HHNqHie5p-43ppT0cDA
ab515a67,Ato Works,Kobutsu,Liftoff,https://lh6.googleusercontent.com/FfiPqIpNUx2jMx5tZgdXaeJKJdsVtXeueNQvJNIm8yUBB2xkMs9KeHHmto5yM_i5W3LKsOOVOUnH_Oc0nXIofzMbPpFr5HN6gn9i0V9pHmTl4hKXZMPxURSJHXtF6EzGEtTTQkzltgk
d3ea278c,Ato Works,Kobutsu,Valentine’s Day (Giveaway),https://lh4.googleusercontent.com/0rHy7Uzcgm9iQpOpt34wbn9xbhYBKka-Zx485QTJWan_OCc4jOFPwt8tPwJmmhlmZpZ4gjcECioTAr2qlkK6MRMn8NTkvrPEuGctWMuUYzSf2_93LfKIF-4uQUunvWkPIWmNfeeAXkA
e170a0b4,Ato Works,Kobutsu,Evil Eye,https://lh5.googleusercontent.com/L5pJ8RM7u1Ss2g73cIAjAAUIUZQs1q6f4k1ErcIIWbuKvIvN2QTV338wTw-9JMV7THeziYEYRT6PKgTENeZI6tU2ifxlcDPlzZAtbnWXgGtwUapSYuqjAdMraf9Nd8jkUzlJUIUKAOo
d28e35a7,Ato Works,Kobutsu,Forged in Iron,https://lh4.googleusercontent.com/zMyjy56CuyNbhaoDuX-KJN3FzGr58WwASzRBdIM6g-CsvEvV9PF1OcuGNpsk98z8RUrEkx0PPVvhZQmFCFdoI__46qRx29TYSVLSYpExKB3YmOXYGJM8vgcxsdtCmtzTowwp5Uwke_I
837e24dc,Ato Works,Kobutsu,Strong,https://lh5.googleusercontent.com/DRuW0lhCe5ttSr-0h98DyniYzXpQ0oeFS6nuyPYO7LAhsemoxTGcfhcL5j4VYK7CsvWsSx5Q_TGLTR8ekxFrm6nCh_lxlB_GRdtTv_e7zFr_fMq9j1aptHNhP_fOo2ItRy3Hzdm8UcQ
2a431995,Ato Works,Kobutsu,Don’t Spill The Taro,https://lh5.googleusercontent.com/rqdFin1gK1-PX85CfMMIB56u9M0E3MTfthpcKam-_DSpbMv-g8z1zAcQA0k36vYy5cMXFu-Sic8UcM4_pVYAWgU2ri1I7CLH1fCl_-zcDXeHtD4jwDuVxzLO8BDf6kexsqa0SVuNH2s
d89ba87a,Ato Works,Haiku,"""Letting Go""",https://lh3.googleusercontent.com/oaGfLjYnuKXl2HxGoU4SoWm-dGnIyOGzziFJUYmv8jQ0HvaZ3S7Ql7A5UVsjfGfkiWv3KoEY-MkTJQDQ_0CuBjU5l2XFI-JFAJ6Q0lvsCYyr9KLBWxY01yCPSwmZNdSEtNT_DWQu8vk
15188a32,Ato Works,Haiku,Valentine’s Day (Giveaway),https://lh5.googleusercontent.com/Z0v_iTAOrPLy5ZZykF9TzGgMDXiESMng0b4UZkjXWhhugwXZvNwz-KDt21OUaDroXb1W7sGw9WRMqSLTJOvtGlv8Sw0vbj8ip4P6yGVoqSlE30Su7qwhpwESSZarq9HoVvMxjJIDDZo
2ca98216,Ato Works,Haiku,Evil Eye,https://lh3.googleusercontent.com/H8rbViVnAtZn21f3mj9p5-GWcvIyCF_7p2HLKTqQyOH4C3_iTMy86ZlsejW_7XXLhxnpKWVpfuLrtmTm6BzESK4zwt7DCARenpW6sAypm7jGaYiI8FuHQw9czcpPZuDd8wk5eRUUdEI
75c39a29,Ato Works,Haiku,Forged in Iron,https://lh6.googleusercontent.com/w7derNN3zPS2uRctmDS5z8j6tv1sKlpRlLZ7h-qS5F9qvp0ISIp82o1NOhKJ0JI527zbWkiSZ5R3ICsw8vMjUIOK-JVhIv9SH_eYkAxnAa-WBdOmGa9wtwj3DHd1ro3dw_fikY9LQHI
92c984f8,Ato Works,Haiku,Strong,https://lh4.googleusercontent.com/Z_kUVG9n7Oa3EKDvuYxqXsp-BKcNckF33oGSqNVxBP5xBYen0XUNcWn_QTiMJZK8H53PP4NszSa-yK_hEV6vUwkxLnXjkfiDnJOd8HuZg9dQ4_E07NfQjUmRMr8kWDAM7FoAsVmLk34
31c46f68,Ato Works,Haiku,Don’t Spill The Taro,https://lh3.googleusercontent.com/HiBewvirWgIUBfqXlYFInAi8BxuplPC4t27QgKAz4kWCGn--esxAQntAbkG3rD2ai2asEOzI3GSCAH2_HKnkS23_Cn0jaVnvQQ-wStsJ8unmi4yR2v5TOlTDWgjSslwdLw5g4TEq8ow
25021f2f,Ato Works,Wax Stamp,Don’t Spill The Taro,https://lh5.googleusercontent.com/TgD2IBjJ7WF9td7xGk5-tGEDgnru1xK_NCn_5MgcXcnIxKM8-mWuK_Z0GdjVD_oiiszP5yI5m6OuBPjKTZn5wC7OGKE61I7liFg9VJkredtqpwka5wVzDxUfNKlRCRiaT8jmiDfNs0s
