id,artist,sculpt,name,img
99356e3b,Avocaps,Shelby,Pink lemonade,https://lh6.googleusercontent.com/nrsIwPW1iU2O-YHrmsLRKNGnFqQqFyB5U8o8BA0z8vhCA3auFpxZ-XDqLT7aOMVzcm9YnDUzH06ebwUeEQjK6zYjN_9m38AcZkKGUfAQr6YiFxtiEFx2ZGKJf_UteH75kTSE405CexE
4821eea6,Avocaps,Shelby,Lemon drop,https://lh5.googleusercontent.com/o3nc9ZZStKm5Bk4lgo-P8DhUB7KEhGtaP5cJ4g0EkxlnAH4Hz0NAFPI9XknxCzrH9FBbl2gxpIBXv0lDQTe-VW5q9Akss8IN3AqwcG-2eOLyVFO7dJi8dpm2BgcjMcHy5BShecTYllo
facc9521,Avocaps,Shelby,Melon float,https://lh6.googleusercontent.com/cpp_-VnO5ROW2_QzjUNhlr5HQsA1467Li8kmXAGHPLaoHxh_iHjvIeasA3Y5O0azezaIL3FYyPzb1g5lLcfW3w5EbjXnQcR7NkllHLWLTLFT71QsXrTtgKDL9ElMh3THlp7MH2krwuQ
713db5ec,Avocaps,Shelby,Fairy dust,https://lh4.googleusercontent.com/wkcyEC-qaaTasqKZWV2T0iCyKwgptrkW8HHjClk_CR2VWwkJ3BgM87oLTAroXJf15Jm8BMiGsOjWjUn5a4629sVvFQGUL2VKdGDWRiAszZlCzEj8C717zNaO1NN6DEcInfcIC3haJpU
44dba423,Avocaps,Shelby,Hanami dango,https://lh4.googleusercontent.com/yh7BTBPt1D7fmxjvxHhJkoKVwiepK7XbOiUKl5IEWvGnnZeJuJ-tntgiHaF7YkSBRchixSjBgZiBzXp7eTymNH5GXLMqpUwNO0S1VfIl2PLPl6p2dQMC46R6HwLX1x5Y8kCZLmaBtes
52db2a84,Avocaps,Shelby,Daifuku (GMK Daifuku collab),https://lh4.googleusercontent.com/IXpc-Cbr1CXwLQOpLxmBxLxxFF3cFaK9yq5G_Pkq_KXxc1hGB2NnpnLrL78o0pL36anIU5NR26mDVcn8OyJ-pZYsPU3qg6zHOqxcA6sLDoFYc5DvqLkWUpnxE8vEdekQl4PCJQb49Fw
6438345,Avocaps,Shelby,Strawberry Jelly,https://lh6.googleusercontent.com/6I-Jf3_v72tEYl51MDKN05qPBB6OB8N0tLfLT0bBIXn9DLGdW6E-RmmL047edAS_3avTt1pPXlBIsaO_lhA2cUCTBYyC6_6UDIYF4CkECy4GqbRCQhi8FymvtK6siDwfqfkAbdp5HFs
866ff523,Avocaps,Shelby,Kiwi Jelly,https://lh4.googleusercontent.com/-onhTaK_UF1BzLfSykHNs0fZvr6zJRaoiqk0aGqk0X8bH2ZSEMxUdtXqXK9MixOdFubZCI71KscJ5IrZScJF6uyyqRGlIrk26c24h1pG2VDvCxBgj47CEfBjKxVxUHfOo0DqZgUbnwM
7b8062f9,Avocaps,Shelby,Dragonfruit Jelly,https://lh6.googleusercontent.com/vmTA0Z9kqRIfUL7qFmnoY2InnnQ_Jc-MPWx_1wfrKs1gq8LnmZGZE-gXWHP5U_JBiMuK-dN1nW2A6hQSBbpfmQGg8P7YvXVN6Cq3Jgm4vSqKpqU21Hz7OxfcwML7rBNjtcNgF5N9yME
22a5143d,Avocaps,Shelby,Grape Jelly,https://lh4.googleusercontent.com/FLgN-1EWPuNXTUrm1HwK3EiP7jM5T3_F2DHzZOFRN72WML5w__5YJ1N4ToRBEKwGjr1J4curwGunw1NYzLZb-bKCq8ylt1dH2uK4Pz14oKDBVwLvpU_PRC-Zt8REr-aiFUJElvUyzWo
50f3a97f,Avocaps,Shelby,Orange Jelly,https://lh5.googleusercontent.com/7On5xB8pNOHpx0HaJnr3ynq02muT4iJYkIsi0HqlFLCAE9SiEq9UDmM7uJ6b8vHVCKYtkj1fhKnr-KDffWJlZOOOqJIh41ToAYHejC_gUVq39UnIkjB0T93TK4NMmRelf610ZU12H8U
