id,artist,sculpt,name,img
b5abcfb8,AX Studio,Richard,OG,https://lh5.googleusercontent.com/YQrbAy3b7ajGTlLcN5osGgm98GH5RrMLzKJ-5-d7DVhQaHpqz1lo5rhBBJziR_fmrx4c0w2WUhmfjeWzSsVAMNLee39a-1VohDcgitX2_0X0-swApsFU_nxSsP8nyqhRLLX2SbId8ew
7ce9dcf6,AX Studio,Richard,Pink,https://lh4.googleusercontent.com/p5oe_H43dn7_a-UHZ1saRH2L3PIGo_9oUdg8hPJZdqabhFfB_s9TsndEBp0uqNZtTuY-phUGMPNVfeVJe4R_FrjNIpUrsMWaAqr_RKN6ja_9JyYt0M2FIeQ3quUDnr7_tWr_6HPO69I
9d764779,AX Studio,Richard,X‘s’,https://lh5.googleusercontent.com/5TYiegahVVnuSwoVWu_Xw8-byrIfwXSjJ7y4w-Y2ruD6QCNMzv3wjojHWYtfumdaNKBU7Ig0CToiANMp_jheXnDN3F2FA9zbypuvuWnW7Drj2ELu1RDv7q6SrZlKUXPqEICYbWRVRJ4
496ce573,AX Studio,Richard,Shrooms,https://lh3.googleusercontent.com/WyFfnbDv2sck1pG-uGDiC1RO4yl20KPXEcRYXV13DMuqLoE7v3yHFPMaOa8x70vlQsNyD5fMwIFbuekaW_Qs_m2SqYPjX3xW-UbI3odoLQ8CsiFKz0W5dvIGpXbZeKbkhKn8w9V_Tm8
9f3ae9de,AX Studio,Richard,Holy Shiitake,https://lh6.googleusercontent.com/lY9vGm5pmt--yNPagj2yxkDz5yvyuDK09bQxg05wPUOm7IUWC6FDK_l054_TNTB5tFn2is7GUuPm7lKeDDuMcvGZ83IZHY-DtIiUi8EU_7lGTL8Q-wgHo97XjEc74qTfvD_vamxU3b0
db2f11c6,AX Studio,Richard,Whatamelon,https://lh4.googleusercontent.com/ifVCSwzKDk5_O09xR6x0HlHSQdvrLN6L8QPAIxTLHgkmZmnMBp0niSEq_PHpxJxtB-527wUsF9uQAexHyeDYJxQC_OscTDKn7Yb3jDUGRMvRYtiYoD6ucYPpUbCWRXe9HUhkf5UXLQE
21899f3a,AX Studio,Richard,Rudy,https://lh6.googleusercontent.com/xCmqCcR_Q_Jgh2sSZKCVulIVbOGb1MbuaAAusgtk-KgoEas06oGRAxqT2zc2aLitpbfJzVkEePwUKZO8TAAGuEdr2XMQZp34Whbw3SbGxv7xzmps3TpyWBHkD-DCbJ_AymauBsj0Bc8
e8f3f9c2,AX Studio,Richard,Snowman,https://lh3.googleusercontent.com/ekzEwG_jx_E-87UZoUB_JmLT1sQOiJGqTnOLJLFoiyXxw0PN1bLHeNNGaruujBpqTpqrpDdyNURgJt0Vaqq1EoSMzl8N-G3icLFDRNuGs3oIFzYetf4wnA_GS4FN0Qwdu8CIjnL48ZQ
8dfad587,AX Studio,Richard,Miss Ginger,https://lh5.googleusercontent.com/6c-sGhWCfiBgKf2_LLX-HmBmGvIg4Br6xhLN2Xw9_of7y3WF7xRW4pGPPUWiizMXGZbL4pLa-_2peUZqgYTrYGLoj2aO0VYtjPBlw2gR3ydf9TojfJs3GbJz3o_cGpQ8ZJRqiJ-z768
31d4329e,AX Studio,Richard,Richie,https://lh5.googleusercontent.com/AdnsJoYFaviwLJmtGOIeD1MDQEvBALFicyo1Del8mzI-qe26Vx5PS2_fLKrGu0cucgNtIdUxqPA1J9gILlyKF74c_V5_auM9NsrZp81R7cHbONX5Qb_3dNItCLp4fdxEWoz7MsXcPkc
