id,artist,sculpt,name,img
38651e24,Bad Habit Caps,The Tiki-Key,Master,https://lh5.googleusercontent.com/LeWD75VHVIg_MRfNKY4Ber6-Y5SkCw7dHgvPthmJqP8RMi6T8NoPeHraxldASI6IS0b3TZ_Z2XfVN_dABXPWKLdk0lavRt59sgdoY1Q8dozeNLUD_p6S6L-vcCigZdcVIg
2711e92f,Bad Habit Caps,The Tiki-Key,,https://lh5.googleusercontent.com/LWtzm6qb3q2EciRhlTpba4oycEJbtEqAOD7C8rvcqyCKUDG-AoN3SLXMKx340Xd32o7KIuQLlC8FfDtWmYabeeyNe5NU4ukV_0FuQwLtbs-LVrOkmMKnJDuLmnjkDIjHyA
8890afc2,Bad Habit Caps,The Tiki-Key,Terminal,https://lh3.googleusercontent.com/LnuVzdHWrKET3Pn6DUo8Mr0K-x5MtJbQ9pxV0-G6eqpToDhre3WciGOyb_d9XU7chj338ULCxUbgQFAQes19Ecjw9k4jWUS0M1HWkH_spn5l5HMGA_8YophUxguoEeUDSQ
3fe3aaaf,Bad Habit Caps,The Tiki-Key,RuddyRuby,https://lh3.googleusercontent.com/tHR4pUlUOVYsb3hrscJCkLikedtrXWvjjkHQ13y2yHDLFdiJAm-iJeSkSlAj8E1lzINIEcwUuQAPgInSmbyayfoLFQEulE0rHagRQ0l-DWhNBytFStP6s4BAGKTNCq1Izw
5208809,Bad Habit Caps,The Tiki-Key,HotFlash,https://lh3.googleusercontent.com/vywrzSphdbV-mlm1gqSjizOTrgYKl-XqxXIammz4MRUcgLRdp8py2eR5I0SQOcrnD-tnFCgfI79YLSucBcAuD3G8qobbaS-A_vSFXyb7xvxuhOJh3hiX3RjZrrLKlJQuMw
8c540799,Bad Habit Caps,The Tiki-Key,Singed,https://lh3.googleusercontent.com/sXK7GUZk_7EoofCUYLCHV9aPEopnJgOSg2rJbzcjlec83V2kdx32pD-Xr8WgmCGeONV1Ap-NaNjQFlsFwhWlG1QZpEF4C8BKx46TGbaTGXnGgfEKnVGXIETGABYoyuEzdA
e684c2b2,Bad Habit Caps,The Tiki-Key,HyperPuke,https://lh5.googleusercontent.com/w1ESwnvY5weJ0Ey1ulfuENk_NIgRyGhfRLhcexMQgDDYI465XFKSCdCSe6M9itEhpEp0WDVeZcM8kBSvz4n47HkEGyiAhdJyQhPxOTrU2NC5lHnhwzd4i0wTwc5Na2k1iA
3618184d,Bad Habit Caps,The Tiki-Key,Goblin,https://lh6.googleusercontent.com/PXc6KaM9v14UXSAa8DdKXxa8LehXR0a3vNntuUXwxGDygkQinafPlcNVWVA23Gpfm4AJymXNejc5KJaa94LNvlU28uUDeXJ0LYKuTvNlir4-KlvUD1ew2Jv8kDL93JH4PA
5b85c59f,Bad Habit Caps,The Tiki-Key,,https://lh3.googleusercontent.com/15I3wQXjpICLHd9qKEhbDgHBiYPQiAaHI0cTYOntX9W9xFOugeVH9HmpfiM8-BqHPeuO_nxKmvC0VG0w86shtCT-V1RQRjZ6rTsQnr2rD8tmXAC6ZS4m9SkyojWvl5ggzw
4fa252d1,Bad Habit Caps,The Tiki-Key,,https://lh3.googleusercontent.com/own291uBiJ5ksxAz4xsO9OjSZH2XWx9VWW5IeuwP6DsMXk0kafQpe6SWjPRw5IK0UtpRSwG1HwUTs1DY2KFRibpqRvYWXj3dHc6Eb0HcOGMup5jS4pr8cT2rF0YqnsvuZQ
60c18849,Bad Habit Caps,The Tiki-Key,Unit-01,https://lh5.googleusercontent.com/rAJPPFQrSNNnEkVz1l-Y1sRCdDbP-vZkiId1AXOErd_AdVbOzVpOKvlF3MdRCWu5lJMpkNV2ezNg6tmG9g_uF9siLyg4iXCS7pTFrykLHmqjOeGWjja52E3_TSZDMn5E3A
cf4d337d,Bad Habit Caps,The Tiki-Key,Tainted Silver,https://lh4.googleusercontent.com/5bRmpWWbqCRPn34YCRC8qUBif0PL4HVP_LR2IPCp9yHt4WL1K9JaQGvNy2nSQfHF703Hc0o3STLV1jNMyDdX3G5F0bIgD6RCPhoS1kGzMplXOBeIRCO427Ha3EsRptGPdw
be839f23,Bad Habit Caps,The Tiki-Key,,https://lh3.googleusercontent.com/5Rxc3Bq9NYEH7pU2opAkY-mWFzQXgGEvfqBQ3aTPVtKqXaBAFKWFm6C4xYfxy8YhmziixIsGdlnGnRzAhnQ6kstamw3RjmnWGC3l_hOgcGfnKq8taG-OLCIZqa3xq3-ZSw
24055aaf,Bad Habit Caps,The Tiki-Key,Ghoul,https://lh5.googleusercontent.com/DYiO9wKe5smK09F8Io0vL93Ozca8GPjgzji31m-X0wTSbR3ueyUvndYm5ah3aTdR9HxDVU47EPotKCtERyzhm7QrahDs1wPCGQUO8ay9UkgZiXyNl-qLUi84uGNT9O58oA
401bcae,Bad Habit Caps,The Tiki-Key,,https://lh4.googleusercontent.com/uRS04wKE-zT8Agjlqm4ZQeq3r-C405D39Ucz_MJcLGP_z9NHF2RqrziuQVHPIsRpqqaalD2hJ0WGVfIzYxAuUg0kGkvF7xZgVaVrBYMnWhs-zLp5wS2K2EDoVe7kbAHWNA
8615ecf5,Bad Habit Caps,The Tiki-Key,Swamp,https://lh4.googleusercontent.com/VWv9ocKY2GIfPF-fLBBewQxfD3BIeAE_SuFL2xsW8u9w7RIncDmcOP5K0L059FapAJiHXHx5ubP36e2wWPqGPE1cnUZvVGPrvQYd7GQuLnVdIjuG4LT4PeCtpmims3yrXg
6be8b090,Bad Habit Caps,The Tiki-Key,,https://lh4.googleusercontent.com/sirez1BzYLjj2eBSWR3mQa-UuHUQVyznGyksbmfJAL8YH7XbnaaV8_VY5KNLjGsU3-bXYoJaYQODZfPnTEvgix5b5RJU6FnEEBQVdSYyQZ7C5nftWH0vzrcZbhIYm78iqw
bb0627cb,Bad Habit Caps,The Tiki-Key,Aku,https://lh5.googleusercontent.com/1sFHS68IDtYWCMJhlO9NgufFAUv3ejplGN_ubZOFpfJ-GetZb2a6wna9m7yHeCd4mRz6dABwVnLxn9W8oPGa-gvtxozEb-mobSUkHjcTHS2KYNa0_2i_YE8eqD3jEBmCvg
