id,artist,sculpt,name,img
8344004f,Bailong,Hamster,Batman,https://lh6.googleusercontent.com/z84ZTd0Z34ddhAgqp91_3517NSMyBy5q8rWiJvt0tY3I6dwKJW-6g3xjL2-75sHVMYBLwb6kBbd-R8ataLj9Gtn2LYp1zd3LgDi2naxKcUouNuo2ZWTjWf3cdfIQa8zyksivtgHGeBE
ff0fd387,Bailong,Hamster,Camouflage,https://lh6.googleusercontent.com/vBOjoUFkA0ri05ulEge1yZJ-0r59H60FhmUEJyu_SYRfa81iHToO7DJhQBBtTHoZXn-XiBttx88oa6WmF1K_KaCB_MBZr2O9_F8SbjYyGz3qZC81nvJawqa2-tzhMnDAsb2LH8A0GWA
f792a70d,Bailong,Hamster,Clown,https://lh3.googleusercontent.com/98ozqSswSLsTGxhnkMUdt0oTh6Eq6jEWYp762qpM7gn6mixteX2cFE6TWZcYKP-ESab_oUTSQZiMYPLALwMqGFkD-0Y8LaLworzZ-ZqL3sCpg6Lm-w8g5iuAZqztLSHzHwcDU7HSDKI
cf2e4563,Bailong,Hamster,Cow,https://lh4.googleusercontent.com/fkilBuzi25cOVgLcZCO1O1iZCG0YNHZGsGplPb88ZIC6Ffmv1-n-uy0WbnBvW6Nz1nAgsKne0XzkOBhRZ8L-Hs-do_ywg9sHMB-l3N3Uy1tSn3yFSCPUBhv09EMmtt7az8gPjuFFNMo
78bb0fc7,Bailong,Hamster,Doraemon,https://lh6.googleusercontent.com/bsNI--qBzhdeDqvUSmC8lVcuhkQmpx-3K8_2OnDA8_F_mcQugM-QwJIOSeqtEFjX_jLtZDqDl4o14ycz4NtRdZv8JUKVaBGTa7nBKFIVnO07R0b44rhVErJgmfyj_Gi9oVwAwnf1-0U
e8513343,Bailong,Hamster,Easy Bear,https://lh6.googleusercontent.com/0B7RHh4XaBcAq9yqco76uc3uZ6Jn9jKxZB9YQN37oPVQZ6vZcijrbc-cqPoDqwIeKjeP9S2nkizf2HF6xWoLds-LpSp5N8Wv1sS9ZPUdu1GRAjLlys9vyUTs1fOq4fswHtn5ZjmyDKE
663ef6d,Bailong,Hamster,Embarrassing Rabbit,https://lh3.googleusercontent.com/YvL2RbteJSOiIi9KyehfOrQsA9I4JT6KmTt_Dwv38TF_c-FT6Ncpx2fcxEyA020MRN_-4bg7kVShAstFijjdCzQ55OJk-H_QSC4CAFulmNv0yW0fSqawx-9X2CPb2qKfMFkoQAIQn0U
df49929b,Bailong,Hamster,Faceless Man,https://lh6.googleusercontent.com/ypW-SHt92h_wa_rAwF9QsruUDOkvYia_b6gbb6cliWVoNfBdS98cNWxZpqoo0UHS6GZxL9canz3ugHTKKoeAE0DZ8xlsGXOB2ZajPlRilL__zgObw5mnML4XISlbjWSxTmj1w4A9PMc
44ac813c,Bailong,Hamster,Ghost Baby,https://lh4.googleusercontent.com/uLUzYRW0HghLi6m6utE8srJD74PPA8nsXeC2FqER3_X-TrY6TI1MuTYTOooPAHkEkV0dfS5thbfiNxqOQ5JbqdsNwLFt_YQvVeDsWnY0eEhpPeFWbAGzyLuj3xlBt5WN8Ox8JC8BYsE
b47ac43c,Bailong,Hamster,Joba,https://lh3.googleusercontent.com/SJRhGYJflIoR7bR3_iPMaTyB-EOSLhEycwFZ8kRjuj8wbUMortpbTg2BtBkTPeM83H3h4yvf1WQpMt796uV85CWT91gaGseP1U9MyGPHthdc6P6X3wCCLhJzm17Rx-JEINYmam-xHDs
