id,artist,sculpt,name,img
24d8e922,Binirias,Mume,OG Mume,https://lh5.googleusercontent.com/FjND5OHqLw4pse0ukoljBgqol76bTIJojSJ5n4kQn_wZ0-TtaBWIPN5xMT2nsvX88bPrQ7LSYhz9YAWBed6VsuHqi8DYQc3JE2oEe7In0RwRjs8J4VZ1VhgqyVozhEC29LHfdzo6X3w
7531b60f,Binirias,Mume,Virus Mume,https://lh5.googleusercontent.com/g2IJbcCPQGH5YKvIf6EWQLrI4U_t_ox7w_4DKxHRE44giV5MgrRCQ6IfF7X4-ewls5r9fXorzXSqQj83LynD8ADW_AzsOPExC5xtrq4lSR7dPooQcP48zx8a4_OTdUlB9N2zI2rVUz8
9371186d,Binirias,Mume,Copper Boo Boo Mume,https://lh6.googleusercontent.com/WZl68e9Ydu4-otYIGGNjIE7O6ziPEmBt-qS0PIL109EDCOK_sdvTctn_oA5xUDlSuaSdPGiVJoxcyhImMVTV2ImAjmbacxjvuAHsp2vUHhUyB0jiGws6S3U02Rr_KBmMP_RY67lF774
4fad9026,Binirias,Mume,Red Oxide,https://lh6.googleusercontent.com/tdt_SYu5xMpgUtLn_Cnbj4LTGxpcim9KuG_kkmmtwursjgRrpAh3nWqgU5cePvF-UX9LZvS76BjnzpWgfBBgaNZ3gZpElsZcIntTD4vTaz1F-VyWj_kRAnWvCfJZ4KhASVwz4-6KpTE
3421b4c3,Binirias,Mume,Micaceous Oxide,https://lh4.googleusercontent.com/gFBlXYLOkLQAm19RIAowOKMye-mSjlnZtZRWpVGmmPOjXOO6XftVjJWd7p7rV8hOmnciGZUCigUG96Yv69gLnIQK9l3Dyh6Xteo27HggebVA2ZdzUmGEc1qPQPaWSrbmHZeXmoDfYc0
5310be0e,Binirias,Mume,Pollock,https://lh4.googleusercontent.com/g30DnY1vk889EOpZGFR4jj3Q3k72PCUXPJGaaxzrsaGet2CJ-CEqOxfZZuSdfZnbva_cmCrV8v5m6X2tctKetyH_SeJuXErQ6ORPxIbGoIkmWAInOewK3Dgg08llKks4qxkBu3NBH4s
1aae11a2,Binirias,Mume,Blank Canvas,https://lh4.googleusercontent.com/tz63lk-rMO3BSeMMd4x49sjoLuByUrKFArFg8AZLVpHo-ddUUPi-LqyYua3FqWJ8-8L0UMG6pZOdlJpMM6IdhSIBgKMKgvcktpAkc2Crc132QYvH4eR-E0aZiyTw6rkHxojHOtQpSrE
945470f,Binirias,Mume,Fire Mume,https://lh3.googleusercontent.com/cgclufaQSI_dVUz5kLcNAHhjCSMvkCgiaVQ-ARUAJGtWUcWWy8Wa2K-Nym7e-8ws9KmXQb7VSCYQCUe6nbgzrGZr6IOE7P49ZQFUvn-BAT_8oI-tsAklFJPXmGqFzesKH2XOw93p5v0
35359b58,Binirias,Mume,Water Mume,https://lh6.googleusercontent.com/k6XQoOwhJu67oVxQFt0uUdSsU06p-KHA9Uj4AYWm-LdNdB17FRz6HRC7EOXQ9oHjEyOElJtlee9dRfDDCrLuS6Qqg8-tFyHu8XKjeJcYI_pP3F2MB9txew_0cwOv0uiGe5JCUo2gMPY
dd781419,Binirias,Mume,Earth Mume,https://lh4.googleusercontent.com/ninf0D3k6v6goAkO6X1kVF6pjwCi2Taj2825vSPJ31BMBX3LKu48vDQ_tdeeN5v16E2iLnyl9fM6wxGS_M4L9FhS5GFYQx5MUrj8R86Z5nWOxuB6-C43xgkWL0YHz1ZTZGMaozOiyKg
4a7f9c11,Binirias,Mume,Air Mume,https://lh3.googleusercontent.com/tx8vuzFVl53OwmcPGQChj31xP0VLk5jeiZBu4UBdaip42fUGp89VZ0eQDYxoMFs6caUhX3c4QBciYUKqQ9lSRndA3vOZql2bKT2mhY3mealXpXz0o0nsGqU60h9q1OvWECz6j5MHwqQ
be6e7ffb,Binirias,Mume,Bliss Mume,https://lh3.googleusercontent.com/Y9RMKOIMIatXGBeRBP6IblOUI2mpczkgKes7DSB6IlGixG8z2v6Cxki0xap5UF6iOc7TFQkSkvLDNQhU9tzYuV_z4WtSTouOGE0eN7qr5k_FFB0ghEMPuxUZbkdrxz-Wj1myv8twIS4
e194f0a1,Binirias,Mume,Pink Holo,https://lh3.googleusercontent.com/JFAYFKjFmG5ymKOGm45crxcJJMiCPgLYjTOhjWN3PbqRzjTxAsFy7QiD8EtWuvmeS3c4d907w3HkLmASQHhgJWGgedHtElXYOMy7Ldi-9Sb32tqrxJLIIG792o2D4O4bx0zq3CfLytI
e9643525,Binirias,Mume,Zombie Mume,https://lh5.googleusercontent.com/7A7fT1BNo_a2-lSOjke7-f3Gk_oIETpghu-8Ho8oMoP6ayVgUywwh3pdkwdWsLTTgNaL-hEB8A5Nb1i0ieGC2RARKigDgUVv6siTJXBcjewU8BLuhizE4l_n77gBE4NTNPbHZKZAs4Y
a77b9e0f,Binirias,Mume,Ghost Mume,https://lh5.googleusercontent.com/kZpiR-TY32XtrFGSmaAEKO60D6WMkWysF_ISaByuGBXwavS53tjXbk5GwxY38MaaauI9d5hhb0epBr2SNwAu3d3jKWgwxYXIm2-3Q-Jg2ZNhEF-gTni5Df5C4MAGi8yJ6tu1bsN_gOw
