id,artist,sculpt,name,img
651ebe72,Bludgeoned Kaps,Dante,Sculpt,https://lh5.googleusercontent.com/Dfd8zM0MLiJxfIMvZpB7n2QyqFRcP1ffY3K2buUM3XqZlE-32mi4kUD_-Ap2OKAuMazZenJFdLE36KB2kmsckVsz7QVmw7D55Kdkl-3RWd6sq01vM6xdoI4hnDZ90UCTA_08spCfxSw
50248e9c,Bludgeoned Kaps,Dante,World Devoid,https://lh4.googleusercontent.com/h09H6yVxi_e1JxuYehHCTlXcq4lMMEZM-Sy3evjhg3YCqBsW2p9RF_qylkgVvWMXc-t26kPL__yaXt77kgbBMUhbqCkSGv1YL8kpTaP-l2hPTzn3GmkWkE0VFPIJaF9hAA7BMKiVh3A
9b2ea140,Bludgeoned Kaps,Dante,Paranoid Android,https://lh3.googleusercontent.com/QPoDfMVGEocnapf6WL1GO3Ggd8JbSidd6tv-dicub7KVVRw_xdF_bhdQ_7EMpCovvAAF2ow0oEQQJy2Pjw2Y-6szhNzHTsDlhqgCLuiOflE4uR2LCnFPHoz_4qr5BWHkgiGeWCwHHO0
88452803,Bludgeoned Kaps,Dante,Particle Accelerator,https://lh6.googleusercontent.com/IAtC73Cgn9oGXIKM7NQ8CT3pUWdJ3iBrzajddt2E7JxYJ10Ujv1oWqebois8tZpGWi7bngwuPP3gl2RCOGlGpje7gskON8t96DHUOhVc1IygoUzU-Q-WzrtR747BfiWjXrjw0QYO7OE
29da4883,Bludgeoned Kaps,Dante,Death Looms,https://lh5.googleusercontent.com/v0vdH53GSKIeBNA-9nF3Kyro3kp3lYXFjL5_NPUul6um_1r096styXskn5KVU8bY__Ww6xs_0QJX4fRviZOkzLKZKQ6ykLuwDtyyV7GKdEAfM33plpSzue3M0PkpeaxDXKV1N8FKsrQ
356aba9a,Bludgeoned Kaps,Dante,Lecter,https://lh6.googleusercontent.com/IFgk9yICKq6yWQMgVE5phmGdVsGfqwjMGhp1Zll11bQMaINbGZ6jP9QyJEoQ1__5VGf0QQclkEKd6F0nU-tOWUx1AC9QjWf_69zbD3C6OMx6Cyvn79XvqyVqUFf_DaVk0KqT6PJYiaM
7ec9b645,Bludgeoned Kaps,Dante,Hyper Cannibal,https://lh5.googleusercontent.com/xtXgToSRg4gJ63j_jNTXzcCDZgTMDEYIpljMgjQeBIkDfWCcTwpJ8WbAtqxMtllBNhZ6cl7z1dTXpIv3Z2Pse9LqzSIftOyxQ33wVeCFotU-u5aby7-6LfRMmkUXYZeHzcUDy5rf1xU
4365a7a8,Bludgeoned Kaps,Dante,Stupid Man Suit,https://lh4.googleusercontent.com/6cdz2QKe4Rztj-iDRI38lc5xHODkhnpsXnaRmelftt498CYeSgWKzeujwrGTn4W8hrukyXhmIyXt8IW0_i5HpUQoPVxrsHj_wuIGA2A0hstwqUsCGAlQK4Qeks8wC4zGdfgojbRPDcQ
7a8800e6,Bludgeoned Kaps,Dante,Bread Democide (GID),https://lh5.googleusercontent.com/UjYB5XoQj6i_Zbvr82BFpSENeMPXTJdbrU5Ahk60B_6N8_-K-qpro4qIOMoSL4W6fYiL7b8SzF6I-w7iRGbHo3FGb5nc9ND4MBiMS1BdbEIjYSBQ3YwozTzPqxAgXmnkm6hHWl__nwc
6a470e6e,Bludgeoned Kaps,Dante,RainBlow (UV),https://lh4.googleusercontent.com/vq-xxMCo1z6HHSLz7xnF6y3341nMtf4JpgrKIHp9VwdrkDTtkRWFy4aXTTr8vkjiEjGK_JbfWVZpI8R_wOq7pl_zGo5mhp0cWcNU8IPCa0Val7kbsMGS0XxM3Ck9Sx_zCaynYsnUPU8
f1448c8,Bludgeoned Kaps,Dante,Light[N]ing Storm (UV),https://lh6.googleusercontent.com/ol7klK-ba6eawNy6pSCduhZDxNcfaiSCfP_D3kKWpwoIUFeXCSWsQ0I_Kyb8NYiBTZ7fyC_UaHv3Fb-lyxvejKsAzierlXjovrzaln3xq5GPqaOzU7JTqvDONcvAZY5MZEFvuSx3LwA
1d707bf8,Bludgeoned Kaps,Dante,Cease to Exist,https://lh5.googleusercontent.com/Y0Ul8TmFTyQVOAsQO3WM5-Z3sX6YFkN8e2nXoMRYItLIdJDXBhbFT02JHbXjdTERVpnnjY0pqofpONGqDkjyu9Jnns_MBLmJWE4akUy8n3YkEyoGyCjmnTrYN1IH_AcUBN9quf26CJI
aeb49bca,Bludgeoned Kaps,Dante,Lucifer Rising (UV),https://lh5.googleusercontent.com/m4MLQkMkQtfQtHEQ0rBRhdZV70-aongXztkeWagpcFZ4h6hPdOULAWP9-KwK-olmlc7kmK2i1iHahGxgZoZv82FSvM3dNzCSoGRVH6BrPUSb66TbJWQ9x0hl69-sbFmti8ihvNgVb1g
4d0bf2d,Bludgeoned Kaps,Dante,Meet the Creeper (GID),https://lh5.googleusercontent.com/MuEpHWQEPRi4fN5FO4FLbfNTKQszig02CozGoDZ8ptM3IQ6odLkhnY_ayvzJwsGAJ2UDuueVA40bdz4DqAnkE47Q_hoZkBP-p-S-LhsXCzLsS9azvuL84A1fKfyXHNnySvTKjj44HBA
dd3f8cbc,Bludgeoned Kaps,Dante,Hayter’s Gon’ Hayt,https://lh3.googleusercontent.com/8PV6IGiJOuVocOS8IR_mm12QV2GteYx9YLKDlMEYqpvOAMixBXDfsJpYhDmcRpW3xvJF3_V1mjCg39l82-ngQI8qwHIMksixqfMVCoHzuRHo2_e3BpVlvqmV1RjwRasjn732NbBm9NM
cad75897,Bludgeoned Kaps,Dante,Demon Treasure,https://lh3.googleusercontent.com/Q6vdbhKUaGHIYDYEOScRA0uj5xW8RgIMl2z597oP_5f--xMDzN-T4Nhm9PmHVHbxe2bKCkIpd4OR0WERTdMvcieNAM8FklPO8NrKe_VxjEGAoUJaHZb5zAM1U4xmyifGywjwfkPdUuc
c395a049,Bludgeoned Kaps,Dante,Deep Diamond Blue,https://lh3.googleusercontent.com/y8wfeIZGHPbVT1wIi88sgN_xzfBr8BXgrLTTPK2zBwmpC0BoLKKRnh2fLOkDaUqFDsgHpUlRNTqRCddSuB2ANo4i-JqL1jHQxx6uU6eZugJMbMw2qaLx-1a9-5qU2rpJ_oOoM3n27no
262de391,Bludgeoned Kaps,Dante,Brown Nose Punk,https://lh5.googleusercontent.com/Jnl5OdReanQZ_mVcrMlVv_cvkca41MSaifI15LqsroXku6rfap3XD97nIrMpC7vN-524kYiHKFNqXfGYKJlzVLuZF5N2e8KTIWCap6s1bBfzNgS4ADmL7wW7VWunfihgbkjOwsz-uRM
547e963e,Bludgeoned Kaps,Dante,Purp Nasty,https://lh5.googleusercontent.com/Ml2XU9JSSaW8gZvECXOAK329m_wU-UjB1mgkJib9nadFbHO6HIMn2wcZItlztJC7A4o-rtZM-VozvnEgyANvYa_2kpXsAUNM0oPdnKUXSRwhIwJ_E0F8sOsn-WKoCjCiacSnn7BcGRw
d6dd3cdc,Bludgeoned Kaps,Dante,Irradiated Gem,https://lh4.googleusercontent.com/emsh9arlY3FE0p8RM1aE7chDW6HkjJ2jEyHmKS11CbfAkOrHtlDKFC15X4DRLXJSDUUeD0p8Hk_-Wru4FFlxcaf9lNn9gVJ7TQctymypg_Q79NVXsqvggybwZSthsq5wZL7kxU6tpYA
a8560bc2,Bludgeoned Kaps,Dante,Cursed Gold,https://lh3.googleusercontent.com/xOIRnvoZ4J4t2_RymFXmkcme5F7rDuUvyTMtOqjVXlHzzN3CMVy2G6vsks79jB7DMr83hiujcDdzIbJQtlhzcNh3zV4zoInXO1YzQiYpqUldelKBmf5IkrDlmB38jQVVaLuRt2Ebyfc
185db159,Bludgeoned Kaps,Dante,Blud Milk,https://lh4.googleusercontent.com/WNfhvd-vxwn795xy1svYXUR8AxWQSlwuc-yiIFyB1rHUGC8TkHdoC2VdqHpTYi7AnzdAVNnz6AcPqBo0ogwYRBhY4R4varxLu_WzsqiVOoT93dD0PLWYGpSUsEu2byifS8R2BmyiubY
7a9eaf77,Bludgeoned Kaps,Dante,Blud Spatter,https://lh4.googleusercontent.com/Jr1BwyvBk9Ye4nn5Zz5z589VAmgYitwtfI0MlCiur8a3mvqaiEQsFq36LX5KSFN-M91y-PO6FDtzL-qLrWMB6uIUNAUpk_zLPU3JaH0_klsU-Cy6NFSks4y4M_-MlwI7VsmwGqbjj3I
d4f7926b,Bludgeoned Kaps,Dante,Demon Blud Snot,https://lh5.googleusercontent.com/gL-GhsbQ2JShfX8G1-vX0ioWJjnMqr98F1mUIHK98f9W7sHfYN1aLTnA_qlHLSXWk8xOMv5ecEko8QkssotiOhdELw6YRm5alcn7pHQb2Spt1eiCl7fLYf0E3WGAqHNySukeOT-HhV4
79c54b24,Bludgeoned Kaps,Dante,Proto,https://lh4.googleusercontent.com/ZT5IsYCeQZFa1Ja38Ht4cePK0yoKHNmWHlnbg85JzQtp0n252340ynSpa-KkaQd30N0K_GLck7SXqxzdzHgNLR41pEpFMB7SpRtfJjjHCfvfkt5cvW5JD-Ou1L65xazPPzBAqZzpH1U
60d80139,Bludgeoned Kaps,Dante,,https://lh6.googleusercontent.com/_sNOVnUEGhjqRMCTYwVDId3WNuMpoApREKkXbU3Sfu6VE0H1MP9Eq-RPQpiKo1vRWjrIpxb5Hv6cgmo1Kjdnwkz9H0c985hGi25o9yg29l-rISjls7mIf6_oxSlrJ0_kv4xMbILmHgw
5389a132,Bludgeoned Kaps,Dante,UV Brow,https://lh3.googleusercontent.com/cWAjfESTVxreoRWH1XF9xN_Lng0M1Ntah3daDYU81Db2nEn4cbAqTsYuhT0ixvI1GPdnWnNTvaHheoYguqmLYLP9OunB_4SvqalrCOb5xmxQ95PpHK5MiGjMs4pYo09pbEkYjJiMk3c
e0cc1a9e,Bludgeoned Kaps,Dante,Proto,https://lh3.googleusercontent.com/AOlbYl3Wgx8vWcOsTKoUOMQpQ6P0BDp938V-h_7PA5TvFfWMOym8fFMxBWRDac7OFoOMTfEci2xlZg65TjVQj5nVxcCXTanCXSfYc-VZeDBTJGcNLAkK6JIN5DElrtm9Xe-xTAHKqUM
7073070f,Bludgeoned Kaps,Dante,Proto,https://lh3.googleusercontent.com/fk2DO7nSZYXeR1A8DzJdzfpmbkDGTrxxODHglldaZqHl4ICRSthO1Mn90693QkXHcgRWRemnKsTg9Qp3ni_Vktp4kW0fOdNIdEbo1XNLweQkHt-g8WiqTi3KAEhYvsmK1zMgYOdRWi8
