id,artist,sculpt,name,img
ff291eb6,Bro Caps,Bowsette,Master,https://lh4.googleusercontent.com/PPvhcbMPMsGnspirwh8wffqjREtHUOA3flvKPnskG-bI85Pa1criF3wa0kxc1VzIERLbNjKt-5cLgDhdMnlfTbPCBMctYp41pie53j3X-GuQrjOkm88avrtuX8xCg-qByFEul-1JNQ0
6397e642,Bro Caps,Bowsette,Carbon,https://lh5.googleusercontent.com/Ip1n_UxyMgmpdMln6MkwKSiiiQse-tSVbMkUYiXV3v1sSzGOKUe0XAZa832DxxmlBdXyQdrUexAZfx8NAtbOMYm3EMCDHYLp9FqpKvilxuU9pmCuFLgnDklqMhpDWbbcP3nZqX1WHgI
d6744a,Bro Caps,Bowsette,OG,https://lh5.googleusercontent.com/45_zB7-e8szTJiqMXrsfdB_4tghVViIB6glnal38hzkXcbAb3u7786qIh0spZ3pTXbeSkQcyz12aBGMMlv_4FH24q9YbwLRRU1aEW7lO6fnZkps38TUitb1ebhDFYnc3IAzmJAXMcwY
2546c3da,Bro Caps,Bowsette,Eva 01,https://lh3.googleusercontent.com/edoNvdFkDOWXQd1vE8QncDaZKTibjBgB57K5GJSZvtMQ0kHupWSWpauUAAq4PJ07Rcg3k_tSazlSzHyR1KqPT0h-9z2yY880tSGxLg1b_HOqXS6urT08bGfYMMphbT7T-Qo3qjWNoLw
a77d9cd2,Bro Caps,Bowsette,Taro Milk,https://lh6.googleusercontent.com/v8Q1VlYSf34hC1c0K-HirlFtiMBM1FfD9MCLy2zbnet2UMk7ArAGC1FFH5oT7pTUsZzsoYOHxaefIONWimIJRj-2KsUwo4SCWH-kpFB8sCgnZgn61y-A3cPzcH7ulE2DWa_j4G-BG_A
fc800e1,Bro Caps,Bowsette,Boosette,https://lh5.googleusercontent.com/Ueqn8hUHa6OUB_D_Xek0oZdY97f8MLBNsXXbeI7mkrLRvtDJ4wyWw5aHpEnv9-SOKWLqEFhBqbJ8krtx1LXObqW9jDT1_jjidHMYqezOC-THHfDFRU39LWqZP8DjqgsAlkBSwh2mAWs
723401d7,Bro Caps,Bowsette,Catbus,https://lh6.googleusercontent.com/kvE1LbN68NumU7Ifv9pgKkYhCd8Bm_oBZfA7jjHRCyT95VG7upL8lUKTc5N3YVVGVU1_NU_n--Hj9A6Z5vRok6rbKyVqrP7xTUL6WM6BcyJAljvaqyTVEljcQMTRLXws15ie55tNdQM
d760f978,Bro Caps,Bowsette,Harley,https://lh4.googleusercontent.com/wbymfmWkblMYeBd8hdgfdkVXkplm-Ui1Bm2L9l-HD-1Z9pvR1zSjLyckcWjLpjvxMjLS8f7kQMHHAucv9y2eK9R25V0QRHrh1yO37pR4plRPIs7Vym5rLUeK7pfEUfeJGbUMBOHpbag
acd43353,Bro Caps,Bowsette,Raven,https://lh5.googleusercontent.com/QQDue7l_lyYym4gdFfwTkJrktqyHNf5BCvwNBS2-J9KRQFKJiGu4gxfx0fpGOTV_HcWaMgXfD09SmqieN0l3BMTLOj1SFtZvKvjBYmuX0G2vXpJvS-vGiy17v9VlbNd-LHKkhcm1_1Y
c44cbef,Bro Caps,Bowsette,Muted,https://lh6.googleusercontent.com/u2Bwyz6Z3Z55iNBk1h5WBe8UN6ESXb7cBB7_PnoBEuQWog394SEz59jyi0K9c0Vili8zFZtcaVLkjfxzsWM_2jMHM6artWCPyk5p4nkX_3VF3MOpqdkRTOWEk_WciuOERjjh3CdW2Q0
ce448942,Bro Caps,Bowsette,Doraemon,https://lh6.googleusercontent.com/eXotU0WmF7NhYBASDcajKdCwJB9rzjvMDYNXFKw2Cy3DdBBP_Kcxsx4JrZLDlZrcNkJr_VpDbQm7JQP-nwtCEXywYYN9yri_7kib3sg8FgH0rvu5zBny37Mubt2sbSYn2Q6u-4VX1lk
a924652f,Bro Caps,Bowsette,Special Forces,https://lh5.googleusercontent.com/I5Mq8i83q-AtIhGfxRBsvZYBXpeLf3b9fuxIvTgDD9T97fIIPkhvKu09pqhuele7IIpAu4WBXiRhwn1CPGywbuYby8mf-p__1w7GG1BuIQgXUlsRhaRQvV2ONDt8QYZJVVQpPWt2QPc
c74a19b5,Bro Caps,Bowsette,Zero Two,https://lh3.googleusercontent.com/Wn61Zl0FLSKbwCEoCDn9ytKmVgPfO4bnJqGZtcE_gCPfT6x2crNs8F1krEThjN5p7QypXuW018Hrmtk8c0q_TeYKeS3YCGyqpIKLzGHwlhjkYsyjgdedjoI2pOBlM34RRNdsv_dU_qs
8d42361f,Bro Caps,Bowsette,,https://lh6.googleusercontent.com/iyY7oX6AyV5jDkiQzjOdnwBLPyEVzOpqB9PDjf3-BrcD7miVrz0D38AOsNK4qa7Fo-ACMdasS21PXZ_CIlNeCmAKFm6WCevTBdNLJfCSv07X_eTzBgmxvfht2EtJCHV1XrnHoOE06l4
fdaf0246,Bro Caps,Bowsette,,https://lh5.googleusercontent.com/XoX0ORVxiS7WZA1N2SsdKxyVM4rkH98cLNlJD29DUCQdn9Mco7Iu25RzxoK5Sy5YX0oqVLTwpPtCGHrpWDBmQZqOPHRIJg_Hccfwsf7qXAKl1qUs7bB4uXkddllVcPIj5vXje-V9ZhU
e6653537,Bro Caps,BroBot - BBV1,Black,https://lh6.googleusercontent.com/gG6M8WCQE6C1Cbs9LA4_DF9Gb5AOwuXszTLhO9n1_H5qKmfCuahvNFp3TNmNLlDM5oA5Jx8bc91cKPFyXy1B08KvegPDf5a5lcIvJhyHzwtY12nDRffYqow1e2TlEBRZO958dH1gjSk
d2f8dfb5,Bro Caps,BroBot - BBV1,Clear Grey,https://lh4.googleusercontent.com/FbmZQXKwXgiPfJE3AO2_o2g8peT_gy6fPgwoncfGAH9Ra9y3iIw54OufUMZHnvIh0Y8Ats3O5x1PSnfLgFNOnmqIuipVDZN67DnLWNCOuNAo6ppjNG3cbbCjzoFY1Us453wZyvY_8dI
6844ee49,Bro Caps,BroBot - BBV1,Grey,https://lh5.googleusercontent.com/oAgrVCYpCuz2QqxmH4PkERK2II3QlPIyhCQhss11g5s3xEax9gD0xP1lhE5tGbgzuxQdwkP65nERCrjDl-0QfuwCTkGHDYMeQAoKc-5qyttJASmg8ZivcqW-rA1Qfcq0U0cS4d2DeyQ
af4cc10b,Bro Caps,BroBot - BBV1,Trans Grey,https://lh6.googleusercontent.com/eeJVK_p_hPhx_QVHTabKCAQRkhftWE5SOVxKLeYdecFMAFgiRFRKOtS3ABOukVob-FVM8Opm4Yfgcbu49gS_d8uXtPF-2qf8O_HIDcEfAUySCEB3q5RrXbwV7SIu-DWCJ-dkpqtQ7q4
d608680d,Bro Caps,BroBot - BBV1,Silver w/ Red Eyes,https://lh6.googleusercontent.com/FqZpUJdybd8VEiV-q4-4_X9Lv_zkhTP0eSJhYGDqXiWDDwDDPlK41oGoEeCUp61XaYkZYLT6MF26ovLoOr_-OtC1fLpeHKey6AhSVfFMuBKmiEn2PAIsDU71xpoXDTkqGOxMi-3j0Qg
4125acc9,Bro Caps,BroBot - BBV1,Trans Clear,https://lh3.googleusercontent.com/WOPvEYJKEZz0o7bFWTkTLLbwyPCXHV94mjtVylVgA-m6zrgaSuP39aImYLUyTpuKEnsLyNz5qohiSm_hpIop3rv0-KXBUTQyVdiCZyxJJsNq2jflkAkceYovIaQO3e3haEDYdeYTz28
a3baf982,Bro Caps,BroBot - BBV1,Trans Cloud,https://lh4.googleusercontent.com/J4_XOEw0_f1bFXXAep71qSqxOwXZmT_WDWNZPoIOaGhNn0AVy-619vdUq-dWdpJTKKHD_EVTVndbORC59JxbI0GgOvtkTAMPnhrJN2xAdRKeqmamKOCfbK07CrqKamYdnJRLFUY0uP0
5ac48148,Bro Caps,BroBot - BBV1,White,https://lh5.googleusercontent.com/U6j-4wVj7CQ6DoIrmX89fh3WPjZPlnid7BFqAtw_WW2zO65ABo3JxluKrtZ-fSZqI7RZPE3p7MbU37VUPiDyWF6iLWdm_DZg73DPOXIr45NVkZLHSYQ24ciV2nQCSZ1NMR5R_t_xLyk
87503e70,Bro Caps,BroBot - BBV1,White Rhino,https://lh6.googleusercontent.com/naA1TF2zC0HXkJ2811GTihgl49KyRGsXMT0le54f2FKXfAvCto9pmh9pBrVT9OCjuyvNNfiTy3vdJjZFHIaruLbJvNlZ7r0P74X05s0t3fg6bxF0lcwuWOENCAHADBsCz2Ajd9Q9Wd0
