id,artist,sculpt,name,img
94237595,Bungkee,Fuku,Frosty,https://lh4.googleusercontent.com/iR8B2oHvbT7JHiOpKw5BjdKaKcDizQXzP1tGFnBj2lx_feBpFsG3Fpb_9H9Nvh-GSVY-Y2YFmd44vWLbcpOc7cMTw8MnV7ch1XZo0fQtTIA_Xjhykr1KyzFKM1MCCHch2Vci9HzVfjc
9da99110,Bungkee,Fuku,Witchy,https://lh6.googleusercontent.com/0NQquytX7iEQmtArcDuOxFKp7ljY4ppIhmjCImD5WND3zEc7KrdtmN6Xcb_3W6HLRsNyL4baBxSJ6vBx5N92HjltOdN-WYLwPF4p2Azri1_zYV-4_kD6m574oA0t0pp8quioxlV7xCo
f9be6d2e,Bungkee,Fuku,Azuki,https://lh4.googleusercontent.com/U8smoZK_ottqIM4hEryp2dmT1mZahIi2Z5mZGTcy0VJjfuNexvE0gCIy-8Mz2vGYXf0pPNrzVRDMoBZe0clHhlOrTV-ai4_wfougFhwUTNdwLSd3kX20tF3v2whraibL5idyFSwSFR8
c3be501,Bungkee,Fuku,Mochi-Kome,https://lh5.googleusercontent.com/dlUM_mQcbUAyczubD_p_4jLpiHJscPWtsyRmK0YX9Tbmhb6W5o-T1Kzp56GggK-Mhtr1B5qQ0Fq0qu21_5SuqkLRxEGA9rB5ZHfJUcqpBXgh7ZdiPdvcQQrmIpS01hSCq33F3eu1Vc0
61210b30,Bungkee,Fuku,Carson,https://lh4.googleusercontent.com/ujm6aZDtEuol7yY4iiiAaHZFeAq95ryGWZVTkGDYs83TjnRhPTr7NK7TwJiRdxnOWttKMt1DKCuJtZk39W_BF41VhYuq_V-RcdlZGjaas9fnD_hl04UfV7JOcMVQGR28TLEZTSrKzHY
dfca01e5,Bungkee,Fuku,Wilson,https://lh4.googleusercontent.com/7BnkIF6mLESbmSQhtTLtiLfMOWH8l3vDZBeEKS7zG_fkncBrFSIOjjnV87x_awjVqnj0ZnpvxnAa7z26XPsXxR1qFNl1wD0mLxFHAgRFKm8iJOlteDhEBvA1SbxWBmZXlrczI4h_UBE
d4877d0,Bungkee,Fuku,Opuntia (Unreleased),https://lh3.googleusercontent.com/kJSblw9Qtl5EsvKdMfL8YyQunWGp6eKd08z2OHPw1iM26wC73E-CbDpooixOvOV7aUkkzQxze72onUSCKLMxG1szJuQhsXwANGNmEdxazwmPUeoMEpVRKPSxNmYaRQWs_Y70bWyIdoc
80a7d6b0,Bungkee,Fuku,Nebula,https://lh5.googleusercontent.com/th_3VcicTTtPC1BakrfrYUsyMqRI_cDvk5xQ0b3kq3zbIZQZ4VHYy4IwJ2GudMXr64OekCEsH-fbuJaHvIWAGeBuPLXaxhf7yizNh4whMzy93SldSfpBlaecBf_cbeMbutnDmAuChh8
5fa9e3c3,Bungkee,Fuku,Daphne,https://lh6.googleusercontent.com/d4e0-nsKI3GOkUjEWWPyDaRu_KtwLMJcDYr7iirpb2jqzxOCHqJCN5WihW7WJDW5nHn5PYBBdnU8ivXBA28uBH-y_iQ23v09Zl2T7hE_iYdcXzVAIz6OzEmOGiwnskISLLaDIrKWX3U
280acc5a,Bungkee,Fuku,Agatha,https://lh4.googleusercontent.com/75aNW2Z8KJowH4okW5HdOcrnY7u-7GzA5WScziShhjE3qxc24IK93jn7vKUT9cHXV9utSq5587yyyHkjHQsCAd4sTLVCK4dPQx34ebn8ZzTTbLFM6dIUq2ayBKVWwVl9a_2XCOT58uM
624b5b4a,Bungkee,Fuku,Pinku,https://lh6.googleusercontent.com/P4oa-pg35cnei6E8pkPG-koylv0xTZrHhhanrZEYSTL3nrI_n0pITIckCljnJ5YD2ok2PY1TQMw5R8c9zul6mv6DKAKV9RcDmVRqKsjd7UjhUskVSUDkFsa7SEYH3VmswqrXHDr9F-0
4d3b004a,Bungkee,Fuku,Tealy,https://lh4.googleusercontent.com/YbO8IZIFCuTsSj_05kDbRJ24iYHv4rE3Mw6pIPG2-sF67WwjEyzUVqg8AcpKu7tBWCkFs09ADdQrLspxKrGrDHaAquaF9bLrPQw_2icUvo9vCt4U_uGaN2NMr737aXjgBKactB5edKU
