id,artist,sculpt,name,img
d921661c,Cantoclicks,Steamed Bun,OG,https://lh4.googleusercontent.com/FjIl1L2yyzIvnUTuiQc91Z1Quyt1f-ophbwSzScW-4aZMq6Hyw95bpN2VJ-5Pf7H-J-UTp1iTL7WA3aD_bprewr-Jwu2HSP_IyeNQfhqkL-h0dKgUs0GKFlKB13RccRYmQ
7dce4e9f,Cantoclicks,Steamed Bun,Charcoal-on-Cream,https://lh5.googleusercontent.com/Bf1r3-DYX9yhxX6CXWWX5-p-57JFv9JMGwnC5cXo6Rb4rdNZ3vPo0eidQx6zI71rj0xzt60ef0_PKTJQe2fi5q2wQHTBW_dSu9LxE-L6y_jqRoDfvzSegIeoLlFbgdzyVA
629e1a0c,Cantoclicks,Steamed Bun,Cream-on-Charcoal,https://lh5.googleusercontent.com/L0rpIKnKKpqbM-5AsUXNppytuUXH1XLr2QVfF8D0l2eGzBvqpSmrFelveU1iciO1j5aPwrU_H0HXhHMl0sjGdBfnderozqmLvyYXUD5w4wisQO-9wityCxcfpfQxaUIYKw
45ee8cdb,Cantoclicks,Steamed Bun,Avocadough,https://lh6.googleusercontent.com/jdNmxSfbhyDOkncr-xQxgXEFm2sJuUjjgOcj35LZJbwuc_-_BnDcCbw-zCYrt0YKELpzn4lgeyhXmrQvfT6nQ2IV6YpGFnfl873LaU4P1LecHLcJ-aX0IABSFej0wh7oVg
de3855bb,Cantoclicks,Steamed Bun,Bubur Chacha,https://lh3.googleusercontent.com/4jlineZ3Dtu5vU5dnsEGk8L141-6NaEDeJaUxg4uHi9x4OUL1U7q3F-9uwic8-cBqMo1Bq_UYzpFtOJJ5UW9O4j9F1584aPWxX8zwOp0njgCrOvVnOYpK6jQGNb-cZeyrw
3eb2e005,Cantoclicks,Steamed Bun,The Dimsum Dollies,https://lh3.googleusercontent.com/jExCG9PEhVFkvUa_tePQTxkYB8IbpX4SIwLUkShdTY7qgLf-wJZZBN9uf1vCzbL81Z0DqpfB9PvVpgKUerJAck5yEq6rumXTlMrOktUOND991xWZTwVi-ytZB1-s7jN7kQ
5a5a213,Cantoclicks,Steamed Bun,Sāmon,https://lh4.googleusercontent.com/saVWv12GEsIYsmst-5FKkNBbOeaa0nghkiTToKKAL8Oru8sgtXEx20Foe1dsfkGCfwWsmsutxS51_xrOeTl6jGlmAibNaVuJDkxBcgWhsImD4146ML3gXWDt2ditzPvg2g
f443baf7,Cantoclicks,Steamed Bun,Dancing Dango,https://lh4.googleusercontent.com/KVplQ_JcDzW4gRC1GnpC7NtqzovApzJrDw9EyYfmpCNcFQnOdhDOIKZb4JMJc-fUJzPwp0x37GrRK9HSt-BhZCnouauJJZPUUk3QtR8Z0FRC-mP-l3RkxHZe6UFbdTB_7A
aa5652d2,Cantoclicks,Steamed Bun,Suika,https://lh4.googleusercontent.com/xq68fp6oxrrN1SpkU6RfaPjC9Z4WIbbohPzb9xtNyRibvbmrQD4HTpzrcAXTQS6YC9dZ2GwL_eVfjaCntewK2UmEiHduAOlDMepIQaIU0qtNgxtsRNwUEqHdm2GI92P3Yg
e6a22933,Cantoclicks,Steamed Bun,Konnyaku,https://lh3.googleusercontent.com/dA0bILsh02CKlugMt6SmMFNio_vu3nRpsDo0IMgJFHXnDVdh46drTHAFeOcPZHaYrFHGBSNlria1lfEmg-QcVTKjn8JX3DbeGuaXxLOH3O8v-cdPjGlY6U29AhPYUkIJTw
