id,artist,sculpt,name,img
417613,Captomaniacs,Grumpy Bear,Grumpy Bear - Sculpt Render,https://lh3.googleusercontent.com/OXZnRbHPQOYSDet828Fs8-juZn7jdamIC8GJ5ygLmqt8gNkiSjaXkLiWT4gvWYFmp9rxdMX7lFvw0ZzOcalpg48nZw0u55uGSYuFPdlOQyifnPl3JjWbwmsP4iTBX87pkg
72b7eb25,Captomaniacs,Grumpy Bear,Grumpy Bear - Rudpolh,https://lh3.googleusercontent.com/fHXUGzLKfUZTQb3noUYHmHQHFzNRuPcvm5iPfS1-RA8g0cNfmhogC1xHHhOuVtAhonHHmaBOPkjT2GzWAVee3oeDW2KG4Dw_akxBjebyCd2XRKtbvPjNOh_3I3aGCLH6sw
a04b9400,Captomaniacs,Grumpy Bear,Grumpy Bear - Romance,https://lh5.googleusercontent.com/qFngt0mwGCLHb3HBjb51WOgxIEodW6o4lAeqTZ2J_qIaT6wAV5eT7cOTv7Ud6pI5Dxa7Niz5IzQVik0mKNPo4h2wY5CFMYxq3ZXwh5XbWO_e8q_3ZWHlYRz5A_98NajQOQ
25b56e08,Captomaniacs,Grumpy Bear,Grumpy Bear - Mono,https://lh5.googleusercontent.com/QcliuxZCbDTgwbTfsal5915SFEj3ny8MH47rp_EGkOTDWUhVZ33Tgv9_wlxVlUHVCWSXdItXFyft_5h5XS2XRrZD9x_qhnv-_8P4OfWZS8N7GNkEwSN5d8-Xdet1rUzN_A
95c11515,Captomaniacs,Grumpy Bear,Grumpy Bear - Ocean,https://lh5.googleusercontent.com/Cxj4kLqZgzHbZAnbiCqDEcy231y0QVtNjMjnXNOcj_5uijYp9Y30HmyguYOTeIONHk6SQdO-M8reFFBc1lSO3vcZ61DD3lH6z_uVGmV5NWA_f_fmF9EE3KrkkSejskaTcQ
ae266e5a,Captomaniacs,Grumpy Bear,Grumpy Bear - Dust,https://lh4.googleusercontent.com/CAdwZybrlADOiGuAaZLeFu69FcH9P_T0p45zmc5d7KkU7Bs329OcKf1evWTNOViWdQgEWNNXGRF72ZWpuI9JjD5_kP5ioOeZMX_mprYjWozDtUwgiQgZFZVDeOhG1Vc4Xw
e17bfedb,Captomaniacs,Shy Bear,Shy Bear - Sculpt Render,https://lh4.googleusercontent.com/OVd0R3y4Ofxva3ZQULixbRGvgbLsRQN9pUKrH4QwmUrvPH6k6GrpkVDOta7g-8AVBdIsUa5gi-k1G7XXKNr1RNQI2fWNORaGLCQL_HHm2X-aZM2nIxc2L6OeQdtkxsva8w
cf79516,Captomaniacs,Shy Bear,Shy Bear - Rudolph,https://lh6.googleusercontent.com/_nYqLb8aMpmpV3mf0dGdhYPYN7yl2-GirZ0vkF0cPqO17kdUrFys2ksjMTIuJ4Fu65FtnkDhT_K6mOFZ8glyPle13JmG-6i3STJM-VKdEX2BWfsskvMHHTbeSsyyU0QnXw
30afec51,Captomaniacs,Shy Bear,Shy Bear - Romance,https://lh5.googleusercontent.com/q0NlMqZnnXR0useYDQSp3nujw1nZ3IU3zgGM6JLZqE2j6fAvkY8FVoUHtmDnmE-TsERrAln3KV7b0TyB_s8hYIqkXPVmTD1W2JeGgOPmlEE1rKch_9bd-41CSy5t4q2bxA
7a226904,Captomaniacs,Shy Bear,Shy Bear - Mono,https://lh6.googleusercontent.com/swCGvesmVyZzumr57lz1IyQUIPk-yZ8RHgTgOT2Rxs9A6FtR1GseecAFo8EZsxVizDhw5ZauYmA39Fs0JitIEqKc6uHfWgHJ1BCkbaplTdIAWdVPwGZX3p5JpLzPcI4-Gw
2d7e8e1a,Captomaniacs,Shy Bear,Shy Bear - Ocean,https://lh3.googleusercontent.com/zPMk598_3FQKFhSJJ8lLEuDazYiiDbB4YOKsRC5hpXE1uW0DH1SQYDLeEAZr6xCjSiMoT4SjAkgqzgHlgXW8aGrchseI-Db-1aR60BqTYTGvoxHfMN0y9Yimj90yYBOEig
