id,artist,sculpt,name,img
29424bd,Clack Factory,Tri-Color Skulls,3D,https://lh4.googleusercontent.com/M-ezld7EbpodqOgQ7jXAc_2prIfznAKQG-CGhw84IjVOvaQFZ2K2cHCjhKsvVp6PkBqSrnwfez8pVlORgE4BIKmsTLVDJVMHm6UskT0F5G9yS70MEitE4fW-f3LBs7E2Eg
fd928a4c,Clack Factory,Tri-Color Skulls,Simple Jack (unofficial),https://lh5.googleusercontent.com/JQ9n1-WizyfG7-UFpMwkRkqoMOu5aaPUY3VJaMbFK3aNBPvnKGfHYeqFA2bU3PYzDdexpkUgrrouiDWzmNBJs7DTmEpTNn2Oz1K4zuYext7ZuiEW1e_kXyXZpx4liv_xEA
92089009,Clack Factory,Tri-Color Skulls,Candy Corn,https://lh4.googleusercontent.com/bwcM_zygC1XfjxKgImhGwyDXqHz8CnxvOBf03f31NmAKhjyobRCYT9W0IC-f3p6HevBv02l6zxl4xjn6yt0h1UUIS3zbxD3JsMNusWkVpXEzN9RcfeEzip8eTa6-SPlG6Q
a71d8632,Clack Factory,Tri-Color Skulls,Geek Hack,https://lh3.googleusercontent.com/uOwuNfKoWEYIEx8lqaOh1p8NE-u4espYj9HbXQ8YRhPx9VUajnjoiUNyCv52Tojj8vfH3cks-NODDb2GLTIBFxE8Yolj3a85OHGHZ9Wu4d0v8FySe-3NQNqxFZ3IlTri1A
7b4c6f20,Clack Factory,Tri-Color Skulls,Herr Freitag,https://lh6.googleusercontent.com/AOgYqDBrqELZ7Z-vIB4gwVRNvIP3BNpEIjE-6U10iUTOvPv5uvBKhrZQBkg0KYe_j8Nekrj6c1n6Dn5Y8fBPb_gf4tXxB-p406NXdFavUEnWrlITNVJlQjD3s-7tnA26AQ
f46041a9,Clack Factory,Tri-Color Skulls,Jack O’Lantern,https://lh3.googleusercontent.com/9xNyH6DRNYjIb7awDMGgTg6U3CmcgaaU-D_pWi6TWbFxntta0ehOAPimCKxDCqa0jqJdcWl0VlOl6Jfrp_Y0MhV6KMvWagK58HWTSZCsFQ9RfPpCudl52gJB4ZFQ7Pt_PA
b13d5a67,Clack Factory,Tri-Color Skulls,Miz Kite,https://lh4.googleusercontent.com/L1izBEMQJF0Tay18HID9HWnhwOsyB4qQ_Y2ZrhE5XX6srg52K5tKJYYBJo_YKsV_Vecf_5S1JxQKapNrwpg8znTXQyODQofWQe_9GTy-WcPgSobB46S3qM2m54NI5ujIyQ
c40e6586,Clack Factory,Tri-Color Skulls,OG Tri,https://lh4.googleusercontent.com/7gNE7W1V-IhlfdpdYcE8U1lLVcRFlL2OVCdexxFVGz1e7Qig5NExQPo78tLq8eQ8yujtT0-kq45-Ttfp2hHkBflXGDdUPsD3sEPKKORtvDecjqEk8kbZpi6XURpXup5PUQ
23a09a50,Clack Factory,Tri-Color Skulls,Rowdy (unofficial),https://lh3.googleusercontent.com/P2ZZ0rL8bmjg4fYNNKZtFBDleQGiXFqNERFzbl3vH81md5vBLtPXHWeEArEYM7iczDXhSACQ58L1djPtUlhJ1UTlNzlfd6uSytSvdqWUcIei88fkrjCam2Um7zpMHv_-Mg
5a7bab21,Clack Factory,Tri-Color Skulls,Salute,https://lh3.googleusercontent.com/Ogab1yg1GLjJPigDNZqvqFXjNQWYEa3S0BWk9ADkoLK2xR2GMm2jP33YAsPsG4BL0UacUSyewNDGzacaFN5tjPCrRrZtTck-MCXwBqqSf9CLbjZJCnXX2SIUv5aNrT5NaA
a75de19e,Clack Factory,Tri-Color Skulls,Skullsicle,https://lh3.googleusercontent.com/bUJnA35rkWqsJroQ3wqSOMpybjlJycH7aJ9hPL0zr5EzF0ckNuAcGlrhfI82FO71oRXfMDBwW85Puelx9Vy5-G-ddWbm05W16ykUEicYUeA1mVzkSdpC8CbdoQBojq32gQ
5f02dba4,Clack Factory,Tri-Color Skulls,Spumoni,https://lh5.googleusercontent.com/Wu-ChgQNGbx116_FTlC5Uk_xVJ9kXxgBiwlxN090Yv4iob0PRBEArZBVt2Cd0Bq7bm6R9s69d3EFNW8W_Tx-hwvCsH--wNvliHR0NUMyeRqh3QlgSvzx5SCLCUl5av54nA
9dfb4293,Clack Factory,Tri-Color Skulls,Tri-Shark MKI,https://lh6.googleusercontent.com/fRDLghZryt8B2fTUSOZUzBo-G8YOMFLY2m24rQ5Yq-E_oy1JdL5YailUEP-KNqcQbDlTEQafkchDLj1z5WhHfpdG3sksjxDaZ_trOrKD0YN3OvdsdG00ij37sFOYVPtW5A
3c0c7f73,Clack Factory,Tri-Color Skulls,Veteran,https://lh5.googleusercontent.com/ccMF4k5_4aY9myaJ8yK4c7a_uxmm6aIDaqop-lLzMtu17CJDneLLLdLoqDGImiEgwwJn30TqwGabVP-ZXUYaydA7wz_mE4P8U2NfAAADmfW3pYQlexkWgJGLcgfMv3KWeQ
285a6aeb,Clack Factory,Zwei-Color Skulls,2/3 Prime,https://lh5.googleusercontent.com/qpW2edQobTe9jNRReis7Tg_qgthunEfvVd053fo2UuX3uu2TF5soOXbcOg1RnvoXt2j2S91cImjbTUW9490fZFUDw2B6ZTHQB3PiqIUlAz4p92trJwIbMUALRvJ_LGPPUg
58715925,Clack Factory,Zwei-Color Skulls,Blood Martian (unofficial),https://lh3.googleusercontent.com/IrU7ID4fPaGSzH3snnC2XLYwfOMMZ7tmGbTFydOrMA4uZOgxRMi_UEHAi5h9VIJZ8AzTVyx1_TwNAQxWC4nFOrd_4boQg2Xw5cd69wWOfmI-qXwB2NwPWJtVmD_nRFA_2A
305f35d0,Clack Factory,Zwei-Color Skulls,Cold Blooded,https://lh3.googleusercontent.com/RYZdC465g4LZvWr4jIM4TUMKS9JxTahbIETWA3whngD5ThaPR_J9j99Pc23-CdhcWhs9ymenYOXgPXxJBm8WkEcrTy62XC0oIwotOvb7k1Hv4IBhCR9gl6erONecR93pPQ
435a5373,Clack Factory,Zwei-Color Skulls,Cold Hearted,https://lh4.googleusercontent.com/H0qbNF_ihXhWn90FrOQQ6uT9IQG0UgIcbtFM9dFtHhHOAgEPJO4DlHFGD34Dc5Ane3kdu8OuD_6I38DObZvGIPDMi1yrs55-Jb5xKc8aPLu9F6i0Wlr0cfMlvo79n7t9tw
468f11f4,Clack Factory,Zwei-Color Skulls,Drunken,https://lh4.googleusercontent.com/GqMXLBw7kHRfrYoF_PtG5oDOS8VYHuPh9AOeRxlDk4SWofTtBfIBqCh2at8kvUJ6kL2E8P4jtfYbp2jAcr3VUPdEsV8rELMnEYKFdxpgSuqp4aBAtd2ejU7RBNp3iJLLHw
a20f6805,Clack Factory,Zwei-Color Skulls,Drunken (Faded),https://lh3.googleusercontent.com/6pp6WyVN6QDIN8h0JmKfCGQzFr9P5KvZWLRTmM9iXAOoLiGjx4d0NWdo8exbAJXQ12KP2XONJht8m6m-s5dFGJ5Es-wxlu4qDY8XXKqyXk35VSFb4WiZv8SP_BfilP1IaA
ebdf880e,Clack Factory,Zwei-Color Skulls,Enviro,https://lh4.googleusercontent.com/otTfKGe9ApIxC-5smbpAug8IzfTAMy5j_5_DBwRsS3qJ9g5jGT3DIARwADnji6dWNm6ue2UxmHVr4nWxspN2towTL5xMur6h6aTBIdM4lM138V2vDWwldhbP8KFV_2cOPQ
fd68dd3f,Clack Factory,Zwei-Color Skulls,Eva 01 (unofficial),https://lh5.googleusercontent.com/2kSNIedvufnc5NgzHLX55J8Bi7SbN5Le3qmlHCeps8xezBfPicQQR00wXhUD4hjS3gRAEZr9rf7DXwMzT091aH-5RUpSseZbUK89lPmmVpgmna7jK6pGO4pDSXSMbchspA
f8bdf334,Clack Factory,Zwei-Color Skulls,Eyeland,https://lh3.googleusercontent.com/ocU7fK3hQvPfV8SfjuDrlUt2Cs9Vz1fmgap3wXEaXQ-1_KokOi6lCgTFHYOG-mdmagL90G2HGUpGgbp3JlUnZGrxMgztMFisxa4jgDgy_l-xdEhaNQ0LSFweZ0TdaOIsoA
38815dab,Clack Factory,Zwei-Color Skulls,Faded MKI,https://lh3.googleusercontent.com/n8YUTxB5SnaB2Semn647XcuBn2Nzyj9WNgNe1TNT1W2ljQOudoS_wMU5l9Hr3CWRPxWJGsTVw4DWV1EKMsTDYtfMnNbxmx6RKCIcaT9QrTOqeZQOCpTeCXqGwPuHAkr0Vg
a7ccbfd,Clack Factory,Zwei-Color Skulls,Friday Jr.,https://lh3.googleusercontent.com/vsL28qB2RHtAn9RIIP56sTOjYCD34F9SHm13YiMrc9frBQiaaUOHYgv1UtYnZ9OlEbc98Xnn8SS-yJx_7caXE_eyraPy5QVDZJu2wYTEL_MTEQu3Bl7_Haeff7WtZ4tyMA
ba5cf8d5,Clack Factory,Zwei-Color Skulls,Half Baked,https://lh3.googleusercontent.com/eTC00g6u4-6FnxiTnyDU365dMNPov6XPSI8c8BkEKi4L7_RcdGU_UYiCG8Y-VDwbd1cUhy3p2Q3gY-u3I6ok40btfDlFlZAKtJljKE0muVRXug8umKqMGW5shz_5IsnOgA
72432149,Clack Factory,Zwei-Color Skulls,Heartless,https://lh3.googleusercontent.com/ssI_B26EnJ1L8DGU4RwBsRWPmPEWx1PN_C-AbpLAndpUtpnUZ_p8QskVndTyjcVd2ibCuBE13MEKbFi50ziUUyn65n72V9KX0iPRUMiniBLORGW0eEOALbrFmqfDOeL72g
f330c98e,Clack Factory,Zwei-Color Skulls,Knight Cap (Unofficial),https://lh6.googleusercontent.com/MP5AdvJeVL7hrlUpfVOS_cAQGjJ_0GajN7tw9FkQ9wwVBk4L3T_kS6jQmXJB6wCfT2xiZ3PlNrQu1I4bIM1AN2uHmblIa0VS4R9qjmE1dreFxFaVZBBSKGvQFR1gl78O2w
44e89d34,Clack Factory,Zwei-Color Skulls,Mr. Friday,https://lh3.googleusercontent.com/2exZWk3zgIQmCJqZ31VW7X2sBpaBeQylGzwXmE7xFgDxHy3he1JlnkfBVXL4QDd0RbFo_qEpsQXqYxF47icOZXFtYZg6vbzhqfdXBHD-Gob0atUeLwaVd9P6OL-hMjPaMQ
c09e84f3,Clack Factory,Zwei-Color Skulls,Mr. Friday (Black Eyes),https://lh5.googleusercontent.com/zU3492F6QlSq7hOcSzeU7V9XRROdx4i6uUihXKc_kqBmA_AYTbvjlDgMQa-tdDX0bY2pmZ3uKYNG9DCTjLdgfitrz0QaPfsmfD1VIJdT9V_e0TgBDBJKTkhcZqhFiGseMg
22744be0,Clack Factory,Zwei-Color Skulls,‘Murica Type-S,https://lh3.googleusercontent.com/ltv4UPWPdK-rmZurRYo-lWhuKkcrDay6754vQNKDzQmkswLH5MquKaAIEGsCswtKVgs3df5DI4AmidevMCTSP5rQzhYZgrnPZ7yVALPdSNApLx_9z5QXDNiWsl29M94UGA
f0639981,Clack Factory,Zwei-Color Skulls,Night Owl,https://lh5.googleusercontent.com/TwXn3cLmyAeuUkjJUahQfaEAof4GNqAk-sSX5ugl3xfj6Fm4iQ0-ZBqFvY_BPe7BiOaqJjmHbfNxn0KsdWqDdYzLjh2cnrNVuk3PqVSLBodIq6hdGWQ4p5SEyziO7ppmsQ
a6f059f1,Clack Factory,Zwei-Color Skulls,Night Owl MKII,https://lh4.googleusercontent.com/X6_aYn8B7DensvzHWNGaWEuhAbbQ4XPHN3h1gXLHJ-SJIbrImb7vLKiU2Q2Hcdr0doDrpvQD_Xv0OeC27xaJUHBBz1p1Lmd3vup0m2sDoEKGY3hOhLovra4YsjT3DGD2mw
