id,artist,sculpt,name,img
b88679f3,CozCaps,No Escape,Golden Snitch,https://lh3.googleusercontent.com/Xpi3MRPa3DWQV0c1utiL2XVZRTxd9P_FAge_o0__1Vll2zFhd1YnaHXqRpUnjZecIZvvXSSz-NADV1Qmhk-_sma-rRXz9N2dYYPLl6h3hcGIf6G6A5TLljvN3BE4ZoHZa59cARwmaxY
4be9c7e7,CozCaps,No Escape,Lime Sorbet,https://lh4.googleusercontent.com/yseILtbJ05Ui9AkPrjrZ9wTGXYlJTD1Lg2xrdwZrZ_CcLRtp8D9YFZ29IwFKCS3oDtO_qmd-9Dpx-XDnu44FFMrhdyTQzP9NKWaM6_t0U7BaCm4YjA5dZHIsR8paM39gEVa6KTjFTDg
d3df05c4,CozCaps,No Escape,Red,https://lh6.googleusercontent.com/lKM4awOAot5naNwVOC2KMu6yyfUbEeZTYwdCxwfwDjUo9IlQ4ELTwESbv93Bi872QGd73YOsxsBfLBKlIQDjbHu666Y-7Dxn_VWymhfZIXLFhxNTSssBtvy7xWfi9DSDwfduiRf-wbE
1338c72a,CozCaps,No Escape,Forest,https://lh5.googleusercontent.com/nzYYnQViUruVNx5kSlJn5I6U9XmF7KrlKQ9VWTJ5P7R2YAlMs7DfkXT2GW_flcxj1aRcwRPZzVuJHSe20Y68imIiry4ezH9n_PuWB35mot-cxjBQUGDq1YdaBXJU8iLTS_IWWMtnbNs
b7174ab3,CozCaps,No Escape,Green Algae,https://lh3.googleusercontent.com/geVSd968n0_u-pvoOcIRZ238r_RmL87_4Umc9f1-9T7Fb1bXgt2zBdB3crOY3ZgiMQ9JW4kGzibhQpZb0fWXK3pHoGmBFXBlMvHLfS34_1eVn784onQgR5mLTTEyjrIzAmH6qM3bO9w
e23c8962,CozCaps,No Escape,Pink and Blue,https://lh6.googleusercontent.com/y7rmnQzpN3G7GCYZH9sus_u16ugq9MUwJ93rIXf7nKJZA07i54Os199fVsGn0ls3O6nzMhJ4IJMPwCjvgZidqO7dXPFw-YLfv3UE9C-ZVVbijhGYAmEosixoIId8KFkQ6D2cbzPxD3w
49446330,CozCaps,No Escape,Stormtrooper,https://lh4.googleusercontent.com/r_woCBfJyOXhatAOcngvNcBjqjOwMfVAb2T47N7HizzMr4h1PbR717PQ6xLLaxNcxea7u5gzQ9ibhCm3XOy4eajcryfQqHirzFjiRXwNqWTDICRmwURasYsbe7Z1qIjeAJvE-lJ3zr4
459a9d8f,CozCaps,No Escape,,https://lh5.googleusercontent.com/Pq-5QzbaHtUddP06Qm3dhXJQbjuDAUBq5EgnhwT0Xe7GW6xpeN7hSE37EISq5k1Cz8MeQCXoCJ7O1ShVQs9oXYMx0uM--0KBKWovsEn0NHz7z3gF-2ygs2dpP-lQ9_E84uH5qmHnZ9E
5c8c310b,CozCaps,No Escape,,https://lh4.googleusercontent.com/qFrag3oiIe5Cc2jOqmaDqm7SIYXKuktD98qcxNFy62UNLU2TY1UD9oN0u-MCnCHmoHdJAxLjezl0tkgqRBD3m2BnLRLeGGP_9JHJrJS70KE_gjxtebGiJfZ47ykD4YJUekoue8ZlqkY
bc47037e,CozCaps,No Escape,,https://lh6.googleusercontent.com/gV0T3EsOC_yfrZUMME6ueDmzXI-INalrfvVGcfJxmkFdx6DBoX61_WUQqYF6h-BTPGyEcQV3zPDCTI5Nvt9BMTQcuCJHtLaLE3uzXXTdoewxgoy1Dr7Vort2P0-OQ-sW-8R4Qaf7v4g
1143ee35,CozCaps,No Escape,,https://lh5.googleusercontent.com/vdNCeUGvi89NFM2o49JT9zeOMehMT9XPqhHDmWyhImjDHFaS4YbLRxgJ1p46ncK8GQLhv5IKYkNDPGZ74XbTr3wPqBgeudc3LBQiFZQRCVZ9g1PkcIESosQfEqc5YEQvLn8tukPDOTY
4ae38bda,CozCaps,No Escape,,https://lh6.googleusercontent.com/TssRhU_EUdwNm73Dv3Gn2gsuqPOupGUrS8x6RVs2pfAYLBdzwxoNlXNX9vkK3goo2cHDG6l1Oya-18oE8JIDi2tG4uiuRzj5l6-EA1RBwqgCiK1w5a_T-oFWMyaX8_cSxkhmwdYU1FM
dc2e2172,CozCaps,No Escape,,https://lh5.googleusercontent.com/PVsHvmKKmORE1VeygYHA-Y6YoWJHZZrFrxoQCbBDl-Cdbphy8Wux340JfEqvka6sazKJm4J5glbPsSuckfMxfZen6v52-9J3D8EdP9vfImodhBpjC_fuyV2Wfde4S91Do6ucJPRyjKU
15ac19ce,CozCaps,"No Escape v2, 2.5",Master,https://lh4.googleusercontent.com/BkLG4fFnDmMZMW5Q-TKNTKyEh2GRMGocDuhnek3FDcOywOIc4GlUWRsduL2XL94iqHVlWsKZT2OfKYGGSKqAOA5YS9T45j6h7sWm65f4yS7TZcw4oBGwf7V_q-a6iY2_oJ0ZMX5h944
62bfa811,CozCaps,"No Escape v2, 2.5",,https://lh5.googleusercontent.com/boIm8mOPhX07kQl7G7Gc4SYf72bPj-_YiajYcbZYNVhFmxmh0NhGIuPAsL4_HElFx3lae7FYaqB8b58L9hoGv_hcFl4D5YmggOrr-5LcrY75l3-jMaEZubfo1hpy9hqW2HCqHkjLn-0
a216c32,CozCaps,"No Escape v2, 2.5",,https://lh5.googleusercontent.com/1P-qcl5RUrgOESc7YWZwujb2uGdTnan8fenRSzCEgQ0mhBxIi72ZOoYD3BOSC7n7DXAT0zrqclvNo_Hd4RsqvVdhsBvp_3UDluupluPqrtkhPyFDgiTiCQT1R8J_VuvNjEaODXaNEDE
2de47e4c,CozCaps,"No Escape v2, 2.5",,https://lh3.googleusercontent.com/1xjs9WC5NXLV4OC9YOAX0ph4uF6UFWvQIo72wO0j8Wp5pGwMoh8-qEO0XAW0D5FrzRt3I-gP37ewM4ByAHX8QTFLW8a2sglkwS20x5yVn20pd22rVndJvIiWIpI83jNqnwkfnpTMRFc
14a6caf,CozCaps,"No Escape v2, 2.5",,https://lh3.googleusercontent.com/ATCp2LJnn66k_D0JWSidHRvdYbyiz2jymK8iG7xZvd9kj_LUqz89FfCcrmVx0tmLMy7FHTJre4VEFJya-JHZY7tKW4uJHRUVH4sPz1jm3yb-2_W8ixlxPly6oi3D9Sl6qCwYXGp3dHI
7e3061b8,CozCaps,"No Escape v2, 2.5",,https://lh3.googleusercontent.com/SryW3QXqKwwzKQ9OnGmu5_QymfXMkgxVyDt5iV1AM3FWC9Ki5QmGndmzpv9PAPvAo3Qpk80y8wkNksdJDRsVXjjdTDtDnt4H0DeAKMGL_mZ5YskfDNVWbMqwjVCtGT8XnWXBaRBu-f8
da2dd32f,CozCaps,"No Escape v2, 2.5",,https://lh3.googleusercontent.com/JPYS_Uo9BKFyrkBon3H4sT8pl_JIPI4yUh1pVyBRPDYpOC6DHDkuCNCC5xUGHdRVniKCygpEwI4svRuHpB9MsDPpHR5DoA7wv5isoDizonKsgUs7e0RzuPJgV9Z8xaWXN51ii8IMpl4
23f627c8,CozCaps,"No Escape v2, 2.5",,https://lh4.googleusercontent.com/9SfkHXikrdi1AZPaJ3hse_Zo_q1Spzy2HKiWdwqLZMG4BWNEPHhEn_AGubo5VC7jn1B2t_q5VNqDjGTCiSNfgVPPKkaErTXqoPkOOGN1fSuPKSorzxYTfafQlHaj_5pjpWFlY88PoSw
28d94500,CozCaps,"No Escape v2, 2.5",,https://lh4.googleusercontent.com/CSEUo-j_vK9Z5n-TQ56_KxD0hCHw6FRcT9gphBtVJaRQWL4Sj-wOYyy_RhhtEon6Dd9CzqHOKdVdHOckl67TLBE5L2yveeGk2PoKeFDlmXsG-0w-VRV220mD6pm65v71M0jg_qNm-24
aa7c054e,CozCaps,"No Escape v2, 2.5",,https://lh3.googleusercontent.com/-TeY2WFG_r4i6ehWI2PvPfQQQKUoPEGrE_xAbqLpM9wfcM3wR00PaJWqi0vCweSYsVmz7EAE_JT1cNdExr7HbEeChtr_xMeIKK_NICg86fv72I9lX0aMHTUECURrEciFiB7qA4aVhlk
d047eeb9,CozCaps,"No Escape v2, 2.5",,https://lh4.googleusercontent.com/NaiaWFRXTc6bXFypFumgHkdk14VNilcdhT5Iv9Z8SGqUYSwgPRnT_oBYSBjBKS3P6ID1NDWV0fXLQTuxKLQN67BN999gn_LHdShGNPtEWp8d3dq8c-xa8KPS83DietjfO-nnDKTJl3E
500e2914,CozCaps,"No Escape v2, 2.5",,https://lh3.googleusercontent.com/0idwNUKpeBbUxlvKP0THmnr7RMH_A5RKA3lKSiWagn9vDJnwDPt-4AfcquVV38R8QZSfxsC9t3wen9lt9iZXTG0HEXOcQnYI3WY1lTM4D4Evbs94s1wvI93deEIfRSWZySTo4k35TLA
81aff195,CozCaps,"No Escape v2, 2.5",,https://lh4.googleusercontent.com/T4yDYB6wf3EbwhkiVWCmYa_cL5OKleUplm5PfQLkdz9X9fZy7S1qKDu-6uhMQkUwO11TZXRtWHWu-PRajQygkzxmiHuQCl6owcZ2DS4lUfKhQ57zw_5KdDRF39NwRR4MfLXvQolRM9k
31869e32,CozCaps,"No Escape v2, 2.5",,https://lh6.googleusercontent.com/d2hlUHvDJWbBYhxpZjBmTCq2aVXUuACs-Ropgd6urDsavF8ESvFK0bAX_VnwKXnIGvd72j9z9ujfuNH2ZnqgWDOipZgo02oNhXJTqwKYRN7Xqgh3LUr_n001GsxqLGnkZERReUsoZUM
a093e725,CozCaps,"No Escape v2, 2.5",,https://lh6.googleusercontent.com/zbKNGZNMnhCyvkRD_vdncRgae6vMPMVjXasc_Qd9jnS5yteft4Dz3VwSFhF5Z9MY77ee1WHJWia6XHkEfxC3UcR8J5DEx-cDg8rZCfO5GofxJNKNgD7UZjm6bVZ5xkWhANBlyo0iQFI
