id,artist,sculpt,name,img
a7320458,Crystal Pieces,.Suptonia.,The Origin (crystal),https://lh4.googleusercontent.com/cwYGwKZeZzFG83PJf-QuJCo3i8-xbc5qlAqao5TD1hUBMv0j8SYpvMA9ImIDeXkqSPdqfQGkIMtlybQOzLD9kQ2YnvdhoRPfFvNi6BBCjpm-MkPZxxN1EQnLNGlBGDQKUg9owBQjfX8
9f1db420,Crystal Pieces,.Suptonia.,The Origin (holo),https://lh6.googleusercontent.com/uJk1l0gwt7Mo5EGBAnbD11vCwHKbpjuzBdUA1EuiegrqhTvVXS8ZwSI4M06CygiSVbWdFN-6Gf2-M8lV6obTWcl7BMH_20IJBvz8scTUUmgj0QvMoK1n-wIIDZrKvFQW8jlr2svPhL0
4c54578,Crystal Pieces,.Suptonia.,The Origin (nuclear),https://lh3.googleusercontent.com/Fkt6Nhvyn3OWUBSR0t3c3f53BCbPQZiqOTKX722PUPJmbtjH_AErrW4gq_RNcCJKSq9n-Lzwv18b1vty3LW3gYnB0AVsKGsDiRX-WVhprGfoS0nWtSxLHj4MevNRSWJ78Z5BTLMb3uk
c8386f3e,Crystal Pieces,.Suptonia.,Supr1nk (crystal),https://lh6.googleusercontent.com/xPZu9Vw3OzhHcJb9q3mE9LA0AjYLw4V6Z64V8jS37JtOfQWYAcCRV_ykJVFKO33ti7Ydf0zjC8vY-Spl-sszisQR57tupfkwB5OgwAFaH7kCvvm9uWh-QZqIqLAux3YSKUF2ylWfvAE
8f357092,Crystal Pieces,.Suptonia.,Supr1nk (holo),https://lh4.googleusercontent.com/uZrpQWpLfaCsYmppijUZtOCg22rY3fqpWxbYYQ9Rt4IeUdz7Iu6VgMCyPawqPrwv3GnZWTYSmaWfj9lf_iznSs7d8Ix5Z3WMOLKI-Cz1KtvWowZP41wArezddgs6yrNgbEBBHx_0RvE
b3b0c980,Crystal Pieces,.Suptonia.,Supr1nk (nuclear),https://lh6.googleusercontent.com/6w-bjkB4XOexWU4d9CxUGQ2AzkK2WM7_mdHBcthF3lGhLRN9AQdvDCF5m8TtUOuhGPU1B6PfDoKZ9ylCNV_1Smn-OT1a03rMBIvGygKN9t6jHTfwNfD1PteNZeAuC3zSoD6_gqEP92I
dffb0a82,Crystal Pieces,.Suptonia.,Carbonara (crystal),https://lh5.googleusercontent.com/6YjzG1vseWjSLUTgX9YjS8IC6FMqfKZH1CUQ_hkfMeACVop_DbO-Djx9tUWoTK-8mkHo5TUHRcTSabTs_X1_g7vPamHz94HEE2dFOJaaXwLqK7m8Eq6ojetJcujIFLJI3kPY08HT12w
3cc38ddd,Crystal Pieces,.Suptonia.,Carbonara (holo),https://lh5.googleusercontent.com/dDKrt5pc3fAiHJ8caf1DM6S_gV7dycEhoYj9yG7XNqfEQ-R_m_miXJsY9E2mH0vVLZBQOytjB6I9Pw9aGOkqJylTvGPqqGturObKDO9Phd6AUS4wG_UhBiqCqakxfJMq7fDAw3dFaIM
9d96325b,Crystal Pieces,.Suptonia.,Carbonara (nuclear),https://lh4.googleusercontent.com/D7Va2LYXYJ-wTo_9_OQKMm4sbF6kJEdGmGnAf413tW8nDt8D5eCqPD9kLECyLS6sLnzwm56avSYjxOuZ7tQVNlWmUVaAQccm8gUpeluas8wY7PMmawy1OhvgmlGg0de_dfauIPp7sEk
ad06883,Crystal Pieces,.Suptonia.,Achromat (holo),https://lh4.googleusercontent.com/ryVAqH2wAxwHk5yTl5LwSEyK61mh55GixBbNPa448jLGS9-2krhFPUiBUHsbxWzV4InHndzg_2RBB_Ilg2BDAnCHAI1mjM0LiTHJtkcKDcf7Hed-2YXxMAzyCGrLsEFlowCUwqUVg6g
