id,artist,sculpt,name,img
313c115c,CYSM,​Keyby,OG,https://lh4.googleusercontent.com/4XXyG-cnXY7X72qsCCk60OSLJEk6KT927bNCa4iI1lT4-AGQL0Mb2CT3m5YBG5vrdXtQ5yP5i-HgovTfzh4KEj31yDte-lQVbHyk08kgoh7-X0o1rzCihLGve3ZB4fhNGVDuN1vTf6w
26e4d9fe,CYSM,​Keyby,Green,https://lh6.googleusercontent.com/Xs6pqSBRJNXU4XUaIFiQUL-nWpMlNES5ETfbqcm_vYHslQPy6ndIHpn3owtc26Yi1Ed9vfrTVIgesEjkX6zJOFXWTVxizyaVS-8Xkd8mow7-0a7xCSMBbrEHUSKxpt_8fhg05lmMQVA
bbdbdcdb,CYSM,​Keyby,Blue,https://lh6.googleusercontent.com/ZRZ8Zu-uGqiNNzHN1nqFE8IN571yb5Ghk79UNOl0SJWs27fegubg6e6ZGXCv2gQ7RsejPtYubVvNdqsUd8P91OqUvmXOjtWhVW2UggaBHCpIE2n33Mcs0pmlCvYMvoiEJiogRsgUBfc
e94696e7,CYSM,​Keyby,Yellow,https://lh5.googleusercontent.com/FEYso9zardXIp8HKg85mPRUNf2c6YXjj9yqU8TD_qUap5cS5a1sp_HmFjEwccRDAgrpF3GXLZ4oFIpM_GytbNX-nnkLEdIG4ps0KP0Fdvujj-mOzr60ggD7Gqcu0oxfJVPi5SRG0F-4
b4dabac,CYSM,​Keyby,Pakkūman,https://lh5.googleusercontent.com/EGuEu2HpFKBbYtcskY9kCEgILAYsuMw1gSqJnkon6g6DDMgEuHKZcoNwDmdLeLyVvCq_AI87J9unjyNDI_x6nvZKelcWJNjcsZd6aCaMcTky0Bn6ogrgFGN64vot3bxTqrpJ-ncBmsU
7621a7a9,CYSM,​Keyby,UGG,https://lh5.googleusercontent.com/WjTg7ZEImHwdbUa7vQpsyQ66XP6tJcHYm1RBnhwYtjHLyCuRgHlJ75XXG1pmoQf9tw-Uh93xbwZimNd4aly8oR7NbBf6TPQD0lzEphrz7ahbBGrZbAswf5Yd5wyUIb6gCk0osJ1R73U
e87e6c06,CYSM,​Keyby,Chicken Little,https://lh6.googleusercontent.com/z9uwcOaSRa2yxEpyI93vLHOnG94ld0nTCmipJ05A44cEApFQPP4_6k0u7xU2LH8LV2aKL4Ia1DMeafp1E0p_MaMG-QjU2haoP5oBf_My1D49tTBhvRGyc65Dk_ADY9gTadfSTX8IEHk
6bf92406,CYSM,​Keyby,#fcfcfc,https://lh5.googleusercontent.com/RIqb1SIbLXRWvv04FGxPGCnStYgOVLth_722B7Xzv8hC1hRVLB89NpI7ceuq4fDoav4A68HyqbTi8QKS5gIwm8s90g3hqISUbv4APFiKHGNLGKdFscJTNkp85mu6gz-KrMKbESLRBGA
48a6344e,CYSM,​Keyby,#cfcfcf,https://lh3.googleusercontent.com/QEPtA9YC6gYGSRJSNBstYXxpg_yRJuCLNnfes_0wJeZxh9rSATZ_DNHKM5moIJG9F6Oy3b1U_ZCiXtrwDoYiC90Vb2-zwV0VWxTuBrUQAo1khVoOGmtyEN15OeZgDDmTU3EjOIlJSdg
788bf31b,CYSM,​Keyby,#FFFFFF,https://lh5.googleusercontent.com/k24e0CSci1XB6q-_hgVCJoZ7VafHhg9NdD157MMYlkrRHS2oPhWWS85foiDCAlKICpgkq89rkePehHhQbC5zTiCF6YYJ9JCnRPv9qpeC5gqQB7eHqxFAVGVuf_XAKV2mV0-hIVTN6eo
44ff400c,CYSM,​Keyby,#999999,https://lh6.googleusercontent.com/vHTyQz0bAvduIEl4fmdRZvefpWMzqbO9tyOsYRthxIXJUJYJDjBz7RCBk9eivAyn3F-UnO_SJLl6U7FGMYLQLnuhqDLXOMFmXs0HFHJi-cDROUuCzUm0h2OAhbvN7Lej0dancvwYkdk
429be40a,CYSM,​Keyby,#000000,https://lh3.googleusercontent.com/0nLS225SRL4dhfEnY3eE_uw8d9SwKddkh73Od7MR_y60rd3hXoC91fWZcw1pJ7eun1yev8CuQDin7VPHljb_Re3S6hvdKpUbxRy8s54nsKrM-b6uoB2g4TPEK1LLuVqO3dVCyC_IINg
1573504e,CYSM,​Keyby,Mooo,https://lh6.googleusercontent.com/YmVcC_aIT1Kg9NgvAqgZxtM6gjwdBsDuFXkTMI9TUs8frxqqWSBT0qtSNZedTefh0ehed4RAXUwDt83yqdYncSLEgBOmB9H4o-_BJYEKgpNbouuYVtau1P3oVkhYL-i6T-K7u-R0LhY
1f2de6f8,CYSM,​Keyby,Emerald Star,https://lh3.googleusercontent.com/UzhmWZe6lC5AO9VrbjqXK4EIJYQo6GwrVwgumfPBcmFmCwepwli_Men9vQc-Y6tbiGViu3HzH5PN2x_uUts78-g6_nGTHdhwg6NRPc3Bjl7t3uxw6g41Clb1-Wv5_l9WwQvaYXy2aAk
25e74720,CYSM,​Keyby,Sparkly Socks,https://lh6.googleusercontent.com/9sqaUoJc-PfJmBv4yrH-YsMUZ1HpfziqHvU4ZkfRUEzt1iOjZok6fRbeMNvtWt-Q9N15BrVXBkeRVvnQtiYw0WERJ93I1cN4p_S_hmfEWSzaNVcmT4KD7704zj_gCuhJbso20XofB_M
38a4b9af,CYSM,​Keyby,Twinkle Toes,https://lh4.googleusercontent.com/yLTB5n7U6E8-rDkIWgPIFBbWFwbJhdloi-Vv5ced9XPtrqVnpwqHJ69IM3wgyvTD7k3b97lXsFopCpMzKwvRnfdVUP8mP8BdR50H2wL4-MieJC2EkkBTFB7YYPqHgv04UeYmhHlDWUs
73b09744,CYSM,​Keyby,Rainbow Sprinkles,https://lh3.googleusercontent.com/omO9j5_SE6_MnbYyF7nK8735W-A0qb1QxzmM_EDM8cmAwBQZ1ep342MyDnB-bJ_gKMEFYPtKjlheS39gRZNOTI-GgX6vItLNNmKE5RUwWDx_5ExD1YOqfqkXoqRMJhggXWpGkXc1VyQ
