id,artist,sculpt,name,img
22113850,D.Slime,Blue-eyes Toon Dragon,Nebula Purple,https://cdn.keycap-archivist.com/keycaps/22113850.jpg
c9d555ea,D.Slime,Blue-eyes Toon Dragon,Steel Gray,https://cdn.keycap-archivist.com/keycaps/c9d555ea.jpg
ace25fce,D.Slime,Blue-eyes Toon Dragon,EVA 01,https://cdn.keycap-archivist.com/keycaps/ace25fce.jpg
3af2c787,D.Slime,Bubble MCfin,Sea Blue,https://cdn.keycap-archivist.com/keycaps/3af2c787.jpg
ecf36bab,D.Slime,Rufus,Pearl Ivory,https://cdn.keycap-archivist.com/keycaps/ecf36bab.jpg
1210cf46,D.Slime,Rufus,White Ivory,https://cdn.keycap-archivist.com/keycaps/1210cf46.jpg
adfe93e6,D.Slime,Abaddon,War Red,https://cdn.keycap-archivist.com/keycaps/adfe93e6.jpg
2c4d30cc,D.Slime,Abaddon,Dreadful Green,https://cdn.keycap-archivist.com/keycaps/2c4d30cc.jpg
79c5149c,D.Slime,Naruto’s serials,Genin,https://cdn.keycap-archivist.com/keycaps/79c5149c.jpg
7da0ad2a,D.Slime,Naruto’s serials,Six Path Sage,https://cdn.keycap-archivist.com/keycaps/7da0ad2a.jpg
217189b,D.Slime,Naruto’s serials,Uchiha Itachi,https://cdn.keycap-archivist.com/keycaps/217189b.jpg
1d97bf9f,D.Slime,Dippy,Sweet Candy,https://cdn.keycap-archivist.com/keycaps/1d97bf9f.jpg
8de6da81,D.Slime,Buns,Ruddy Brown,https://cdn.keycap-archivist.com/keycaps/8de6da81.jpg
