id,artist,sculpt,name,img
781038ae,Dalifu Caps,Frank,Sculpt,https://lh4.googleusercontent.com/TjRL7_BxuTT6XlpYkhbnpoRZkn2ORCCAUU-Bv4-BoVM7Pbp55Bg45ctUijAV983u79GvT5TBhVTGvtPAnpi2Ub-HCmFLcg358Qf7-KKMyspe0UnFqbze07zp96CO-M1MC_lxTcWAi1c
185cbfbb,Dalifu Caps,Frank,Gold in the Forest (OG),https://lh5.googleusercontent.com/ECAnCoPeO69kQqUUfagln9KsecAzB0s4mxBHsf5dKHj0LXOcYXnkSGOBrSZ1_UcyHki5Fq7au-bFyVKK8b8KgsimA6pS6VQMf6FOKcADEKTdf33xwB2LxH_Z5kTsVfnyNzzFtRpLA5E
d6a6e1d,Dalifu Caps,Frank,Bullet Dodgers,https://lh5.googleusercontent.com/kuP34vYyWOtJrlD1Q-vfUmqQg-JD07Y8_7vVe6Z5DKsDadIugcH9TNZAIEXzesWwhkSBYwg5AEEk2LNlL9aq7-Fu-4HpWtHGdY9i3DGsw5ugZ1mMToaHYjlu6SAnKMd3qb9xLoR6_dU
bd01c7c8,Dalifu Caps,Frank,Put A Smile On,https://lh4.googleusercontent.com/Hi8n9z6muNpkk7UM7S4GqeAJ53o1MObWoKIpDXKLCCGD4IgUryafoWH1_dpoUW99-QkfhFvaL7Nvi8crFhvYRob1S6aaNtcmTjkCSeW856GKgxLjuXwI6BKvU294QPuLC5DR2tUztcY
17f0b782,Dalifu Caps,Frank,Bold as Brass,https://lh6.googleusercontent.com/oiroyCKYy2Yh2SrpogVn_7pr2LYFsAEdFiCbu4uv0FPilIbuqapiqDgJpoYj-tk6zq97JwAP9in30UettnS2tFh-6MTBAbPMddkgOeeClRwe-Sdg3iLBrv2NNarccNSkFuRWV5Vji0k
4cb8be87,Dalifu Caps,Frank,"Cipher ""FU""",https://lh5.googleusercontent.com/15kj98sOShm_nTTddECX3OkR92nXC6-sSgcqZStGW-0Kyx2EV0hiCzz-Z9CEoKW8JiO3ougEDK7qpN9vL_vkqlfYhTSewLCMTI_LcayeQoifbHY7e5ODzZydfPx7WJoYhhiA1o_xOFM
2aaef6c6,Dalifu Caps,Frank,"deCipher ""FU""",https://lh3.googleusercontent.com/0kRZyNZJ_DFt9XkyJZ37I4YKVfPIY4y2IN8RtNuhjZsXW3r7ikWq57UqRva7OwzaapCXT0x1D874LRNVre50JZE4kDV4bgF0whExZr-jxyD2IlSS27NhdZFxU55Y_kPhgrc1WSW9TZM
4872a6ac,Dalifu Caps,Frank,M.D. Ron,https://lh3.googleusercontent.com/YbMWcdE0O3H93GcOKD-NA-jneXPzFMNXxdmJ65W9YeFmM7ir0_sKCIt6NVMAWxYlwGJI0zoQymApwscvH306tM2l98QLgLCk_ph9pAu_sCKc-fan86LpkNTQieKtoqgtOdO2brudEso
6434b56,Dalifu Caps,Frank,Pass the Ketchup,https://lh5.googleusercontent.com/18PId35cCALfC8DTXPxsZuiWIPxuRm2y0V8dsj7KzFChuuvGUQYVu6yv1Pzs_ZjmKlDD9fuXQfTBQVcDIvv7x6fMCy0p64WSi96G5MmCMvkPoa6UBXDEbvBrAHXaN-d0Cy4caIaq5xA
cf8117e6,Dalifu Caps,Frank,Closet Corpse,https://lh4.googleusercontent.com/sBoIFrLCUrBmsuapB94icJeyPndSjf7N-ccPDphI3Wrd0Oyr8F_b2vMfDrwDgc48KTkWQP_WzYtAOOTPyLTU7QLtHOTBgV1_n6fK8bubscjF5qGKiRz5XjsrkXTeUONT_oIKSy_cK1k
3c8b0c13,Dalifu Caps,Frank,Green Onyx (SKSS’21),https://lh4.googleusercontent.com/j_Yp5yzBt-LbiElgltyHUxu9oIoXTTy3shImEey1HNejFgNqFr6F0XCQxh8mqjDo4-G9yW_Pd2BvU9mN8m4zw_3OWLdWGBKaE03W2o6Lf4uP9fgWvKCEgrqScxfcVfOTvNehu1yxOlg
1a763b25,Dalifu Caps,Frank,Sn Wootman,https://lh5.googleusercontent.com/alPX6CEEsTonb2NRm3h9pOrey9n1fD2_pc4lVCynVJXWHlSbYbHvGAcjQJwRJsq_UFinD6pC53eBSYV-huXfHB7hqesKyGOtsky-CiXW-U2Ung3H8kfkxoa5CaU4lZF3TA8tJ-GfLcw
a159307d,Dalifu Caps,Frank,"34,969",https://lh6.googleusercontent.com/0PnPZ3ue9VfSpAIblwmBced_lCszgTbsSiDLeg4NEjT5_JCyK49KQpXN015ffS7uxHLWWwsr1fjYFOGpkMbqCq5jLmu00vZ7tm0Bjx7VC9Fh0KriXZPfBBD61C98ZueKwzRHHkPcqM0
d87af173,Dalifu Caps,Martian King,Sculpt,https://lh3.googleusercontent.com/urFJgbP7jA9rAa6wXOhqD-EZsylHnWP-SknMiqkJx_WOhRmUSbMKCSIPiyNg_VSPByQAo_Mo7PE1gyZ9xEESATnysI_tobtNhHIvx8bRvGsytGIkQuJwAdr6cBEwvSkxJ9LExSYTeXA
cb10569d,Dalifu Caps,Martian King,Blood Rush (OG),https://lh6.googleusercontent.com/swvBCdMfln_5alGXaqa7yxNtXeXPGZIBH_NKIOWoaUSRMU8gDPhIHaIOCDzxE8ZOd5kl6FNzW1QyFXvmQQa8547kUt_Km7VQ3soVNGeH7hqMm7wv8XD0Bss-DkvF-AGLAblAq_okv0w
a4f18ad4,Dalifu Caps,Martian King,"Cipher ""FU""",https://lh4.googleusercontent.com/vXARp0M7TPvfo_Rz6nlK21PdeezFO1EFv3yVQkJSBNzInLtTK7VK1d5zAR7kA9Dd2TBPSKuGs-4PsL4wZrmN1U9cJpKcpxRhA5WB-BnIcL4npHigE2yQtEXbtX08w54bhlAfZmrNrXU
7ec2b71a,Dalifu Caps,Martian King,"deCipher ""FU""",https://lh3.googleusercontent.com/_iE-ip1QVvJfB-1-JJrc3LH0SagWvFd964YIl6V-Y-nuIVfK5nSQEsz-_WbNKwVxOrj7oTFt4Pij5e4v560fza3erh-6X1pfiORZAjZ5No8WGhMXC2dk8UutFXYIGQfmfKzWVRMkzgY
fe9cfe55,Dalifu Caps,Martian King,Fast Food Fridays,https://lh3.googleusercontent.com/KyPkMc65xntUHnIjgYHLE9QPC7wRyyuy0BAdaN-MoPmIjbMM_p3S232mrX3FEB1cBtS6HoglI3V85CYA0bEeGBWjYJ4BQEHRAEgTBsBRQyIkToNYr5VvsTk0EBE6j62PAUBUfRTnY_4
65739f58,Dalifu Caps,Lulu,Sculpt,https://lh4.googleusercontent.com/HX1G4fZhcY1PZoiWoxb4hwlpbh62hCSz7VlBRY7a-e6nQ3rlzuuyFq-9pfYhK0rqCi3JykUYZ2lPSP4IX-xi0EjgMPPGAlED7irCbEAIgqILBXpDu0G5TKDbAAiOF7V7s3zqsAch2Ws
4205c1c5,Dalifu Caps,Lulu,Cu (See You) Petunia,https://lh6.googleusercontent.com/f7Ehmqgrpn1V8wGmne1IEANethV9hTQTdAtq9AEm9j9PAK4AuUXK__Ewk9bIP006TG8P_NqVjO0HIJQa7HJa4rf3O1oFSwPt-FPjGgFJpo84fZnqC3ikuTfDQ08ELN0QpEi4imyhd4E
