id,artist,sculpt,name,img
f4d84561,DDOR Studio,Summoner book [?],Pink candy,https://lh4.googleusercontent.com/UkcEX740JE16yoaCnFBB8TNwiLhKo0UVrtZJ00eB07gWxOJL9mkZ1QaSnajQuRU-7lfk4w2ksBODeW8UGDpxevGP5wX6KGG0yVhovEW-MIteKrAR1_7vakptFYiEG6MwH5Btgo9ssvQ
d07dd0fb,DDOR Studio,Summoner book [cat],Pink candy,https://lh6.googleusercontent.com/AeR_2POZPS9JXT-waDIB_eYaUZKweKaCG253FjIMTjeMgvz0EfaEMTyorFjjl2RhOefjIlZPlNTtI2yJRXB-FwnEzgyXRQ-cXa_IU7a1lwRcu9XC8HbTk-vB2vweGSjrq6o2K-AdYlc
c61f36dd,DDOR Studio,Aki,,https://lh6.googleusercontent.com/_AT7Jb9p6aJWnzphJdY2VFUU47ASyj5dj8D_IR_wJeIJFLTlLQLJZ9Tkr1Wh1GXZMZ_t2loGTiyc3tjIdBTX1fgCPTg1ztKfAqWHqrM8YrMLHxMBt9APWWxX1TSDXDrjP6R33byepHo
c571da62,DDOR Studio,Aki,,https://lh6.googleusercontent.com/ijE0ITXn7Kpep3vXW1mgCPLP1LbYeAjUROF1m_Pz0FvGOT30zzZS2ihLHZ7nMkGosOcrSiFlGbXfqaw-U4XAzjwp40KVayZjEZ_03WGdLGheAsEuQ6Fmt-O6NPYKADnDOO4GM0sRSL8
a567ab6b,DDOR Studio,Backpack,,https://lh3.googleusercontent.com/IAbtnlzCy-6m1f-giS_jNGahT_TvurcXujwilz8KoQyKZowx-7xLT64K5FCx1zsnM9c001FXHxdNJvvrqtcF1q6zPxZn8IKjKys29pCI9XmFO3Px3GGkUg0IBPozPzbqp54UqRiVetU
d66139bd,DDOR Studio,Backpack,,https://lh5.googleusercontent.com/ZVaU3uBQ-67Wz8Qe2Rtz2mbWFo-TG1yBC1LtUSCdyXA_5T8njDsWkv7J5sEYa0Y15J2_iMoHpSw0k661_gCMYOizNuJXpaF6-93zBOT-8tEwJsmuGND95WEm5R4uyXCJbgUYvbVhel8
101913ac,DDOR Studio,Zombie Hand R&R,,https://lh6.googleusercontent.com/MXQlEs2SwrQg-9SLyAliIOpHkc9ht70SVX25hCQEzFsk5TfTuJcSsF_jcT43AYXy_SLHal2vFfo2QM7WGUYPgfEfYIAFlF0BoOqxfLVCi3ol3yyZKlDNBiQa14CIME00CLTG3AD3DZk
c809eb76,DDOR Studio,Zombie Hand R&R,,https://lh4.googleusercontent.com/QS4T5r6Ip4Bj9IbKxUFgh7FHVeXDVbN5RQef_FWQFjszevb7ON9UXb59TvMnq6M79WLhAlHIVkBJa-rZX9w8Ma9NEgOjvUAKefETwcOYW7ECF47glsMfcsVb6m3HBwH7XJtD_P3D-Zw
c8836226,DDOR Studio,Zombie Hand R&R,,https://lh3.googleusercontent.com/CfVWL_ouxdGztLQEiRVgSDtoPfSbdrPLCvLOXDP_mUtbDp9OYTb_Bx1O_D5-K1SIVgPcuEXtR0bddVC2NYXnj43wN8L3lkYe5fqqx9GCqAhXqHOxSX0fzWjcmW3zrs2hCnft-PxqmL4
413dbd03,DDOR Studio,Pot,,https://lh3.googleusercontent.com/HCA-lz7bOxJ7rjPQvxF3kZ6JGAlhS2woPbOWrWJt0zOlg_mpOOa2eH1eIuSEgMzWJLIH7Egfq-b7JcPplM7o0SOLCoBU55kgUmRRtD_zVETEzbstE0CD8B_xhMiVJbucAKx9M_QIVh0
