id,artist,sculpt,name,img
aa2e0f89,Death Dealer,Godric,Origins,https://lh6.googleusercontent.com/ts6B8ruyhandgxF_98PWzrPGhb6SYuaDTbmvqsgyHDPrxeBg4YTNprliOeldwH3S_N5-1xlxPeL0WMehZONUPR_vRteP3Vo9zV-ClRFGSrcucQGpBJyKwuyeoQNFZYDM5Sgl-2iFe8k
7aebaa99,Death Dealer,Godric,"Sure, Burt.",https://lh5.googleusercontent.com/TmbuejLflZDwoGVA5HYJlFzmKzh6LwGM6klHr0cZyRavLFimyhjLOFn3uaoTuVAMtd6aqKIMLuGDnNPegbRys8Ji6cVMx6EZr0eUpSGKVKgJcwqB5vHV_KZAX9xs-Us_w7nW-6c03Y8
87bb74df,Death Dealer,Godric,Nurple,https://lh6.googleusercontent.com/cDTMOq9NdSH-xsOmtnaBJiezIYzwaiy5TubSaX_ngwnPLbbVf53ncS4qo-gptzRUCHQsUopNWRIFR_UQsRetyDmXx-Deveqj0gF3lvV7ynTHZLk3yQ3BwojPDfUpQ5M-r1X_wICqMS4
728dffe4,Death Dealer,Godric,Acherontia,https://lh6.googleusercontent.com/B70w3tnTMAVweu6Y1qbRCDJgmZFaeVdhvjI6mIoFRQf8a-5N8Y0EUqssxBSAYHO-wWn2_pByTwpl3K3RYGM3pHCj35Fj9kA4no_zg03qWonZmR5lVqsUO2RgjFjup7o7fQOOaEE9AKc
879e5d3c,Death Dealer,Godric,V,https://lh3.googleusercontent.com/nGrLVTn5dmaPyCfFuY0UhN1kUdhmoFl4vCZevenxEi4bsyL46G70J0R8u4HsID1BblaTh4VzoFr20KzqJkcV2nsJT0uaYwkKCaCFWri0QzEy443_HAjuuarxxbYLyuS6wixFrcYvXTk
73a1e340,Death Dealer,Godric,Nova,https://lh3.googleusercontent.com/x1K2u6467wcYybvgpWmiZm4KpLLf5vN7lLZmIm7HBzAq_OZkc7e1LJ7LQc6vrd8pBZ08KH1AhWLkInRpfEgWCjHyHGpIoG7vU9Qz96tNgtM543W5-KOqjjp5rrcJ6ubZlwOGZHS0Qzg
9478265d,Death Dealer,Godric,Hecktoplasm,https://lh5.googleusercontent.com/FyCVLZMwnHGP_p-Dg9Z8Qgeje1mTzLoPoTBP1Et8-CF-cZeiNzIBWHaQ2wO1h2V7aB1tI4cCVDhuD894qdcsr2XDSauI9ve_3GAsPV9MX14JN2Z9VH2UzaH-5b1vwVLN8VJAyz4vr6g
4ffc964b,Death Dealer,Godric,Blood Money,https://lh5.googleusercontent.com/IRCFqoTl6L3WK0BZg-fGzWaBYaKacj5V2VdB7FWzL3NpEllfVaKvDj80nxCSsGQDEJz2duePvSz7MkGov-520wEj7Fha4WOCSPVu3VVdQMr71l_GlG6aD9S58l4xwEUCT2J1zfLmSVI
a267be92,Death Dealer,Godric,Plunder,https://lh5.googleusercontent.com/UTLCjL1T0pPSWGyMACNICwQ5vB4odLJrtk1UpXObny4kT5meBBvkg_-0ZsmSmMf4nG9mekMPwki5mwEfwtEk4pwPfbc4n0gBPzKC2ExYc53lTHl-bag3Y2-D2qQTLLBEXMWtazBRIRw
c8ac73f,Death Dealer,Godric,Forbidden Fruit,https://lh4.googleusercontent.com/bK9tsrbxIVh2Oep0_bA9OZ90HCZ46HI56XPdORm-ehUZB1R7eo211zoyYYE8GMkIOIQDuoa2poWvLLPSf6C17Ouk0dJ1qNjEP5GzoEqagUjT9ptLTboQ5hYHXw7wlVqep45MhzWJAc0
