id,artist,sculpt,name,img
eac59cf7,Destroyer Caps,RAWR,Fiscal Nemo Four Toe Jack,https://lh4.googleusercontent.com/hoeKZ32OlPCaDmngpKkLeZ6YwBxOQf8EWMrydj0PiCvA9A2-pBnQCNhOmh3w_PzSWfXX7tLgYrfEhthmWwQFzyRCyVhSlelwLEhtJfmKp_dnLIG25fwPndEJZ1m5SVeIUA=s0
e8406961,Destroyer Caps,RAWR,Classic Rascal,https://lh6.googleusercontent.com/YvRf_SOGKa6UBHhKsGIfSzWxx6ATOjLIE4yY7k8PpFDZSHuyhCHL_2quPp1R6syQRcOhw3_txbVWAH3Jxw51HFsr8A01UktLVrkDqmzZl4T_P01YKea9M9TJWtawPUXZLw=s0
f63c2a6d,Destroyer Caps,RAWR,Analog Rapscallion,https://lh5.googleusercontent.com/Iff1ZzJQJPqVdUwBniV3ee6CL0tvWn_kPtBT10RoBV8xWBCcts1bqnLP5bVTujs6yFAXGJ6BbaoXpv_0wZQsfWN8F3auogiL1XFpwPP7JJdBwYcJl1JrqTwV2i6vELH5Jw=s0
c5094459,Destroyer Caps,RAWR,,https://lh5.googleusercontent.com/SGUthDbtSVxPAoAug2vdINztRDjptN2ipTfk6D89iOA-RNcVT51VbtBxmZ6VGyK9O2ujhI7PEAFuP5p2RiMI6Nu1s-6qq1Oq6jL4fqoeDmXTFzmnKtPIYb_B61t_JKUtXg=s0
10448189,Destroyer Caps,RAWR,Greeny Blast Face,https://lh3.googleusercontent.com/JtUxr4VLo7dCyjpHI32JeSlNfB6RiAuJolNohLGiH2EqHwQJ4Z5tVYLkPG6yZJuF-wdNg2jh-G1sRCBCU8gE7OVSRjyAFBFDrFnMKic4HraxDWKxU6Cn8zmI9CmOkRi2gA=s0
e9265a46,Destroyer Caps,RAWR,Graple Boo Berry,https://lh3.googleusercontent.com/c_BmJClcHhtsHEgRB4J26pd6Vc-h2gEVkFL-I_BNZzG3m77sJ8mWCjfziNBOSuyKZv9yNQfeqiXhtvcfMtbG4Qxe2YeWC1I_fYEPE0kw_Lj3i5hQJYaP-iFgkzlnFdmivQ=s0
dff591a6,Destroyer Caps,RAWR,Proto Toilet Snake,https://lh6.googleusercontent.com/MSxmvd7QmpHLMarO2sM7kbGm_j3u-vU8c4E1ednWLn3h8vONJETqM4CXsFp2W0IUUYRcUhJfyoJjnn8NxjVVdTtCf69VIGonTqk3jpZhUcEg3Do0Lx1NImV8vpOZLwYjtw=s0
818027eb,Destroyer Caps,RAWR,Jaderoo Glass Bottom,https://lh6.googleusercontent.com/He2wWQ-XVI_ILbbPvtXw0gclJjS6UzBsQ4aPhp0Hpv8OUCk_Dmx-OOVwzGOOOh6Bs_MuKpiCkxOcspSlJSS_VuiEy1KIFCqo0lkQod27RvBtVszt3zH-B4ixPtlHKyYmaA=s0
ba48538c,Destroyer Caps,RAWR,5th Toe Infinity Sludge Tongue,https://lh5.googleusercontent.com/mjuiDAgIOjAdQ7FKJGB4N6JO6JBQhNMX5whJp_5S8uovPa3t70HNdtTQP_M9955YxRViGhK0rybWau-dIqpxAeT5JBRZ80L127b08ErzJHA4E4_pfwXUTMfMtd9fH4vAZw=s0
31be6c4d,Destroyer Caps,RAWR,Experiments for Friends #1 Nava,https://lh4.googleusercontent.com/wSTV1xXAK53pVmEtshLHdIZCM45d0W9osV9CBpm17lt9Z2F67nBzhTAlPI_-eKgk66y2bJ5x1smQRSZXfLUUneEX_z0ALmA3U-I307F1s24SLn8NQP_-Tsi8snT4_KLFiA=s0
e2488e50,Destroyer Caps,RAWR,Experiments for Friends #2 Brew,https://lh4.googleusercontent.com/9Gq-IFDsrZLjmo6lDDT8su0bHwUVMLZv0wFroQFpVwcWWMiCRkau56LvtOeBIU_I5HizhjHfBDXvf8HnAIwsy7HV0GNqtUWU_1S9-6TeHBAmt_DE-rWSJzX4xgY7YWLGfw=s0
