id,artist,sculpt,name,img
cf8a0953,Dollartacos,Blesk,Dubious Bits,https://lh5.googleusercontent.com/P3n7nPoGfly1r2E2SqMhHkx-sxPGvWoESkt3gglP-qlrdLMjQAzYYD7TNnWqnFJqhmay3OsTq8qsEAC4QXYGnCta8xPk6jvrbYnq94s9n_jCrIEnutSrDLUwyTa30G_DzwotElG55eA
20fc73f1,Dollartacos,Blesk,Aracaea,https://lh4.googleusercontent.com/tjX9-opYkmRkcvh4DACeswzljQyX-HsLM1Ojc3jqcakF7Ne2Vb_I6MrfZafP-fY-9p-XDkY9DiN9AljXN2MScsGwmOD2_npl1-Swl8cvF7ruQTIkfQ1UhoVoHBOAXpPsTFLQvETQmb8
9904a325,Dollartacos,Blesk,Nakaza,https://lh4.googleusercontent.com/ifcxgbzwJTBNbazHAoYEsTbM0FJ2ylSB7PflYkRPYvhjJPxbxBpdx3n24aSuWXQQTBMHGIwm5xEKxEGEJmx7gmZIFu6hwCekxEr475DWr0CUdbYY4Q-buUKVMy6oPu3wkN-BemQcWLc
a4110b72,Dollartacos,Blesk,Heavy Metal,https://lh6.googleusercontent.com/-fh1Cg7AfNKcXOxQJKkP_5j9e0oUIAmVcZQfsj97VRJSWuviIbUEFSO7pTYvqGj38NNcFevyVx0uxrxF-YatEP5tlzXPyUAIbRciJ5t274uCwLEzV93dnjVzm_ZpN2df1uzP6K8Cwu8
3a759ed1,Dollartacos,Blesk,Heavy Metal,https://lh5.googleusercontent.com/ov1ssTTi7k3azWJbBS_9u-ZFC0BKkvxFU5sohZkMZLmgozzaMv4bIgr87RyPorSax1RII6M5epOBX-3Y-IBRtoGWN69OEgPVzTdnKtNRKwJmqj8kQ6DndiQM7m5PXzi02EO2OCKTTJo
759a9d72,Dollartacos,Blesk,420 Zenely,https://lh4.googleusercontent.com/JLNwJ_R6FwfhWTcfvg1wk_c1w4ZzEqPYNKIgwJSGkV76ruUBx_XxljkeiNYAIFfO6mJEfXhCuU2LM4THe2OP5OPG-O2cxN5XRJxSNXrQEUbgMVrr331nAIkq2mGbgYt4J6MSSblg4Gc
9ef4765b,Dollartacos,Blesk,BLM,https://lh5.googleusercontent.com/2hpuPebI4aEwePiPntI8pCXjUrf6ncKbWHDVDkORP89hIX7jhs0wrwHJE62uMN2TqcYYf510YZH-69QVXLAWrMMmBiI8wxn0HH1Oga7m69otX5R3utqjJjlIuPzyvxVlKzQpAFny47A
ba107981,Dollartacos,Blesk,Ledovec,https://lh3.googleusercontent.com/iASwgHwD6WM0QKz6uu-Zp-dXvMGmRmjeKAnGEo9-QnQkGBaoIA-y7hpjcdp4j_gTykKb8cNEU0JehhV7WUrBIEsstbF0IBvLmlS3NLybfc9DhHzQhQ8VdFU4H1P-CRJRbTb5f6BFDLk
d784ae16,Dollartacos,Blesk,Black Metal,https://lh5.googleusercontent.com/KoZ1GryO07xTBJS0GECCDenb6vwPjH_1fkAXz7b3lpTJHYdO2KvHlV3laM90fxgQfSng5LXK31gbx58tCvmIGBpIBHyuckQrWdmedwe1ZE_KbAh6QG7z6yGoachkvApWZE9HTmfFqYA
caf434f8,Dollartacos,Blesk,Black Metal R0,https://lh6.googleusercontent.com/-AhWcegCAezLYLrxaFc4BcQGbac6sxXwS3EGpSybO9YTZZuCM5RgKsW9-080sn8EwasniTY3_NuRimwWXfz7KFUzVpXW5Am6CdD1h5gOR4HzqAnssSxN2Wmd-t5niH-Z-Ib0h6EnKLI
35c69f59,Dollartacos,Blesk,Bone ‘n Blood,https://lh4.googleusercontent.com/GbPSdwhRaq5kIMuGwZqooB1iBsLV9U3NEixz6nlgxIaDhBJwrht9NiyNU5zbEiGAFtj1UMC6J5o_8tYH_EYgVaqa8BXbCWQAw2xVNzS-TA7yBxgDiXvgP3v3sKAtZzJ5j3NMK_OX6XY
6880194e,Dollartacos,Blesk,Zlato,https://lh3.googleusercontent.com/5ywUiSKfLHVNs631EqEoJvlOSaS_Erl2Sto0a6a-IHgUphomuu4mdmyxVg-DXJmD-cax-U7ZQbGMGVkxGfPDDE44uR_aDE1XHMa3sL5BwiWXd_IPSScN5YFav4pC--ooLjm2Ic4bpbc
6fd7b5bf,Dollartacos,Blesk,Electrum,https://lh4.googleusercontent.com/FNvEfwGyeamyUwEGVcdWJQfGFh_H4TgQ85Ucoh9-sqyiPiopl62mld2fDliVZP9o4yj8iRs84PthEGgX4BleWm6CFutaV9rU461LUZ-_0XwiABTbCAeq8_BIuYK0oaibI4z8ujaOzsI
20fa487c,Dollartacos,Blesk,Holo,https://lh5.googleusercontent.com/mdTlgLtlN7_f8msoezPvcwQRk77n34PtkC2SHVumJRpWjICBL7RrepBV-L8l4IJ7PeFp6ZaFrHjmk2971GvgVCdmGfmr-FhRUnM4xR-_IhgSE-H2rcsTeCR5Pkra29iYm5YL4oevj3g
8a7c08ef,Dollartacos,Blesk,Mono (white),https://lh6.googleusercontent.com/xD-DXSvI3THUcjrT44jEseksHt8LcxNDvieiA5Co7QagKkjkbOw-yH8_uxY70_NB0mbQ9mPucj8sV3KJqUXxtYfD4T64sB0NV5P4SXaRZf2CASfAw7MCf_RsR994mlgJqjyQ0B0xpVs
d6af398,Dollartacos,Blesk,Mono (black),https://lh3.googleusercontent.com/fhohPRn9f920ImCeWNSb6x57YsoDJYGhXAfGPgDBazenPcuXhAgok_7bvbadrLfQiOW5k7DucYlH_S295Y7VZ6NVKcJXFe2wQ1ZT8k7JRNszJKyvWXpijDR4RBVtB5Rf7aMF1NQ3Gi8
f2d83dfa,Dollartacos,Blesk,Democracy (red),https://lh6.googleusercontent.com/oi2T2tzj3zn1uGEZtA6ECrNUiOnRpoSLSVKEqUBYPyVRGhHIOyeVQip7-IC79XJs42lbz8QXiUb28-SSxg9ZOzfWUqamUk9AqdFNCua-QNIOCC4vBNjt2gyjaHTs-lHempHd37KHj94
