id,artist,sculpt,name,img
b503ca23,Dwarf Factory,Kraken,SA Deep Ocean,https://lh5.googleusercontent.com/WA2PperMrF9z8r2ZI84yzDeNYxXhu8C3hBLNboWXFpefA1zF4nRY03HDdhDqBfpopBOqfokhYyK_zg2y46kLhMo0h8lWMm-BLYJPoWT7My0KJtNfgbEwpuIygs3pFuGeSclmyHju8Xg
649535df,Dwarf Factory,Kraken,SA Emerald,https://lh3.googleusercontent.com/o9vBzlGGjp0TEGED4osdA5Nk1XevjJjHxr-XF8-pl9UY75lgts2Ao2aoS5N2jQ0KDgjzY7jYzPFoBJ6CqcWRChhvDY1Y0WQWYxkJ__fvo9aCcKI9cS5Ztg7w3B_qY9aMNqCi0NbhfsE
ee4f1b38,Dwarf Factory,Kraken,SA Radium,https://lh3.googleusercontent.com/3Wb_ds8rPerZ4yEW4HTk0OpHSWo6uQMfFJ7hHm4yv_QongB-hEJIJUHOLOqxFO_fd4rfa5M08gW53MkC5z77TDnHidkISFi5nsl5amBA0CaSoFVGh1P-J0uOIMaLsMJE7Xzn5YWSERw
9a1523c3,Dwarf Factory,Kraken,SA Eternal Flame,https://lh5.googleusercontent.com/cMAuYXxFKWsuJ1WRIrBgFi0rDyjSsARzJkmnZ5rCJdZ6rTP7UnuF41VANUSG9BhpkRHF0G5DyRAsGR4Eczrwffn6rdkVJD8gYHFhbA5fy0OnRXXq2TLfgzUzDfUg4RWMAGgmQTmS3G0
833933a1,Dwarf Factory,Kraken,SA Octopods,https://lh4.googleusercontent.com/A_zXNfJXe0sXVDG2-6GXNetnpwXy1ZI4gIwcBnuhxqIOTmuG4ul7Y217OSEX3qQ4AUg71NvC9JdI49KnCXztaI97e4It2p5Kf3jieXteFDMZKHi4YjQeKB-DHpberJefpVbxt3ZSIS8
842e0d56,Dwarf Factory,Kraken,SA Aurum,https://lh5.googleusercontent.com/-FtsEnUi5M7_b1MozRl0hDADnmo23Z1dCjUvvo0zrTXaF1NH9ffcYVHPu4FsmLcS5PWvYWfMsMC_-MRCWErxM6lw1URfc8kaHN6YZYNvQ0gxq6Pvm9oskivljgo3D9-KncFDGK9RMPs
46702d51,Dwarf Factory,Kraken Lite,DOM Dreamy theater,https://lh5.googleusercontent.com/kLExzKAonz1R77VIFewPWI3cwroVOHCigXCoOA7rZDhQwmGkeVEQmv5KFKuEndIxNECE3lpnkD2dnYsNYTADAltD6jfHmi0106Cyhg8NM659YH8GP9a6ri4hnHQBXtLyz-M9p2nYGcc
a5cf047c,Dwarf Factory,Kraken Lite,SA Dreamy Theater,https://lh4.googleusercontent.com/Es0mUoDppd2dAC954KaYouU_ZAMq4_0B0mX6peVGDYDEUiLPp0WK6_Q2IVOukotOjbKxIp12dvr-ircbCo4APTs3VfKCD-fepqExO1NuipNkVsIVVJD1JurSW9NTNDTj6wI0_DTcNAs
89f363f2,Dwarf Factory,Kraken Lite,DOM Glorious Depth,https://lh6.googleusercontent.com/pYvv_EzY5e59oba6Hy0tgiHds_aKzY32gY0oRjzceN1jHlhtj4bWdSU4ISo6mX2xzRyGNTPkA2w_z5qWrgiFIdBltSTybrtg9pRxTt-6Avc8gBJvvI2EcWUgOHV_veOsTt41A5a8Z_Q
e8bdc87c,Dwarf Factory,Kraken Lite,SA Glorious Depth,https://lh6.googleusercontent.com/Go_hUPTb0ViTjoPvRTiMFU7v7s4RV7c8FyAHMj_yZLwV1smLR0Yv3hnKqyeV4qzy099DGeX26uMS2v5LJdbh_799cH9eK-Cz2KBtFVdCTHoLyEeJBeyO6NworWGVxV-U-6KY4mM1goU
