id,artist,sculpt,name,img
c820f038,Frumpzkeys,Itachi Sharingan v1,Betrayal,https://lh5.googleusercontent.com/e9o5nqUZ4TBKWHzT79PAuvFADH9IbH7DqUqzzcvDlAUA-nJekiXCFsn_KsI8IJ6eK3Fi6cvlkXlkSTM08nFBWqCr9MiChw4SI8xzdWRSiDUkT5i06cBMouO_WyaJ0ptOCnef-cpHPho
d4696da8,Frumpzkeys,Itachi Sharingan v1,OG Itachi Sharingan,https://lh6.googleusercontent.com/rbcWz6aWr2d5PKdM4lVuj9cCGJiSoCAoO8MADi3RHYCG9dKaMO9IhZ84OMKLA-6FDN3zDiB5rwig4-Eu12ZtYZKBjzrgrblWNGM_2nSG6HNF6rWSI_Ahk90r_Rn_cvUE4TjGe9DkC2w
6153e1f7,Frumpzkeys,Sharingan v1,Sasuke Uchiha,https://lh6.googleusercontent.com/IkNgL2mzUcsIEDcYWortj1ZPSBACzLhZdLsni3KQ2WAmm0zm_VmAbFOOkNC0AScV3KDto1Dtah6YZWqDJMAl6GQVNAmC5c5aT-r1oso1ty4fEFqFdLjmqZv_f5sKdOY1w3NChdPi51s
9423149d,Frumpzkeys,Sharingan v1,Manga,https://lh4.googleusercontent.com/NVn_57pomvR-_c5wBeubI3QKnAnzrrOzHidN5Yz7YmrEafgjZS5BBEAPQM6CSbkcXpqLQLBu_gT-irbSt8LhstiLvg6AXFeiIohkgKrztfxLXABp5Fnretf8f5iNI_pn6KR06-yu7Go
d9aeef37,Frumpzkeys,Rinnegan v1,Pain,https://lh3.googleusercontent.com/-WXBDrOQbXRXm1o5rEXrNFc2ZlOk0uFtKJE9lGMY_5GtHrWU1gaLBhXQDbnuvEIVZhxSy-Uuqfrga13qVmVhVF0VaHxtgtSfyEI7uWHYtgufoBEHh1wdHjo7Xk_QoOLMuPVU4A2N6e8
4e3801df,Frumpzkeys,Rinnegan v1,Akatsuki Leader,https://lh6.googleusercontent.com/OH9HqeCYDf4Q9y-5PHH9PUma7DFguuxUYw589BFdyrp6nyi4mPMpWp1A4XsTSVFYWfvfhHzNUeullJKJznkgZ4BW_V81YA-3Zf2ULaNXWeH3Y_S2rOABQ0lyBAj8X_6lK83nBfWWLio
c22de4ea,Frumpzkeys,Rinnegan v1,Manga,https://lh4.googleusercontent.com/qvrazRsIdgu214M5cUgTZiOhPprSN4_S9OPAD4Sl7i1YWGGpl_--WrJ1_btRZU8g3byY4Pz3L7WMcpLiZqXvlQjxRFXyeI2-C_Ak1ya00vg5oNWEERC-aZrgYdznJCfLIxxkLsD4DrY
4a6e4ba7,Frumpzkeys,Uzumaki v1,OG Uzumaki Clan,https://lh4.googleusercontent.com/NIJVJdYYm8wztrrqYl8s6zB8ZWP17C8f8Z_7UoUpOP2M3iS99EN-ExH0WTUp2EgG3aVONyNm0GBxv-dUTAbN6DrguhbA-tQmW6dIZSBdH4jAVhMYH0clavSlEU_PZsZvRJVYae986Es
7eb0b58b,Frumpzkeys,Uzumaki v1,Blizzard,https://lh3.googleusercontent.com/GJg1smR-4kQJrNbPn669szxMA_583JBPO5xB8Achie6u5-XmkLj_wqb89HMYfW1hjFpys8AbJTg9o8rQLvN08x5jThWh7nThXTMzMms5i_Ojk5hBOiLrPyt65PnUeCIrt_-Dpa076Ho
e1849054,Frumpzkeys,Uzumaki v1,End of Tears,https://lh5.googleusercontent.com/V-U-RpEMTrnsIdPnwTv-BLQBDTB23kpRfryFbMQFcOSgg70txMdqT4yjtU1GXQbjRsE5JxDHTTKbypJ1A0vF7YjeCCBWxSTPpPQJQik1-tLvLF9EBtwMsFCCqUtj4yxqC45n5GE4pb0
dc457336,Frumpzkeys,Uzumaki v1,Manga,https://lh3.googleusercontent.com/jveyhZyoFEb85IjBehIZ29_GbEgsVWQVUa6WFYEfyVMY-IB5qfwoJte8y7QqJU1QdBfGCGpSCP-P7WvxSdbc6I7vjJAakSD0ygqJ5kkfFlxHmNK8y9CPZ9U-OjLqTyDKNckrj1Ul6l0
f9a9f949,Frumpzkeys,Akatsuki Cloud v1,OG Akatsuki Cloud,https://lh4.googleusercontent.com/hc0pDDISgUV-9NZ7YfE7RThfDV1dRmiKC5YQhORaiO9_jvbEDWUsnq7vRRUr5AHVOASIm6egX16i84win4qeNpbbSZviEQ6KUHag2siuKriky9IJa_h0jnmeZ7OuziJLOjwMX0ROodU
21d83827,Frumpzkeys,Akatsuki Cloud v1,Bloody Akatsuki Cloud,https://lh6.googleusercontent.com/rWslJIC8ewjmOA6sF51Bz7ZIZjZCHdrihE3qzo56NPw8VbitJN6qdN421JY5GfgDRMZcMgJZXHNRFDiyvJBiDMUAyA78XVjqsaoNKrBTtcYK11GzmwE_4FNkSXNowqJuxGQ83AlkLoM
be82e1c5,Frumpzkeys,Uchiha Crest v1,OG Uchiha Crest,https://lh6.googleusercontent.com/GinXI7xtD-3mEEDNr3TJRVcZ433wnSuAm2uV4rhwyK41Kbyz1orTNNSxzIPFBVh8iRDV4uOK5SOJXHNXf-vqvLSg_2jbJgw9Afo8iFPgfVm3nEBK-xqb_0jx14CBwPDN2XapYvva5F0
