id,artist,sculpt,name,img
81002648,Gaia’s Creature,Fezla,Jadeite,https://lh4.googleusercontent.com/BIzgYkCF5_f1t93Mdw4xJfeqfoNhwPanGJDE4SVaN_l9tb2mlTeZJ_4Jhwy4oFsE-Inh7ymg9ZBefRXrsNfsse0EUy5nBXbTUUjQhrvjwLPZOovw682yblyM7M-BFvwElQ
69032e92,Gaia’s Creature,Fezla,Aquamarine,https://lh3.googleusercontent.com/bCKbgukWRWUdUcz5702SB6vSW3X_IuzTlCrceVUbamuVWlynWhgCqW9nF5zOhFeticZ3PRIl3ZtodH-odEJFluVD-g4AU49Dif9RrmiuO67cAL4D7V5c0pFRlX34Es72lQ
db6342bf,Gaia’s Creature,Fezla,Spinel,https://lh5.googleusercontent.com/ylRUST71H5Ifu7SQ1TO1Ouybg7c2KXre0i2sjT46zu9uRBRo0J70NkqwbzHv7BWvWKIq_LuffHtrB10PiXwEwrkYcn5k4m151a55rXeA8CmicoVjEpdAIy8S55FCjNY7ZQ
588f0771,Gaia’s Creature,Glossa,Lullaby,https://lh5.googleusercontent.com/29v0lARjLPIa0Ww3DHcUSf4_xZFZtnRN1nmN-Wc0QWKkmlRHDlBT_oX8M0EtBQDNKC4iwYCbvEE9bdtmTX5pSRzVoaH5ruu9TsXAjZ5uNhMKl4yJ8z6XzDVsx0T0JJof3Q
4a620cbe,Gaia’s Creature,Glossa,Prison,https://lh6.googleusercontent.com/GumU9hvVq-2XNUvuXTP0fDH2-p68K5dSn7EWKofaEm3PND_cr-Ubt8Y_gC94CyMM-TBWZpAYl2wUOerZzrLrpWVzGYznUeaune6Mdl63Z4UgzAyu7Ku7ZuCm7JscFSJADg
27ad4877,Gaia’s Creature,Glossa,Cruella,https://lh3.googleusercontent.com/sYSC1x84sLvGV5VaFS3zHtFkQ-eKbiS7f89nqIqdY807AGEWeS491g6XOdqxXQ084yvrZ_SKchAoTYauLhVc-myBuyNzsBoicUfJ8fpiEMaESP_rm_2LmfPraQhBxpcWIA
39518568,Gaia’s Creature,Glossa,Peach,https://lh3.googleusercontent.com/HIFACVu7dy5e7LDnPYF01j_oEh_FLei4oBcEIte2f5GSkc65qJjgjwdfnhIErgtrDj3Au-8H6j4u1NWcvQiNjy1K1JViKc8vroVpIHXZhUXEgsmOriGmUCeOA7FVoTEQfQ
1c28c1d0,Gaia’s Creature,Glossa,Halloween,https://lh6.googleusercontent.com/UXixvMYLA7nf-GyVPHWvXHVPZVqExOihnPjO2G22X7HtHiAjoBO0kMwTSUWW09u5ga6nYB1hCtQqXjYnpSrd_D8DojgZNRZ0tIbo5cO02_HIUvT8_3iPkSVugJ27zGfluA
d0391419,Gaia’s Creature,Glossa,Honey Bee,https://lh4.googleusercontent.com/QEOCFDrVoV9rMIa_5WhzoA_pIGDcGSqlKbFGQNbzZTtRKx-sjosSkMzyBCTlFMDbEbLbTZeoyzb7UFTLozlh16bmwbHE22SmNftm8pI-zd-yr7LOmmXlzaCTl112OychsA
3a1725e7,Gaia’s Creature,Glossa,GMK Earth Tones,https://lh6.googleusercontent.com/y5fLJBZuE1agn09-3M0UC25mI2c9FlLFfqzleizEq0PniM5wItUDJN5pXjvzxESyNrafqEXG_-hlE2Umiq7bu7SuvpppEH5ymQq-nr245m4zIWsdlCjBPETvCfDmCVXQ8A
10b55bbf,Gaia’s Creature,Glossa,Christmas,https://lh5.googleusercontent.com/Kb3qhkRTTWQOW_8hX24m9KXS0h_g_Wi18fhdVoVq6lkQQ9tsB4lUvodrcw9ewG6XG_Q5hHGnQbMVzCHDjUckytgMB6y4761b0oSRpC2cAfnRWRVZRrCwoUICm8KtM0s12Q
ef0ab6b9,Gaia’s Creature,Glossa,Spring Whispers,https://lh5.googleusercontent.com/n-_9nftYvJQ5YiRWaVp8TDIss--h2eje2FcYa_FlJ3GmGTfgyp5acGRKErJmL2IsrtTu3SCGMfWol3_SE7KBDsgb7UWB0mKYZnnyXNFBgZULL2UOriQaOSjaKu9Q539VkQ
a84636c9,Gaia’s Creature,Glossa,Lucky Tiger,https://lh6.googleusercontent.com/mjJf1Tu2_kB-E30RoixvA6QzpnwNF4btlPyYW89BEJcmNBBGqDQzwRdWEBvpW7OayXnPF0vHWhYND9onEmL9jGT-2KfaHa6qjDstN21Wy_V70u9N4KOsmxLztUEr1AgEFA
425ca161,Gaia’s Creature,Glossa,Avocado,https://lh3.googleusercontent.com/CzV1ZPpkP_2FiILC62fg0pBTyM4Nlzznw5z-n-jztDNU2sr4bJDR3Ivg9650q-V_xJvXJ1liGiJY4weIio8N542Lbc7byAbHBbnu2KuoQpjU-srOHg6v-FDNrCG-_0NbHA
d0b561a3,Gaia’s Creature,Glossa,Cotton Candy,https://lh5.googleusercontent.com/rvXD-P71ptyHazEvy8nma6tD022Yb8yQNJHUTnwH6TlR1gufHqNKtq1-JzzT-XC_wwVkSXjmXgSGR-7mhiRwHQhdaYnrejyqGE2E1VEMjNeEFqjySD42sr7746to4NDZMQ
cf323d9a,Gaia’s Creature,Glossa,Starry Night,https://lh4.googleusercontent.com/qj3inQNJOZPayyJNVWFgHZ4LAmjIG8bipu69zccbp-SYizRGKWCKVIcZSbITViuAImyP_e6OXOjQjsBR-MUhChk-DCLRulfj9OUoDJsvB5O4wjUhk4XF1x-utEzxmlut4Q
a0a70d47,Gaia’s Creature,Glossa,Pool Party,https://lh4.googleusercontent.com/iBZw_FtVJJZu5gMKkfgisidUQtQUxnK644qrZ9Gl--rIw8x0ro9bC9nMNk-hdbwOwOeTw5H_G5Sy_Qm2yOi_ZujAi53XwRmx7DlP7ox7Oy7iLyNkldxVq5CYKR361Efcww
70a54593,Gaia’s Creature,Aubrey,Forest,https://lh6.googleusercontent.com/ePNwRBvp8YZObOaYx64FTxyl3SutCWstYlLDSfUly0OWGZYWck_XDaOchJWDcgPMh_Jz7z9HWeZsOmGQ02HpaJDhcz4d37R4q6zV-LYgQFk5EYk2UDfAV9MIUq_bC2SuOw
