id,artist,sculpt,name,img
c301ab2b,Girlycaps Studios,Little Prince,,https://lh6.googleusercontent.com/clwBu7p_B30tuI6IfjBbzG0ScWlN-K4g9eN4wLnDFU1_rgTtz6jhtJE4zu5TOzJ9WcVw2dA2J_qVoweKf7bQseaDibimwIpQemIYV_5d2pI8TJ9Sxi4_VlmWYbK4_Wri3260AtTs3oo
65e14b4e,Girlycaps Studios,Little Prince,,https://lh6.googleusercontent.com/hHiFzLiuUtkDvihEkcdw1GCoyqQ3JQwmFshiVtPfJuO1wqPGHJL1SfIjP4L6WIQkAMhswetSIMPqG0qpwVhWJX8_3pfHiotgRTDAAzzYeRhKKGn_ypLigBWSlqKE0hA45QTARD_AMiI
d3d43ffb,Girlycaps Studios,Little Prince,,https://lh3.googleusercontent.com/UcHq8u6Ac0u_fbK9HN8vrgPv1e4bSHevKuZFjvUD2A9lQxkD0HainQ-KbVkBHkhAzdtu3T7oIEL0l2mrS_IzT15U2iji_N2AsDrOP7B13DCohulNOAjt2pTvo7rSE9ABHbC4A0gdPFA
fffbdd83,Girlycaps Studios,Little Prince,,https://lh3.googleusercontent.com/6Hd7O3GHS6IqEMhMXd0R_zVIKFZBelar2JIzs0G1ju7F6of_n2mDbU3aQpCvNgxBHlasfmV7apdpQbeRx5r6OtV8wNzR0F-f-lWQEbrX1s9jF_Hazis_bHt3hAIZyidrOHiL7Oc7fwc
fb82954f,Girlycaps Studios,Mecha-01,Metro-X,https://lh6.googleusercontent.com/xCRQXh-gv7Th6Er6q20t65buHCd_gTMCb4lAUSSqMa_twH-W_z1ddPXlPcmbIcRcgU16cTbjfzNMIuwK4dpM_0AzBcwcUX0qMAxz33_S7RhcQbjhLqh70UoOqEchWgSmz_nUUFinkQc
6943a062,Girlycaps Studios,Mecha-01,Metro-Z,https://lh5.googleusercontent.com/Kd86DXhyhw-WlmTnPwHOirRsXDHwt4P7KjDs4UaTYjUS9CAqIsLQKTwNZq8rzMgOO6E5VhebCIRgtR5uqB4pJCZtE76xE3yinf6f1BnOx-2E9kGSBY3QDG6QtSfxiVQNFWbt0coPhQo
a62535c8,Girlycaps Studios,Mecha-01,Dracula,https://lh5.googleusercontent.com/3Jha0XGYRnVHUVnltwruCljRoz3u0EWc1eHNCdMdSASUs3Waad83nYGUyw5RMYSTe6iVtXa8lQwt94drra_sC3Q1Ijwze309v5hF1wY4bIy4WRH8gLFTqfHvnF7tXyYvzn5PvMU1qb4
4bfe2ae3,Girlycaps Studios,Mecha-01,Errr,https://lh5.googleusercontent.com/4vGOz3v3t5zUKTOVKBOmbDKx8l5mkxFKQ6XGzsyg3BJIeoLFUvqukbotRTT3FCyYQ79qivwSYkGH5ZBz_OLnO-1WdemYygg2dnx4ztAcezbj4CifA5LU339iN4aHcwvKzu1TFrNOG94
6451b18b,Girlycaps Studios,Mecha-01,Carbon,https://lh6.googleusercontent.com/dwXR9LNbQtkE4UhxYKkCbrkaygl2IsF9n6nSIVDirTVxywFhmaagC8rrLjBVHhONykqKwW8_t4aCxaOfXHe0rZv-CWtyfmdp9VC4b_M6_qzycFa50H2cplRy5xtH9HC5ssSnCBjt13A
6f643684,Girlycaps Studios,Mecha-01,Noel,https://lh4.googleusercontent.com/tFlKr-aZMzDNnu88ArLRVn9Pd9B9BPPWvr7R4Y3iNzykR-8S6NmSaXxOiZF7_yZSex7u8VxoWnvDUC-LJXJntnlew-0G4_A74BfOOO6340gD5xkv2v9fg51cL5h6KKEAva55orbgbcY
6e60d1e3,Girlycaps Studios,Mecha-01,Xmas,https://lh3.googleusercontent.com/MCdY86PuaanFVPv2angIcpj4-k-sRm-XEabVM6KWoJutMRWLCaLyvofhgykSOvCWBFSUNh9glV6IUCE53iFinzDmmZKc6ZClarjUrUp6u7xiFb40vW9ZfQ4CpSjRE6ulqu-lxXkCD3Q
4a0b8e70,Girlycaps Studios,Mecha-01,Golden,https://lh6.googleusercontent.com/29Wt5pp9uplBhMnFQIydybNO26xVfbybf_O4kYaIo_B7h2_cclNGX6St10FZD6JZ2n_ftGuzER6l8fCulEC6jBnT78xDN9jkLF51DVyIre8G_Z_rZ7fHMxt1W2oXFGPeA7x228_wKps
d423929f,Girlycaps Studios,Mecha-01,Pinko,https://lh5.googleusercontent.com/jDWvmHn2A7otud-PcTAl_g-_L6Z_BE1mw-huiMKO_aznWnZ11cog4aokN0_q_BHUHoeraFyhAiAxh3M4xgwuc9bMkReMnV0HUYl1KfBWMWWSnzLJUfr9dTy-w0T3_W0IHheyzMfjCto
d29caed5,Girlycaps Studios,Mecha-01,Santa,https://lh6.googleusercontent.com/QGbYhTeqgngpT59Uu-G3oQjrjZGvmrB5bVOa5aqCiAm5UCXREhgLKZr3OnNV9sPEOjmWNbRQ3xhAbyMqiDLcGR6kSL2e5MbH6F4NgotDkA_BwFaxdEbA3Dk_ylw3Uex8lf0eJP0cqck
469d9043,Girlycaps Studios,Mecha-01,Minimalist,https://lh6.googleusercontent.com/_G1P9N7p0KI8EMe0TQQbr_VqWGsjb39AyAyPQSLLTQUSuZdi2y-hnUARe1L9UrQtk0S4kd8hWVMQEyKhqy0qAmyRHUZRMLDgTWMCWPJ3UKCExHrDMahPcYulWzLc4P0LTSb2SfrOrL8
702df59,Girlycaps Studios,Mecha-01,Switch,https://lh5.googleusercontent.com/mluxTC-sl7l2vu140cRfjCySQExae3hUEkYxlfRjX7GfRFaF_cNx9itbR_A4UUoWQm46_iSWz-PCmCdVtkP5FFw0nK4Hot_VgCZ2-nkneWxwymDQdMRKyuy08sQIghxoxYqORX4cqss
23282c29,Girlycaps Studios,Mecha-01,EVA-01,https://lh3.googleusercontent.com/QRvjlssR5_v344Qkibyuwp0YxC0m9URwvN00NtF4TsBLwsW4RtP1sC9298vBrlOV0LPrECd_rC9_HZCJI-_RYWXl2YNhTOOQOwpDlS_YmyD06mqITVsDGJE2UtSsBCAEaQlGSLYPmx8
dd1f7012,Girlycaps Studios,Mecha-01,Miami - Original,https://lh5.googleusercontent.com/habzkPIipxkdw_4ysVc0LnesRhzPzUS2Ws209najv8v0U3Pht9chxHxsJGmVWyq_zJk3sbhiFCe8GqtZUy2Hj9THN3d_EeOK0j_lVUAuLzTZxEKobxnw_a7sLtMXSOSaFabz2dtGr-U
ee068d72,Girlycaps Studios,Mecha-01,Miami - Dotty,https://lh5.googleusercontent.com/lmrPXYI2_ZrfXYOc3vDtJeyfA_Oncl4u-Ox0MargeywMHiBWsVDqqv_6fqAQy239JfQKhgmavKBAo9JT7UM_8VKslfDnAqai73J0EfzKbA-Oy1ocdgoAIxHYvq8GlGHZ1vOAabDSK6k
ef19e9ad,Girlycaps Studios,Mecha-01,Miami - Pink Eyes,https://lh3.googleusercontent.com/kzLF5kruiMTicKeg_M3Pss2RLYmNO_cz_HUutDm0c5sQgqyGGTyr3KBPHYGxaOi3z8agjs_fJA5nmXcrDoDh0PK33mEWJicDAqYAhuUbzjfkB0Z5mhqIsR3UHgYfCD29fz6Xmdu4luA
1192a47c,Girlycaps Studios,Mecha-01,Miku,https://lh3.googleusercontent.com/uHISYRDOnbrXhL_KVBm7dkzqNWnqM-kXR-Ubb97VqP2u2TtNXsutOdwekV8yjXP9retgQR5OnlHwggrn9sXUJ_cpeyi0-27TF4hCnQoAU0f2y8IEeprPLK4lqlp6rWZLsHRMmrCjS0E
c1e8a293,Girlycaps Studios,Mecha-01,Luka,https://lh6.googleusercontent.com/GshRUv5WVVMhf0KQ1eSmpeensfup9gCra9jP8DLmReHD2xCT5LlIOryumol9rHuhZHKds--jS3RxWunur_XtfKoiCEYWm4U28BRpBnNA346jQlA-kFo9Gx151xBJBE7DYPthOu_VY44
9541fb07,Girlycaps Studios,Mecha-01,Nauti,https://lh5.googleusercontent.com/to-TtINUP9dN6WvrfXGPTGJDgIqZBYzRcMnV72uzQuoVfhLGYemdIgoSsA-Yqnc4SlCbfpKfGiDlA25l0Y3amYFzpWoeSGifSRiW-qqpGR6RT1sbP9C8N5FdfQ74_kC4oNXVKUQQT_E
d3399a19,Girlycaps Studios,Mecha-01,Gundam,https://lh5.googleusercontent.com/Rsk-vyORqwRAqfNZWCMsHO-9uxofblG7ioNnWYZUw8HnDtYtOiDpsISzqLF0XKr6nGnwHParOGtpGVukWROMzLR_Iy7ryQ86yfgHXmBUkVFlUSGBUCmHHl-lG5KtX9-2KbD-VYDoc7Q
bb5189a0,Girlycaps Studios,Mecha-01,Plummy,https://lh3.googleusercontent.com/3V2457VHW19ZQIg8m91c8Rl9zML3JaJAPP9dZ6MQDjHiRBpMxzzvWMrodTDNg5IbIl690qTw4rRbuNVQahvgLGT0lcJM7Z0OG9A1a2WMOLwJwtY3T88WlvrF6asoNuB05vNpAAyLoRM
2e846da3,Girlycaps Studios,Mecha-01,Laser,https://lh5.googleusercontent.com/3OYqGxC2VAi4RYwA5CJ8FZCq8RPm-B3CJaPyaFxm4QBf5X2IDeAj1YkwfMwiAvYLCIJxI-mO_kOK8zmqR0QM6z9iOWXkDmxWwtLTZTBSo3vhrmfqYMr5SoWE626Ho4uiqWofzblJHpY
421906e6,Girlycaps Studios,Mecha-01,Mecha,https://lh3.googleusercontent.com/aIeC56rATxSiT4BBLhjkDcmTxyJpEhvSfirStYHarDMFTqQ_KOslsDs8o0PB_kdGsKh8FqA3hLYI3J4vZ6u32IopOAelD10Ky30aaxLU0L1NkSeo4Ie05UUZz0TuFW7gOWU_5DFD56o
c645f46f,Girlycaps Studios,Mecha-01,Hyper,https://lh4.googleusercontent.com/NGGLUCOrQURBp-vEQuEkOdnwrL4ElBRxrf1valBAoKF20IjNi9NMSAIdJ5OeTGKZGKgeglXkWciREOQIXn_3y5l1ia9chzWTDcqo9qRiazRDl3CptywbV8UMNTBizfu2Ia52HH6iblg
96e52f89,Girlycaps Studios,Mecha-01,420,https://lh5.googleusercontent.com/GPxNle1xgQVC9FvrvOU5n9zXos2nm49PdlQqkxBZ-WYZ5-vyomTihqN231uRsC12dUhmuptwy9tEf3EghzNCeUMH5TH_ZE1REI0u63fH6N14N-D05g1H14E9Mp9GW1PQze95g_BXJS0
6404ff93,Girlycaps Studios,Mecha-01,420,https://lh3.googleusercontent.com/kmf7HlqVfGHTV7kb_OCX-PsySBW9vUJZwnwUx5KqW55ARju-1r8W8q7qzEIy44dACX0MhKT20j4_LTRMBFBKoEVHS7Yz5qe5LZJfTCX6cACHcRRZ0b9aSeXQtKilYvanWwQofUPZB14
b9ac40b8,Girlycaps Studios,Mecha-01,Doraemon,https://lh5.googleusercontent.com/9F9eruEP9TULUmwQafaoyJMpg-raq2krxdlgnd7a49wFO1m-CTKiFzXkgJ6G9cVbtgb5bLdGlYr8TtzQm62evZKa6RFlwpBMzcrZkaNMrjRqWz_CPVM39PBL8d_4GaiYwOwbkQhLjrc
f7546cff,Girlycaps Studios,StrongBrew,Sunset,https://lh4.googleusercontent.com/8WoixVLk0_EdxszuwozUnJ4Y5AJKEkcycSckGkF4ZSV0Pzslhla6nre3EnWcWpkyHvoOXcFYH-5uqtl6Zgs0JFKue005sQ9jfXxrfPLxgW-f0tOOBApTzoDXAp0t1JRAjT5Rjoci_xY
56843ddb,Girlycaps Studios,StrongBrew,Milkshake,https://lh4.googleusercontent.com/JtVmBU-WrWGnrYpFaYu1W2CogzyI61gxJrKrY-4qtPISvzihiwoVcXOQ7fE6b81UEOThzP-LK-Vox-I09XFM6eWnbdDLYA5ahcbDojCvQaQw5KAR0k6Bcdy-GENRXxoakpM-mFv8LzY
