id,artist,sculpt,name,img
cab10af7,Glyco Caps,Drip v1,BLM(Debut Sale),https://lh6.googleusercontent.com/Z_fxZHxMWWWyv2h4p8ZcyOCzhOIo16XJXUfT1brV-0USDXp-4e9OOc6dixds00qA3b920TdUuzvI1EY5vjfNve10rVeJtQbh6cmQPFUzinHIkKM439JZ0X_yq1SjxS6FknQfZ45wMIg
8bed6444,Glyco Caps,Drip v1,Ketchup Stains(protos v0.1 & v0.1ii),https://lh6.googleusercontent.com/KsfU9oacwemmeCUkfaCiBYhqJxeXNZI37hgs1PECGxAlHZ-D0mgB1klxR5OTPVykXf5tcN_QnWXw494wXHhSIl0QWByT41sAkaKpIKqBaGQGIGFfvBv5H89KL_NW6I0TuxsvCo0uLfY
9217381f,Glyco Caps,Drip v1,Terminill(proto v0.1),https://lh3.googleusercontent.com/Ceb0KhMAnaXQFjemiXo5qVV9s-O096qS5_PShWln26xRqH5rHwcmdw78aaPHufdPhnYfruJ4GL1H7wDylY-dT0Spv_LWXT66DCg7Sq8koUuOnsqYSr6zf9E46R5CW1_p51c6Qzs79qg
a812c810,Glyco Caps,Drip v1,Fungal Cream(proto v0.1),https://lh5.googleusercontent.com/lSqM61nWZgiBMN-fZvwpdykeDXO-84gKy7bttwzqZOy03lBfBZwKYWwmqFb3UFBzconlJDnmzeE7EXYia2IuTNwow6vvaePwgoOl4i6S6JdWxczmt16A9AJyWvYvZ78hXPGnGnkImd0
bfe1b6df,Glyco Caps,Drip v1,Night Sweats(proto v.01),https://lh6.googleusercontent.com/sUVGy_dmO8sv1ZFdFjnhIhs5ww5tZBWgKSDimbxuw56zfiUNzdNuW9W0yKD8sPgwL2gPuDrW6o83JzsG-jE3VD_r8wI585ACyV3YSt2uT47iZzmyXAnlgWIYD05m9zpql4EbjpMC87M
d65b254b,Glyco Caps,Drip v1,(proto Drip),https://lh4.googleusercontent.com/vF2bi39R7qqC8o81m_ELh_JltwATZ7GOdUWeEHcHVXJVXVfvwylGHBYS8XmWZf320yLXpEm-by2Kc53PS7WcKtx2CyEP9O9wImlovo1EVyKI8Gsm19d0fD4kYXfr1l5WYuHofeH6VYA
120a6ab2,Glyco Caps,Drip v1,(proto Drip),https://lh4.googleusercontent.com/-0gqi27YEF6KgoZ9JJg_64YRA_9Gs8DrGdnonAKYGWgkLFy3zCC7r0SdkgxtB33sx4vZL9nheUra7vEO7JgJmr11fCoWith53qkZvGdahyAQTNcGIf0nt3uzSGm5jf7G2V2Vcc7k3hQ
cbe1677,Glyco Caps,Drip v1,(proto Drip),https://lh3.googleusercontent.com/CbjANcy63wOZXF6wApMKdiy6_G7NhI7yxoU7vjpsvlBaqfKUkUqPrbMeBhwEPgiM0pD-sTisTRFmUaIukJkwPxB7ikxASZfu3eQn5Ilcql5WvKKDS5vyJEamnUaF57lnX33CZ4ZcsXs
4c5b6ff4,Glyco Caps,Drip v1,(proto Drip),https://lh3.googleusercontent.com/oGW3Je0ZTKvnxa-COT0H25RDz91lClbRaAB49deust0-Bx7tGMDIbKdzlz72ULZ1EyMXzQoHeajzQ8ozQ5BnGFIZtjT1OB0bYBPOjkDhD6vMNflvmLtZy-J7ZqDQsKBj4QcPrTrAc5w
caddc1bc,Glyco Caps,Drip v1,(proto Drip),https://lh5.googleusercontent.com/guh9DcoD-eZq-SXkL1yUHYm-qBMF9HPwZ2O2jfJ1eAsUDSmVoqcXN1qaajCh-O4IDnuJjBADTH7V8HZsEYH4pf9Qxh8EBKDX_a9w88yUmt2r7JHh8Gg1twxrgBS5K8p7Lzvjs1TJ33c
d038e22f,Glyco Caps,Drip v1,(proto Drip),https://lh6.googleusercontent.com/jr71m_IIWHC0H-629PLbVEuRU1M3Ut20CEh-ZAfVHR6HP_0IJewPb7EuiGenp8AhNC3PjTLVMnZH9MTcTW9gRdigCO8JONjuFV7pFBFvOdNpnoc77wJRZdXxkFbuhZVBFKqEssJyVl0
4beb327f,Glyco Caps,Drip v1,(proto Drip),https://lh4.googleusercontent.com/rFQSKnugsruYWZQZZPmd36uxUgCzdH-8ZFDMUgpF4qJWHfsEPvfmY3rU_UIMN7w2PohMcAG00gK3yVAvreayyzKLbOV4D4X3T_4p6aQfZGjcuAJwiGVIsLDVVwZjagk99jrX3qRMHxs
b60f87ea,Glyco Caps,Drip v1,(proto Drip),https://lh3.googleusercontent.com/ARerLEuIh66CUKll38qb-XT4TtSv8LOzD-BXQccHeRDE8G-JY1BYfgZxy_pIoGant26msw1gh62HI5t03c8soqOoAVGlVPX7vFEd5aLIvzG3TFTkmZMbjVHqXqR5wIce1hC47NFxmwQ
3e872d4f,Glyco Caps,Drip v1,(proto Drip),https://lh4.googleusercontent.com/3qD0H7IT5yE5Hkxx2XlUf8RGffcdbuUT3h9mUTSVtoIKrU7NQoEMxmxiwqREusJAGkEfbAU7ivRwxpm6n6jzchiUOLd-SmTrigYIfcLfInBpwuUiWXO51v3Z9JQMNlvebenkthhllpo
e1c2b73,Glyco Caps,Drip v1,(proto Drip),https://lh3.googleusercontent.com/HZfySWWefHJKMyC9loC7XIbzHiSykSlEEk0GCB8KEXNqQvudZoKUoyzdr_wesRqWgG4OtK8R8NK-Bg9lYd1aIpGqnclqpnGJiyafTyA0C9BXYjTDUorgjjK-OngN0zIXcfzu9LY6-8s
66e753bc,Glyco Caps,Drip v1,(proto Drip),https://lh4.googleusercontent.com/-oWy5I_iM5zfvK0k8zrL5istYQfYr_Zjzi8JoLyN5D7tBK918oR2o3vgdeIC59hMjoDd4djA7NfxJWn3sPgrptfxFnJmjTeL3spLC7cQWaGBSS4dVAPaOHQ32UxJpQwMQziEL3-DWYQ
d8d3120b,Glyco Caps,Drip v1,(proto Drip),https://lh3.googleusercontent.com/foQa2hNAK0JFsryDFSVfbxQHBRuvWbZTyALTkm0X7CtDE4xGBLNVVRhbqiIuh2U7JYQpGzMSC3i_cqs2ARMgKTlxT2cXto1nLBlApHW9yHTd9lXTyNjjUOA51UcmFQYerU0ywSQsaLo
efee1bdc,Glyco Caps,Drip v1,Ubelicious(First official production run),https://lh6.googleusercontent.com/YS1IUsKG08sRhVTgvO-Gm8oYpx6JvW8tZ7qinT0gyZQ00V1qe-5VyGUtHCVyYI0090NPERXNWDQ93lCYrGg2XQdMqqqMEmlki8lsOzvxRcv_sDBrqYDqMxKTsrXDbB32rV0Aj-H21T4
61d00451,Glyco Caps,Drip v1,Ubelicious (Infected Variant),https://lh6.googleusercontent.com/f8PT81YdyhnuDwY1pM-IY2UNfJ72a9bNgRqbcsNHzD7Qv_-C-UnzDyqyO2umHpJUnEUQkRYKQEKZuDpF0Q4_QIoO6KPdAUYc2TK9FtcTa4iJKFL2Pu5fBGTPAk0pcmyGw5cjyyMu1H0
