id,artist,sculpt,name,img
5961aa74,Goldenstar Keycap,Anatomy Velites,El Cabo,https://lh6.googleusercontent.com/O83AcI5_NkfSJr_UiwX_Trrru7vRsxbejqXazz4Yp_fqGvONwEnVLjodboh5mR0gge6tRX7jxRFg1grWPK1rNQogvQ7avZPzcWIinNsCsO07OhjPOjrwtOjLc2Nuqpt2z5cd3Qykb0E
95e05521,Goldenstar Keycap,Anatomy Velites,N.Y,https://lh4.googleusercontent.com/snVz23jQE0oVlWED_LOIHN6HQdAedQB6A0zcG0XEkW_GvejT4v1VyXbqN6tUbVaX-RiftMhRo3LbTT23HdtgInj_1AWlHtQqzIGnRIVPl3J8MalbJEFzyavcSk3Z1B8uWmHy3J9TqTU
956e731c,Goldenstar Keycap,Anatomy Velites,Hyper,https://lh5.googleusercontent.com/D8GEgWa0E-YJR8oShlfDdhbC2YL7WeuwF3d22mkCWLm5urE2S8mrP1l7wKu7UlZ1AitOYH0GuGOq0SUE_mF9FPwxTJdhbn7o3Ko2iyRJ-wXfTtTkP1e_hFdSpsD6ko77-gkm4QRRWjg
1c6bc044,Goldenstar Keycap,Anatomy Velites,Redhill,https://lh3.googleusercontent.com/6vp0TSbL1BT4bg2qr4pu2SeT5eNxZzt2a_QBFdjQ253ve2J5RtezHwfb90b1xYVGkMJ8sFNK5tkOwTn9PSeUzRfZKDGV26vOc7sWdmoJKw0SGkDDOJzrQqq7G-O9v4gWqPXY9JSbYTY
2bb8dcff,Goldenstar Keycap,Anatomy Velites,Bleach,https://lh3.googleusercontent.com/HwVDN0k2fkOG4SLsCjWY2z-3z_6msxaHEaAQmNHGQ4s37VD6Db4Ag2uGd5QkDIrSABKFkkarWuFy1M5OVBQdnk5XgAMjSVBqJTzv_iEE2DTMJZBL_yVPGNNowhKTKYCsqCR4SqZWWLs
ef0175d7,Goldenstar Keycap,Anatomy Velites,Taro,https://lh3.googleusercontent.com/PC_9hI2M4v0Iq_AoKD50kwDAZgUk0PWk1xBF3ZWicSVNo4xO8Q_0GNsCBImYDzL5GS4zffYvfvxERctAptjP869p1ZJZMuZt-CMksMb_bGZw70uqGLY8AyFPodj8CNFhOedcwxg9WDU
247e2717,Goldenstar Keycap,Anatomy Wooloo,El Cabo,https://lh3.googleusercontent.com/bBI6B-QF9Ufj5Nk8WPOKysXOXl71qnVqmp8yR5H-3WA2sPXZ6CXws2pCiQgBzh7ZXbD7sk6QRmmMnkl2B9yUeju5vSpGW_HLIWRaX03kzwziensnPU_nynEs_F2J3iFQqlW_sTGdQOQ
11ec3a0d,Goldenstar Keycap,Anatomy Wooloo,N.Y,https://lh6.googleusercontent.com/0eHu2YkQArQbVfRdTu2Mkes7rEzKJC_Zn2GWm8uhayrXhJmA6B9TJnl2nuvWZpG0o1UOawbTjVGOYBzAUIG3n5lEOPiYsg9U8Cq4ICSv0VpugvMgFC7GFKiBqzgvYAi3dJ6Ok8_tbyA
783fc2d0,Goldenstar Keycap,Anatomy Wooloo,Hyper,https://lh4.googleusercontent.com/qIzP7G_ifZovWCQ1cqqGR4NsSblTCaVp3LeZTAPo1DN86fiHAd_Z1PWIXFj-MJ8a9uA2XU6y6lxfDDMbCZ97ky1DfoApFVoKGCZ7CLmhI0k5Ex6o1EWwZNVHn6NCyVY-d2mdVg07Yf8
fd1769fc,Goldenstar Keycap,Anatomy Wooloo,Redhill,https://lh6.googleusercontent.com/3rCPAFbqbQ4Kbj6lq2fxw1L7UWpsqXZfHhw7UAXPDzKNChQtXQ-b4rSVfEY_-Bh_-wF-LluWGJ2G_74JKI7oDHk6AmtdPjYWSU1ubJVA6VD-XOCaRIBAiwDO4bMVtHoM-C_fIYdhn9A
5a220e76,Goldenstar Keycap,Anatomy Wooloo,Bleach,https://lh6.googleusercontent.com/WYRDpRyDpic4qHRB049JqYWwZoYXdfogZqE93EzyXEkv1sWqcnbvjSy-F_YEf_pTKhFexz88CdUuQLdOnCvIzEgB_LmGWXYjsDxsIa1R8ebJjonuEl-des9QKZo_qS4Fbi4-a9V63Oo
42b8740f,Goldenstar Keycap,Anatomy Wooloo,Taro,https://lh4.googleusercontent.com/qx12sDT7HUHilLlo264Bf0UogoAFCJvKAgJ84A6JC1Rqxij0exG3WnIZEU0L24p5liPDZHgJg5kmOsU7Rzy-jG-F6ZKl1mYhO87GaymqEqX5Dnskzg0z0TV2Zr7J1YvdXxT3NZDrXqs
e9162a40,Goldenstar Keycap,Anatomy Bara,El Cabo,https://lh3.googleusercontent.com/9ZHdLkkFBGoguG508el1Shz7ung24cNC-dN1z9hVwBPPH_mzbtj0KP0x6RyYstknVJAFH0qTy89dPIN_aFQFwonlTOSUO13a5HzeEYq29FPfdSPX00w6qK3aet4tWydjE68e8PYvWA8
