id,artist,sculpt,name,img
8a6d5598,Gothcaps,Sunken Hellcap,Constellation Sinner,https://lh6.googleusercontent.com/XcE6gKloSCdERN4nPSnLoDstrdPiYycU7EUaRhicNPTOckiBOaZKuLi-mQgBY3c-wzip0iftYAHsl4bOXliJ145_4t_cX2Uqwgce-0Vo3XfF8J-9CjvJHUSILWFDglIjN079OPqSK_Y
40f37a30,Gothcaps,Sunken Hellcap,Konfetti Killa,https://lh6.googleusercontent.com/nTRPoDiSLc1leYu0sZByJCR5TwCLm4eeFk6xvTPoDNhHlyAhL45fFRudeA2Z9vqXtWjMhgmE0kTvCgff6viJfeynhGrRTNnOUX4TSPXXOxCQcyBjs5sNG0jI1tPuEtQy6I-sgLgrV7E
43bd8332,Gothcaps,Sunken Hellcap,Unicorn Puke,https://lh5.googleusercontent.com/4FE_roXXwmD1P6tOS1eZ5Tn-GyclS9IE33CUxc3Evzi28_b8oSfJ7LlyZdePUYiEQTh0Yq5ptvOsVTzljtcETIGqeC8iGHg56M_qYKk_WTNs6yoHynrAWoRWcE-XSI1PCtm7EhssOis
ef126c28,Gothcaps,Sunken Hellcap,Silver Spring,https://lh6.googleusercontent.com/wymM-6f_rrG3r2FXRAkHvyQZhzH72w8kFxEEoQ8kulO61OeqTeKPvYqv3L3bFyfxisBe13eVOFmZYYQMhbkXiVRjdH-IF26m3eO_EN627ZR-eAFdnmdDIW_A77sYWkrl5SW112uCVBM
616d2759,Gothcaps,Sunken Hellcap,Cold Blooded,https://lh6.googleusercontent.com/d9nlROsEFPj8Z22fTQ55wNOsxwKXAh-exKS3e1PgTFn2NoFSBQv3BgmwKbfywjzCHaIFr18kU-DdJdZYYFYD8CIHnoaGHP0VVYIoZDZSmO0jEqiGn18ctdKDeMkQH-hyHe8uiBr59FE
1def60dc,Gothcaps,Sunken Hellcap,Pastel Princess,https://lh4.googleusercontent.com/e1jQhD3RiBhBBQMOa2ITli3QkAz-XpCfN82taXyIiAr1B14b5hzAhd0BTwQ_IWXIciK5xfIfzbNKl1pgFHhijHyniQWE7fKwjZEcggpBJ_0fQF84NfCJs7lfcGOM9mYmduNkHHYRG8U
ea2a11f8,Gothcaps,Sunken Hellcap,Emerald Nightmare,https://lh3.googleusercontent.com/nnvWjn6qCtZqzfS-ewLwMbRquHzd3kXSpRJBVqHAPF-s5nUy4Xledo4Rct4lMmsX-5xM346OdFLEqOqXyBbm4EtLvYdHVw27MnS_Oz_kvD_7aAzVSXQxG740TrA7CZcwFDsjH-FMhmQ
a01b0da2,Gothcaps,Sunken Hellcap,Anna,https://lh3.googleusercontent.com/8n9umhY0sOcl9a-WLgjUAiARUohojDKK5XGhh96vZXf6gBNcFslqVvFf9WRHs8AtN3ls-2fAYXqEg3p6n38ge6QK5alsS7wzFKLW_TF4aeLS7oyJNIE8bNr_Pi7esxhn7DUne_kOndI
bd7e043b,Gothcaps,Sunken Hellcap,Elsa,https://lh6.googleusercontent.com/ootdFWiThXrW1G2wFP15vfI7P-0SGDw8w1Zs6JIk3jCwoOdwc2ovunXuWo9cyWIcB4d67qTllUThQPkdEZARdOn2P64PlKbW6e1cDW6XkVgUiQmM0B7bv_B8r3LybJX6dlcUawFFmgA
5cb9d1d6,Gothcaps,Sunken Hellcap,Miami Mermaid,https://lh5.googleusercontent.com/UKW6ngURY_jyISc2SrhTbJaf7w3V9sgCqgSsw7kThJuobaxbQJNkhIr_SlvtQzJy96CCt56R3vMH74uz9hNPv20PBDeqv6keuzqXCOIzwOZgMzEOgidwVxtbOs5VpEAqbx2wzGuKr-0
e3805b84,Gothcaps,Sunken Hellcap,Paws,https://lh6.googleusercontent.com/O2o0XNkxgg9q_UyeZZo5GKJ7Y_z-tSolWZFbk3bi3_ng71QosjsdNc7KHrZM1VUCxs-_0usC-P9tGdv48131vnLC2mdn2mFRR25E4G79KbUfgCQBTQU1Jt0Zle0dkQXmLE2g7WD7gvk
