id,artist,sculpt,name,img
3526d94e,GTB,Stereo Bandit,Original Bandit,https://lh4.googleusercontent.com/_D0CCqGMq6r2y_5TV1FWssgvWUJsWVqiAbrrkGzcfP23LbhdlVYmkB_KwX2IGEWAww9lR3WXtYmglJVOChYm25buWSE3fXu3s2_GEQnsNodARFC-axzOsjFFrbS6h-8qRw=s1600
9fc7d500,GTB,Stereo Bandit,Shadow Blue,https://lh5.googleusercontent.com/o6dK9587oXnS32bPvlB1Fn9oWEAOzWQfn9AZWxel_zQvwDDs4VfrykjpJPydaNhGaA3zDj3oElA7UCzOR6_80emu3bHv4CUnbUYKsbRfMK3QwsFn0R7ScN5G4G-srl1vQQ=s1600
b06bcb2a,GTB,Stereo Bandit,Shadow Red,https://lh6.googleusercontent.com/HdxxUTdYODi769gOS-U7WinPmRJeMRbdRSYsVl6EL0AY1saHOvOL6T2zC9WYDfdCpg1uQaK_lLppzzQ9Q9IKs_0Dl5dh9vMg9ekJUFOw2GGQIv13CnY57SKqerrVSyIn7g=s1600
81bcceb9,GTB,Stereo Bandit,Shadow Split,https://lh5.googleusercontent.com/WVE73So5MWxT7fIdfWMqxGF1H3ujxSd4N8bziCfjaG-adJi-G5qf4rmB9IJ7Miud8NlQCLkGWmAUD7Hz0rUHK32WTD2A6IMvVn33rF6M1Rs0YcNfSxxzzaSbiXeT7I8F6Q=s1600
d4f75426,GTB,Stereo Bandit,Purple Depths,https://lh5.googleusercontent.com/awPfsLUdOAD6zQPA27V9Sli5ROTbl2DJzNercfPnyk2MNwBFdvwzJDTbVpNiUEQy6XUb6dvagdgigON1r_OjmUClkoLTkS6jAHPicaSyiU6o9TF80HxWBpO29LcQpl8Umw=s1600
c7439233,GTB,Stereo Bandit,Orange Membrane,https://lh6.googleusercontent.com/ajibOcWkTwhz8satoL0qMmwt0aVxfNeNSP1toLMQ2OhuopmCi1ns49ratmV0D8_9VlqX1ZG4biOlB3Kyqmx2atkltaeIboPoSgvLWLe3LjpdhKVXR5znSouE0kNBWcmTlQ=s1600
7cb728c3,GTB,Stereo Bandit,Sinking Jade,https://lh4.googleusercontent.com/iDCVnuINJ0_b-kcsW5VHO5TLgOof2jVNJusxIZhxbAUgne63TcFVg8Dwpk_JMtw_zpOVF7WAREb4Bb9emKCJz9xNrDRBN21K9PWlpAD8BpOKLbfLne5csiT6GWiYLm-tpg=s1600
18b0ee62,GTB,Stereo Bandit,Two Rules Broken,https://lh4.googleusercontent.com/xDA1fByWr3GTednYJoAdqhVlwa4cGajCR4rEf5JNAUM6NthtQRRlFLpMC4erCOCQ-pHwCa2_1fXvYkRFmzCZcpNmik593--jX_sHq9vMq2NSYc11QkSHesMKs2Yj7M7bjw=s1600
39d1c14,GTB,Stereo Bandit,Code Red,https://lh5.googleusercontent.com/yC_ACEAmAnR-s7q7_7qPlo_cDbOtgYrPwla84U9AlSzs9eX2bvM6L-nYlJ0mP9xo_fxkG-JgItf9muZjWqDiHcCk1IrLRCRlkRfzQ5agSMBGX05KHHTAal0hQUj9_DbNzQ=s1600
81ed3cff,GTB,Stereo Bandit,Aquanaut,https://lh5.googleusercontent.com/twU3Gx_NMrldx9mkNqjjSBFTpubAzNagd7b8TR7iG3yQHFJRRdCrbDifrOVee6aBQeyguPmOgOD5dVANv3YVRDdYS8Ef5Xby1i2dfKcYJHnnYDLsW6IyGrEbplcjxfwbAg=s1600
54537b07,GTB,Stereo Bandit,Ski Squad,https://lh5.googleusercontent.com/DbthaZkFNghdeQAfy3XITuXSYiuQ3DAvpeIEQJnQ_eXSqnZVSw5mXC7kyZWQ5ZEnWzZBr3Lo38iInDMUnKs1JPpJ0izEne5mlqNT_us4NtXFK3XWfBhLe9tSP5tynRgZBw=s1600
669323cd,GTB,Stereo Bandit,High Roller,https://lh3.googleusercontent.com/QM-dSPpzGIZ7AqELkl5sTX5Z5go0xhyUcvdNJs5pSOxxpgICiKzb541aHbTgOS4erloScsE3oL8G-Ukn6gwgG986EsYMLow3x9LUdqRGtyu8MmCU9sDPxxJXlPWfKXCBYQ=s1600
86e82c32,GTB,Stereo Bandit,Teal Vision,https://lh6.googleusercontent.com/E7knfcAS06qqF7kKgRHN3pusrrzmlKUMgLY-UwD1aLFNc7ESqGYxWAtpL2eqhkseSUNUe1QVCR1qlX2Gi_Otze3visN2UGyIChA0362rieTLGWdaQFaw_0hlGEBg_fubQw=s1600
bb23bbe3,GTB,Stereo Bandit,Pink Vision,https://lh3.googleusercontent.com/MDig_sapJXMx5rc2TW9j5OSQkLHPykk7K50EjZWTjLIrnAKeWaAXpBraQVgaFFY3yXGwvKdpuaXABDGew5a5oOquDl6ySRWKucxQI4aZYFc20k0egtgfNBl9p-sAgqcIgw=s1600
6b558ed3,GTB,Stereo Bandit,Black Hat,https://lh3.googleusercontent.com/fteVNu9nmXjwpCCjDX1QPvsZvWsdFyZzd2xwhTi-OOJj6WZj6dvZT0bYWizyN5cg7fH-cXHwh7RL8V_oxqvHvjjVyFBshsUJYL-ZYPwvfOGTfDct6M1R8_NO_tGwB3HS7Q=s1600
c0991dce,GTB,Stereo Bandit,White Hat,https://lh6.googleusercontent.com/ciZxeE9U7oG2gizBpVnFo2_nZPRepTf-_FJVkialfMGH_pzMMTXA6iW0WIWxDfyXd2f9-kSOy5DQQtrE7FAd5yfan7kVhiAJsHhahOykZls6mjhXYQHDn5NfUOAN_6GFJg=s1600
e583430,GTB,Stereo Bandit,Keeper of the Flame,https://lh5.googleusercontent.com/ysAEyJua6AXt99C5B3ZlrQv3dPjOGMqi5EFRiGN2TEIJHKlxBQxJTZUfrGg57HkzIgtqi_a3r7H35aORpgmpCFVii_dqd2VbcXb-0-l94D0k8Vd47-D4go5G_s3PeBcpIg=s1600
93c8b98e,GTB,Stereo Bandit,Cyber Pink,https://lh3.googleusercontent.com/44pNLuSTH9Iny2L64sypk9Bp7i-IPOsFDlJUq8nwwFZvubK2r0EfTOPCtMEYFLxQc1W2rfoYXBs0_BQjxh7JdwCvOZs6Bx0HnsdkplMlfPo7GAKiJahHFaG6r7LD6XSRfA=s1600
b4b6b67d,GTB,Stereo Bandit,Brainy Smurf,https://lh5.googleusercontent.com/HmcngezgjGdeUZJcf7ZSGtxeYo_QxQemhaszLoGZyqVhEti96D5_52dWvjOg0MUGCgQX3qox8vfI5oNEjAbYKDnWGmwcLeCIGQ6k18DJByqctI3Qzc-MCLCA9EEW66bG4A=s1600
24c6dbbb,GTB,Stereo Bandit,Papa Smurf,https://lh3.googleusercontent.com/VyirGcrHreJUYsH7H0-2sh97Q-8mpyWin1iGos33FF5YcfQvCteqSm60ZRB0AykDG6q9iEM_f9hfsY02sAzEi1at5sCPn2g1aULFiFNwYWcRqRKSfBf-H--nS27e_lHIqg=s1600
e19bf214,GTB,Stereo Bandit,Infection Vector,https://lh3.googleusercontent.com/HNscH8diSda01tRbpGdd2tiMz2f9z1y7WbU_MVH394znZjwRMc6lZ0Q9IZc5tYmsy9cuKR7DTT226htPvX_Cqm0Q0zSOEAQS8oqYDPwRJZ5s-EFbwhwWfZeljyCU1zXCWw=s1600
4b6cf7b9,GTB,Stereo Bandit,Carbonated,https://lh4.googleusercontent.com/-q9PJ6Hbb9aaoyRGqMmi9WWXMIFL131JH2LDkKf7MxTURH1Mu9txs82cJjYVDnpRuT7rkWYWj_NXChtMonuoL2tn6X16Y8w2fvwDZfXDNHTbYtyysLJ8cwXRbjr8bZj9qQ=s1600
22e227be,GTB,Stereo Bandit,Phantom OG,https://lh6.googleusercontent.com/INbU8II5pgsRJKQ3PPR0IiCDHptrQqKyFS3zSezdBjrOSCb79DJrlLYgBJNhUo4EH79RJYS496tpIHPGQ68ajnFaaRH95HUduJ8rnBntKqamGM2qlCk2KYbD6-GsA6PhSA=s1600
2d195988,GTB,Stereo Bandit,Original Outlaw,https://lh4.googleusercontent.com/_hN0HRJ3dkPqX4zFgESzfrTzV8_Vb0XMopgNWh-J_YiZVtn2rbhf1W_SLwABvlrGlyF8V9wgOkoYc7KWWqkKKrynlkbtRgbSRF7Qha3vr__vQ1Y-Jwtb6Ll90DSNF93hpA=s1600
f9c03e7b,GTB,Stereo Bandit,Sacred Circle,https://lh6.googleusercontent.com/BBVFmQDu2OOF0lwziVop0Q4RVkdNbvovveWCovWuE5FUBc-PAzApCcZoymR_RjF07bGCFc5jIba174KNOb2uKbZnEYrJMv8fIBqrpT48z2K1W0zmIEaoB5PH1N99inDqxw=s1600
b787a2d6,GTB,Stereo Bandit,Sacred Square,https://lh3.googleusercontent.com/-EJkT4-cwyPMo5qdd1taVPJ1h6xRnS7iBRLIYstXzU5zQcAkMlDjyUsMtiTlpGxaWMg9LCb4nmmTpj2-aEURbgrxIBIiHW63G86VDwncxsVHDh9oqFAlbeyXXTHoZVjGyA=s1600
afd7e6eb,GTB,Stereo Bandit,Sacred Cross,https://lh3.googleusercontent.com/9g4TulAxk5ynm-IOx1W0cxgH03zHvTv2MPI1BWw2Ab9TNi_wgojaP6uxUqyaV7hg6d1J7gAUjQmSr1Q6a3DSGzWJ7r6vKIl0p5s24mbg-6ejGYShWHVT7_GtyIgaOdkkmA=s1600
