id,artist,sculpt,name,img
e4cf9b85,Inkblot Caps,Manic Jack,OG,https://cdn.keycap-archivist.com/keycaps/e4cf9b85.jpg
ebcfec2a,Inkblot Caps,Manic Jack,Monochrome,https://cdn.keycap-archivist.com/keycaps/ebcfec2a.jpg
500c118c,Inkblot Caps,Manic Jack,Snowman,https://cdn.keycap-archivist.com/keycaps/500c118c.jpg
8c6e1c6a,Inkblot Caps,Manic Jack,Olivia Light,https://cdn.keycap-archivist.com/keycaps/8c6e1c6a.jpg
4ba77ce,Inkblot Caps,Manic Jack,Olivia Dark,https://cdn.keycap-archivist.com/keycaps/4ba77ce.jpg
41843a64,Inkblot Caps,Manic Jack,No Face,https://cdn.keycap-archivist.com/keycaps/41843a64.jpg
1cd26bca,Inkblot Caps,Manic Jack,Love Struck,https://cdn.keycap-archivist.com/keycaps/1cd26bca.jpg
ee7dd0f8,Inkblot Caps,Manic Jack,Krusty Clown,https://cdn.keycap-archivist.com/keycaps/ee7dd0f8.jpg
17ff6bb8,Inkblot Caps,Manic Jack,Beige,https://cdn.keycap-archivist.com/keycaps/17ff6bb8.jpg
c71cdb47,Inkblot Caps,Manic Jack,Dark Taro,https://cdn.keycap-archivist.com/keycaps/c71cdb47.jpg
ad02fb83,Inkblot Caps,Manic Jack,Light Taro,https://cdn.keycap-archivist.com/keycaps/ad02fb83.jpg
b48401b,Inkblot Caps,Manic Jack,Marvelous,https://cdn.keycap-archivist.com/keycaps/b48401b.jpg
26fbfd29,Inkblot Caps,Manic Jack V2,Analog Dreams,https://cdn.keycap-archivist.com/keycaps/26fbfd29.jpg
c2d41c36,Inkblot Caps,Manic Jack V2,Beat up!,https://cdn.keycap-archivist.com/keycaps/c2d41c36.jpg
cda2373d,Inkblot Caps,Manic Jack V2,Neon,https://cdn.keycap-archivist.com/keycaps/cda2373d.jpg
45aec2cd,Inkblot Caps,Manic Jack V2,El Muerto,https://cdn.keycap-archivist.com/keycaps/45aec2cd.jpg
d938c0ba,Inkblot Caps,Manic Jack V2,Rick,https://cdn.keycap-archivist.com/keycaps/d938c0ba.jpg
5ca53926,Inkblot Caps,Old Scratch,OG,https://cdn.keycap-archivist.com/keycaps/5ca53926.jpg
7fe84126,Inkblot Caps,Old Scratch,Taro,https://cdn.keycap-archivist.com/keycaps/7fe84126.jpg
fe8f051,Inkblot Caps,Old Scratch,Monochrome,https://cdn.keycap-archivist.com/keycaps/fe8f051.jpg
f5592ceb,Inkblot Caps,Old Scratch,Analog Dreams,https://cdn.keycap-archivist.com/keycaps/f5592ceb.jpg
212a4c59,Inkblot Caps,Old Scratch,Beat up!,https://cdn.keycap-archivist.com/keycaps/212a4c59.jpg
8cf9e777,Inkblot Caps,Old Scratch,Neon,https://cdn.keycap-archivist.com/keycaps/8cf9e777.jpg
980da133,Inkblot Caps,Old Scratch,Mictlán,https://cdn.keycap-archivist.com/keycaps/980da133.jpg
45214577,Inkblot Caps,Blank,OG,https://cdn.keycap-archivist.com/keycaps/45214577.jpg
cc744bd1,Inkblot Caps,Blank,Monochrome,https://cdn.keycap-archivist.com/keycaps/cc744bd1.jpg
4493057a,Inkblot Caps,Blank,Olivia Light,https://cdn.keycap-archivist.com/keycaps/4493057a.jpg
b096725e,Inkblot Caps,Blank,Olivia Dark,https://cdn.keycap-archivist.com/keycaps/b096725e.jpg
d69cb767,Inkblot Caps,Blank,No Face,https://cdn.keycap-archivist.com/keycaps/d69cb767.jpg
af93aa43,Inkblot Caps,Blank,Love Struck,https://cdn.keycap-archivist.com/keycaps/af93aa43.jpg
aac04bc9,Inkblot Caps,Blank V2,Beige,https://cdn.keycap-archivist.com/keycaps/aac04bc9.jpg
ff777ca0,Inkblot Caps,Blank V2,Dark Taro,https://cdn.keycap-archivist.com/keycaps/ff777ca0.jpg
59f72b2,Inkblot Caps,Blank V2,Light Taro,https://cdn.keycap-archivist.com/keycaps/59f72b2.jpg
eb7e05c8,Inkblot Caps,Blank V3,Analog Dreams,https://cdn.keycap-archivist.com/keycaps/eb7e05c8.jpg
781edb8c,Inkblot Caps,Blank V3,Neon,https://cdn.keycap-archivist.com/keycaps/781edb8c.jpg
50c50258,Inkblot Caps,Blank V3,El Muerto,https://cdn.keycap-archivist.com/keycaps/50c50258.jpg
b5eb3554,Inkblot Caps,Blank V3,Portal,https://cdn.keycap-archivist.com/keycaps/b5eb3554.jpg
470ba2e5,Inkblot Caps,Hat Jack,OG,https://cdn.keycap-archivist.com/keycaps/470ba2e5.jpg
508fcaf4,Inkblot Caps,Stalker,OG,https://cdn.keycap-archivist.com/keycaps/508fcaf4.jpg
28075a90,Inkblot Caps,Stalker,Enie,https://cdn.keycap-archivist.com/keycaps/28075a90.jpg
be81abd8,Inkblot Caps,Stalker,OG,https://cdn.keycap-archivist.com/keycaps/be81abd8.jpg
