id,artist,sculpt,name,img
bfb59007,Jibii,Don' Apache,OG,https://lh3.googleusercontent.com/JICTieHJpDZ--vfuu285Z6F6n11SpzW1ccBrQQj8XwLg6OzDDKY7zOaILtWRTloZaxAoV-k68VPfHDPqK9EJA58b-56aGufPpspESz378MwIV9YkCIt8JECnQP9QevNdEasrOvYyloI
33cbcd1d,Jibii,Don' Apache,Matcha ICY,https://lh6.googleusercontent.com/L2c4K8yqAfM6TPMwd8HX9eYNztsUqL_n-K6yLmp8NmbjdFLSvxuWJpUnGYK7SmPh14TgdCx5G0DY_sa00QlpGPyWkI3yh72hlIwbEplJOjIoZF86FbHO8wQGDpoK0BCVbc6y8G0TAr8
9a14f956,Jibii,Don' Apache,Christmas,https://lh3.googleusercontent.com/KiEYYb3IJ9L556V5mwlR5JIc5t1voFuMG2FwK_DRUR0tIlVI6jE91YURyVY5aEc2DTEKXkFXLzHhmcBWg7JJ3itbqaerzsTTEf7nfkQ2vVx3ZsE5EJDyEIkXcdu8Ha7o_ozNjXinxn8
5e736680,Jibii,Mr. Apache,OG,https://lh3.googleusercontent.com/p3sbyauBa63dR61ewVy7kZWSxvJ9qfOsraxbT3WRrhhN1-N_Y0gN7MqsuMgJD5WMRlisllO3io94G8jZAvbFqkctgKbTrKnC5KaCB8m962W6nH8rmszr0E5cW9vNc_PmEZk60eYVVJA
3e11bbe7,Jibii,Mr. Apache,Amore,https://lh3.googleusercontent.com/DpLWjGFf3tiEsbrSY6u-GcrOvbEdXkehVDkDSfKXb_ZbDJySbhabN2APsOzmZtHLbTp3-Fb7H6ms2YYCqEMflO3GgmbYMjzumJ4pHhrnTz_Gfc_W0rWSI6_7dM3zRxJ9ZWB_pKZfjM0
60d282df,Jibii,Mr. Apache,Zen Pond,https://lh3.googleusercontent.com/lGPOHADaAmbb2Uj1brAaC4kZb5QNHOgb73Nz2Ya8P8nItbYujaRGSr2YPw7B-i1bBworg0q9rtKd7mwZGkF6AnlrC-1QIbJtC1yIItzVBeYmR_15sgAPyq5mskz8p9QGWtQPy27xcI4
5c664ee9,Jibii,Don' Lark,OG,https://lh5.googleusercontent.com/he0KEXLC1grYiDM9CTktyB2oxVu1Sv83bWfQvS124VZpZHDAfIJa_UZfaJ3uzsANB7a7U2a1KUJmfHD37Ws4IBeUk7IotSQ1gH0xLQLAdsXCwEZZITFjBwNqkvzx7Mt9YUOfFOJQONk
ab4a2f8d,Jibii,Kapone',OG,https://lh3.googleusercontent.com/Lgfm_TunG1cljPUpk-ZOVY2MlXfqyT-tuIZHHUsmrUKCvto5YZ3_NLBylU-N2wADPDBgjyx6Sdk-J08PjZh84PyGsq-VXvLLJ7FZclwARdfk7XOanlTcAgnvxSjTvXRL032JF6TiUZM
48775405,Jibii,Kapone',Amore,https://lh3.googleusercontent.com/u15reYFshCeKfxOmfXxsEs2hmFdKHVNK4x0uZ5OWQco3gmIXhCeMafyd3hzjesvuSqzVPYMMD5Lw1LW92l0FOzyzZoIFFLzHuBOn6amGgpASOOxYRkGvErX1IVuYVDNv0IiVaDKvh70
efcbb1c1,Jibii,Kapone',Zen Pond I,https://lh6.googleusercontent.com/g-DWslaya-UOnzu9oYo-WvkwoA8pIOk-hCl9sIQWN47dB4LxhmFYeY0rE8Hgnb4SzbQd_4Gf19sTeF76kXbp9_vdnpN98qrt__k2n6YuZ8IFm85iBR9mPCbEoIqKNPgAUB55zR-HJbc
3dada6e,Jibii,Kapone',Zen Pond II,https://lh5.googleusercontent.com/3bk-ZlCOWLGFkgNcXiDFxP_o0VrI4rZnLnSFzEH0YRhs9fDtviurjG5ghGHe-WfqARAUw3zxfkDtqhm_KiK5E-iZNlF4TNDfrBnMUN9fI6Ar0lYeRUnOYpghu2cucLFFUfnXsckBdpY
2d6ca4ec,Jibii,Kapone',Pastel MCMIC,https://lh5.googleusercontent.com/EHPMazvZyXtLhvvO0akEDr6CQMGNdf3kW77i3RzNvwJSzELjKqCKPEUwOqeHoOzyaxkelIPpBZglzH3wqJ1qZ3duKFGONSpCEF4_yOTqjZ46Ay_xSL666tzEfX8oWlNq5U2NJIpdxD0
37c2272c,Jibii,MAD,OG,https://lh6.googleusercontent.com/wsfdmQjsgIZgw9jUXtuY3gyN9xk8OnTECjCKJIVlUAAlL-3bt6oXxMEcbBNqQu4xppMPRPhCFNQzOjnHxN9U0T2OukRLEbh36RDkzm7Jp9RwopB6UHcs-Kwddm-ZkayRO_gMmoSo2Og
717059e6,Jibii,Ung Ing',OG,https://lh3.googleusercontent.com/MIwxz2xKKuo868lpmok2--ExsCyUqA8p_HLf_52wKHNNXViTFfN5_S7uIxkSkfq0Ob2mc2gjUSpj-lSdVSzcZrZoDfSJOZGCr0QWUgl-Ir58VIPie5nRqiRK66bE4h_tOpROQwgOIyM
e795d8af,Jibii,Ung Ing',Pastelle,https://lh4.googleusercontent.com/IqOAy3dHKeky0d2eGmbEU8PLBbU8IJCy8oKpDCEbs0dyZnwlowllUseF8IctWYoeBWbE94ionBrSsiQ5u1hsh_8OGRNOeSZsxCqbFCTXwdKNAsCTgo6g8HkIKL3XJpzsGaDc6pjw0Mc
be43e517,Jibii,Ung Ing',Christmas,https://lh5.googleusercontent.com/yvIlCH2EX7yI7boBcymxajuX-mo-EyAtD-lJOAJz66gRtDHAADtokOQQDfkzxd5JSEJiERCqAEv9YITDIQHPBMklpgKMSyEz_n0-_tDueiETvgtj03XiTaxPygKJXz3Ah_q8OjfvEEw
b282fceb,Jibii,Ung Ing',Aqua Qua,https://lh6.googleusercontent.com/0oKoaRYQ9TIxlJc6uwq5wIvwm8VxIDx-XvlROU7gSvR_EzkrbRCmK66NsufO6_3GhVRxVVrVVlvUTIBArhqPS58jJw-o12ygczo567ZnVH7zWPY2vyFY6Lg8D6sm0RP2Ww_iTedna2g
3dbc843b,Jibii,Ung Ing',Rozy,https://lh4.googleusercontent.com/aIoXKOba1wDA9wG1mY-5-Qu9hbEt1OXsMtvWk3DA7bPPYKmFeI8DxMUib4XfQ31WwxOWDIa66fG7O4flMlU_kcJyTYCr79v8HwSlnszXKyweGevAhRI9Vf2uhQBf_kqX_P4C5tC1iVU
588e4665,Jibii,Ung Ing',Roza,https://lh4.googleusercontent.com/K1Do2In_hpMnm7zJW8P2nanLdhVAXa94dgwJ26bAybRnS4GPlwwL8qS826qEN0TVHg4iTkMa-IkHl9OibYY_OQI5lLSPumg2p2-7o6wJYfZ1AUwsbc6ErKBZhGQgy-plqJm8X0klETA
