id,artist,sculpt,name,img
e2c5befd,KapCave,Blank,This ones Legal,https://kapcave.nachie.com/api/v1/catalog/image/d70a0669-6dd0-452f-a232-bfef461f4cb3
15b44014,KapCave,Blank,Red Spider,https://kapcave.nachie.com/api/v1/catalog/image/eaef1b72-f13c-4a11-be08-14799d67152d
5c32b0e0,KapCave,Blank,CreamBrulee,https://kapcave.nachie.com/api/v1/catalog/image/46c2035c-7b75-4525-bbf9-2f88e793f684
1198450d,KapCave,Blank,Phoenix Fire,https://kapcave.nachie.com/api/v1/catalog/image/515cb662-909b-4235-942d-11506799d358
82d39218,KapCave,Blank,Is it 420 Yet,https://kapcave.nachie.com/api/v1/catalog/image/0fea9a0c-df43-430b-a6f3-16b309a91f0f
e4428e8c,KapCave,Blank,Beer,https://kapcave.nachie.com/api/v1/catalog/image/4c98eec7-934a-4089-83bd-03ed2cc10d3c
7e3a6ace,KapCave,Blank,Mango Candy,https://kapcave.nachie.com/api/v1/catalog/image/7465c731-f9a2-415d-b3cf-c9617cb7b4fa
9fd2dc60,KapCave,Blank,Fiery Red,https://kapcave.nachie.com/api/v1/catalog/image/59ce0f6f-51b7-4181-b14f-b98e86ddcf14
37e5a0b3,KapCave,Blank,Terminal,https://kapcave.nachie.com/api/v1/catalog/image/3ead5ea8-1678-447a-87ce-58af8f28f8da
51160638,KapCave,Blank,PurpleSky,https://kapcave.nachie.com/api/v1/catalog/image/18214a80-b6d8-4385-b59a-cb760ba17d6e
7bbb1083,KapCave,Blank,Psychedelic Orange,https://kapcave.nachie.com/api/v1/catalog/image/f9de31db-90bb-4d69-8ea4-29571ebb5309
4992c07b,KapCave,Blank,Black Currant,https://kapcave.nachie.com/api/v1/catalog/image/e8685a03-ee18-4fba-8708-a4f22e1ef52c
8ef7c69e,KapCave,Blank'topus,ChickenLittle,https://kapcave.nachie.com/api/v1/catalog/image/1cf5262a-786e-43f8-8a13-32a44b82a74a
133ebf5c,KapCave,Blank'topus,Mango Candy,https://kapcave.nachie.com/api/v1/catalog/image/216fbc62-0a8d-4e54-8643-bc7ab8456d16
74a7eb0b,KapCave,Blank'topus,L0VEnder,https://kapcave.nachie.com/api/v1/catalog/image/da3f431f-91ab-4775-96f1-0c619b949b25
