id,artist,sculpt,name,img
ddb47443,Kaphaus,Krab,Chief,https://lh3.googleusercontent.com/CBVG-tiQQtn6CF8G8QA4G3Qeeg-EuuLFiHiipeQW0aZ8opn76a_3O-YwYZjdTXilKxqU_ugVDbYR4_m68jQoF-STE-KLowRZvoL_QRsM-ixSJ3IbMEHw0eQy8UMIW1y-7w
a6f303ab,Kaphaus,Krab,Rigel,https://lh4.googleusercontent.com/VGZvE3_0hISAseJKj-NG4Hh9qJXBJC9et4XgbOqUZbbnqtCS6BmsCRj9JgRLmWsvYnVXvi3hhJYlr_m6TcSJqUCBsmYsnLnuMeGO4VOyepEM0RJsr_Tw-siPdRf-6DDU9w
d3645089,Kaphaus,Krab,Maki,https://lh3.googleusercontent.com/d3GkD1XtYO366n54SVFm3C7v3fUGUPWf4I1QEDSBkUAV8hSDIU075qenowYBYl2CSLIeEfbCjo1C-HbwqPcUr-EYxgiotTwuOPu6MFVetQcvUd1Cg8i8HewEle_QMsgm9A
f69ed87b,Kaphaus,Krab,Nostalgia Bloom,https://lh4.googleusercontent.com/o21CvrATBXFr6Spe6CRix9SkQQZ21kdlc-1fnqvjXEc2KIuD60SiLN1EtrX-Jo1LMo7ulcSg5oq_SrHnPshoXdVZaxqjU8Cc0t8tiMTSHuMCQs-wmcjgSBcusl86_caYzA
b1ab0226,Kaphaus,Krab,Pride 2021,https://lh4.googleusercontent.com/5TXWtdMtOakKAZxBwipm03iUEB018Xe1gjy8mvzjVJIyVJQqzLAmf1rC3RSagfziffdi3ZJIGAabDc6e44lrrj7vcb84YZdStHTkG18G07-76-nDR-SM2iC1TeuuVa07TQ
68afe4a1,Kaphaus,Krab,Lopatin,https://lh6.googleusercontent.com/TQpM0YW1rfT7TuRMvZIsBvYb2_dzKTRjOvfu3D6X0vZbI3XtEl-6rmpRUsv7g8CV0sGmcylxhxttLvgn-m8DP1yfgW0VqvT4WjXM2Ef7I-d9xbQWNVI-DYulDaGYbluzqg
170204b3,Kaphaus,Krab,Chuck Person,https://lh3.googleusercontent.com/vc_Mb4LvWcgkY8m76RrNZMfhkrmk1yneCr5U1zeAZifBfeVGzLVGpLEOk5gFflrCiHnZFeOYoO2ywj5B-Wnvr4e6a8rm9Qw-V36xo3ujzyiWmW-wUUyXhyBZkwJlVTnMYw
403fd390,Kaphaus,Krab,Vektroid,https://lh6.googleusercontent.com/XJ1ov4wjan3F9NlS5yzoL9P60s7NPj5xzM6vZbnrkJtGoANJMrXCX7W70VWSAs1Vh-wrh_Uns8LyEO5uRY1yqKqClfAUB7jmsDWTlEEBgWImx3wSXmj5h2PV781Skblf4g
5181fd5d,Kaphaus,Krab,Macintosh Plus,https://lh4.googleusercontent.com/14ZfcddalRt-YZsjLoCOKDB-QeJHxp6pHy75saBmrc3eryHesmBoumq7M76KEV3b2oZ1K3bW_fGDZ_tHcKCryu9cA-NXjWhVdPGC8WjRaMt9--ku6zm98OvoLmRZYgOjWA
2e11cd35,Kaphaus,Krab,Amanita Dreams,https://lh6.googleusercontent.com/i7HMJevOxaVbNj1z5frtOPXWsOK0I9IP2M8J8I2fEH5CvFy3d6eP0v025yjyaLV1BRNJDaQ8g3FeG-iA8od8sV_XsvIC8FMC0NPhJV8JQpDfbkuIEhEdHbaqxEGwuCp5mw
c2e4ea6d,Kaphaus,Krab,vaporWade,https://lh5.googleusercontent.com/Qnaptpgxw3FFisD4DKy_1atoIamQeM61urn6NrpTG-Jc9MV_Q2G_hXArUG2oIItOcEGsZASh1nWeVzpqzo9wcYvhBxBrf8fMIaL5DM70uv42GRNbTMGr4kXEAcLJZ7CSSQ
1b634bdd,Kaphaus,Krab,Baege,https://lh4.googleusercontent.com/Bd_1S9Idc6thE7HcS9e6IOGKLeG8sUdcVllN-4eOJ-kKR17Z2flVC7JyOKqlj9H8OJBop4_DuCKdjhmp6nwG63nzxVWnZnYbbjfSgdkpDN-y9bM579LUm6N6h4WMzbTgOA
