id,artist,sculpt,name,img
d0e4c9d6,KB Keycraft,Hootie,Ube Langka,https://lh4.googleusercontent.com/bf5XJQREcdBEVEHdV2elHvVhePQjH-GzsXPlXjS-3ceJXhoIBl3zDXfa76u4LFW4nfg-2jlc0jC8XNGSh3-LOKWlcCZqGtTYwhju6bm9ltgcoUs46TKXIKdbq5kgCU-VKV-nCl7VFH4
83f249a4,KB Keycraft,Hootie,Anino Sa Umaga,https://lh3.googleusercontent.com/-UhfJWFM1hScrWtL0GUmUoRvf-aTMoNiH6ErfV0INSEAQNAGU0O3y2pXhM0bejbF7PxHOqccdLiLMLMhCaMqTTRwPnvf9p5mw5zS8SNRKSUf5eajDGr8HJBxIJCUo8Xf9w8coUpi02M
ec7d5329,KB Keycraft,Hootie,Liwanag Sa Gabi,https://lh5.googleusercontent.com/Yhif9XtGQMlRPirqbGb2fpxPvb49rix_vrcu3BUC07wRvrw33CrcqmVvaBPwPkPVjVZG5f2H9yNZu1VCdlYmOLUtC3rm2moHnPCP929wiCuixLfPNNUz8jcME5G-IcJieAtUAh3CiOM
ea2ee3b5,KB Keycraft,Hootie,Hootoro,https://lh4.googleusercontent.com/AAWbKM7kveClMQAKdxh31oEBresRb3QfCakFYHfUHAo8oBdwfP3Ru-h2FpSsgkjsU88GDr0TV9KuBVBQ51mOzFH5ZYcj6aUHSN5DtB7D1VUuK0UT85HYKP-qOsrwk_ZyQCWp64fIdzw
be02133b,KB Keycraft,Hootie,Schweet,https://lh3.googleusercontent.com/Px3ZzJJayIJ_DPsuN8-V03a3j8sPCdeWjZb9grcvb_R-pZLSG-wbACqxZDp4ORmKuPpoLzQKul4rMJAkwHH0RKJE0emaMj4eRoMxNVY47aJ57t8PNfZBqwh7SORYer8OXvDd3QF8OVU
2c79568f,KB Keycraft,Hootie,Kalayaan B,https://lh3.googleusercontent.com/mu-nnUI2lK8Tti2OBtGQoq4TcPfwlNp_14R_poF0CRhM5K7QxAajBxOw7Qkb4BAyKPOgY9VL_QsM6iG3_QNezQ8og6ZZB-Zh3foiCJr1tIb9rPOmKRlgfcDFwf250rLlgxwGbJWUJxM
69256438,KB Keycraft,Hootie,Kalayaan W,https://lh5.googleusercontent.com/4kTrcoIvJrVcJYuxTPKCDiHD2O7zW85WyC_mhkmXP2RjQTcZJz42N-ucVNPUfSUNH5j3phrnaiC1RC8i7xnYY1Tm2X4-ytvCBEW2Ipw5LUMPVOvf3meYVBgKHzJwZIv6e2LsPIPMzCQ
ecebe2c2,KB Keycraft,Hootie,Hoo Face,https://lh6.googleusercontent.com/HYQ9k22Vti7tDsJG6mT-B8OFyY4UD0zPrB-MzCKP4QW2l7abm9j9gmY_bC9l4Rq6Bc4VjUQ7YSEkAv7mn3BdILrW8IfzLp-pCiNCu1_g7vjO8DJZPbzBh3d3pdsv8hYVzUF4FA8l6W0
166587b0,KB Keycraft,Hootie,Hungry Hoo Face,https://lh3.googleusercontent.com/anRa-lhK1J9tnILknBkQMIUq4-biEWGcCWBJBsy17inMdoAr9zdulm0yNNGJruFTHzu2cEv10ot-Lf3jlwyPp9ou9YiYdVfUIKGMzl8pwEZ6butI6kg5rg3ABWVdcWtzdOmnOCvRe0Y
11315e64,KB Keycraft,Hootie,Bubbagum,https://lh6.googleusercontent.com/ua9J1QkLhXp8_vGkmOGc5kooR00NRZEKCDKdZg-XweiChL61a4-Lkb6eTDRMo_O1_6Cn2e1wSK5pwgrvS2hWjZC654pJo0sIysnLXtIcXDABRtF7Q9Mad6CqfEMHw6NkqAt8uF8AX6Y
b1300b18,KB Keycraft,Hootie,Flustered,https://lh6.googleusercontent.com/0AyZ_N1NTfEQ8Ky--v2V3XQWX6zmb5HROuC5L4DnGuGrZHnqojKOyME3RclZ5gexAhFULqnkOArlhgOmwTJblfPYJib3yR8q-yeZzLBJe_dqa5YUFByPwLi9NoLgJHfV90O1frJ38Vc
f0ff09df,KB Keycraft,Hootie,Dazed & Flustered,https://lh4.googleusercontent.com/oAbjvIQKKO5EJtefWXp1E1t86vv6t2v6rr86-gDbbESoLNyHJyxp2NYdQNMug66oTiJsR0USwc8l5145Hn1ONFIEbCgwCInZni2diRystZJlfm46DwHOPlpeFCfquzH3rqpzDqvd5ng
1fcd8788,KB Keycraft,Hootie,Earth Tones,https://lh4.googleusercontent.com/VQ82w6rkgl-J-xysSQ7uTBpdRVp23skRkgYpD_82EHCafXvQ-BGMenLtpI08pbfhcmk5J_1ghI7lwlSbjRi-zeZ_yS0HJxTaC1NK2Obc8RNOlJ2SOQDQ60CGcaVz0Q82MGAV-61-qZM
8310ede4,KB Keycraft,Hootie,Get Get Au,https://lh3.googleusercontent.com/h-sNKQTWXebtbv-Ap_yz9zj0QRvSR7c4m62Qinv1H7AkCpffUOY4--mYMZV2pepBy8U_BBN7MU25cE9ktr_u1HGr3tL-sz_Zcru7Dy0OM8PEux1rEybTM_7bAz1cKMD4qhXB0CUaS9k
57e2508c,KB Keycraft,Hootie,Get Get Auest,https://lh4.googleusercontent.com/YJacTj4BI3giwXMZgDPcOXfkfQDljFz9jwZoNflZV-kksOF1Pn_75j8Qw0oWK9rvaWcw5vjc_hDiUCGEB844Wo4Fd9TTG4t0s-NdmYpRKcXau5gYcRGUHCQUOAKTNyIJ91zYqdjGVsc
43a6a8aa,KB Keycraft,Hootie,Crave,https://lh6.googleusercontent.com/-hOmYorcagfS0JTrDTixW8jV69EgqUw7BrYp8Pntaf4pkqD41BZxZ5kmtCwlzqYcANUxHYzq6z3k584sjdHHg2OA6Z1GozKGft_FluaIfGY6_75EttY_eN3hf5CShX0A1CDtqSOeuWI
