id,artist,sculpt,name,img
3fe53989,KBK-KWK,Death Lives,Stone,https://lh6.googleusercontent.com/l8nTIUpX7cDlfqiqq02CaX3tMXbdZ8dm8_CkIUNBwZDqMMz7MTRfjtG9gI9elXlElXm6J8qp-ZxP8dMTWjt2FdK5gHDV6RMGRGEQyveVI9rDR1bXX_t5v-WTV7vzZSToqw=s1600
d239fb16,KBK-KWK,Death Lives,Tinman,https://lh6.googleusercontent.com/zdi89_eF4UYHk8BLefm3EWLCDp7kvXIJpJpjrEHVYHw3_Xt50_-0roQxAwilsSBryLtAsoEHILMO-8ZkZgenqUtjfuSWsWVGIVOvr18umlM4k-ea-O-vmU8JXcZh8DMEZA=s1600
df6ba851,KBK-KWK,Death Lives,Tang!,https://lh6.googleusercontent.com/UwQzI2Fy67izKr5nw7RVzpkFM-BUIrJ9xfmkE1O89ro7-cn1B2HbVYOe4JIqifSSnEyEOWPj98lQHps6bPFmAKZORhxaYDd6Z97OZ-lv4ObxKZ9fqB9ZpCll6YNkk27C_w=s1600
2bd5a7cb,KBK-KWK,Death Lives,,https://lh3.googleusercontent.com/IzR4qPQKzwIoeg1WkVRANne9lDTCWwLeA2PjjXdUBzupB-JkEO2SfJ7yOLOkl8h7Trrt6ismtS7-Z4TtzLWziuifmTLKxNdXSfXXV10OryU6JZ9YvwxgAg-8hkDd9TM4wA=s1600
d5b5823b,KBK-KWK,Death Lives,,https://lh3.googleusercontent.com/gnVkpeNRuvUdCPw266DhrBSmVPr4IF5Xbk6PtPbrrJDql4jxqXrXU3nhgmMNPjwDyDuGBRdQ9ECQgFB4u8gTJWdHIS7quhj0hJh0Zwz7P1AAOYICFF2Rwn564Sb2sZ9i-g=s1600
8a727641,KBK-KWK,Death Lives,Crapple (1/1),https://lh6.googleusercontent.com/0zoPPuzLMtUiAFkVNqiy31pEoRW4oDwkSoWyMhRE-EzBWYYVI9v137hVJd9horfV9xHd7t0beTp0nP6GvJhjq9KlhZZKe9nLTz7LXopVFqR7VwL0RTe0X2eErA2h14c8kg=s1600
525a7590,KBK-KWK,Death Lives,,https://lh3.googleusercontent.com/dG2lFPO01D1DpnkOnx_RaTd6pJb1oDVD5omwzCh2jd6fkUr8Bo5Lc_KjFsgBt7pmWwu76-8PoDUJZgmlZbNjpJNzdFoJouJHmhIwxGdGjjAXtDfQYz5AB1vdztJiQ7e7iQ=s1600
4a1c0327,KBK-KWK,Death Lives,Ooey Gooey,https://lh5.googleusercontent.com/_yVYpEhaw9wI6EEDP311LKXQk3UkodkTgTOQwCJLEyBfP3l8fZAD9Q19QOEl-8hAtHdaHmGRCePbTQOZKMDfgp8kaCj_xOGxOeyf8dtUNvY87m4xbFymMtMkIDWG5FySVA=s1600
c92c3688,KBK-KWK,Death Lives,Stay Gold,https://lh4.googleusercontent.com/MOkEfZF0DLPhqOKOJL0q_hkrjdF2MkmfMuflLDa2u0POQaCeRWbVhGDYiVKdrQPser_ghZxbsA01KxLPxfEUaho0iJAqmoFgpPDR0jASjFoFzGZrNzWUta38Tj7WV3QdPw=s1600
fbe2dfe8,KBK-KWK,Death Lives,Riptide Rush,https://lh5.googleusercontent.com/iG1zhhmgPaN1IkUTrOXKWMhH7UWfis8uHUUSmG5_Rxik8H05enepHJnCMgBNT2LGb-ElxSWNYkBeqwTRqmaeZViCEtXwsEZguUCgK7lMsjp7uqNHJ6jyKDZTBxjrxB2a7A=s1600
ae2217cf,KBK-KWK,Death Lives,Bruised Black,https://lh5.googleusercontent.com/YU2Ch-b3MVTTPSZYoRv5snsvEwVIzyzQowli3LSuyghly-O6WLf0Oil_hCUfoFFlaaAbVNRHwtj4aHwWU-ibj2IWnx7-kzYg4jltL0FbhWS0JNY1jZyMevXMKi5tx3T4Uw=s1600
52d4cffa,KBK-KWK,Death Lives,ReFried,https://lh5.googleusercontent.com/OGpRv1X0y5VgxMIcyKtqhiHAAY0qEys7dYOAM35iqq1ZLStnTOkimRQ31TbfCxwp2_naoU6IDb5_vTsAbDQau8gvkfZ_nEqOLJJiamiWmN_udcql2vcY2d13U01j2RIYpw=s1600
6bb969d5,KBK-KWK,Death Lives,Dirty Martini,https://lh5.googleusercontent.com/Y8CgZq68LRZPCcq2jzzrD1n-HC04uNAt1G5pvLKwWBPZbh3BOh9qvau5L1g47ZZbInewXg7QhZ5_G7lftWr5xVUUSDrBMG_E4Exe1FIyKxOLftx0JypX6yN8QX3SGHkzjg=s1600
50b55957,KBK-KWK,Death Lives,Harlot Red,https://lh4.googleusercontent.com/XUo5DgCrc_ObT19diKQ8OCw9UZvdjm98EclOQUfsLt7ZWWSO7roZuYPWv0Luwtbp3f_oonFmE-6qfxH-J0v15K94qAgPuKpMJGnnw7XujuzRbZXv4EkdGRk3w7UKXMlsoA=s1600
c30f7c31,KBK-KWK,Death Lives,Real Deal Teal,https://lh3.googleusercontent.com/BoJfVoPKJdlDR36LDggees0LBF19urhInU5opqNgC4HpfE6XdBCczVbmzw_ZAo6Gh7m6MqGbzqxYnp1zZAuooLzpEwquZDQTwwbGSBfs7nFc7JRPoJdHOYbTDYI9iNxR7g=s1600
299c07a4,KBK-KWK,Death Lives,Lite ‘n’ Sweet,https://lh5.googleusercontent.com/2uVaDe7Msp9GO4VVm-lbbAEsmPOtVDvzIvvrB-CfGAgRGNLKwoXVrVS65lxwZKJXme4npM_A4QeETHi_dPP--4jlEXleTKIeMEeYMbmGGRi2CSOvxN-m3ediEljMwOtnrw=s1600
bedc8af5,KBK-KWK,Death Lives,TropiCool Blue,https://lh6.googleusercontent.com/CVBZz64z5MWek_mEWp_iZ7tiO1SCMYXBeRMida7V4yVmDmWML6k6_QqXJRtDsKhkmEA7zRS4mu0ZjpxX8e5vxDB5_a_Xo13hJvWATlLY5IP-WAge5mxnIKRT4z1zFhqsmA=s1600
738c106,KBK-KWK,Death Lives,Woompa White,https://lh3.googleusercontent.com/tMT_5cYn1gDa6dcb2TS1gEPr7gx8fQw20kdU1iDYSA6x_V58OMV0iVg9hA-6cCBk7zFvjLp_yRYUH70O2iTjnX6Lm_BTX8AaqjMkA8YUjneNSRei6kV9fBQm3RMbfQyHCA=s1600
5c998632,KBK-KWK,Death Lives,Nightmare,https://lh6.googleusercontent.com/Fac5gl_UZC7DFGwpjYInF3driFRSX2ziNTz3Y02ftcba863XlvmdXxYSXoMibOWNQwubUj5kdeFMbV38lZeTVadY7C7RfYx9A5xiVCqapmQDMW7_aoat5IH9lpzlmo5QXA=s1600
8e53be53,KBK-KWK,Death Lives,The Genie (1/1),https://lh6.googleusercontent.com/lhv3oUvmOfjUBVdxIuvfFWMeijLf11_5qeumhvEbdvo_j7ZxJHVXKTZq9ptk9cfTuQs-gTvfft5WpQbpa1T4k2QB134qW4HgcAAbaQg7mTEN6kapifS12QwPlmks8-Z2Bg=s1600
432574a,KBK-KWK,Death Lives,Faux Steel,https://lh5.googleusercontent.com/jV76qsGk7Lm4kzRAxyfB7cY9v2MHBF0MhTCofU5-DBIjXGQC11sMkWGLLDIPftRU19wUtyNpsotcn_avzYknLKXw5AA5EZUrgdCYkGW_1nQWMzESyuwETEhTWATck0gwHw=s1600
19174f99,KBK-KWK,Death Lives,Fake Steel,https://lh3.googleusercontent.com/RWLDcuQB1jnDeAwZc5RtN9Mp3sHJ1I8Rr1by8w27EkJJkgTJGKNMJbDt6vLcr5xrFIvLpAstiRRH4xzXUM7-z15jF0SKp4c-S8o-eRGqUfMCVNSrr574rubBkuWdB75_ew=s1600
c52c2909,KBK-KWK,Death Lives,Dirty Bubble Yum,https://lh5.googleusercontent.com/lp1CJjVwq1UHU3I7fcGFiFXC1iLSLQymLFQ0cnGrLLZVsWa-blZGJLKt9HI5U8FdFiP2byvvhFVAHiI75art41Vu9PydX9DkPSrYJ4SD2AGIGapoEb2RbD9KwxvYsrY87A=s1600
ce92877c,KBK-KWK,Death Lives,Bippity Boppity Blue,https://lh4.googleusercontent.com/ngWdphSEWp69eIBTXqvM6OyI6GOd9j5kPJDKL4GmG4ao0x5hT2P8jhPWzfnVuFyLT8MAR8oWzz9_KDapejlCtGLMxAbUpkTz3LXRH7KeB9uL4TDg_HZN5y9qzDokTGWN8g=s1600
ac9b34ee,KBK-KWK,Death Lives,,https://lh5.googleusercontent.com/tTy7RBLRZbFJiMr3_HRrg0tn88J6dok7aZKSGKF-esUrYtePJaOrAFAr8gYOLaT9Prz_s_7KTxZSqL2ZbkkmpaqBL70MWLViNKHyjZn7lXglnZ6zutUwSAONEjPmOlT0Hg=s1600
4663e12,KBK-KWK,Death Lives,Cherry Soda,https://lh5.googleusercontent.com/7Iyz_IdnZH9okpqKWsDGRmaG6rE3aDjdpJd2kYtAMljs9YVt3zBe-IfDraNbMzRQhaONFoRJnNWsOrU4sm3XY86GfpjpwhyASqLPMA_cQQv42RiKNlXfjQc4Jde04KTz6Q=s1600
7f513b5,KBK-KWK,Death Lives,Slimer,https://lh6.googleusercontent.com/awqwtW3Qgp_ViVuGuGjbMngMuz2R1MhW6QlkviNiNtML42by1MuHKY8pjOsx0sNiu7UsfNb046lk8pssnCWdjREr_OATDpqp3G3bGnpo1xYZoFTTk9WsoqZxtmNAV5WMEQ=s1600
