id,artist,sculpt,name,img
a33e88cb,KeyCravings,Uruk-Key / Multishot Series,Bloody Mud,https://lh5.googleusercontent.com/qgLpSfOUohbD0GAnr-KOxnuImTOeMg8lcOq-7O-xqOmifUiAOuYPC5fEUPSa2oUNkVZdXZBrHILEoaCetES1v2cxUds8QFB31S0waISXUF1FH3HwUl2ebv9HX0eVEs1TODPW-AwvvMk
ce3d0d51,KeyCravings,Uruk-Key / Multishot Series,Drunken Dionysus,https://lh3.googleusercontent.com/pCdh59Gug9iKGy3NEjAwgi4YTGTYzuMpxJtLj1WUsI-f43CUY1lOy9YXtMAX_MoBQ1eKbRVtji2sjxNDJwuCBcN16oTwYEKZpH8gKKsdJoaCv6RTQg0BbHaDm-bRWdhWY2-T99Ezxb0
bd44a2b9,KeyCravings,Uruk-Key / Multishot Series,Monochrome BoW,https://lh6.googleusercontent.com/e7-2j6cYuxOS8unUix5BtK_KZJA94BI3aI-Xaw4q0lUNNBTXO69eZ3E2BsItNIPSl7Bywdblk1QsSO70g9PWxwUOqFI41i_A2_KHTy1Pha9RL3vbay1hsqM9JjOIYmfEfHcy5EUHXoU
78aeeb46,KeyCravings,Uruk-Key / Multishot Series,Monochrome WoB,https://lh5.googleusercontent.com/adnASfdeAC4LVs_jLZkesFM5UMDxRlY-Y4h08Ezg57ArFX9EBOreLY7at5paIoOZPTDvHnss2orxfBdl4UBkQM4Nj18smhtOdvb2b0SLypcy8-L2QbC3fVgy0RoEx0JxlvGUM5fGU_A
5cf0e92d,KeyCravings,Uruk-Key / Multishot Series,Blood Spice Latte,https://lh3.googleusercontent.com/sC_P49ySBqx0_1v10oK5HavQiMyV5wapWvzktkxnEjk7PX8CyV9bJe8Uoawqv-Bb1T18nixHW1eLo6OsxbesTQi3AYDcKsNTByHXOV_FjAhe5LZlxuaZ5Qk-7fQi11sPAJcwZj5so_I
5cb983e9,KeyCravings,Uruk-Key / Multishot Series,Taegeukgi A,https://lh5.googleusercontent.com/G_L5g59LoKx0mHFpbL_m4UQRnLKR8LClWWwrgGqNfk76u6Jr7wwYVX63Hu__PZCqjDIGv6Xq6DgsP7sgbw0SP5sODjFH4MbQhy52MCPDw5B9fwSdLscdwgPslc6Zire995w8WCaamMA
c7f66c0a,KeyCravings,Uruk-Key / Multishot Series,Taegeukgi B,https://lh6.googleusercontent.com/MRI2-vw_pbje4guyLW6AN5KVxWJ_ybFVpLYpSJFOuJQLNTaWAnofTg1BMnUIFYAq7ggYYfBg8w-yYA6qDGGcmFVcXcHyaNph0x7bgS74IE_84BB0atJQOPU2hy76I05o_KYx_VfVQp0
b13336ab,KeyCravings,Uruk-Key / Multishot Series,Taegeukgi C,https://lh5.googleusercontent.com/68kMS7Dbe-Tzq0gnop8abVWmgBNtmFGXtXMuCKUCinkMD-fMjYDf-Rt8NsXMSaJhBl6dXZ92XubR_OfSDuRMXIEaRiToh8uAKOLPRygmX-6-xVSI6NScQGx55pq4NArlUo8cPUJn230
e2421ac9,KeyCravings,Uruk-Key / Multishot Series,Cobalt Pure,https://lh3.googleusercontent.com/s9yI2BjzQzChgV6-LxOdgk9BMaP6fwLIuhA7chMVGN5631-N4-YyykCIqNniEm1DbMYvWIu4Y854pCxn0-k5Vfk65LXE2y9TelQrTBtg-nme29pHPn7v-QZVnj4I-GIJ5Cf0IyY6FmE
9670f25e,KeyCravings,Uruk-Key / Multishot Series,Cobalt Chloride,https://lh6.googleusercontent.com/8Ib5tikhgIMJE0vh6bBoVaTd7F58PWX8Jdpjea-YcWqhO0fxdKWI1x_dlzso0lngrmmfk9sJit5GuBGYHoDxvJo05eEuJSJZRwNd4CGLKIClH4rnKk6j2U-7MK7wHMVnCgWsT_SfClA
446bc4c2,KeyCravings,Uruk-Key / Multishot Series,Cobalt Hydrate,https://lh5.googleusercontent.com/f5yUQ14oMj0U-K6EKkdNmvCKD3h3wfaMCOFYw1w7iZxVMkpdpzvOzXBjEFilxmswXRX-QaKCY1RrCtlwa2C8SsmB28Iuprkiuzpaxujzg1a3o6VV76xsP3TtNtCHzm8mlaHgoIVVSvk
c9c92a16,KeyCravings,Uruk-Key / Multishot Series,Suit Only,https://lh3.googleusercontent.com/N-tV7FS5LxfB7mkgZQiEyB8hHz4Q6SIt7y5zAz4rybri71LaYgFdLxpeiY7Xs8TMNW1RBs_7aTXiJNMjD1QdjpaPrfds91KKT7blWtBBEfoYEa519oWjyvgWERpuHAwQbGvsr1_adqk
5634b1c4,KeyCravings,Uruk-Key / Multishot Series,Silent Assassin,https://lh5.googleusercontent.com/p1-uteSZ0tNHMLOiA5uIzU6WLqiFTpVj-rKzvkOZ2nQWjmr3M6tpln7o9LfH0PQBtB4G7uAsb77zIq_Lw8vNSrj0hFaeTrPI40RAaVumYlP2fxTjiv7Eo9HOPa0cTSKxs7O1_sK3ag8
365c1037,KeyCravings,Uruk-Key / Multishot Series,No Witnesses,https://lh3.googleusercontent.com/UbkANHhvZaS5xM-GbYlanxzD-S-7JLhDa40nqq03Ef9c05Dhq-TWIJqEcSWjLFDGn0GW01WmbcUn8tfYqze7uS7whvkgq-2S1FOAeMflfcoVbDBuMYnmRd6a_I_q5RTtAi996rRy7ig
b80b12cd,KeyCravings,Uruk-Key / Multishot Series,Arch Kernel,https://lh3.googleusercontent.com/iMiCkPyppJXmdWz3cc0qw_NoxUoAgOfSSvPfjMmQzrC4njL0uM8UWNLOYmUQCnnsw0w5zFVaJBnZchxTGDbu0B1FtNJrmkuiqrN8FVgSUQbSqz425b9lxnVVMFn5R6EoWsHWBQq3vt4
7d677b92,KeyCravings,Uruk-Key / Multishot Series,Arch Pacman,https://lh3.googleusercontent.com/83MYaFyUbAVfgXCxvDVqOsAUOKmTEz7j1JOYksfR0xX7vpbCLnqHKtOIDQFx3_1Doe_tCGOBOiBQp9L39BNqqrYftDFL6UG1VOBHSVKHxAmkMeV7gEU3FsH8ktbvAxoLTyeGI8XBMkc
e8f7a93a,KeyCravings,Uruk-Key / Multishot Series,Copper Cold CUddle,https://lh5.googleusercontent.com/g8CUp_aXVn-i2y605uo-0Sk1vmq7bkznXCHLC4GSinar9oIx4WnQAihbhU4jBt6SXXs8FJx4D2VvBJefGoyOmlR6yCcPbAT8KqHvR89w_c422yDLWIdBgGYGnQ5_4iuzD_AB_qhoEjI
b7c4d4e7,KeyCravings,Uruk-Key / Multishot Series,Copper Cold CUtie,https://lh3.googleusercontent.com/UGx1UOA80BmoFS8ZAfbqtT_7m3KreCG8UF_fCp0zTSvw-CS7QdLH48N7RGscS5k0JVTik5v1Y8MbCTfNOGVzPgx1bvmhgm6ZdUYQaapXz0EUpqyBUTqIMEygSoR1wqDjfnSYvJ5Ftag
f3c673be,KeyCravings,Uruk-Key / Multishot Series,Copper CUddle,https://lh6.googleusercontent.com/3DKwBU3WqMsZaxg4aLG78gvBmnYRqteDkzgdKVZUkbSWNJQHzC1pIxdB8vAibBOi7a9cSS888gnuOoZ7vPZqfLdaeMC2b-yVRF4zZEMh9aqOdveRHk_XSrEdLwSON-YqprDPvGsK7c8
600306bb,KeyCravings,Uruk-Key / Multishot Series,Copper CUtie,https://lh6.googleusercontent.com/F_Xg98_IDkR2WMBEnSky0KB7VSSxOXXdXXJksJKkfa37ua3IQ4LOV4aPMel8qgmWIe_uKOfbYFQR32nCgPSM4vQGQLfJwufcc4Ws7dYJBuAfecBj5Tn2sQOCzr2GenjqCUHPGF1HETc
30fa790a,KeyCravings,Uruk-Key / Multishot Series,Pharaoh Apophis,https://lh4.googleusercontent.com/0lIuZidsB2G9l3FX8qVPQbc5-dzw6GaRK0gjK3r603BBpJ01GmGvRpRXmrnqGBmNVQELDdrq_XqhUtvG7emesD50_vMr4YL6aI5ktOZOL47ECOu8JN_OfiX7gkJXUBBqIkZlG8qKLbw
c86b514e,KeyCravings,Uruk-Key / Multishot Series,Pharaoh Horus,https://lh3.googleusercontent.com/ycyIC26UiaV4J7hkI-NMZSl1O1jJ1zphoFebOHMx5mzua5PjMl1M8NFThmdqxpbe-U4bUVfXYmGZYE5o2up0Vbqdk23XaiH1jTZt0I1HsOliO2qG33JZmHse37M2uXqEELVa2MUk_g4
3046cf2,KeyCravings,Uruk-Key / Multishot Series,Pharaoh Bastet,https://lh6.googleusercontent.com/RUUAwRFZSrJHvK-nt05sNXAO1jvm_tnUy7wmJ-3nArSOP3Kh81Ys9ewdqqG9ARSl6ADl2p_nPKRnKSj-kJal1s8WUfWiHEG-sieX0pGQKyOZSz1Po07XkV5e2fOTILj4I2dwh3KGwmI
87f8e612,KeyCravings,Uruk-Key / Multishot Series,Classic Arabic,https://lh3.googleusercontent.com/m9FuWEYyG2KnY5nPAB11XTqCKQNo9_Zw0Q6Z0TOX5AAi9r8tJg1MZQ-CQmft4YDeTf6_Kvxa1ioc0E2FBHGYv6KQ459rxJdskQNPCeT7JXnYzCy8ctfHrNRpLhUB4sjy1knh0XZ4J7c
e4c5e4ef,KeyCravings,Uruk-Key / Multishot Series,Classic Greek,https://lh3.googleusercontent.com/ETgJTwtiUrIKDaKfIlt2qEUnDZq_tZVdx8n_iVjtmCmxwjQiEF_oEWRlolxXNPebUNns-e89XWk5jZHedAOusCqo8cNl7cr8cOG7MaC6Dnw9ckkdimTVUPew9diFfzYK36eZIpTomLw
d180dac1,KeyCravings,Uruk-Key / Multishot Series,Culture Clash,https://lh3.googleusercontent.com/xOJII6VLWoWEIEFIsSgGykTpZT77aV3ZKkF4F6V_C1AecD4BB8Gk3edyYyR259WXa_BM4CTAXSp3EHXLLKZnL9O-Wuq5NdwLwPWsfPkAAOuednkC5_o64phoP2Jf408Zgy1_sY6hBFQ
17fe0f0d,KeyCravings,Uruk-Key / Multishot Series,ReForged In Fire,https://lh6.googleusercontent.com/4Y9hJ52gHYGNkJ9p7PqozPCn2XKUEyhcaOEPU6v_thH3JoJOS4j3iccZM6jHRt3H2_y47p-pYM9X3OXFkfTZhDpVtBnhA38ErvYkEDDWTR2Ltn_6gdGdGGNAeUh5rfpe8l5SQoR_x0U
5db0504a,KeyCravings,Uruk-Key / Multishot Series,ReForged Ashes,https://lh3.googleusercontent.com/2EkChQQI04TucI26aC9QPwMWdL5ADPMygJnqvj2Dq74BPyzNSZ-oTrVwSXe_HYhTU-T17tdgfO9OklRzWgBpqmH2TpZGJliNF4iSzYi_GmBgCmm7Hq0maOMnGJzPA5-6DO1umq7X01Y
804623bf,KeyCravings,Uruk-Key / Multishot Series,ReForged Embers,https://lh6.googleusercontent.com/nwF5hGimcyef0FHZWaUEsObWvWz_t-B8Qo-6Z8q_0asHRsHVCLnS_yuNSIH5BnnuinSq98wBT0lNaR3KO-7hl9kygmse6YnmIQzzpDiBWoy0c6oSsHlaqSpwLRZXvNgp44a5Wq_wZCw
9647f828,KeyCravings,Uruk-Key / Multishot Series,F1-75,https://lh5.googleusercontent.com/e_r22aElVXef2HQcDZL9G9ack7XBbLCJtayIx1xrvYOju_EaE0jBRNe5uchFoS_Gbei6q34ZynTAACNbHsOKiltf4F7UjwWUlKSGVB9GLSDpZ3Ggd4kLgEToAn3NBwIAPQUb3xixsqc
8a14d709,KeyCravings,Uruk-Key / Multishot Series,RB18,https://lh6.googleusercontent.com/oV3Kt3C4Ut5f_F9T0M2d4WAGMyQDifX_qNiQLO75NB7N_d603KGkWRhgv5CIvmD0OeVX8BjQY1mE4oSBLcFCPiQPu7Nl1sfJFLfXSdx9DOLt4KIFbFS285OwBuxmlwSncFHmgT_5sB0
1a606942,KeyCravings,Uruk-Key / Multishot Series,W13,https://lh6.googleusercontent.com/ERT9VKKUbERw-hLEnMfLhv3XwTptACNKLAGasiVYCTE8QF9mbJPMBS7g2qWVdgbw2k19Q8uos_o9za1q7mWcAFsZBInb6jGY811iAVNrvpn9rwciu2YzCyrQqTBuD0xFaiiirHFJClM
1a8e1864,KeyCravings,Uruk-Key / Multishot Series,MCL36,https://lh4.googleusercontent.com/modNM45023pC3fgVOOWd3tO_FNZiWIV7Gg89LuCGWK8M_H4wZsEWdDuBSZiaL-gNazq6owSAnD7Qb8vEshUD4WISrnErN3QkRsoE0eGYQ7DI4cS4aEf1wkmkRHoE9Pb7JN1tpYRJ4i0
