id,artist,sculpt,name,img
671008b5,Keyzen,Gaon,Vix,https://lh4.googleusercontent.com/f-NEcAykuOryPajJHCJToaJWWVKBM5MFBoLWfbyspkGP8cNrGstBi65j4NyU_O2bCm_6b7QuLFr3iQ2tscQn6FEeklZ5xVcwpKZmx2-zSF8K85NR_8WIroE-IVNUHo7r_OlZVufwK6k
407525b,Keyzen,Gaon,Kuro,https://lh6.googleusercontent.com/e1aEldahifXK0u9JbqSh_A7VPt_Llayet9bdGJ8Y8btyYqpNCTfrLhH9_t0ntQIQRrxCbeM_S5y1v-7O2b6mg9XLhepXBslbgEdf7SDcmCVP3mx-pL9-Jh_mkp8xqs7qYjvEtn96-s8
90dfeaa8,Keyzen,Gaon,Shiro,https://lh3.googleusercontent.com/8FQ44mov3kYcFpDzM5aAX81xjW2GNXN5j__2wTBLVb9xiYis2nUex2baUUbppSMp3UMJZhOMb8INQGIw3dvkDZjoiMc6LvpUR5BNtmPLwpSNIpECOctu3fy1U0MkmlayfElRZTDy_xE
e9a87669,Keyzen,Gaon,47th,https://lh4.googleusercontent.com/SQDY6HUEb1wyTiE_iEkJ8UNyp6BsJG5cK8NDltrBIjV2u9L959U39q7fKdwc5FNmk1mq9AntVmQydA59eRoLryYGD8Km9ANYfz9h5-Ifwkvi6dXvmJDeDsu1rVtgmOO3kUKNgA-hWhw
61d4bd37,Keyzen,Gaon,MW Alfheim,https://lh5.googleusercontent.com/QWQqObxajPsrRCBeP4WOeqNYUqOnIzA-H20OXCA95MUN04DoRl9hndo9THLgwLpZjWP8He4R2OXYq8zHwd8jAozoTQ0OI1cce8AzmGyZ1AL6vYhAKkEl2tbAdBFR-hEpDbExESxTfXs
4d1baf24,Keyzen,Gaon,XMAS 2021,https://lh3.googleusercontent.com/3yzv3Fs9Iw4qvgTE2h9evS8sX-RRVHpO5jh1w1bYdT_I0WYmW1sHKKWeFdVmTql83Z5saDi8qDvy_TcpaziTTKycM9VASuw-wuupmKQhN95b3GWfWuj8jCwkkqOrEN5J6oYIAtBtVCg
be65dcd,Keyzen,Gaon,Opal Dreams (Blush),https://lh6.googleusercontent.com/Suu-GhIMhKOUJ34efVsFc_qUK3T5D5TA5PgdWMr1IowviX14btvFkoR_IQVqel5uY1byhwJ58twoYlWh625XItr666gvb-5-18cefovwkHf_6ZcHVoIRMxaHz_tkucO9g3hW6TZnrJ0
44df0a93,Keyzen,Gaon,Opal Dreams (Ocean),https://lh6.googleusercontent.com/qRwgz2ILtugHReyY5ZqGPOdOR-T86FlCtCbttSSPaLa69k53kdVzQtJHOXPi4M2Eyk6Vtkz4GPRFqHAwJp7LYa-WeIt02UUwW3ZvbnKlThA6hzyCMYqaNQhlEWG4s_6wm4z8Dyx05hU
1aabd5c7,Keyzen,Gaon,Opal Dreams (Glow),https://lh3.googleusercontent.com/qeBBes9NcCnWqzN0x-vJYLi4eFN2jdv5wUqIk1KPTEUWdG7cBXwzDNtaet0a3YUDdxl2KkohfcLzXEAFZyslrOtzzVwBDcRQbQf43aLUjt8QwQ2PTagTUCLccxhg31hHYqBsgSv-MHQ
bbb9f5d8,Keyzen,Gaon,ePBT Witch,https://lh4.googleusercontent.com/Y2bhyUxsYNY2eBKQOOIeWnfwzBPm1opb1L9MCIj01R6nSchoDpxrLpicjEm81qQ0zRWP43WzHQSaddTgeb20j-lG2ze1f1M_h6Gp6UAvJfS29RkrOmcmqeWeygvxqtQugRQfYuP_2LM
