id,artist,sculpt,name,img
ce86e32f,KrakenKap,Cacodemon,Original Red,https://lh5.googleusercontent.com/cK0Fn7Jkkgyrxm8nUSddDYQQVcmrWUf9icqRrhwHG-rl6pAAP_D_XKPW2S1blrrBzkg_VQmcFm78s4MvPNgOcjAzYV6m3yL9q5cEbx6ncfKIuazwy62Gl7OCLIa7W6Zf6g=s1600
6ed1b568,KrakenKap,Cacodemon,Orange,https://lh3.googleusercontent.com/7aozgGoGpcJs54hFSdvWXbx7hy6iJZuz8qwnho7J6onbeuLbct-9_StVw-KpEy4BnrtXKe-nH7F6CBpROO16cms8sVwK-3OmSwywajrWlf6-Bf_jkYk-6_QFNDDOMK3smw=s1600
83053207,KrakenKap,Cacodemon,Taegeukgi,https://lh6.googleusercontent.com/AxpTwKosikLo19yMsu1iuJ49lD9pe4dDd50UWSz5OxnxvUZdot0xHnr4_ughpGNw3flaTYRji6XEa07X-fstlr-JNg2753zAHj-aIMiXX30Cm6SSNsm0iSyUr4Kvr_dKrA=s1600
445b44f9,KrakenKap,Cacodemon,Gateway,https://lh6.googleusercontent.com/FsA7fUGGm8jKHQd1Jfm-vEKFXT9q2BiPFBOk4ZwCrxDCh-p1BWosyTN7rYvfvpNjgUlfOdX9ahn5vdxD0OapskhtHnK8AJmNrX8WdaWaYlhlHHPK_RLDp8aRowd9E-K72w=s1600
8affda25,KrakenKap,Cacodemon,ColdcastDemon,https://lh3.googleusercontent.com/Mdmj7XKfP_zoAJQESoHYQu6PjlxbJDH3HmpWwwXgoq_QVtgKHExKJtxfejBH1OP2Vd0KKLUPsG7zmuQhM3CtD5KhG7IAfTDdcKB67RlbmLh8KjkZ0JwIPMC1S3eiMlQwWg=s1600
f2b61362,KrakenKap,Cacodemon,Jason (One -off),https://lh6.googleusercontent.com/qjIHUN_hxXH2Q9XgmDJcoyqLevRi9jffxYNeJmkROBzRk7_A7gBdRi1xd8NS_ZWy8bnnsQRkrERDg7Vr47MW1ghHf09McpsFqBBkiFSae9i3vI1Gc5QJiOiCyv35UqMx1w=s1600
2aa6b09a,KrakenKap,Cacodemon,Taegeukgi (One-off Creator set),https://lh3.googleusercontent.com/p8rXJkO8uORUG7ZDVKuXBlmlDnwbF4HHhvteQJABR2jQ-gpAAdjCVFUzeXWQQqcuydRalNoYD3Kcjhbd5jyGrkABCQf5ts6CJLvt1LDHuEDDwUM05SXWDN_RhzN-l-GLHw=s1600
82df50bf,KrakenKap,Cacodemon,Dreadful,https://lh3.googleusercontent.com/9TdYETf7K4iJ6_680g2X5Ocz-0u8z62-rxWgAXqZJ8f63zPFn9JjvlQ28CWGn_xM-7Rhn-EGMA1HHDEWUQXLMYTtBLcLH2qs5444976dOipxEmTJgOHVW6e2EOk5XtN-jg=s1600
615a2a25,KrakenKap,Cacodemon,Chocodelatier Cacodemon,https://lh6.googleusercontent.com/dG_EQOhtNJA0azEkApKHfKeIA1X9J_hV5WSL-FZ0sKGuh75jC27ka2pAdxUDS-P3INZu5FCst1eJk6Pe8lMQwSDMW3q9Prnl8sguEmYElvzal2g7PctDPMMpw3wcFhwPdg=s1600
b0d80062,KrakenKap,Cacodemon,HyperDemon,https://lh4.googleusercontent.com/rJr4zw74n-PL11MDn8odCoInR56B0DpKhEXvlpTtchnTGY78-krFm7hF34ES6_G8K8oPofP2Fw_8aLXlBg1VWKSNvWe_QJqPwnbRjc9W_YgkBBHQ2GywZ3M1uvrLUe0LhQ=s1600
6d2885ea,KrakenKap,Cacodemon,Bioleak Cacodemon,https://lh4.googleusercontent.com/niYBpzghdmxeyNBVgsA4ypj_bUfR-uQ8Xs0yq-DJxqkzNONrjF4retRwJtuWBNQN_bw3VZBkrRks-7ePJ8wFpkakin2UN4yo_ukyU6KwoRe1Queq_WbIdTFD28Gs8pFhhQ=s1600
22d068f9,KrakenKap,Cacodemon,Carbon Cacodemon,https://lh6.googleusercontent.com/0LOCGUwsKDfyweFe-sHpxPkP7NfTe_QGza6aUL4xt3Ugqr0DnaQeZ26ZeGkVCdQdKCyTyovifrqmI9JPdMfwE-JIb2nap-qPVIMboQBefgRjuDFNwFPEGApwoqnxPkcHBg=s1600
e2d66d74,KrakenKap,Cacodemon,Carbon Cacodemon,https://lh4.googleusercontent.com/IbcIcRJmTjmT1dtTDzg52pucK6YVjCYRfJiayleTfJu2T506b6VJuDMGGrF5MBddAwAmEempGuIK6iOGzlKHNl8CUMSUl5-afa89hpw42pyi0deFb8vvYTR50i8WLxNd8w=s1600
1b835730,KrakenKap,Cacodemon,Blackout Cacodemon,https://lh6.googleusercontent.com/-0Jn-JHqFyY3w_srGe7vmHsDVHxfOhGppz47242mIkXYfOYxOW_9SJksEXDvdip9tVmT6jrZ0k31EtTGS2F4XZekh0m6NrY6QpD9tz_tpq-ZulbcDoe91T0QbG9EG27gAg=s1600
215e11e3,KrakenKap,Cacodemon,Sky Dolch Cacodemon,https://lh3.googleusercontent.com/h4FPq24eo-lA1P8rV6qGWjUfc6qKkSyys17mgm6PPfXfC_NSJsssNaof3tBQsVTCuYtWhhxzZOaLIosic9vBRX5sG1p04lNKzZgF5IKrKNAvXy2dp4tQWxmMFcZQqiXpEw=s1600
6fc8e6c2,KrakenKap,Cacodemon,Arch Cacodemon,https://lh5.googleusercontent.com/5BETNQqm_vQhIgOOXEcwhFSevMZMMzPv8eDH3s_bNZKmMGaO5JufWrsVfAQZFa6AQDHeUulULALhlnUDwem2RLffUxNwje3k5lE5IS1JKknx1fR-4yXGj9Ndfv0gaIhZ6w=s1600
1c19a508,KrakenKap,Cacodemon,Hallucination Cacodemon,https://lh3.googleusercontent.com/-0ySIer7O-UajO5SsjaWfafun6vZH4cAT-z4LmqP5g5iyNmFpqIZTiq0N4l0NkA3tyqQdmxyMQ5bMnY6GQgLUADejg6iB0smwGwBNd4elY6FtFcT6AwRRXDwYd0MebvLSA=s1600
2a0bf227,KrakenKap,Cacodemon,Agent Cacodemon,https://lh5.googleusercontent.com/z-AOAhIfZ2e4J0hRfgva5YowYctjfVFP13ksJO_3oOT1ljmlYM5BJuyLzoKcGtaX2d1LKUaYcvPW671xemaVI1GN2w-e2l97bOEkLQDn_nYjzlJDWF0tUODYRpfPXv27SA=s1600
551b6e25,KrakenKap,Cacodemon,Oblivion Cacodemon,https://lh4.googleusercontent.com/pvP584Ays6m7EMNU67U5hpht6MaguoyIQ7N92X3pRKLYIzXznq2W_0_taHiFs5PFH2viMWU64rBogIaO3Pv1pM5uRS3I3EZexNK0dB0ZrxVeb7bdDwzqixbVMmuNiQDDzw=s1600
b2873d6a,KrakenKap,Cacodemon,Rorschach Cacodemon,https://lh4.googleusercontent.com/oqU4IWSiUR7sDvYWm3EjpF-ugVsjeM__RUAheSCtLEBFGi-OA4D304BXft8Rf3Z7znPlrG710c5ebc6vx57ybxqu-5q_e66XHH_YHCRuIK1c923diwgA5SrSLLE0HdYYUA=s1600
9abaf65c,KrakenKap,Cacodemon,Crispy Cacodemon,https://lh3.googleusercontent.com/jx81pxSGbCTV1U5URacn5GOYoK-lq70rd_pn4ruXjP_8YGLL2NiAI8FDS6EbM_Ss6_Y4CTblgZ7sHYaqOlMPPF2UECdHhbLKUXyMps6bZG8zDqLJP-sr9ulAITyTmBGClg=s1600
207b922,KrakenKap,Cacodemon,Icy Cacodemon,https://lh3.googleusercontent.com/92VbeYI4NIIq5mrfDRjyUpc-8KuTpKeQRnhCJymunvO5u8Zoxmv6azFL_2ZMbyfay2EqNw7b4oGizLwHyWbt_uNdNpFMUUbvxDJY6N1I-HtgWw8A91brZpZJxa75kWEy5w=s1600
6a639490,KrakenKap,Cacodemon,DeadpoolDemon,https://lh4.googleusercontent.com/QnrOIQ5ZPZjTtIsFd1-bXJQK5rwPpxkP9PaQcdpslapwLGJY2EGre92hGdWJrG8WzsJgTzb4Hkf9lHZxKzOTiYsSoQvBdaDr6DTAkTl82vKfheqqJn2UMrDi9xdp8pbxqA=s1600
f19707e5,KrakenKap,Cacodemon,Monochrome Cacodemon,https://lh3.googleusercontent.com/Ijfr3RCBtCCbtpNTeQAIvp-_kq0z58TXRufNxdRumr9t29hFLZCOk5qRohDGxd4B_3ezKczse7mq-W63Z7Hcs4bFtlsSHJkSL9cGpU7B1Hgsk_2Qd93MnXRZ1-LRG8sjPw=s1600
ac27f349,KrakenKap,Cacodemon,Laser Cacodemon,https://lh3.googleusercontent.com/5lQDd5Mqx-yFkqw1v4_xFWscBKqTEAJYLL49afSbkcjt00Jl57qMLpbMhz33nE6k35X4cFN0HHmn2wQZ6LuRQIVZwd1ITUMOShrmoASWQWzQ161_Q_GbWswnODXZULjlGw=s1600
a7dc556a,KrakenKap,Cacodemon,Nautilus Cacodemon,https://lh3.googleusercontent.com/inENQ40yAgsrHQDNlLE6nhfoMsYR6d0aJQ3U3Jffb2RlyjwAtMrJDDd-ykaj_SlSrBFQtDnA5-Tut-QhZb4k2XhpZacsaK1cXGpdQPwgoirNZ-pdAlw0om0d-OUsgdRbLQ=s1600
fe1f25fa,KrakenKap,Cacodemon,Pharaoh Cacodemon,https://lh6.googleusercontent.com/DnB_Bs1Wa9_E-tMwOfqVGys980fNrbyPVpky1NzH-tqZqAqxoZA_ciaoslSLRQiUxAItABmqOpyjXKxBfMk-Z_ZVbmoOLK10rO9D4joesfUPT_RpAIH8egmcJ-mRpIey0A=s1600
990124ca,KrakenKap,Corrupted Owl,Gateway,https://lh4.googleusercontent.com/-5mCrsVShm6n3QdGehurkluFhYL9NphBF9uSQ8LixcFigLimQQH3eTNmA6vpn48X3gOfdZjY_MERbR4t-RLJ3nxs-YQmrpusxCFE4zQHXdjnMv4ZsU9xACNmMIOd7ZV84w=s1600
1ace4bea,KrakenKap,Corrupted Owl,Coldcast,https://lh3.googleusercontent.com/uS9Ij4UuqVn-4yA7WhsHlnqKaEHZFQWGQUwIyvOGaBZu7_ZQeW_gdGZtDsZcTybcuFSFybCOmJM8Uja1l05_I_zNAdG72OSB7hqzwbuYzjoa50USlpRQs-o9guGgvhAaQA=s1600
ad86586f,KrakenKap,Corrupted Owl,Jason(One-off),https://lh5.googleusercontent.com/2SwqvuWoOvzMS3S37qt3HUd39l_usWc3qODWg5W7F9lChYve6t1XuJ5d4JNyFRsN0m4VfqTIrE_sR4o0ASIoaU9mnhgsniyD3tFRxDWXOqQSAK-USZZdB-Rc670eVo2Ggw=s1600
12eef1f,KrakenKap,Corrupted Owl,Dreadful,https://lh4.googleusercontent.com/FhZS61_2ufhpltzRANVDnaDhun72HT0c30tagH9tN2bHJ0HkJ_e-Z9og7guDL3cJ1-afEf-lLRvdlKPaGB2y2wec68DpT0RykorxxXfy5jUDmHCXcDBOC-v80cfEwEoPYg=s1600
487f08f7,KrakenKap,Corrupted Owl,Taegeukgi,https://lh6.googleusercontent.com/7eHC450UARkyT5--QpefmJLrx6oTQ2c84RouVMVZtWtxfCL5M_MDOSnQckG7_eS0okZcXKLPmiKOOv1trUhnNjEUsmWtqvHER1qACWAbriJmifO3Kx5mFPnChogIp7YSMg=s1600
82298ace,KrakenKap,Corrupted Owl,Icy Owl,https://lh3.googleusercontent.com/WDl3gOK2JqVk0fISzFWc-ntvsP__Wqg4IKf38V8gs1ye9wlAFSF7rwyQdJPCOB7BCLL3lfuZODFuCUrrhqNfs5Xms6Z8fgNKcKIYynH270eYXaX4P89fHYgR9ZprPG-vCQ=s1600
2778dcb3,KrakenKap,Brox,(*),https://lh5.googleusercontent.com/zHEAkBVGefwL0caTGdb_sq2LAEkcv84x1RduohdnKUWZGkfTLb56MWF6A6HXJbyK-8Wb2d2labD4iYmzJlPqxrIhqaUxz-Gv0A_UbFovEQj-bTdDw7k4r4je6prp2g551Q=s1600
d8cb0f19,KrakenKap,Brox,Nightchaser Brox,https://lh5.googleusercontent.com/rTNRpBwB6veNSvysYApdy2aAzMZP1ctTcaPZSFwNlejcrBHp46SQtMRwOcD8smoxGYHGEDlmW_mjCXaqDYgVpcBrYiMbgMt6xmUju4mqXI4LJpmhB6Mp_-s9OsTTcXqwjw=s1600
91f62b36,KrakenKap,Brox,Bioleak Brox,https://lh3.googleusercontent.com/jaqwzOvy7HNC9CRH6E_FrdQyA7O37HprPj_gwdUgEAVnSMlwAeKxLJebRIgsNrBfI60h0VbNKmmayZ0DZzcU5hiaBxvCK_wbHcQeuoIzcw2gBail4IdBO1bWEG8uleILIg=s1600
843d7e39,KrakenKap,Brox,Atrabilious Brox,https://lh3.googleusercontent.com/PaFwzbkPIi0OFvYYEINZpV6Cp31jRp0qGxcDzcxRxQx82wMJ63r1mpARvzm4KcAdWYa2aCnUaSL_KvMYhqWHqT4gtDHEqmihhbNf8Bb_ALqz_K1_TncangXx1UiZHrXtpA=s1600
546a0a47,KrakenKap,Brox,Serik Brox,https://lh5.googleusercontent.com/wtsNLdTG9vwEy_D2SadMOcFLXycNmLSXvaYM0rXHjjwoffJc7AGPAwjK3HC5pPQ1mbvL1i_Pqs5fAFDsWe5xV0sqcCgTyYfNEtEPS1SQxcYb_14Mk20ASoxjq6vWEhwDsA=s1600
24cd68d0,KrakenKap,Brox,Carb-on Brox,https://lh3.googleusercontent.com/EkrBZJbnyGmWdnIvr6iDRxpmYdDhzKydA2VTJuX5Q5znGI3P5xfRY6z8hIVWxodZbQR0mnKC3IRokMwmi2CyVhSedM3ROfePekzJnyOUBueRfjPy9mo8GIeU2VC__Ov52w=s1600
17d68572,KrakenKap,Brox,Pur pureous Brox,https://lh3.googleusercontent.com/apN6KgthmlU08REABhMMjqGsF9nDFCF6Kvojr0Sdws66C7Y-xmM0RmpADfm0cCba1bcmgllSOMckvErDZQPOg9bDYX_SOZV0xv2GYKieCKPFl1NhiM2LpSu0n2CVzddqrQ=s1600
e5d95d2a,KrakenKap,Brox,Arch Brox,https://lh5.googleusercontent.com/qv1ogtRyhMle1UKBYMWlWaulBhtrUvsUbUEOcJuqqFin52Zn02w4gLWSWGJJdPoVT2BhzEIMuKM9vmbhQ3zDDNvIjccCJqx2sf8X6cWhArWGQgQuoParVBodmZqfZON28Q=s1600
14d15626,KrakenKap,Brox,Dreadful Brox,https://lh4.googleusercontent.com/EdFndcfAxiB52bwca7DR5CBLLwK3RCNOVrFDlLJVcPwGHoFS0_qGmS4MnrTpohoki4hipjBt9K0s197vybK5ydFk3-aNpn6xaJ4a9JS2RQ2tWKqaDwE1CWYDIJ51Hhpz-g=s1600
3b93a780,KrakenKap,Brox,Icy Brox,https://lh5.googleusercontent.com/VXDlbyG7xB_Tu6J6nHKNvHPyzEYni-4MzKByYXPEjLLHipDIG_DRQrIOyDSaj0CtPwQeBiEGFMevwcpNmVcQDyhlmvRl6oqrs56heARTwaS-JdnO6XQfwyiYeO5iHqbUPw=s1600
dcdbbe0,KrakenKap,Brox,Deadpool Brox,https://lh4.googleusercontent.com/6ji2XCwc8Y-7M_HXsybIIi0C1F3JOgidGiJC5YWClE3FRBWx9Qsguskt0qOrnSA6R4UWCJWTD7lBDGauR85ufy9KmwPR9m5q1R9oGKM_E8zWyvWuJY9x2e0WjqeNnaAt9A=s1600
