id,artist,sculpt,name,img
a3503fe6,Krap Shop,CopyCat,Persimoan Cat,https://lh3.googleusercontent.com/PQiJxWQ_iM6i_QDfWPVwnY736-TwwYo0JErArTLq1UH7vdQmk1kB8yhLarYhV6uZ2DRz-BfIhoVYyqNSwGv-TMFMjlwDNQmDN0lMYlqKRdRSoZaTB_W9HJj-urGKMvGhLXDFl45Y6Uc
f0b811,Krap Shop,CopyCat,Hologreen,https://lh4.googleusercontent.com/cmvtWhNJVb2lYLkX-KZZXXesDiXXvVPDD8dvVs6S-NzuEqJOAQbGjvCb6VCiCyNWF7bxbfa3yile6DUdb6Ft0KTyk7qwI51sablVn5L4VRWfWPzDtwASOO9UALU0DBzqD_INxaHor5c
5715b797,Krap Shop,CopyCat,Nautiloss,https://lh3.googleusercontent.com/1EHXE67fXeHzrcQM2f26X6_9ghWX7Oc6xNwIgGnhR4y2BA4ZJ1hbzV97krkIZWXl10oXpFlk6WdmrM8OcelARo5d1yIhY6Ci4mOFWVyRrVnJkdAGiUJ6iSM-Jb6JraT1y_FoCtPDrEY
3f243e84,Krap Shop,CopyCat,Galaxy,https://lh4.googleusercontent.com/OU3OJVHbxKHSUkoggjb8VmTSWEH-Grrpk2Lq15NcRRrLLhbMrr6nGY8FO7xGte6lhFT0wVgHDLOf90y4_8zehFQhfIlHjidGHjMh1BrebL4L-sONvb6javz3NuUzw2l3fRSmTmnWIv4
3ebca8d7,Krap Shop,CopyCat,Midas Cats,https://lh6.googleusercontent.com/W5D0gSXBw_TRpMlPBWpveMK5qTcA3nVHW4I1297eoxzEFz3x3AhvZwsIR8omhZ89WpuPd0Pfbf95qQjSbyZe-gMRIJja-guomcUacORKFqglnwrhiQZRf4OKVRYYYCpG9eJucMBGQNU
ef166026,Krap Shop,CopyCat,Valentines 2018,https://lh6.googleusercontent.com/90ldZHGG3R5DQt83VEWa0Rnv_1jXDN3QDHln9wbgsPOvHP57URDEh9R_DqhvfgWZ73OtWd2ifdk5wRJv_0LURGVuGZguuptNexxOZpL9TSTl94Iz_PiPhnMQjdiJrvRVHuT-yXEY9eY
be087ace,Krap Shop,CopyCat,Groovy,https://lh6.googleusercontent.com/dCFlrL6ygfxLjXpkLZ90PIl5Ao56HEOApj_jVBKedll1Cb-13j8YcBrCdGT2M3Oy3SQqzZlRcQfL7mV-mw0PSahCTwwvSUlhpTwGbxVm8L_GrcsZqtbmqN6hhpDuHXrhCQQhfdWBgro
c7faa17f,Krap Shop,CopyCat,Yam Yam d,https://lh4.googleusercontent.com/UqH5VubiNWzVnAeZaAqWAOOrez9hzo2lr8w5k7AjSY_KvCbMLvlg9_7uNsC7botCMDO2rYkeDyBypTLQxNI9OWq1vb4ickfQzptAY-4dPNYF7RFGBkcWmmYuXv4db2Ip9rSBQLL03Z4
3c7ea6f8,Krap Shop,CopyCat,Watermelon Ice Cube,https://lh5.googleusercontent.com/-7c5f0zVS7Z6LpX7h-2A4ANHy1b8LxGJccjNi2t-n32OMcbqs9cVFHXFwHv52CBvIojyB1b4ZUmxXupAmb8HQuqv8QuztEkqzf9iLGmqQqZPssbiYx5_3dGreYcSPvTEUFN97929G74
7787eaf2,Krap Shop,CopyCat,Avocado Ice Cube,https://lh3.googleusercontent.com/h-EK4UN6Mm0mPUc6eR8pJ399uzAZz85TB3sU0irrqtfAl93EJJz3ZvUftLby7a_l_Es1kDY0xptpDZlrbTEtvx8VrsF1uJIkHaOwAaEeEQfo4__bvK-52chShScfq8wQocnHEo5494g
2da7a2dc,Krap Shop,CopyCat,Star Apple Ice Cube,https://lh3.googleusercontent.com/483fBXGPtXYRKLkyNyP4FDWCZfEbEaGwBMPjU7y1jhl9cresMIi3Dk-JHxU-PJ_aTK3y-ZV1pf-Enmd657nMFU_bM510g0tqSL4duU2k3n-imtkK3YI-vQZOMsGTu3Be79aT5JtBteE
72bca848,Krap Shop,CopyCat,Lemonade Ice Cube,https://lh4.googleusercontent.com/IVM0pv38RGpLWkeejfeR7-UeOC8GpQZVD0mJXspArcQg33IQ6xdS3Np7xWCmCItv0sw1SPCXq6maf0_N-0SL-a3GbcTxqwe8jdjovIL4EmsIKj5h4mtglwN_RnFz1dLu5WuuCl055Hc
8de28355,Krap Shop,CopyCat,420 2018,https://lh6.googleusercontent.com/6TgdRPVOoxiPRgHnGN-tYwIJQ83o1VRnAnR9MQsMcC8MZDF75t3EHzfoMN_ZDGgxn3WLag-wiBLYwSvtJVOuBrnwwaxnit_MWAef9yF2xJGhJp_3QSyEay8KmoO1Ixceie6JS1Ji9qA
213bd0f6,Krap Shop,CopyCat,Tiger,https://lh4.googleusercontent.com/UVN1KGGMUVJOxygjxtvIQb7Bt5578Yb0NahId4ADB_O-wOpC-3Y6Ca_m2mTzyBT4fYbevSBcud3DR6vAvGuiZEh29xB8GWwop_3dK2BbBNyy3XMqcKMK16lEpcvDiD6WtB9AHB7xQeQ
e337d42,Krap Shop,CopyCat,Taro,https://lh6.googleusercontent.com/a7a_zwa4y20VO7o_xOa97WCJNTrZFOhWPW-zmEWkxWXVBfcF1bUnWmNjce-oJKSQNT6SQ57n5R1cjw27Zmz8X7ZBNi7xdCr2v5zEXH77FUulY247jaWpqJ1nIJjGcA4lYUQhHlPH4tI
4bf53c86,Krap Shop,CopyCat,Mono Grey,https://lh4.googleusercontent.com/PzfLNjSQmoqhabRoWbZUhs5p8p1Acv-U78-iY0jl-OGkpM3O7tE7jBmJhGPlqu4F_046ogBeLVJKHYn790v7whh-KLdZewQ0KNBkuY9-r6-HiEa-f4EaJS5KDfme1gkkhFXShFNjVOw
7e528e9,Krap Shop,CopyCat,Holiday Cat,https://lh6.googleusercontent.com/3En_12XzPUXZRLJ00xMx6UoFWbSI2n2Eyu2ABEwrjPHWBntV1toxxY-G8V33V2d9NogSEmJ3KK1Oc3fx9xwEn2CXuQEhkeHxh_SBKMyQ9estGJSzELy-CKPGXqU2J8vEuwmf-4lwvFc
c8e559e,Krap Shop,CopyCat,Purrrrple,https://lh3.googleusercontent.com/04iXJSO37Ssux4qKWKrgFtF0oNYflPcOV9P6VbxQ6p4VahAlZ4IB6tSCj_SDpNyCNLEUQ3ltp6mKt9L7xFOEIR6UvGSzaJfV68WT_WiwEevFgaevbbC4KKQVmyAJeOy5T3Wj8SIdYSw
741f54ab,Krap Shop,CopyCat,Crayola,https://lh6.googleusercontent.com/38gsolGX1P-pG-9pr9xzroFni4SKVvOvXlWdyqg5p0Wivxqc1qtDgHkFxvyN2W2Q4L6dWvtBD2aTL2p5GiXx4Ki7f53J8sm_QrF7_pLpCP_SQTIWjVIgur6NSf9q_ndN5ZT9K7XoXOA
10f5fe09,Krap Shop,CopyCat,Cerulean,https://lh4.googleusercontent.com/80oyNZtAVJa9o3hF0v1Y7xFF1KSK-I2OYoyAWvoEgeGyYcXPjNX-WV8FcIOOow7MzuanwA1mlii6eHlBfAly9XakJ5CSrVh1QtSBmJf25K6DuTO9cihkIw2CuUtkDe6KHVIjRQ8kF0Q
3b2a16ff,Krap Shop,CopyCat,Holo,https://lh5.googleusercontent.com/NbJduKfXLegOWGIwBagOqduMZHNhtDaEJpDLK4q5fcHYnkowDmARJCEBha8WHS5y9CBllKVEapYgOVNAd_ARoQpFJGLdoOKxFK4iMJNpRzv5xQX1LBhJq9OofWFKCesFpZNKKHs3E18
59857b00,Krap Shop,CopyCat,Summer CMYK,https://lh3.googleusercontent.com/nmp888Dq5OPTyksUCKNiLKCKZ7i1EC3PYXJA4Cir0LPpHciL3-YM39MOWtnJ5hvvwGwhzwhD31I1pTjQxIp1_-d0XAw_9830KE_RhVcbbDyVv5fX56em41e_obE1Na_ZT71HDBHBN2U
7d142d6a,Krap Shop,CopyCat,Lavender,https://lh3.googleusercontent.com/lY0BmZ_F5LIvhrPWK_-WlKWR4uw4YND9SN17o7br_-GtAo3pUlJZc--reay5ZqheGl-MIPZgmL-TJ88yZ0inI7F3m-QxLrrskLG1dJH4M6ot7YhMYyAtLtOosktUCSKx_YXP7kgQ8mQ
c079b8a9,Krap Shop,CopyCat,Mandarin,https://lh4.googleusercontent.com/TF6Dk6BL6wHfBJrXBqEAAhHeBgelh9dDYS0Jqr0LF149c1mS1hDDrz0mBHRqLteLp2pqkWTXmZnHUckK1i10eTs_8lR4Xd0sFl0CjFRunwoji0HQn_-AVY1edtSzhYLTJFxvx9Ndp2k
132a77ff,Krap Shop,CopyCat,Unknown,https://lh6.googleusercontent.com/NrMyTFDqBBAdTMJBWiDqy8F3Sdz7dS7GX8KyaEeHyB_O-Fmv_PenbcEuBO-3Bo6PrXRbSr_-fmayyXRQYr8w5nPIGCmE7Acj1HgkofNpBhEuES-ZxbGGCTpaBxsok8ff2UcGKC8INZg
ada1b15,Krap Shop,CopyCat,Unknown,https://lh6.googleusercontent.com/WK8wXSV0PKMZT0wsjm-JFBGDFc4oVWze7Wn5-snr-HKyTtAGK2fk4ePkgGBawsaMmCplExRjPNHa3wn7b4w4JdkoeYe7kdoNJKkpn-D_RFirDxEMfoRE7drqLP2IKQ6reAbhymcORy8
117687fe,Krap Shop,CopyCat,Musubi,https://lh6.googleusercontent.com/egGJy70hHwJcDdSTKY1Mu3R4WKhVKO9UkJgZTbgnBotFGDWvtpSUzkQ7psTxOAhZqFEzfXlLmKD-DMrjadZ_3L03uQBYnFSd_yOPxoJCb9WzHJhFT3tysOJ5o8U1muCX9MPvp2fpb3k
f402315,Krap Shop,CopyCat,Tiger (Blacky),https://lh3.googleusercontent.com/7cwGKQ5N7X_qVs4HTSE4t5Zh2wpsIwwW75AWA5gvbuaH2g0sPfqpkf5kp8JRX2qg-0AKjsjodox8pw_1esUHxSCXPyxcLd7mzGOznrEuI5LsJZMR4Vza76czGpYHCYdJJdkrsX3iPlM
9f3f8327,Krap Shop,CopyCat,Unknown,https://lh5.googleusercontent.com/guIf6WcyJRnPcVJRVeILyKHhVDbIu7dRwdpI48ERMFoAgha1iqO1hx0a-QowbKi8WG_L75j3C8ByQ4bnCB7BF-rNK_72ac_rILVhS-Bi50vovyXL57-2SNQz-RuID9a8dYke_a0H1NA
566c82a3,Krap Shop,CopyCat,Tiger King,https://lh3.googleusercontent.com/9iB6DE_2Zp8K1jxR7dpcTJYa1KqWIHlJpKDZ5xKbOQEhF8qzrsnYEQC2AlOy-Hw9cqN95IFmWMU56Y8MI552srXIS9melshe43ewZvPFZwfNSi2PevVxPgDWXBkKBxvexk9juBmdfC8
42fe7b84,Krap Shop,CopyCat,Jack,https://lh6.googleusercontent.com/5E6BQMt9QMfR0ohqZRxE8bjlFy5xclCtob_WZ_sikJDYb0l0ZN99olF2Z5xt_50jNeRcPyWkFoSjVO63M0GCVLSdzf6h8csM7UbM4GFLln95r_5QsHh9eKcXmGOrtxsA0IjJTSfHr00
f5bfeed1,Krap Shop,CopyCat,Sally,https://lh6.googleusercontent.com/p0ByzoRVGNTP-7pDUyCxNXWb6_gM9yu4Qhtm4fW4saqWUt7FxRT2CUSkA1dy8zWCGKaNT-cz89ovAS_1eTGS7Snz7wTaHJ9qF6cM2hYWRhegNk9N9uVjbpwqCVs5dttonj0W6OLoHus
a8e5f65b,Krap Shop,CopyCat,Clown,https://lh3.googleusercontent.com/lxTY2LfvXPwCIxFOh0UTeAqCP7uNhqiWEz1vXyJCupyuihQ2kTIqxFgzwZQ2jcL1VNeyxwBzi5uFtlrlpifOpaCXy5NFczfKk0MhnuE_W_M08viEGShKuAKhXvhrjV_oZ_sKw6EdgA4
e9042429,Krap Shop,CopyCat,Zombie,https://lh6.googleusercontent.com/HbwGvQmOZ1FfqlAt50Nsq3iw9mQRmaTABJkuUqv9eNGT299oTUw7kPvE88D5BZmco-eUrIjqQqylGxTTuvfmxTUq3ojEEoQX0N4_fzFXocs9iUbTwCN8daZGUyLcZAy-iIV1HEsaK0U
6a479e64,Krap Shop,CopyCat,Momo & Almo,https://lh4.googleusercontent.com/xMJCFXB5QN_yBVZdKWge9GbVS3ddv6i23r0k6Uxd0iTNNSdo6GXPQPAByCjPr3zUUnebIH4r-tXPEZeCasNgYdxPLsP3M53dR0KEd1wGl61aydEGWnT15OmLedr7O9hAZmnP1fB_IsA
5bcfaf1e,Krap Shop,CopyCat,Unknown,https://lh4.googleusercontent.com/vhEXxdDJKUdLwv5BOa1_SOezMS5rYGkNIiKKMkPy6uzecrWxtu4axoar_uTgVHmpD0cMXxbE_0gtJREhN4euUeyIllabqAHNRWvCmCgUESe-oOMtKvpcMYqE17GAniDfuoZgUgRQl7U
85c458a0,Krap Shop,CopyCat,Darth Mall,https://lh5.googleusercontent.com/CERcCekmwWsv0BnnHxV-VOK9egqVEmwiiVVKdnw7xzSzapdlYKZCtImDq9Qjjg0XVYemHBdxbo3S9K3oD9Wu-I9z_YWeKlRI-o7_RJQ2q_-yAGmuXtbw9f0dBAom3wnqf1xStedNpk0
1b7daa95,Krap Shop,CopyCat,Skully,https://lh5.googleusercontent.com/Tecxog67i8yJhmFJnuW8rCzriWIxbbwunwwX4ToVqi8K20ndghKG-yorI13aNL14xkUa5lcLFKNlI2uM402XsieeHHOGDYR03pQZlaKnFeM0xCqQMSxVPqCXwuvmcp3_5RhM2YSGYR0
41f441cd,Krap Shop,CopyCat,Clown,https://lh4.googleusercontent.com/06gEcB1ADkAZCF2iy5PwYWHr3cO5qALdl0qcAFTIMAUGS3uhZMPNxbjSMRe5EHkwQG718GBfOJtyJjWGk6R1pOuI-i4rBvnNR8kASv8RrRlWLFZtAzsF2RtmEHtmYM9B5fs1EYbYVr0
37ca8381,Krap Shop,CopyCat,Unknown,https://lh3.googleusercontent.com/3EuurkLKCbyEl2tMZF_uS7VktNZmIO4_FTX9kkH8V-uUEWz6JBEbu9LgHLzyB2MDcqYf1OkZX3KV4R7A8Dx6tLv5cJysr4hW1hZGwREYSRoxGZhYS3oo7dvG5Vq3DRvrFqYQn9-WJzk
f052c31c,Krap Shop,CopyCat,Unknown,https://lh6.googleusercontent.com/ZVfJp4YZK7FMKBAbXCbzLrEgYJZJDOFgiurxSmO5e77K8d-oF4ec2Fop6nWH-QtjQUKdsPm4lUiTGMyFZ_UzFFao4w-xxpEE_aZ3OL6HFcASSfj3II1T0CyO4mgf4yYoQZ49ntQj5vU
4271e8c3,Krap Shop,CopyCat,Unknown,https://lh5.googleusercontent.com/v8Vu6F2Rp_yuEZmAnAZudZMKJZ5-4AR1PsB1sisRrANuTFgPohyeOzz-IovFQJP_jcurgbI3wgEJ-Asd9ZFfi2016uikGDjQ__rf9GSHZ9bxyuZkj6stNf6X3lvqqdv8m4ECrdy8Dcw
8c469aa4,Krap Shop,CopyCat,Tokyo Ghoul,https://lh6.googleusercontent.com/Sw6gNgeiEkN3pDpImMAwV86kRlYJCKXo0eYQDYmv5N538rf8OSjScb4ZhGgSm9s3WuWyO_bSdH2vj7VuKLeygux1W3kiL0x33Z0OIiJSnpsKnVUTr4aBfbSM9NlyyaX5n-HpqecfnE8
7d5a59c2,Krap Shop,CopyCat,Sally,https://lh6.googleusercontent.com/cQu0bZS6KFeFKmb6KnRgn2J9hAmgyPvSrPi9HzxV2IURY5I3b8ugR5YOBvysyZzNOSooNPviFQIcgKhlumQ-zBL75XaoA4yfgtpBJkpm8T5zZvhmtccUzBXcdeZuyCKWVxPrm5JtEuM
6354a61d,Krap Shop,CopyCat,Unknown,https://lh6.googleusercontent.com/CR8BWsN_IlJ03wXrUAMrkUbPyAowemaI0CUtuVvq0n5qzTy66m1jsSqImfqt8qPwMYxen6Eum8Eji1F7YnnwC9Vi7ImVP74Ap7dxk60TNY3b7tGsI_EkWAzuZkNdCLNGT03hySp-g1U
7726dce1,Krap Shop,CopyCat,Unknown,https://lh4.googleusercontent.com/s-16O0pmm7GJszFXodohg3qhRM04ZOXg17a7YXeRdfpDfXvRih8H2jwhuRNHeSicwZiR2R--zGu3xyGtLOoiLkxH-lJ-aCjgVWYFO524U2T3GpmJCzPqPpnfoNHy9jY0Vqg2A69PTz0
