id,artist,sculpt,name,img
8dec7e1d,KUG,Monarch v1,Piss Brain Cake Aficionado // Piss Brain Cake 1,https://lh5.googleusercontent.com/0E-uqBCpIs6Pd9UxeFZSX2Rc8TAXEjTfB-sjOyUKdgiiyrnkW7FP11m6tQmxZc_pFBR0SUM5iNv7PyXGu0O5pgeCb-Xaga5GmHIYyoFpv6f60PU2eEK0Fo7QnK79xMHjuA
f459f136,KUG,Monarch v1,Trippin’ Through the 90’s // Mystery Machine (Tab),https://lh5.googleusercontent.com/ed46noenoc5IGH5N3r2Gn6jWwzW9rh4JBoZtqcvJpVfHM0UhRpjGTOHsnLxnSQ4tohW743PYgA5E6GF1PrIeYPotRr1U-1ZSM9XjwEJLtrUGWnaB3VWrAqFFjNMYys5d3w
109747e1,KUG,Monarch v1,Piss Brain Cake Aficionado //Piss Brain Cake 2,https://lh5.googleusercontent.com/mh3If5ZQeJ4WkV5oBsYPfTkRBUDBo2Et4UBFRFnWZMHLwadb87LIvVJrVfCKnAZf5cfDg-Xhc1WZZS41btDrMCCfRL0-JxXFRYUVlHFBdfkdgDM2WvliWKwX_boFDAqxDw
83eef82,KUG,Monarch v1,Trippin’ Through the 90’s // Mystery Machine Marble,https://lh4.googleusercontent.com/KJJY6AyRAKk9HomKNqGmHAr_CfCpQIm5SYY3DM3fd3N5piPnkTFZHFdQAnN4p8wiCuHVCjYgv8ET88WjIS62dMpilwfFa82LxPJu7Hic7JUdE-Mwbv_SXcWmdnzqaE9gtA
9745cdd3,KUG,Monarch v1,Dan Caps // Black Cherry Metallic,https://lh3.googleusercontent.com/zGlT4VsGwU_RlawjlGOIP2BTaIDPwxR1ahTQScyDMCTpPuhvwno3ylhTI-n8Wf2vkajLjKX0evK4zhq0I492S3ip_0ERlgEx2IWJSubd0_q7p54FqHpWmKC8ZhSGQXuBrA
c236e560,KUG,Monarch v1,Mythic Metals // Bronze Age Godkiller,https://lh6.googleusercontent.com/yftHq75h9p1BYek_YEosLEIYrqF3Csy938Y06u8p2pOIth9zSOc2d_Fj6bwPpVXVmnAAA9_GrliADWFfGCg4eDz9IRtn7oT7t4iazwI2rgfLcbd2X8L1QN0CY1WSj4AhGg
63846803,KUG,Monarch v1,???,https://lh4.googleusercontent.com/adwN0fB6ya0bRWKQA4r3s7tZNXEZVrEUnYcK9A7LVBhESo8nn14VpR3C5EX8c65Gs9ytMUYJTE1ckHK_jA5bPYKAhntFf7FpvDcvYfVPFtHwTLgxnUSVKMm-3ydJc6mihA
e740220d,KUG,Monarch v1,Meat Packers // Timmy Turner,https://lh4.googleusercontent.com/wtKKYUvdjnO_a7apuTmdRKHpoGGjTXdhZNUJ0Whi-t-d_A8E9ZY1K12_TPuS9JvmCaSz04WRMp70IAX1ybzOYiNvkj5pWIJ3DHQMyRu2OyApyGyRf4LkrgGGvxj2Cz0FkQ
55af2a61,KUG,Monarch v2,Flowers for KUG // Spring Fling,https://lh5.googleusercontent.com/BgIuJ3ph8tNmWQCdPEDFTYWMVmDoHC-25JMVli6xPgNS51sQ_15tti6cQiQlnAurtN9hGpUW7m3Foom9_k4ZkBypxoVK5R0RPWI1G8DRB-K33IN3jLEWhNwpQ0spG-yO8Q
851f2e92,KUG,Monarch v2,Flowers for KUG // TypicalTulip,https://lh4.googleusercontent.com/ja6hxGh8f5MwLYdlbLSlEUyS9FvQhAMy_zSCs_n479HMRN9BtLH6yQJo3Z799YPZISRdRMOyGMChkmZStrP2SUVV4w4yKdNhbIWPD4f7TxcJYAcrs4yiLabDo_gv1DlxHA
