id,artist,sculpt,name,img
1d201cae,LazyCaps,Blind Bob,Master,https://cdn.keycap-archivist.com/keycaps/1d201cae.jpg
2cad0900,LazyCaps,Blind Bob,,https://cdn.keycap-archivist.com/keycaps/2cad0900.jpg
b5a458ba,LazyCaps,Blind Bob,,https://cdn.keycap-archivist.com/keycaps/b5a458ba.jpg
c2a3682c,LazyCaps,Blind Bob,,https://cdn.keycap-archivist.com/keycaps/c2a3682c.jpg
5cc7fd8f,LazyCaps,Blind Bob,,https://cdn.keycap-archivist.com/keycaps/5cc7fd8f.jpg
2bc0cd19,LazyCaps,Blind Bob,,https://cdn.keycap-archivist.com/keycaps/2bc0cd19.jpg
b2c99ca3,LazyCaps,Blind Bob,,https://cdn.keycap-archivist.com/keycaps/b2c99ca3.jpg
c5ceac35,LazyCaps,Blind Bob,,https://cdn.keycap-archivist.com/keycaps/c5ceac35.jpg
5571b1a4,LazyCaps,Blind Bob,,https://cdn.keycap-archivist.com/keycaps/5571b1a4.jpg
22768132,LazyCaps,Blind Bob,,https://cdn.keycap-archivist.com/keycaps/22768132.jpg
f4f77228,LazyCaps,Blind Bob,,https://cdn.keycap-archivist.com/keycaps/f4f77228.jpg
83f042be,LazyCaps,Blind Bob,,https://cdn.keycap-archivist.com/keycaps/83f042be.jpg
1af91304,LazyCaps,Blind Bob,,https://cdn.keycap-archivist.com/keycaps/1af91304.jpg
6dfe2392,LazyCaps,Blind Bob,,https://cdn.keycap-archivist.com/keycaps/6dfe2392.jpg
f39ab631,LazyCaps,Blind Bob,,https://cdn.keycap-archivist.com/keycaps/f39ab631.jpg
849d86a7,LazyCaps,Blind Bob,,https://cdn.keycap-archivist.com/keycaps/849d86a7.jpg
5ba51260,LazyCaps,Blind Bob,Ace Chemical Spill,https://cdn.keycap-archivist.com/keycaps/5ba51260.jpg
95c02aac,LazyCaps,Blind Bob,Love is Love,https://cdn.keycap-archivist.com/keycaps/95c02aac.jpg
fa2cfa1a,LazyCaps,Blind Bob,,https://cdn.keycap-archivist.com/keycaps/fa2cfa1a.jpg
1ad34372,LazyCaps,Blind Bob,Colorado in May,https://cdn.keycap-archivist.com/keycaps/1ad34372.jpg
a732db4,LazyCaps,Wicked Wanda,Master,https://cdn.keycap-archivist.com/keycaps/a732db4.jpg
c297a2ee,LazyCaps,Wicked Wanda,,https://cdn.keycap-archivist.com/keycaps/c297a2ee.jpg
5b9ef354,LazyCaps,Wicked Wanda,,https://cdn.keycap-archivist.com/keycaps/5b9ef354.jpg
2c99c3c2,LazyCaps,Wicked Wanda,,https://cdn.keycap-archivist.com/keycaps/2c99c3c2.jpg
b2fd5661,LazyCaps,Wicked Wanda,,https://cdn.keycap-archivist.com/keycaps/b2fd5661.jpg
89ba3fb2,LazyCaps,Wicked Wanda,Love is Love,https://cdn.keycap-archivist.com/keycaps/89ba3fb2.jpg
c5fa7995,LazyCaps,Wicked Wanda,Wanda’s Corruption,https://cdn.keycap-archivist.com/keycaps/c5fa7995.jpg
8fc2b28,LazyCaps,Wicked Wanda,Ace Chemical Spill,https://cdn.keycap-archivist.com/keycaps/8fc2b28.jpg
25763570,LazyCaps,Battle Bear,Battle Bear,https://cdn.keycap-archivist.com/keycaps/25763570.jpg
6d11f536,LazyCaps,Battle Bear,,https://cdn.keycap-archivist.com/keycaps/6d11f536.jpg
a2a1b238,LazyCaps,Battle Bear,Ace Chemical Spill,https://cdn.keycap-archivist.com/keycaps/a2a1b238.jpg
1eb93d21,LazyCaps,Battle Bear,Ace Chemical Spill 2,https://cdn.keycap-archivist.com/keycaps/1eb93d21.jpg
8f37aa63,LazyCaps,Battle Bear,The Giveaway,https://cdn.keycap-archivist.com/keycaps/8f37aa63.jpg
92b39611,LazyCaps,Battle Bear,The Bear Who Laughs,https://cdn.keycap-archivist.com/keycaps/92b39611.jpg
d68c7793,LazyCaps,Battle Bear,The Secret Giveaway,https://cdn.keycap-archivist.com/keycaps/d68c7793.jpg
21902a54,LazyCaps,Battle Bear,The GlypHanger,https://cdn.keycap-archivist.com/keycaps/21902a54.jpg
94a6be22,LazyCaps,Battle Bear,Lavender Nightmare,https://cdn.keycap-archivist.com/keycaps/94a6be22.jpg
5f8f6750,LazyCaps,Battle Bear,Lavender Dreams,https://cdn.keycap-archivist.com/keycaps/5f8f6750.jpg
23593dc,LazyCaps,Battle Bear,Ice Water #1,https://cdn.keycap-archivist.com/keycaps/23593dc.jpg
67870ca4,LazyCaps,Battle Bear,Ice Water #2,https://cdn.keycap-archivist.com/keycaps/67870ca4.jpg
2758cf9e,LazyCaps,Battle Bear,Love is Love,https://cdn.keycap-archivist.com/keycaps/2758cf9e.jpg
bc807aa5,LazyCaps,Battle Bear,Primarily Marbled #1,https://cdn.keycap-archivist.com/keycaps/bc807aa5.jpg
305140e8,LazyCaps,Battle Bear,Primarily Marbled #2,https://cdn.keycap-archivist.com/keycaps/305140e8.jpg
737742cd,LazyCaps,Battle Bear,The Tiniest Bear,https://cdn.keycap-archivist.com/keycaps/737742cd.jpg
6f909f8a,LazyCaps,Battle Bear,Rocky Mountain Pride,https://cdn.keycap-archivist.com/keycaps/6f909f8a.jpg
3087b3d4,LazyCaps,Battle Bear,Colorado in May,https://cdn.keycap-archivist.com/keycaps/3087b3d4.jpg
f4ec9a41,LazyCaps,Battle Bear,Emerald City Junkie,https://cdn.keycap-archivist.com/keycaps/f4ec9a41.jpg
2286d91a,LazyCaps,Battle Bear,Judy Garland,https://cdn.keycap-archivist.com/keycaps/2286d91a.jpg
e09e936f,LazyCaps,Battle Bear,Toy Store Display,https://cdn.keycap-archivist.com/keycaps/e09e936f.jpg
f526b860,LazyCaps,Battle Bear,Blood That Binds,https://cdn.keycap-archivist.com/keycaps/f526b860.jpg
3a72b3c,LazyCaps,Battle Bear,BDSM Lollipop,https://cdn.keycap-archivist.com/keycaps/3a72b3c.jpg
140328df,LazyCaps,Battle Bear,Sexy Sherbert,https://cdn.keycap-archivist.com/keycaps/140328df.jpg
61b1dc6e,LazyCaps,Battle Bear,Beyond the Otosphere,https://cdn.keycap-archivist.com/keycaps/61b1dc6e.jpg
ad9235c1,LazyCaps,Battle Bear,Metamorphosing,https://cdn.keycap-archivist.com/keycaps/ad9235c1.jpg
aea39b61,LazyCaps,Battle Bear,Future Lust 2082,https://cdn.keycap-archivist.com/keycaps/aea39b61.jpg
f12f5c83,LazyCaps,Battle Bear,Elton 3000,https://cdn.keycap-archivist.com/keycaps/f12f5c83.jpg
b9c5f69c,LazyCaps,Battle Bear,Holographic,https://cdn.keycap-archivist.com/keycaps/b9c5f69c.jpg
de5675a4,LazyCaps,Battle Bear,Fiduciary Rapscallion,https://cdn.keycap-archivist.com/keycaps/de5675a4.jpg
92425e6d,LazyCaps,Battle Bear,Paper Eater,https://cdn.keycap-archivist.com/keycaps/92425e6d.jpg
278f2fab,LazyCaps,Battle Bear,Chameleon in a Blender,https://cdn.keycap-archivist.com/keycaps/278f2fab.jpg
3009c7ae,LazyCaps,Battle Bear,Kintsugi,https://cdn.keycap-archivist.com/keycaps/3009c7ae.jpg
2943c48,LazyCaps,Battle Bear,Vuurwerk,https://cdn.keycap-archivist.com/keycaps/2943c48.jpg
ae4654ec,LazyCaps,Battle Bear,Galaxy,https://cdn.keycap-archivist.com/keycaps/ae4654ec.jpg
7c72bbe8,LazyCaps,Battle Bear,Starry Eyed Explosion,https://cdn.keycap-archivist.com/keycaps/7c72bbe8.jpg
bd229583,LazyCaps,Battle Bear,Unkept Promises,https://cdn.keycap-archivist.com/keycaps/bd229583.jpg
6c77ea52,LazyCaps,Battle Bear,Dark Side of the Bear,https://cdn.keycap-archivist.com/keycaps/6c77ea52.jpg
269edeaf,LazyCaps,Battle Bear,Print Screen Cyan 1,https://cdn.keycap-archivist.com/keycaps/269edeaf.jpg
432c41d7,LazyCaps,Battle Bear,Print Screen Cyan 2,https://cdn.keycap-archivist.com/keycaps/432c41d7.jpg
cd0d08d1,LazyCaps,Battle Bear,Print Screen Cyan 3,https://cdn.keycap-archivist.com/keycaps/cd0d08d1.jpg
85b14901,LazyCaps,Battle Bear,Print Screen Magenta 1,https://cdn.keycap-archivist.com/keycaps/85b14901.jpg
e0db755,LazyCaps,Battle Bear,Print Screen Magenta 2,https://cdn.keycap-archivist.com/keycaps/e0db755.jpg
c1b6e0a6,LazyCaps,Battle Bear,Print Screen Magenta 3,https://cdn.keycap-archivist.com/keycaps/c1b6e0a6.jpg
7224f095,LazyCaps,Battle Bear,Print Screen Yellow 1,https://cdn.keycap-archivist.com/keycaps/7224f095.jpg
17966fed,LazyCaps,Battle Bear,Print Screen Yellow 2,https://cdn.keycap-archivist.com/keycaps/17966fed.jpg
36235932,LazyCaps,Battle Bear,Print Screen Yellow 3,https://cdn.keycap-archivist.com/keycaps/36235932.jpg
dc6f0a29,LazyCaps,Battle Bear,Print Screen Black 1,https://cdn.keycap-archivist.com/keycaps/dc6f0a29.jpg
5e65b856,LazyCaps,Battle Bear,Print Screen Black 2,https://cdn.keycap-archivist.com/keycaps/5e65b856.jpg
91deefa5,LazyCaps,Battle Bear,Print Screen Black 3,https://cdn.keycap-archivist.com/keycaps/91deefa5.jpg
96e60b7,LazyCaps,Battle Bear,Print Screen Red 1,https://cdn.keycap-archivist.com/keycaps/96e60b7.jpg
6cdcffcf,LazyCaps,Battle Bear,Print Screen Red 2,https://cdn.keycap-archivist.com/keycaps/6cdcffcf.jpg
4d69c910,LazyCaps,Battle Bear,Print Screen Red 3,https://cdn.keycap-archivist.com/keycaps/4d69c910.jpg
f76507a5,LazyCaps,Battle Bear,Print Screen Green 1,https://cdn.keycap-archivist.com/keycaps/f76507a5.jpg
7bb43de8,LazyCaps,Battle Bear,Print Screen Green 2,https://cdn.keycap-archivist.com/keycaps/7bb43de8.jpg
b40f6a1b,LazyCaps,Battle Bear,Print Screen Green 3,https://cdn.keycap-archivist.com/keycaps/b40f6a1b.jpg
4d0a373c,LazyCaps,Battle Bear,Print Screen Blue 1,https://cdn.keycap-archivist.com/keycaps/4d0a373c.jpg
28b8a844,LazyCaps,Battle Bear,Print Screen Blue 2,https://cdn.keycap-archivist.com/keycaps/28b8a844.jpg
bbd2b0,LazyCaps,Battle Bear,Print Screen Blue 3,https://cdn.keycap-archivist.com/keycaps/bbd2b0.jpg
374f1208,LazyCaps,Battle Bear,Signature Taste 1,https://cdn.keycap-archivist.com/keycaps/374f1208.jpg
770b5681,LazyCaps,Battle Bear,Signature Taste 2,https://cdn.keycap-archivist.com/keycaps/770b5681.jpg
b8b00172,LazyCaps,Battle Bear,Signature Taste 3,https://cdn.keycap-archivist.com/keycaps/b8b00172.jpg
9859ac54,LazyCaps,Battle Bear,Mono Chromed,https://cdn.keycap-archivist.com/keycaps/9859ac54.jpg
ed449c30,LazyCaps,Battle Bear,,https://cdn.keycap-archivist.com/keycaps/ed449c30.jpg
7e09d6cd,LazyCaps,Battle Bear,Lost Scarab,https://cdn.keycap-archivist.com/keycaps/7e09d6cd.jpg
ad15bd5f,LazyCaps,Battle Bear,Ancient Scarab,https://cdn.keycap-archivist.com/keycaps/ad15bd5f.jpg
eaebe8b4,LazyCaps,Battle Bear,Murder in the Moonlight,https://cdn.keycap-archivist.com/keycaps/eaebe8b4.jpg
3ee0efa1,LazyCaps,Battle Bear,Murder at Midnight,https://cdn.keycap-archivist.com/keycaps/3ee0efa1.jpg
31dc439f,LazyCaps,Battle Bear,Oatmeal’s Inspiration,https://cdn.keycap-archivist.com/keycaps/31dc439f.jpg
d91752e,LazyCaps,Battle Bear,,https://cdn.keycap-archivist.com/keycaps/d91752e.jpg
d1a3fddb,LazyCaps,Battle Bear,Space Velvet,https://cdn.keycap-archivist.com/keycaps/d1a3fddb.jpg
