id,artist,sculpt,name,img
7a293e36,MOZIcaps,Lepanthes,Gold,https://lh3.googleusercontent.com/g2bOtdtatSUlEv7ECJy26BWa5D3yLq7Ak_xijdN1aFv8YMTQbfCmYD0VTv9wIyl8D9g745A8qUBp2gaR1HJDMQ9WAuB7JFvgBXdYa4S_TsDtYcNN2SoeRqIkH1vD-YYsg0vCC3GmxKE
d4ef59a8,MOZIcaps,Lepanthes,Silver,https://lh5.googleusercontent.com/D0sZd09r4TTxEjeUZUzwAWcfF7nl4wxZVEcBPw-1bQhk6dvRakrgA8ZoD_dEWi82D1RB1cUNpIDrRFa5co3vo8Zt4A1wBLZ2rnAl4uHjfYRb8ugyP3QIlW2AvPEj18O_49vfuPD9s-8
fb5d2d9f,MOZIcaps,Tentyra,Chalcolithic,https://lh3.googleusercontent.com/M9YCfK49lhbejf5JoGm3mYGPeLKKnbPbc5eMHZKdQ7YFpW-DdyCi-LKau8BH_GlVhxdwQrxhAu7OzTvB4GehzPCmz0vaMM3k-FWo3AmXnu56_0x6vqzwZToYYF8F9EUsaFAIDN41o-c
57074766,MOZIcaps,Malaxis,Chroma,https://lh6.googleusercontent.com/uHtX-qUdRbFvW_DwVs7lzv9rog1tvBywOGz_ElDO7wU4v0s2ZEGe8fFD7TP_ImIsfWZt8tVQWm8JCnEyder0ieHwCUKBjAfNYVZEgnzZ9LmGVOeByKokTmkRSfTQXJF7IoBOwesiru0
bea42932,MOZIcaps,Hakarri,Skyline,https://lh4.googleusercontent.com/2wYIAId9r0Mq97nHJbJcdRMVrnIcbRaGN_WGs-2dmZnjR5yAURbqVEjmMo5hw-KHM673hXavfojoJXfGtF7hLX0MdO8qANpBcv4WeFqbmr0T_TGLzl_B6N_YmnwQkq4hVl_h5U57PGY
1fcb58f6,MOZIcaps,Hakarri,Viola,https://lh6.googleusercontent.com/-LmpEOgIfzbb6ngZvuhrsFlQ3Zk2YFGP0Wgl209WHYjKE91VhlmOE0fw2bZlTgYKNn-vM_43igb1N9-m7AgCSo8_8sLB8cBQvhbFu3npLhPGPVHzVK9kSdAKEzErbcJVHI0Q4lSvXDg
6865d347,MOZIcaps,Hakarri,Blush,https://lh4.googleusercontent.com/j0DcJSmhfkR8jIrgauXekMV_iAwsDVH20f2lnpvHWSSy-FjG-eHR0ckqLQz2_P39FtcvYMCO5AuaYKCTf9WYb5KH0qHuh4g1BSUC8aynjUxh7_72Ii8BGVhQ132tacA9iYxfS8Nalfk
39684cc8,MOZIcaps,Hakarri,Apricot,https://lh6.googleusercontent.com/resIuKguSKLD0_xmm19gZdX6lwrGnuGLnEloE220DgpfG-b1TPx8ByKPWwJYFbgnHceNimYqqwgSYGG2q1Mz5FYnUHNl82jCCIcnd6YXIwbu4diifMSZEMVbFbD8fdWBmqNUiEF4Eck
80d9ba98,MOZIcaps,Hakarri,Seafoam,https://lh5.googleusercontent.com/8HBcOyzbL3-ik9tUrt46_s6Zl5CyRNKyWSS1laK0ngN36NucQ6EvjwlE7UzV1e9ZqPqCmYRGKTC-tyotIzwrLe6oiOm8Xm5pSDI7z_eGTPSPzMHPN245Ek6xcj8yBfzwkogIuv84JZI
a06d466a,MOZIcaps,Altisse,White Smoke,https://lh3.googleusercontent.com/WplIxMhlro-jYZbcHTgPPFTqzO0ZKhBMcYtgDl1ebMKPeCDApUG8evfH6KHR3WAIkAsIabEzcazeaOLE-aNCN2JGDbg2N3QUYrj-B3BxLFMYTX35O8QMS19XSLz4rx9UexBZMDdtuz8
f7823254,MOZIcaps,Altisse,Black Stain,https://lh4.googleusercontent.com/pW-AGL83QKNYRNWOfqBTJdHZHWoDZjBEAzu0_byOF6ytToNGzk-XOiUUbtTVG1_Y4siu776o7_tkzlEotcwIegV_lthx3V1w0EjzCK9O-K7jnWPbwrECDRh5RTAKB1M2DAmrkUKeQWA
addaa056,MOZIcaps,Davallia,Solaris,https://lh6.googleusercontent.com/bDd9nBa8lYljBXMUuWQJdVVXUgRyClnpmMzXILVwMmEetyZfrcIoIggNVNIX31NMIpSCuS8tc-xaYrDZkgmz6kXES4BgjtAi6rMZaNSPlanrlw1DkcVVWZ5G48UuLmBoZcAjLwXc0ZQ
31fc0e9b,MOZIcaps,Davallia,Argon,https://lh6.googleusercontent.com/wIFHBJcvT41XqevWnbgMOFg9187AwYNmG2CXpyvdU61xqzhZso6pS8bcTS63E1rHGKtQTZ5HkQWQdV9cyZYh13YQfqddOMF4_yXB6XS5eshnQp-GasRG1IMCQjc1El_wy9-DCccUpck
60030b3,MOZIcaps,Davallia,Phthalo,https://lh6.googleusercontent.com/NpOShTxaYiFpARX8uEH4hXCSVLsiiARmixsNmFzOVJbarKwAnEsciKbFozDuvdg9WcziCPEEyne1LVqJFDnyclOVtlUGiYs_1NpP0AwpI7utLLEAaz41BKOupuqXXZP3mXSSuQjJ2jw
c3290d40,MOZIcaps,Davallia,Pyrite,https://lh3.googleusercontent.com/APpCtwoLKhUoSTk-a4hzCT6PsLL867dKdU0t_XQsdkchUPfe_-h52Fym2l-UeV0rXRwVxzm9zf0-aVd3Iv-yZico9UYvO2D9QqccJqzz_pGnCzmnj53KXcDWGRdN4hv5J_TvgZ32pg8
facffb49,MOZIcaps,Neissus,Prime(Discord limited raffle),https://lh5.googleusercontent.com/yysF_q0LyoQk19ys5Vcibu8DC1nSAt8_MHcv-1wRMrhmM-FJGbnCvuH6tmuiyXy_xN0PXMvwWmgkfIbyO06ZQjpFsf__0JVTcUCrgiudPmGLIDbULMBIsw0A7VFjNkcOxAAnDhJVI2U
5aefe0b3,MOZIcaps,Neissus,Cacao,https://lh5.googleusercontent.com/aQLtE3fYeppVR4cXCQKM_cZ0xTc8RH3ZHluTexl0tUw4vnsola-9iMao1-NPevZRda-j00SPvvHMX2Q7Yd4NYG73gXbugOAiaXiLAG6fvIsQ5Dlsg8hCYlzJg2WoeCD-xM1ZDTlafPQ
73345c9d,MOZIcaps,Neissus,Bryo,https://lh3.googleusercontent.com/DJ4nX9-f_eW5EX_K3tMVkNvjkxCQ3wtwJNQsN8r-lDWeUmkNzFcNP87w44gygo1OWs2nwfhilnoKPO6LweIrXLlaMTpvi_bsixLBAVXz2RDOMYyLxLmH8U55qd-mRKHltC0xILGVkw8
9dca8807,MOZIcaps,Neissus,Haze,https://lh6.googleusercontent.com/ta8hynjdG5qzSwkYaQI7TV1Yr-pyyqoUZRDDs-GIzTQ40HtLXp0HRtxWu8woXkycbpoga-UNLv0Q1xXNxLF8CJ5hAXHzrXQ_nTBQ5NPPl0_j6vCtV49pLAFVSzx9KOIS0EhxklAj1Gk
5c5d18be,MOZIcaps,Neissus,Rime,https://lh6.googleusercontent.com/oPA8pz0TCO6unvGXGs4_o0O8V7QxsGvtyGJ9XfRVPyM2B4aqkQZ4UY04xv0MdMbpqB4V-gLi_ZLRKeEMqt7F2OpEEnDfpzO8LlJwY0qvWBkV4QHzM3UQ5oSR9kaZ_QaUmmNtrZRa71w
349aec21,MOZIcaps,Otatea,Gold,https://lh3.googleusercontent.com/dJLFppHVQSVfN9skX_ObohAv-s3FaWfhm_0l6_3ik0ggcx8PE4ocuVtP3lTU7a04C68QEXZvzGoT2yCnw3C7oQajgxP-n8QMveM_9G0sdI-feVrRqAGknGh9TFkCK5b5Pu2v5SUxAqA
d7473596,MOZIcaps,Ergaux,Antares,https://lh6.googleusercontent.com/c44VGTq9eLoIvzLOXxDVVdUvS0OC3ttFb0no6B7mN_zzUgM_rjAYebDTn3wcFW1-m8ook-fGVo7s5bEzXR-Yd5dzkJppNc8r5tPN6r8-FikfQmyXHrB-MMMzZ-_XMVZpgBvrAaQeAWA
7899361b,MOZIcaps,Jiahu,Garnet,https://lh6.googleusercontent.com/iJocj1hkvhCgJtXmKQhXjXIVYZlQ5r58Mfp4YXmhVeA5CsK_471SjLF70LZm3m1wUmtDHImQIfXPfsXfphOHu3YJxwN9rtZskEYNQZLj1OLTzJKHP-bWLb9MboiPBBbWxf9JzpVZVyA
61708428,MOZIcaps,Jiahu,Onyx,https://lh5.googleusercontent.com/S5Y4jk12mFMxvtvnB4lOQiVnDZ31S1yrA3wIozAPvO9oj2kgIKv4abnpoWtU12_b_jfUyNbuf2azAFrRN7bA_o90QrZvBLQ8f3xD7ZiWI7VGKKhQXNuJwr6EqvpB8oC_r3vwGMY8ioA
8a5fc257,MOZIcaps,Jiahu,Lapis,https://lh3.googleusercontent.com/6UojNWOOH47avvG8sPFdEluPzudMmvpQ57LlsJ_g8ApovdzwVkgEafBufNMzk0EnJ3L55hg_SEA3KZ7U-QehJb6aR8-UzwdXr15bsGxbDdPng3fMssQiZBLpS4Ul2iGoXhITMzoNMOk
b3499f1c,MOZIcaps,Rotala,Veil,https://lh5.googleusercontent.com/D5BD-nrtmUorDLjQM1MmCdM1QBvttAqOruvmG6LRFZ68ZdSrnEwcfhNgBhprVfVaeygxFkCP-xhBO5znHe13cRHMP19YzTRitcBYAXn7fpmGuFD0EZ60omCNIrPW8T53Zbbn3HhizeM
e74d7aa2,MOZIcaps,Rotala,Mint,https://lh3.googleusercontent.com/EgydUGX1kVOIMgMQOoZO8FzvhncnNGp0ulR6Vis8oKEsiKrgwoRKfWT2Y__fLO-YnymXMgWWg2HHiG0A0Byy2WuFfbmWQQ6M4X6WuqWALuo3deCkRxrOeRXz5n4os7Pi_gNQXeuO7bo
e2cef33,MOZIcaps,Avaris,Ad Astra,https://lh5.googleusercontent.com/obRSJtlpgH3z2Js36p1xGUkLCsnsycxnH47ufKuSmKk1ZhlpWNqoGSxaVJNpdeDZWvmqQa4qY4Tckp9EFGC272gPtKn3603QptpuLxhEQXLNdTKSkhuzu0vVwtTLGJy6Zv1u9MGb_gE
2cd2f646,MOZIcaps,Avaris,Igno,https://lh3.googleusercontent.com/DoX9cczzD4SD5WsAB-35-VR-BbL-MJhrDygzpi2phhIm-bdRy4YChM7c0mSteGs9rBBMwyD_3ai4iPO_5vYtE_FQcPN20JfjUZKFH2jzJJqdtZuLEWGBuGZ7yOMvuz5FknLQQmq3EYA
9330cb44,MOZIcaps,Telorr,Carnage,https://lh3.googleusercontent.com/mNU2ULcr_ICgciT1D00jXbnN2dy8R01HwK_LzgQxwVOFFSNuXDjYpy8_GDUttclbX4ngTmPJc1C3l-3MLcupxrmqO9DOZ0RsCC_ZMNx6CmeIxoKv2WqgcTP0XMqkhVj9KoUjpAZ_Nec
8b3bfaaa,MOZIcaps,Telorr,Sui,https://lh6.googleusercontent.com/VaKB5Aqs4MLSLubBFj4zBmKClyRaEB8VMPs-ZzU7AvW5EEbvB5ztFMorrlRqckZ_RQsOKYre50xzzRmxKKlncfJm5NhU-LN6nYdrCjsO8ARzFAjM4A-aygzauBFjlkPIs_FvZcyGnEo
f8c61c52,MOZIcaps,Balath,Ferric,https://lh4.googleusercontent.com/SWe7d70GaCaJOcpJafqTajYCN4i4YfhwPiTktyPAyoMx-oY__uH0geGKiMbni2pNqOq2EmPzIl9SXoBSZLW4h80lonHoZSbWIfLZzpBrkWOL2WJdqALmk_DkY8_METVu9xlac-2uRNQ
6bd4b16f,MOZIcaps,Syllaion,Au,https://lh3.googleusercontent.com/kf-2ai_zbVUSfcEogMpFSVwWasDBQ4co3CXs5Z0LBlyIDG1eggh-9_XudzCqWrquxQPFNwGX_-ZTx0V5AY9jslXNYKjtCgowhl0oQFmRF0rIvxAD_aK_kfdE2PnxuuW_2B5H3elBvAk
fdea2ca7,MOZIcaps,Olyra,Sterling,https://lh4.googleusercontent.com/5HzL6rIUK8eQUWWMKjdRHq7JQNWTFcKij4beHxT-hrWzp83RA-er1wFvX4b0EZdEPVqf9Zprz4FLVkYDAgreFZ9oGAhP525AAlsxQ_9_rnr-rbEVOyUwvbkPuJVVcfvCEKVEIfU7Tcw
1d500dbe,MOZIcaps,Olyra,Champagne,https://lh3.googleusercontent.com/iGaEuElnB6Y4rcjhFjnQAmDf7roxMMX3a9brhsnscbv22sK15jU3zUM_jfEKXgjjz_AiBk1_J7QPULvN5SKFzt-ipy6gUmxkCAJttSxvq6cynTVBSsD8KZAmS4KMoLMxXqdsOECX5kQ
493e71b5,MOZIcaps,Olyra,Antique,https://lh5.googleusercontent.com/_ZCqcenGQC34G18lP3JVRlorqRiME4ecv3uql-zJpztTyPL049QHCfmhwXrocP43_sBGPf68z9JTN759Onr-ovVilm5xiNog8MGINgM79AbwQa9c6kgKLPS9dXlpzFkImLtCeufAc-8
7e55f552,MOZIcaps,Olyra,Venetian,https://lh3.googleusercontent.com/7MUAWJbuDuktBv5YLEHgEgxVHy7xy5IK5sCrezWOerjU-28IFa62KyhlPKIYCsceEjYcqaMfzPW6h4YMCFejkoia7sJTlKmnSSgPoBXde7GJ7VJPf2a7zAx81iJOhbr6RgsZ4mTOFC0
