id,artist,sculpt,name,img
147acb0b,MUBAI,Bear,White,https://lh6.googleusercontent.com/I8bL0sp6NookX2Z4bFBuZj3b_r6mjeCSO-KCNQEAwZ_9ixmMVrHaokWkteKVw2gjrFETqXr4VhMovO_QsRiU5xBPVHIa-xI4eZVspAHr4mnXaC6Zj4Fr0B-LLcQGujgQG6RGSe4tb9E
30cfe669,MUBAI,Bear,kumamon,https://lh5.googleusercontent.com/LHmJO1mwkU_glnn4ply8pQ4QuQdIDMVNzJRN4NdJK2y9rvibHNdkeR3QyiIb9Ir4qUI1t1w1l867VPvTC7-P5n9DtG3u3x5M05eVP9yO79pX-tBXVLH_-AtLrlbL1TvAJL5tdnwMKO0
1ee7250e,MUBAI,Bear,Green,https://lh4.googleusercontent.com/ETDuvMDiBAhjt3ItY343Wz2DBn51MdymlABiiz0Bcr6ImROvIVIukg46ZqtIBG68dgybqesai8RqsrMkITUSPV61Sskk9QrGkGfl2u0r6ipjAlIM4Ct0GgLdGx6RsuXIxzR9_HWbntc
703dafb4,MUBAI,Bear,Moss Green,https://lh3.googleusercontent.com/BxKplNsqXDVBHJ9oWP3cXa0AMoAFcoK6Bk_PAj-ZVuKCDEoe-bgxDCFD6QgUNDTwRRtEZom_UCRhnRPy_pdJE6SwEdWGc3VprxcBk0t4pAnntfl1_KAm2ajL-pWsJBZRT1dS_a8FEIc
969197fe,MUBAI,Bear,Pikachu,https://lh4.googleusercontent.com/rdtcKFkEKxAGbah7VLR_P7iUrZoXI9QqgrvWgi7OwhXtRaLdPDZHLHhcTzAl2V8zxY_1I9xIB9t3QxCDGrq_jgUkeaMfRN8dOqryxPsNVa_y1WV8kRJoSBK0yHu6FAc8yv0cSF6QLNI
621b18bf,MUBAI,Bear,Brown,https://lh6.googleusercontent.com/YjTCgdSGv7IMUK7M0asYXzsdWbt_EV9w3_Wny95ByCEjM53S0w65FOPUhouz67RBtAVgvxOcFpSJtHstUVlyt8Zse2WQQ1NTtkqG7H2yu5zgm1HVzLBBAIvQRjnemtbTolOvKvYe8X4
419c852d,MUBAI,Bear,Cloudy,https://lh5.googleusercontent.com/LofcbkxpIMuCVq5y5nZrn7_R1tqUGlxRKCUqTn7tqrY1yXtnsQzgtdtrVDFGoW1NPEH0oQUAqZgKmSWiobiTQ13PI9qTLsH4FLZMQtbOCaxs63hkIOokCJ9lJLtTIqV3pZtIAMrccKE
1bf7cd81,MUBAI,Bear,Pink,https://lh4.googleusercontent.com/i7lgunXHZzhTVVntFrCiivS_Pug-5SB3MO7ssyDGS0WM5sbxuMl9CdzX4EiFA4NJDgrAmvdhHqLKYF71aqRWAC16Yc1u4dL5e2K_BYsAr5cL86JmGYEdbquhX6cO7mCtjuZ-Q1OUm3o
1d390f2c,MUBAI,Bear,Panda,https://lh5.googleusercontent.com/3UvnEBfGpS35rGsGwMYx1IYx67FtCaguppFOhhIqkqy3albNUIuZ4A5hWF_Ab1GsO1WfYe4v-DkItbBJGFDrjxdiolKi0UlXDwKjXbFT0zbl2gGAMBzwhgySOm_xJeNnaJE6aAXVDAc
68a5e447,MUBAI,Flying Cat,Toxic,https://lh4.googleusercontent.com/lZO5Fxb-V2KiH4g2xhySn8dxPW4NBNWQT0zLDetwl8vzGljOknRZc4HKRttvvinCJGMYo2FuI9NcEibGHaEL3mQktlISSmWlZBSG6zmA3mP1o4F9l8pJYGkdxbWW6QduiC6nvrCjP78
46edb04c,MUBAI,Flying Cat,Oblivion V1,https://lh5.googleusercontent.com/XJCZe-EtReZXlPArGqVufa5elKtw1MP2iSBuP-atxypCYqAZL81VpDEK09vKAfH2sv4s1DWW3WeHiE-oRodN14l_l6csEfjMmrm8W7Cwng6A3XZmKYfsB3PVr8ebQ9VfZJO31TSXvTg
b04e5f57,MUBAI,Flying Cat,Matrix 01,https://lh4.googleusercontent.com/c_H5IY32mtJDaDQ08ThrlQnxPUMsUr6su33jVcdWzv3vzU6idiYXk3H-AxZDfcrSelL9d1emkwM97XZ0rlgCZwMIr0EZ_MMKZH8so8s0HN5b2xSjnznwtQMrjyaguuuPr_9f-4VS-ms
9cfaa589,MUBAI,Flying Cat,Wob,https://lh3.googleusercontent.com/hkcQU641dcP8VIjvnViHFIdU4HHmhi4S5OqqwUqZ6CztVANWEEhlkkCECd5r4hn-aIN3jMioDgrj9x1lbARNJjXcT69CTMT_HOL3ZrpwYu59lTSnyxI9gRuYH5Gvf8-tsJu2mVDXzog
2c0adbca,MUBAI,Flying Cat,Carbon,https://lh4.googleusercontent.com/L9pzV5VDrDsasjB7FEYXlbtOFTfB_p9Mrp6FO-W3J_h-FFXHC2JZ4ZZX8LvZD1uG8T9-uEYCUpF_Hbd6gVAkfrVsb1DO3d05bC_UFw8Ii-Yn1j-helUv-kun-J-R-LQljYnRpiIWUd0
b6d28ac2,MUBAI,Flying Cat,Red Samurai,https://lh4.googleusercontent.com/_14bdaEq3lV45RZkaFoccqkNl9CYcWi8kHvGPPst3rku-LHUHE0OFUUHAzL7huRK7sxzsXBkDLWK4ubYK6gEpDi0-h-G3hactfy0ScCS-dfZTUGShBNslarKcWyFSQWZbigBVVboWps
dacf9bb6,MUBAI,Flying Cat,Oblivion V2,https://lh4.googleusercontent.com/ert76u4u6mcXVdQfRelsAm7R8df6th5UCNOqv26kFU5TT2JIfWpEB6yyIO9VRSAtRQbe6donilhvTcvap4xeVfRtWvFQbg8vhJj4Kwr-PVDbLj0lnwgsj0ST-tOyYlmfuq_0WS3cwDc
3a6cc188,MUBAI,Flying Cat,Pikachu,https://lh5.googleusercontent.com/UfyCjRq7k7haKhXSnO261IEjvNsARgpMREVCx0G4u5ZRaao0GYUTPluv-I6GqXBR3p_vY_pBF2k_OTGC-dhiXxME_b3OU3ZRJUoIe8zMMyOVewwfJEq9j5ImOfTFrVYW4dyM3a76IJc
f678e2ee,MUBAI,Skull Kid,Boneyard,https://lh5.googleusercontent.com/ldr1kUB2XNI7IPiVxdaE7LmuiFkZWX3ZTpcpTTbqrqZORzNTGQMGSgC4fB86AkgnCw0Oz0ZWkTa0VlT_ztVmkGxLtLODjrrqjgDJZ9-8-Ew0Uq7945Vq7A93AASEntNSfhpuunonpOM
e393c956,MUBAI,Skull Kid,Lime,https://lh5.googleusercontent.com/InUW_qmlRkmYN_ZjXDMi7YyWqjF4V0d80vmpMOriFXbk4VA8dgRlS6n_w3g-Y8wgrb_duKsg9H5ppvuOmYrDefo5uwtXG6TY7Aw5TsV4ZTex-NtuP_Ya9uhzUMQeuvhLQNIp74Mamkc
