id,artist,sculpt,name,img
e1e4cb4d,Myth Caps,Ditto,Chrome,https://lh4.googleusercontent.com/acQzpfDupaDreY_Q2Fa9XSGX2AGt2GDAAvp3n07QB86cqiQQ6CsQ4J4GJ3ve90NGfiFVD7FqWKAz3Uwmv0glINV7vmoeJa5492yf1UXJ4v4pUAIDUVXQOn8wpCe9zUoWwdRJQAVwsDQ
f3cf4ea5,Myth Caps,Ditto,Debut Classic Sale(Blue),https://lh4.googleusercontent.com/GPpUXdknnb0KDfjEwRPnidVQCZl3A2F59i92pvHlRZISZhP12wUayWlBE71VJjiSu2ans-UARx14rnjg3Oh7t5MBR_ynJr6sKiLmPRyEjPv1BEuuA0tGRtd7cc0bxo4zITQvwWyKKt8
8f088f8e,Myth Caps,Ditto,Debut Classic Sale(Taffy),https://lh3.googleusercontent.com/GE1hOLO0jPRF3HD9XGhtCm6SFXsAgWl56N6JbscQMy11yC0S-WdZtsl7xuifSYKWPUqi_GD2GJZVA_QteCzNCcvPnvFM5Dl5k0Z0r2pDdmX6Z7XGDDz3J8Se_voP_alvZ3lVHKMXY2k
4aa2e27d,Myth Caps,Ditto,Debut Classic Sale(Pink),https://lh3.googleusercontent.com/kOP-PMYdBBy5-W40oGRhzi4OCAlLkNOens5wcg0peJKyGU0KFMWv_tYTSnbdvjuT-iaFOolNjgj1vSvWThsre52ica7csbLon04RU3lXV_TFWL43swh0da1cSLIDBtsLgvEFkxf2Mfg
c12ec9cf,Myth Caps,Ditto,Debut Classic Sale (Magenta),https://lh5.googleusercontent.com/M4rpUuTr9uCIKU2FxRR4o5AVcI1Bzck60B9skGaq1NoDJtShO4oZSjeS93TpW7L6je912xeclwFy1zAf0CDHf5GRXm-em-7eBX2RbAyfCSf9GukwfZroQ73oeO2zZXU6QzvAN70W_gY
fc831287,Myth Caps,Ditto,Debut Classic Sale (Mauve),https://lh6.googleusercontent.com/hiIFBmNuKrVIederU-JcuH57ozZwIoTONp3gh0xICwokIU6Qd-vpCpB0GQYfUINXOj7Zbg4GsE4Dp1NM7if97jJ1oNgk70Glb0CTYeimhZikxmmjEj-8_08f6qR5CRAr_VWNteuWZ1k
4fbc20e2,Myth Caps,Ditto,Color Shifting Dittos (Shimmering Abyss),https://lh5.googleusercontent.com/zvFAPHKWM_uYnoY_QisDSp0yZK7gvJfTAtz_Og1YcdlfkD9P-SVi18fklZdMEKXR4rezDJETJpvSRGPjhuaLiY8ExBr0e_qeqUwFH-igUVJh98nukWWGoc6TIEWcMBqPfcomwKt8BSU
c1c5b109,Myth Caps,Ditto,Color Shifting Dittos (Golden Dawn),https://lh5.googleusercontent.com/F5TbKzbM1Ro-ATbpa2hewyZFYS0GgIXEpOmSfaI1lnyBHRKEqjgsH_9ch6IOYfbOJyKNfe__GcG-lHMmWFnLGQeB2VVQ7bIg50ctw9BUuYnuM3OxSDb8Sj6SJyE7V-HHS-sbxnMon2M
2519538b,Myth Caps,Ditto,Color Shifting Dittos (Sunken Algae),https://lh3.googleusercontent.com/gYcSUEhSXiZ4l9It6mUMz0_HMslY7Et27XPyNflSzmI-x1zGJuml6qJ1IaN4zfuVji3v79Ndaucz80x5WMtB5Mf31qPSHnO0Lvr4xkWK4f_RUDKbd69YX6_Q5Ub2dOCNQe6wvQTT0KA
63840867,Myth Caps,Ditto,Color Shifting Dittos (Identity Crisis),https://lh4.googleusercontent.com/Zph0zQrkmSS-FlJXhNwnQ-IFT_gyij3Fr_vCCTyB2muL9z6czQpCJhcUHbNFSa6cITOWb4mXa5PpDHiLJNEn11h6FcxzmjlNUFC_lLSlS2KiXp9pEprR7GrclYkTq-NVIcAjll1sSpU
