id,artist,sculpt,name,img
2fb2491,Nubbinator,Derp C,Master,https://lh4.googleusercontent.com/Tyki0xeA7YQLBqwCHTt0FvV-H-ME-hGWi_l3fEV6ZS494SMQ3SG7n9zmDNbHSmQCxkajisRkL01hnP73kGpLrqVh16AskELjwq6Ks2PvqcUJIGTYh-8Lmy7-kM6yWnNQyX_xwrtvGy0
c3891305,Nubbinator,Derp C,,https://lh5.googleusercontent.com/ljPUlPN2MV10OU0hM6AbqPcFTM-P3bbT-svEtEjo6G8eoo6NwrIZnPKHUahci_uOhbn7Ts3WX9BU6lVWvc8P2QqSOWHRgJx0mqlJsScyQnY0mMLmIxcoJUq7S4PU4hNHKc90hEMv5M4
8c629400,Nubbinator,Derp C,,https://lh6.googleusercontent.com/lGFQwVRUikjAwhCNPoJHo7NJrNJ7kphfL8PL9WLDx_0MWTgZ4Gon7ICUe6eD2nFW8OHmrncLBuI2oLgu7Z5olHCw2MJTbI_Q-3kMDTlKiHDWbTyXWfiKDvEdDqEzD5Yuh_CUNejneLE
e42ee9b1,Nubbinator,Derp Caps v2,Green,https://lh4.googleusercontent.com/bfSAm12rEblRUksWk6VsBF78ia50vjggIRKvpBBXkxEUrMNqK9xg9l3Q6NRmKTPclrNDf5Q4kTi-5QFA6cnPrRcYqusJYK4J7djDMKcuOWZN8OfbdwA8TBCh2cH6ucytX34msEoVqFQ
cb5127,Nubbinator,Derp Caps v2,Pink,https://lh5.googleusercontent.com/j9q17xFBA-4UP5PYIuFieBPQAoR2phon31G3Z6m_Dct90TWa-XVRuqqlldAkVgv7qmtOrliOpfAUbmFjJ0ivf1eXaB7WUrIrfAbaYZ-oj_FGJnyveF1TYABKQR5wdfyMh6ERMXzjTmI
c518920a,Nubbinator,Derp Caps v2,Dark Grey,https://lh5.googleusercontent.com/ju-saBZR-qW_OAKW-fpLPho0sYztnW7yLHgCEGVZY8IFfZF_8jfNLR9e0i2GBYoVlPaQvcAqwn5dsRR-ogCcZ3328IftsO4uJurpcVA0PeqArmbVMkVZ9gFzf0AkTtdP_Hej4REDjdU
33328452,Nubbinator,Derp Caps v2,Yellow/Pink,https://lh3.googleusercontent.com/e7fl3MUN-4KoC6ssV3H-k2rWwZKwnau36Kbr_fZ5jfXHkakpvv0JY_WeCguOyMgjBzVle9GOMaTJlb00z_acZ-I-rfAtVBSptkX1qXEabUoWRizX4K1swRl32Jqz0zc1kYxWn5QqjHY
609443a6,Nubbinator,Derp Caps v2,Traffic Cone Orange,https://lh3.googleusercontent.com/AhEsC7bgPhjAxGS6Mo58ACx0oeSLYoNnQC9Ght9H5PqOcWWGaPNn0dadoZYUKMEAhD3dX8FuCFsfi_gAfAiiOq_BgVmgIh37QtL-Nl1YyBBXEPzRxtT-WMRHETc8NNvCGNJ_zTHdKPI
8e328985,Nubbinator,Derp Caps v2,Trifid Nebula,https://lh6.googleusercontent.com/XycNzWjZ1kv7sFzK9I21HcVpDR8XU9VmwzQ27oJN2FMlYo_4l6UteWyZmgIAxHGdTDfQpcLdCbBxNemo7s1pAQl69kHtg38CCrI7MTY6zqX016nQksL2QsOgvcpAVarnu_ossjoLBUg
4ef81a0e,Nubbinator,Derp Caps v2,Jellyfish Nebula,https://lh6.googleusercontent.com/jO3pXXgFGp_B9_lWkyUshDuSFsGUcapjEAf6rVqDMmSNTlT5b93SlRTwYQ1WZaLEJRK6M7kdN9n7KIZ6UIkH31dRd5O_4f966_cUB5153pXxfQ8fF8Q0A6b_8r5z5TaWXN4De5N4NwY
