id,artist,sculpt,name,img
93e82c95,Nuhz Caps,Retto,Cosmo,https://lh6.googleusercontent.com/ewG6XTNa7gBHBdNdkoXkvpi9Af844Xg9p49Id_NKZFol5OeTD62m-F29jaRPIXtB9uftgv4QMQfREcZA6EF2Kr3NtF10xboydS2EnAmFr4aKKVdsz1JIYWFFSDaN6RjPbg=s0
e5f95759,Nuhz Caps,Retto,Totoro,https://lh6.googleusercontent.com/pv0uy2FRJF7GpwszGzJd-axEx9cnrOpuvg3SEe1brtSFCvPOmuIHMF-D4sj6brUvr0_9VEZDIT58ED3mjSJtCqAewD7R5uQ9FYGfQWsdPXjhgmXk-al7hGL4WXQRG1kkWA=s0
e9ec6fec,Nuhz Caps,Retto,Tiffany,https://lh5.googleusercontent.com/y3FcSk_i5xZ09CInU77K3UrO4DlpaYZmC-yH0TkHm35gh_q00SbmVS1ciK7k0Jg8YLQQkrx6mdYKG-O1u7gmHa1hct6HN3ew-7KN2DU_2Z6UPmcqEhoxce9FxxmMSE4LPg=s0
f2cae2ba,Nuhz Caps,Retto,Sky,https://lh3.googleusercontent.com/1otPVffxut2R5ZhHw4MlDouz4WKCrvxhZDWRUqHjWGQYKia8mgJPaKCtzRXVEm-Eh3I625VAws2FL25Eg0F-z9198f7FC0OdbTgrMvcsmD4M490SXQMpLpWM9aDn2vh52g=s0
e31cb75f,Nuhz Caps,Retto,Candy,https://lh6.googleusercontent.com/YOjDi9JJnOwVmGiQxxHLDYi3PkboAhIiv0Md7LWR6SBUkhiqnF5Y7rBiuW06k3gn-tuvWKQczfv3uSyE80kGtQFxgyf48NDRXD8zvsgaoKoK0lAaEBDU3sz17pcUDyR3AA=s0
43f2a0c8,Nuhz Caps,Retto,Lavender,https://lh4.googleusercontent.com/Oqxu2Vn27mkztr7z-xTr2vIcw_cjAlonW4YLop3Bmpkk5vg4ZqGT1yvbWUKMNLf_GTYzeUtg5wz5rM-RkZFgKDpqmOSMNUC3LEKyfjP3WUeQ1AX8j-Avnid7HaNLO5LS1A=s0
a92bc6b3,Nuhz Caps,Retto,Orange,https://lh4.googleusercontent.com/iLKJPfc8Tif3eDzAR8lwXKXdeNDZIDYdDl8VCCZ_nRGI-4jbHLcq0u6M8nxfdHhN0EXuOYVDJG8BdXD8rVal76zLJV2m-VNf9i3k3V_SNF1XTNdoRmOsR9Jr8UzJtOBKzQ=s0
80329d31,Nuhz Caps,Retto,Lemon,https://lh3.googleusercontent.com/_h1AE6oORitZA1mA35sRfvwKjiGbA-HujgHRwO4qsVlvw1mNcvLJD2WCqVhjlBqhYKEyJCQNIBHIdIawVqe_0cJXoPPqdFVMT25mUlP6fS2PG5BJTIVwdLEGm02mLag29Q=s0
24dc3129,Nuhz Caps,Retto,Coco,https://lh5.googleusercontent.com/aLDcw7Beik_Pgn7G6jAupuMbDrNEQl8KsFc9_4A6eHyC6h5K-17w-s2kD7mGwMQlLBcVoBX3F1RPs512KED0gFhISNqk2byHdxltW3C6v1wPWrKNQYL4c-NUWthnHDs6gQ=s0
11088a64,Nuhz Caps,Retto,OJ,https://lh5.googleusercontent.com/tFaEQp2XVRWUSXVngykno-nclAdZbfttNA1bHoD0OsgRmOdCxhVXLvXfhBpraEVh4RZs_US9rHnQmdrNJ-6_RuZVroUBuWPPtFv4V8gY_D6K3ED3Wq_THC2aXdbBDKY0FQ=s0
7bee3eef,Nuhz Caps,Retto,No Face,https://lh6.googleusercontent.com/F3L1MjPvpecN8AZCM4Ql7Eo16TX9MhC5xFYHLCziK0mu1ysuQeWtA3JUTPXw2oQqfpGNcI_wq-yM2qT6BnbaVuGNn-HjznNlAcg_Guv959vSSZvsTaLuxYbXePZltgkmQw=s0
ae3d5664,Nuhz Caps,Retto,Bouquet,https://lh3.googleusercontent.com/QjdrheIa0pjRuQx2W4q_blDnF6_tbriI2bPFXj5MokpNMpwTA3o8cOwZS-OWhLccJa4gLwpr0kLDqK8JUDy6JVvd0N-TN3e0PFo9XNjh2x1fXteTuMlWPSF0aa_NVjn-Ew=s0
4acdeefc,Nuhz Caps,Retto,PB,https://lh6.googleusercontent.com/rhjzoNxjAXo8Ol6UveAOPeK51AO4hDiDv4Bw59ECUp-JQ-L38IM87HGdhBLBDipa40m0PFvDry7UcJapXWLha-kdWmT5t4BstEmsnGhyrb8AS6koxKsfJRtLX-pRMj6jZg=s0
