id,artist,sculpt,name,img
7ead215c,Obscura,MultiPass v1.0,Leeloo,https://cdn.keycap-archivist.com/keycaps/7ead215c.jpg
11f35a54,Obscura,MultiPass v1.0,Leeloo Lite,https://cdn.keycap-archivist.com/keycaps/11f35a54.jpg
dd52443d,Obscura,MultiPass v1.0,Zorg,https://cdn.keycap-archivist.com/keycaps/dd52443d.jpg
aa161779,Obscura,MultiPass v1.0,Galactose Intolerant,https://cdn.keycap-archivist.com/keycaps/aa161779.jpg
58990d01,Obscura,MultiPass v1.5,Magas,https://cdn.keycap-archivist.com/keycaps/58990d01.jpg
b6f80e52,Obscura,MultiPass v1.5,Dale’s Orange,https://cdn.keycap-archivist.com/keycaps/b6f80e52.jpg
be2b5a19,Obscura,MultiPass v1.5,Ghosted,https://cdn.keycap-archivist.com/keycaps/be2b5a19.jpg
b40e7abe,Obscura,MultiPass v1.5,Ghosted GID,https://cdn.keycap-archivist.com/keycaps/b40e7abe.jpg
c402400a,Obscura,MultiPass v1.5,GoldenTicket,https://cdn.keycap-archivist.com/keycaps/c402400a.jpg
cbdd9f8d,Obscura,MultiPass v1.5,Guttural,https://cdn.keycap-archivist.com/keycaps/cbdd9f8d.jpg
4e26dc68,Obscura,MultiPass v1.5,Mara Sov’s Bathwater,https://cdn.keycap-archivist.com/keycaps/4e26dc68.jpg
3151afb6,Obscura,MultiPass v1.5,Kawaii Formaldehaiide,https://cdn.keycap-archivist.com/keycaps/3151afb6.jpg
cbd5a414,Obscura,CyFurb v1,Deep Blue Sea,https://cdn.keycap-archivist.com/keycaps/cbd5a414.jpg
876412ae,Obscura,TriFurb v1,Vice,https://cdn.keycap-archivist.com/keycaps/876412ae.jpg
1247fb60,Obscura,Trifurb v2,PROJECTEVA,https://cdn.keycap-archivist.com/keycaps/1247fb60.jpg
3f1c609c,Obscura,Trifurb v2,SLURBY,https://cdn.keycap-archivist.com/keycaps/3f1c609c.jpg
9445533,Obscura,Trifurb v2.5,Dale,https://cdn.keycap-archivist.com/keycaps/9445533.jpg
77941e3d,Obscura,Trifurb v2.5,GoldenTicket,https://cdn.keycap-archivist.com/keycaps/77941e3d.jpg
9956bffa,Obscura,Trifurb v2.5,Hitman Hart,https://cdn.keycap-archivist.com/keycaps/9956bffa.jpg
84bf9fc7,Obscura,Trifurb v2.5,Blue Blazer,https://cdn.keycap-archivist.com/keycaps/84bf9fc7.jpg
b80bb248,Obscura,Trifurb v2.5,Magas,https://cdn.keycap-archivist.com/keycaps/b80bb248.jpg
26858f05,Obscura,Space Spider,Hypothermia,https://cdn.keycap-archivist.com/keycaps/26858f05.jpg
8ddb554a,Obscura,Space Spider,Sludge City,https://cdn.keycap-archivist.com/keycaps/8ddb554a.jpg
35a8bff1,Obscura,Space Spider,PROJECTEVA,https://cdn.keycap-archivist.com/keycaps/35a8bff1.jpg
6ecca240,Obscura,Space Spider,EVA Redux,https://cdn.keycap-archivist.com/keycaps/6ecca240.jpg
5b52b2db,Obscura,Space Spider,DynamicSpootsNSpace,https://cdn.keycap-archivist.com/keycaps/5b52b2db.jpg
74466ec1,Obscura,Space Spider,Magas,https://cdn.keycap-archivist.com/keycaps/74466ec1.jpg
b5d6ba94,Obscura,Space Spider,Deep Blue Sea,https://cdn.keycap-archivist.com/keycaps/b5d6ba94.jpg
b9b6dd56,Obscura,DALE OF THE DEAD,Golden Ticket,https://cdn.keycap-archivist.com/keycaps/b9b6dd56.jpg
da3f8da1,Obscura,DALE OF THE DEAD,SLURP,https://cdn.keycap-archivist.com/keycaps/da3f8da1.jpg
4a296d28,Obscura,Oddbody,Deep Blue Sea,https://cdn.keycap-archivist.com/keycaps/4a296d28.jpg
