id,artist,sculpt,name,img
4ed1045c,Ochre + Moss,Goob,Original,https://lh6.googleusercontent.com/L7PAlbPXrhz3cS5az3nX5BBhDo1kDe6i_3zhCUtrTVjRTyppyUT-3-bPPY9MBm_mxSzpQE8rmDGns0KoxQJMjqsK-L6KDrOeKH-ASF7giz_Y8W-j2gsJjNzQHMk9IBXuDOn2FlWrRmA
813264bd,Ochre + Moss,Goob,Peperomia,https://lh3.googleusercontent.com/umPfA_qhbjw-gNMjpIqPUp8gNi3lMFiNCrRfSx3dsinv9PkJM2KZPlNS-KkldL2_DLVeEMXFq8SnkX3qYBqJAptQlK9ZJ00fzkIGkqNgnAWG82ba8zHTimfaT9mRCO1Y3FLBWsKsNMY
2f67fd,Ochre + Moss,Goob,Lazuli (GMK Lazurite),https://lh4.googleusercontent.com/fqKr9qZBpwHJOHzE4TOwISDNULFVS5Y3zkTOb9LNQbw6FOWAe-FgdRWZywqRw7hWJ5fglmfZSAfhXhYB0NC96kA4laNGPHzHEAl1pDRJcukk4IxK0VMyarfxIZa5eItVND8jqN0Ke5s
69c7e2a2,Ochre + Moss,Goob,Wisteria,https://lh6.googleusercontent.com/ppFVk1ZbQksRdlyoLej5seLuc2srTLjtaDTeX-tmIynGVZjtkr_jKjm3nRJbbvyB0G_q7D5hl2yfGVDICtSpBTgzKmKAYbsj7JYkqmykXL6oYjT4t05l_kWQ7vD7rIcPrQ-KKwAj2Jk
7344fc80,Ochre + Moss,Goob,Orion (GMK Stargaze),https://lh6.googleusercontent.com/m4kyfBaC85kOkqAOj1wT9BZ5mmuptkH5s9It1IiP0819EB3yg791FKEGQo7yax9gwLbckzZOzkq3kmGg5bctSBjOYBgGeN9g3emVZCHjBzF2qEjq9PBb80JFhtUlnG4yysC0D1GvWKY
dc366c1b,Ochre + Moss,Goob,Lady (SA Fledgling),https://lh6.googleusercontent.com/RuW_ILTNHRykz0hrSkuneZhO5K7PPnAupprjlRF4laoD7Y3YGRmM4G8ZnxB7eQgV5PHVHYD8ryPXFatSXFHqxMJl_C034IK7q6pW_hJE6SN5hyvJy3_g8RWrB0utIhNExsOP_U4qNIE
c6b9279e,Ochre + Moss,Goob (Special Colorways),Baby Blues (Mints for Health Charity Auction),https://lh5.googleusercontent.com/VUzXDaD6aQBTsTKRFVKNY7uS41VgmW2OUpiOEqC06RT3QSscCc7A02atLGhH5NwycpuBM213gPH41HyNUwjIKLLGdHs2RFWO8JGD7YYSAdouLRXHHy2qcOoYfqfBoMDPrrWNqvnIBnE
60087c1b,Ochre + Moss,Goob (Special Colorways),"Julie (SA Fledgling, Blind Auction)",https://lh3.googleusercontent.com/xWS-1w9nqn96BkHYV-dtsukBGVH8tVr3vZPl9fO0RRMhiAtZsmVLgI54IK4u4DeOXq7WuNPqDEu1BZtZYvTZfonEpbHjYIzXV9PUDx0A4HZY68DHkAoz2OdKyW1dGEv4Xkt1dp0pZJc
d6aa6e40,Ochre + Moss,DSA,Mint Cleric Set (DSA Magic Girl),https://lh5.googleusercontent.com/ri6QSOhA5MRQjCDam7CR2s0ZqPV9w9RR3JgQPUlScEClRR-eqcF2Oei4JB7sDrXIJwgnipseU8aqPvkY5jdd1SV1Fp6Z1YfdeWpOY-nq8NygOt35qJHctpbIsyuIue396xIDym7CkoI
7c058cc5,Ochre + Moss,DSA,Pink Cleric Set (DSA Magic Girl),https://lh5.googleusercontent.com/1o8GTQeIru_8ni4g-DZOQumYHTLXuMgolqXDTYaNCxjVcJ-XC-9YGKD95Fxa_wQJYKxSpHEd0mzRWWwnR6hkgBxjpgz5hArWxblrawwOSoBmZidfUinHDRmp56OYFiVlH_guQmXmLhM
79b219c4,Ochre + Moss,DSA,Dark Summoner Set (DSA Magic Girl),https://lh3.googleusercontent.com/aAfT3TUyzdz-iw0-lu43ijGCZXqY-XbMmE4-O34FhuLW6nvxdGQzRUsucPmqD4qd9EhfiTQO9ow8QG_XmXv5d3Sdt1cRIKCdZqEwQRNY9p_9ARxmPwu7Vm3dowcgElFUVfXShxFmGJI
