id,artist,sculpt,name,img
c88cf9,okeydokey studio,Birdo,Blue,https://lh6.googleusercontent.com/fJRUUIhC1jlEoFrikupqy11tkPDwLfmQRWxbwXu0Q5W6K9uC1syG5rzVO7cT-hAQIXlqeH1HFocMkUXb7NIhJrPtnSsw0NDHdqI7VVTYUHCE7PGtJrXz47td6I91Jp69obzzxOHqsH4
8a018e08,okeydokey studio,Birdo,White,https://lh5.googleusercontent.com/o1G3aaxHJxiWQINlb2Kh4WmpIu7EKVCP9_KzqyPAhNDuKBVH9Hyk2OV-bvxvytwkh7aUIihDdJlECIwF5wxH62ixoV0khcyMZc_Smd8vNEBZ_FIOZaNgIfEF5sIhfGRfIqvtnLVWhK0
dac2a8d9,okeydokey studio,Birdo,Yellow,https://lh5.googleusercontent.com/dFPicaCuo40SwdLKp58703rIvdJ_bx3Se0ydmhNBdLZPZud3ybZavF0YtjYTV9qIBE44tyPTCuTxd9LB3N1hixfL9vvgiYH1b8wa12Zb8M5JW3YGLRHRMSiui9EpcfOZIAmH9kxGCSk
1fff391b,okeydokey studio,Froggo,OG Light Green,https://lh4.googleusercontent.com/52IgJp-78KOoWJuumXAe4_LmajtDjvGIFjssk4IXuswLqllXkFZdGmD49cLu-jOzlY2IaL-JgyvZPq2B2GSbQWNjou3tme3MviMTwQjNnuicGX1btvtAd8dalQ2tNZZmdiuGYDytdIM
c8862512,okeydokey studio,Froggo,OG Dark Green,https://lh6.googleusercontent.com/lmEpcPa-BH7gsqd7H7mb_xym61zn2pKd0UsJZzwH-zTglOzdesW0XZjIOgJSnIvygtOn3ZFn0gPuD0k-D7kIgnXiCI61UI7FgPpnE8TPz6kVrEvYHCFNfzx3zDIOerTfcYgPqsGs4og
a6ff2a07,okeydokey studio,Froggo,Fern (DSA Nature Witch collab),https://lh3.googleusercontent.com/a8T9nc72TS034jYrceZdnIE5Awr7KPE7FrZQC4CNFQwL1Lb5uuCqDJDM5__0T0Ug7UouZ8ivyK6b9tJVHBfCoPRz73T0tJ5ZZXV3bistd57I_bZJHaNWKTSgSxh4n8iizJvRr90_NJ0
ac4dec28,okeydokey studio,Froggo,Moss (DSA Nature Witch collab),https://lh3.googleusercontent.com/fMKFxzYCB83QhuW02Gci-mF9-EnfSEkZbVsJXY9H_PD97O7Loo_TeIy3RyY6sZI2TsGcsueSRegXofzc1VlW5bCdixnX7Q4SZeU-AThDbqzMwVgitM7FqsMjRPSUoe3PKRhplxvpofY
d311483b,okeydokey studio,Froggo,Blossom (DSA Nature Witch collab),https://lh3.googleusercontent.com/xG4yrR2xyXRqRDTYNL2UN3z737A8-GfYofhxZ00LP3dV6Dpd87YWFaG9duh72pvtJd4O7ssSMIPPrJKq-cPRDqYVbDbX2ruCab-3NrUG3sfYfFy9lr6MRcqii1BnokLhHoXB1Ef6MaA
44f0158c,okeydokey studio,Panda,Red Panda,https://lh4.googleusercontent.com/vzpXQkBQ-_4sXrk_tHldVUZ-vqNaRlXwKJgHqPvFjtKr0xhcmlg85S2arxbAE47F1uSKVXNUM1LtpLj8slvwdDPq6Uxohicbg8UtmG_UbW4dH33_7d9X9QZ_9E_7aPPkwWFf0kDJ2bM
8d213812,okeydokey studio,Panda,Trash Panda,https://lh3.googleusercontent.com/re0ZPG3WXxtDThtbC4Hy3YSkEo2GJJjMAzziRt7bwyxfUo1C-zFHt_4nI3mUHm1DZClOo3nSiliEN9VlJuu9W3db1-LsMeL7j-o5wOGf7RRF_xE8NQYC57DNilC3IgabnTgT-5u-dQM
77f0a48d,okeydokey studio,Spook,Ash (OG),https://lh4.googleusercontent.com/_CwFVMVqbu_8uNNkle8agYafsAiYwtPBEIpsCSnQvFwT5XAHdD0EbVeCVCyONrEyAgPJpOHGEmXhcOhsmQzPwjbJ3W1v6aOd0lCLigwH7jkUAOaOd3VwDp0fM_LV_FzPLj0Bv0uRXJ4
3c5ef9e,okeydokey studio,Spook,Taro,https://lh6.googleusercontent.com/kZHfjBzd757xt8ghaCeXxqqLP2XPZXzR3qXtvF80Isj2YGlc9QWAd6XLet0a7NIqaGraW5XnP7jtwGLQE_RkYs3NysRyqTswE4II6vyTPuFuvj6rig7S-hQB0xcFWYAm05Pvmx_EJjs
ebed8a9f,okeydokey studio,Spook,Turnip,https://lh6.googleusercontent.com/IzSaKMiz6CI9GZv61Sd_OidMK-OtqxFp67wdKQVVFHctcn54xV6HRKFpY5e1Dyigecl0HdrPBDb4WYyWdV_cMa4P1NFlf2PKJrHqJX422n9Z8kFZT1LDJ_VfBMmP1XRnce7D0nQwHB8
