id,artist,sculpt,name,img
25782165,okeydokey,Birdo,Blue,https://lh4.googleusercontent.com/gknrWRw6_HLnargkAxSEgFKw2nnwEEqvzXze_NSzSVn9UnbL99XWq1YBXni27ZlLY2zDgEpGMPGP066I6yZyzUaXw5l5cwzxx5wfeyWvy2TripVdPvB2ENigWvBZSNq75g
eeefd761,okeydokey,Birdo,White,https://lh6.googleusercontent.com/c5EvRZbw7R9UUAhOYCOEQiD1ekRkfd4FGcSBOghkMQ-8Bwl-dQVwYH-4LnKiKIUR55pDp0Zt3O8IBSaTZ6aMiqDF_xS_VY9K3AzrTWmFuvJz4Gg6TzTznnxnZh4Jv9JlOg
86cc1ad7,okeydokey,Birdo,Yellow,https://lh5.googleusercontent.com/78u1LTzdN6ZsFMhl7RncUfOYPIA2TErXPmEMVXnoR4Lk4I8_8WWHoKDgdoRC1jPE0ra9Lt_QB-0QcE9k4E9vi9bhwOQC_iMv2FW7OKCgfafQOlY3q1DCxHr7VK1izyImTg
1c8c297,okeydokey,Froggo,OG Light Green,https://lh5.googleusercontent.com/69W6riaTCeeqRWdHsml4SDf1rt8bCKlwJ-NPlYazp4YvGrckiYv1i9fZ2ZfzaFITyPIY9zxLj1jw5yGR7Td5eszrmyDuoANJelZDPvNuUvs-DMMyruiLFaAMoBQU9WMqzA
818566e7,okeydokey,Froggo,OG Dark Green,https://lh6.googleusercontent.com/kF0gcVVaxFfj8y7uzuHYDY0khQMQvFHa72_wC2TM8o1Yi4NOHxHx6DV5jNgIAtgniarHWjV0zAl5YcDrLyxfhiARdTHYRGowJEQ8eCxvAYFqDhJDF5rZjKpHwBLqzrEdxA
371ade4,okeydokey,Froggo,Fern,https://lh5.googleusercontent.com/H_xk2pzmuV1XHzccPC5b7mkIQTO8iiyez9wEVSTscLzIoSzScD_SJlwY_XJbpH49idLxhvEbQ5NPJEOK6zW6Wnz3es-zYADTiVqCJ3oPLR1g985xZQ1uXSDusi0yyMqtnw
92cfb5d5,okeydokey,Froggo,Moss,https://lh5.googleusercontent.com/G3VrwQqAKAiRV5ZRpWMGJ3X3T3BHxhNqIhksHo-mOtLIOORmypdIvhem-qJe9hyFudUlp9UJ99L1w-UQDKaNWFw6j1KyLPKfQatRGwLu301HpSq34YyRH6ae3ESTMe_QHg
e9f706b0,okeydokey,Froggo,Blossom,https://lh4.googleusercontent.com/WfQNTH7A-ot-KYoJbYYmCEpygnYmkNnrq-vEQvvaPPckmLKflXkHHs3GFfY9p1L_lJrRL3wXm18IrruHSqVSknvADNNHSEZ-Ur9xU8K4TcNd0XG1IQh5e9zKYXVwOHjwaw
c4f3e9ae,okeydokey,Panda,Red Panda,https://lh3.googleusercontent.com/0hKQHIraAY68w-nQFZCqnx3hcT7U1wjnL9r8bB5e4G1szrhdwmxtLU1Vd5LSGwWkahDeQeW4izxokzwg5AC5d0QvnvX9AJ6CSDi3vK6EbHgpbKqbTd_TrZ-iHQhCj1-JMg
72ae9042,okeydokey,Panda,Trash Panda,https://lh4.googleusercontent.com/fw9L9m-p6d68SLpcPQKkGyq35NKofe0Qf-TKY26-VDnUwHcTyL9-i1w9FihOmlTq1-04x0v-PF9nfR1yldWyzgYM9a7NxSCiYcpLj323ESJnFFZl9xVoO62RTykI9sq5QQ
4d4ebd73,okeydokey,Spook,Ash,https://lh6.googleusercontent.com/NAXOUpFynCn8oFjSSXgzcrPUq-C9dmwc5iowTV7uL6lSbtwV3Vg2YccC1B3Z5ym0xVmD1kpH3YrQ04iHA8aRoZGPninqu9tgdbi1YCEsBqyGVppV3l2QryIBK4RrRA1aMQ
58a3e924,okeydokey,Spook,Taro,https://lh6.googleusercontent.com/MVoL8gw5l699Wwzu2c-97F6OTVGjgs1iIBdJw2jigaZCHhj2JPdCxqB7OJr4RXoFs4tZHU-RPECB70majtfHNgvYQZYDFTGfPEKbvdmWPNk0n3Hi-WJdnopQp3367G2aGQ
dee41fe,okeydokey,Spook,Turnip,https://lh4.googleusercontent.com/XmLPasmFs0NcSGCXsMJjpTkai6MopnAH7eWRRZyXUDz0SaBAy8VExywkcoVmJ0BiI4wcxrnnxkeJ-2e9TRcriDrjF_PPRxZG_lqSJGOYYUpDWADoRML7i_cljHJUFcKYuQ
