id,artist,sculpt,name,img
e64fbb23,Picaps,Geineko,Eminence,https://lh6.googleusercontent.com/vQrPoji4s2zB-q_MYlEwCPgOk2c1AQzrOhycD0mWwvS-N8YTYZqyGOpmNxDSd3Quq826EMwm0sFsWhlgOUsFWDBBlQToyZIszNUviE9Gzi16O3FBOjDF7HbptXVGVSEWfg
983032df,Picaps,Geineko,Dairiseki,https://lh4.googleusercontent.com/Vmk5-eGK2JNFzFxEAdbdgia4oxS9nIgB1aI9BTgw4X-DAUQpJghwaM-ma-Ys6Lk0Z7-q7ThtGxpPvYh1QymAgp6DctckZSJsA--SzWsXSPcxkv4e-tS7RLZdjAY8_WK3mw
bdf0dfda,Picaps,Geineko,Marmoreal,https://lh5.googleusercontent.com/llEMoGsHycdB5BKbEFUioK6yLzyeGVCx_PGBPXvR6ZQvhk83U93Dse5er9lEcva_XyZMHlSOBLsbgZx9rSUcB234nxWBu4IgOhQKliPK3tZ17ilnOyboEw31m7FVu1QK2A
45d43c22,Picaps,Geineko,Gladiator,https://lh5.googleusercontent.com/h3OFZPe8W9ZJgNR2cCm5tmqd8uxOQXWS32h7FKAjdnwFVV7etzantA3Pr24nIuKc-RkP4MVelYr23UKuOQ8FQdcw0hTgydzpXuCUXbAiEghhdTIgEffCwsv4eaCF8vQhQw
f81c0c1e,Picaps,Geineko,Indigo,https://lh3.googleusercontent.com/1BvYEll4GzC4M1w5nHzOJ7mf2NXYwQvPBWPBHBRufxz9bsjnCVz2mPKl9FJrOZDnpyzyw9Hf7mZjffypiyA3Yehq1XEQ9LGRoe3PtWOVisTTEhB0mORYNSFBr6Vq4ieguQ
968872ab,Picaps,Geineko,Cream Matcha,https://lh4.googleusercontent.com/QSJh6TTpZ5WHLeJIH2ZM5q8qjW_g9CoY2tBmGwIxV357dhco4RNmLmpA9gaPOhUYakoAyt9P-k7jwzhy17vr6Py2r2h057djsVqtItHZjnnp39HCxCMekBFlyOxmII25PQ
b035089c,Picaps,Geineko,Mendy,https://lh5.googleusercontent.com/_SJecHV1l2WBz_-ttvjgmDDsFOzO_ym6tI00XDtlAwG6CUiWF5Mc23n-yHUat2zefVBDo0RQjvycsasgUNgbSu5dzXuSi7RuhLhCRXnJ5AwHKa2Dv-bQg0byr0rTnT21Fg
6039741c,Picaps,Geineko,Riptide,https://lh3.googleusercontent.com/BuRQtW30U0FYAdybURmjAofa9o_NM0HyhW7KLvRiBZ6qKg9xfXLffMFH_dlBpwIFJux-TOJFAULuwYqWsSozT0BCRtTeSUGuU3Yk1KWKF2ojaA8dEpng1bso-o-DYfMuFA
78a079cc,Picaps,Master Rua Resculpt,Eminence,https://lh3.googleusercontent.com/rLC9KPg-jJVJVocYnRiCP795ZHDdk7I632uMYtqDyhbe5CVX7Njy_3AkK94ZMH1wnO2ivGyy1I3VBJbs3hq51q_Hn3sVm5gHLPozaQzYPs4SCm-ICu2dP_pdybmtk-Ov9A
3f2af921,Picaps,Master Rua Resculpt,Dairiseki,https://lh6.googleusercontent.com/WbgE4vLrIjLRRneUP28qI7yFK7a4NW0aY5zO7zyvCP-gFBLYnbtiKwmw3fF0634d6s7eROkfa3ibiirB_CsfVCgdsULf3QR01lgaF3adRbwc7GcBela444Od6yGUflTE8Q
8d4dd858,Picaps,Master Rua Resculpt,Marmoreal,https://lh6.googleusercontent.com/qF7lqwNJG0LffMSQ7enaqPSMMp9BUFlpkDEUwcR45DAjIWLq_fOA4rOag0aPoMgOSceDzUn9ro1hfCinco0X544bOmFkjrUN-bEUGOW9x-BMaztoAP2VT4mYJT6WjZVTFg
8a76ac21,Picaps,Master Rua Resculpt,Gladiator,https://lh5.googleusercontent.com/TLZwgMQ8kdydYI4mYRGXIGWqpepkAdYSOrvcqE3c53RKyDTOjbREj8cwi1a1D9CsUpsB3C659B75-0pyduACAL7Iu8RhdwE47Qqn14aTa3YoCbgg0PNBpIBJZV619ZWUiA
5b13467e,Picaps,Master Rua Resculpt,Indigo,https://lh4.googleusercontent.com/M9bhIqIvCEptnyxNTSxyF8JnzIIgLdVkQJiBXshgXhxIAOaApXMw70Q7qkR1PkI-w62QfFJX6X8l6k3IYmKxy42lwWWkxsbiW0aLOe07SF-21U6K_0k470a2S0DJJ4RRjA
51966f53,Picaps,Master Rua Resculpt,Cream Matcha,https://lh6.googleusercontent.com/vJClWI13ksNcYP2E0omyg79Ov0F6fyedLinz2Tv2sWfFII-7b5b12X2_nQsCpV_w063tcA9KhoHAXHHs0bmPETTEVihXq8vDLktcC_B-sYgFaP5uv98WaTejKj0pQp33hg
