id,artist,sculpt,name,img
9d35ee12,Pretty Petite Crafty,Nakama,Nakama Sky Blue,https://cdn.keycap-archivist.com/keycaps/9d35ee12.jpg
1a822769,Pretty Petite Crafty,Nakama,Candy Corn Nakama,https://cdn.keycap-archivist.com/keycaps/1a822769.jpg
7fb69dc0,Pretty Petite Crafty,Nakama,Nakama Pink Blossom,https://cdn.keycap-archivist.com/keycaps/7fb69dc0.jpg
63367584,Pretty Petite Crafty,Nakama,Bumble Beekama,https://cdn.keycap-archivist.com/keycaps/63367584.jpg
1fae5e64,Pretty Petite Crafty,Nakama,Nakama Lavender,https://cdn.keycap-archivist.com/keycaps/1fae5e64.jpg
8a59bae2,Pretty Petite Crafty,Nakama,Nakama Mint,https://cdn.keycap-archivist.com/keycaps/8a59bae2.jpg
667efc6,Pretty Petite Crafty,Nakama,Nakama Pikama,https://cdn.keycap-archivist.com/keycaps/667efc6.jpg
ee2e829c,Pretty Petite Crafty,Nakama,Nakama Peach,https://cdn.keycap-archivist.com/keycaps/ee2e829c.jpg
7a604d65,Pretty Petite Crafty,Nakama,Nakama Sunshine,https://cdn.keycap-archivist.com/keycaps/7a604d65.jpg
e25e4fb2,Pretty Petite Crafty,Nakama,Nakama Glass Blue,https://cdn.keycap-archivist.com/keycaps/e25e4fb2.jpg
4e282223,Pretty Petite Crafty,Nakama,Nakama Glass Violet,https://cdn.keycap-archivist.com/keycaps/4e282223.jpg
d2eb6df0,Pretty Petite Crafty,Nakama,Nakama Glass Sunshine,https://cdn.keycap-archivist.com/keycaps/d2eb6df0.jpg
37ddeb45,Pretty Petite Crafty,Nakama,Nakama Glass Cherry,https://cdn.keycap-archivist.com/keycaps/37ddeb45.jpg
f42d1df,Pretty Petite Crafty,Nakama,Nakama Glass Evergreen,https://cdn.keycap-archivist.com/keycaps/f42d1df.jpg
7c64d69e,Pretty Petite Crafty,Nakama,Nakama No Face,https://cdn.keycap-archivist.com/keycaps/7c64d69e.jpg
18202afc,Pretty Petite Crafty,Nakama,Nakama Love At First Sight,https://cdn.keycap-archivist.com/keycaps/18202afc.jpg
b3e7199,Pretty Petite Crafty,Nakama,Nakama Nimbus,https://cdn.keycap-archivist.com/keycaps/b3e7199.jpg
d30b86b3,Pretty Petite Crafty,Nakama,Coca Nakama Cola,https://cdn.keycap-archivist.com/keycaps/d30b86b3.jpg
12228e70,Pretty Petite Crafty,Nakama,Nakama Blackpink,https://cdn.keycap-archivist.com/keycaps/12228e70.jpg
7466c5c5,Pretty Petite Crafty,Nakama,Nakama Glass Tangerine,https://cdn.keycap-archivist.com/keycaps/7466c5c5.jpg
b8ae2092,Pretty Petite Crafty,Nakama,Nakama Seafoam,https://cdn.keycap-archivist.com/keycaps/b8ae2092.jpg
ac38f4d5,Pretty Petite Crafty,Nakama,Nakama Lucky Charm,https://cdn.keycap-archivist.com/keycaps/ac38f4d5.jpg
8bcf26dd,Pretty Petite Crafty,Nakama,Nakama Glass Pink,https://cdn.keycap-archivist.com/keycaps/8bcf26dd.jpg
76109a0e,Pretty Petite Crafty,Nakama,Nakama Glass Sapphire,https://cdn.keycap-archivist.com/keycaps/76109a0e.jpg
bda71bcc,Pretty Petite Crafty,Nakama,Nakama Panda,https://cdn.keycap-archivist.com/keycaps/bda71bcc.jpg
385cabdd,Pretty Petite Crafty,Nakama,Nakama Pink Nimbus,https://cdn.keycap-archivist.com/keycaps/385cabdd.jpg
d7d3b972,Pretty Petite Crafty,Nakama,Nakama Glossy Crystal,https://cdn.keycap-archivist.com/keycaps/d7d3b972.jpg
