id,artist,sculpt,name,img
a65ce5e6,RADcaps,Pando,Cinnamon,https://lh6.googleusercontent.com/FrAxZD9_hjjIG6bvJK8TqnkFvrwJPEGxtlhxtpS0CtweCVeRy6DkRtHKONpVgRGfIQrdCJk85TIlRzeKwqQJJ-VvTCh5tyAvL4F_7L5GtA6Vt4blA7f8BvzLDSg3X86GPA=s0
b2eab534,RADcaps,Pando,Berry,https://lh3.googleusercontent.com/3gBO5b1KbenqyQ_LSuMxpmGdUOErnqdTNp4P6-hEC9ou9vREZIwNb4UFBwxiGEx_kWddMjQykAge3ZgwbOYC0NGDeYjuSqIR0zpmw_qRzOxmMP_5Cb8dgItyAMIUrl9-7w=s0
d07dc3bb,RADcaps,Pando,Mint,https://lh3.googleusercontent.com/U9j2ls0xLc8F-8atsf4yGKD7GZFtpvBviPPUrTGiUyZ5q4tEbftWlB6dD211N4vrUlfVUZIdJsgtYte4hiQTYdcw7DhyLmyKbnspYcwKJpRBM-wyi3zIeGkbEqyA5zWGaA=s0
d4e40435,RADcaps,Pando,Coal,https://lh4.googleusercontent.com/dMtDV_ai9LNuFYlF9lnD_UjfpXSY4PBlC8ImbDDlpsN_EcdcTp14n-e1uL-SM_UxXm9Pv8GDN3Sra7qItvvyBRzkKsW6Vn2WOfJZd_P83UDiGcL5m5CbWmR8UlXBD1sQCw=s0
8b8bf975,RADcaps,Pando,Quartz,https://lh6.googleusercontent.com/TVRNvWfVbsCPxZ8yvQPSBVALlh-ytyiucnrsvcd8V6SWAe0l-8znLgfEHdIIdCb7qcNHdtYjCTias4YhySpmdIF6HcHmkr4HuWut3ZyaH708-O7reEhcWZkmBTDKK9OYbA=s0
2099de76,RADcaps,Pando,Pando,https://lh3.googleusercontent.com/Ve1hMFPZn9qMrgQGpFAg1bK0TwSD8t_zcPLlSo-dKC6-vc0dDE0tXzHD0aKdYYrV55StQKTWFVs8UlX04QcjqQ07Iy2N3hsj_b8DBFsqcoQNa27A2rIqFF9NvTNXw9J4cg=s0
38f8305d,RADcaps,Reticent Evil,Grey Matter,https://lh6.googleusercontent.com/hJ4HNdF5kgh6cfqXxc1ZEsvJea6rUHoVKU5FZQqa-pNPcBJuwihXF_dHFQCmuccPQINciPhVomTMWYFK-tiqoBxGm6WSNCS5Xm9pWN4XYUUJ5i0ecnKmNFDApQLlKjDnVA=s0
f0b04145,RADcaps,Reticent Evil,Vermillion Gabana,https://lh3.googleusercontent.com/2WyGBgE4HePPQkXxBuY795MjTloABn7ul6SbF85h5tRTy23CDbCgb4JgSkmzaqieCAFIUZrdpHDEzWjdlDEkJKzg64b2XZ9rep07k-I5g1bL1n9uXhm26Qn1cR7qFLmeLQ=s0
a11af33a,RADcaps,Reticent Evil,New Flesh,https://lh3.googleusercontent.com/G3ZceldvwtN4BCIDwxl1g5duA8Ivs09AztzWIqB3N3YOgt4XKPWDvUjwjjXxLqpwDEIRhWdjiUilLYUJ-yy4z_0M2cRxDy0_BwiS3d3AZGdjek5Q81ppdlJex67xKsqUkw=s0
80411eba,RADcaps,Reticent Evil,Monochrome,https://lh6.googleusercontent.com/7HHNEebg2XJ4-3STSNw4tkTndgAFes2vgvZmelgJ_9PO5Cd18JieO8hksIvTCgkYWIm8kHsLtfWzR_puBJh3m8_Dc01m2kswLSvIcbVnGN_p-rJT_vHslNH2NQ0q3sn57Q=s0
2c713887,RADcaps,Reticent Evil,Mentha Gabana,https://lh5.googleusercontent.com/1F43K6dmUiJMAQp6tu068CyXXSHZpaWflIlnl7Vj1XY_5y650yXjcBScZebJVswT_ZqMp4gSf_Bg6TxX2Sik0VsVxyidD-8_Z7y862R_2tTDa-yzctIEcig2g8xytKR1eg=s0
ab45b21b,RADcaps,Reticent Evil,Zlatos,https://lh6.googleusercontent.com/koqZF8B7EUYsdZsHka2Dyrog8RxfR78iiW26Kjc6BMijCn3gA1RKpPr4O5CanPdc2QSd_wGcDEuzl7g3Wuc7e4o1m8XHXXaQ-tujSH0b7iYYTCToLIcfcmGgazfDuj1YBQ=s0
1d288d4d,RADcaps,Reticent Evil,Copper (Coldcast),https://lh4.googleusercontent.com/4_VL0NqZftmrLWiU-zhHhVxQSGnTm-VmdIsK3PvhP9wtKl_wdrX1NzQKLYZ0GtbbCQiG_v34_FICgdDuXbLgvdFol8-YEWuABEUPO4qFsfxce0VU2VM1mBH5mSUk74oX-g=s0
c5ecb313,RADcaps,Reticent Evil,Steel (Coldcast),https://lh3.googleusercontent.com/9DaFAxkYgnZKH5vzzN0WKBFoqMC8J1kRp4gKupYlBn0wv4zxz3KfRBl3e38XikoBTKtPGSwHSAP9T9nqlAJxMSzHnqV6b7PBoTFerPxEIk1MZv3YW6iyDm7P1SrKiK5O2g=s0
83e9af88,RADcaps,Reticent Evil,Dimetapped,https://lh5.googleusercontent.com/iF4K0RfpIdjtR0tIydF9z80JILnc_dPoarxojBL4zzAd7_xFqzXdVjpFOQyhfTjffZBpOZj4JJyZ2mh9wt45KvtUPMPXjt0KqAiyCEBy47ktUPPGcRG1JhQ4EmYqxWilgw=s0
