id,artist,sculpt,name,img
fa6b2b87,Rath,BBroot,OG,https://lh6.googleusercontent.com/4rGeu5WX1khpeLGaD_cFCoMKf3O6fnlSlk7m5_nnj2RncdQNbNSJRObA50ozvXdRS4JmldypdFdJpcMltChuUCq04PSoKCwEYDBei1AADomQfUhNMjJWW-o3LT5BPtKqq07jvXixzXI
fc601485,Rath,BBroot,Lime Skittle,https://lh5.googleusercontent.com/CxY3NueFv0dcvQYggxMptaV_YuTGQxWdZUuOakNPSn3Bm6fYBDJ8wAd58-0zTKZ2bKCmjz4xW0mifCIcDoAiLJ4B5uCFopJSmDd1AhsfPEUejzivh8Z5rlDb5p2HPlJpA67YEKot2W8
1ccccc6f,Rath,BBroot,Grape Skittle,https://lh4.googleusercontent.com/vD30kIL-Dg4607LZCh0LXYKf7bAjgsUeKm-a2pzsy7LiZVWZrQembJ5-aEeXv95Gbj4cALXeVmlL3xc1JiU6_IRld9IuFccanRuXiez7k4V1AOLU4tM8HUK6Gt45BaAg0DnUtOuC7KI
c404c858,Rath,BBroot,Orange Skittle,https://lh5.googleusercontent.com/MnNm_F0GF5W2LKr0cYHnAe4HerM2c-YnJDrNmMoph9Zr4sK6uCJ3bGa7st9vnFOodGDxDUPI2mWQuOi1kqYyE360mbA3YbZKXoNNemvX6NEm6a8JD5jKCInNqAPeMUaDf3jmyhca_Eo
10327ddc,Rath,BBroot,Sky Blue Skittle,https://lh5.googleusercontent.com/Fl3Bhr6PaCeVySQs2aoQNxPLmeR2EfaagMx8zJhhz0mFmdVgpFUCOzRBtn5p2XrCS3K54L8gVfVKQ11QPues5muDRd28FXPRoROpo__AiuiYuXb8fdyL6knTPtzKiRDgMlu-ETgs9Is
c7f5a7d4,Rath,BBroot,Area 51,https://lh4.googleusercontent.com/qZgOCDzT5tA1v18e5Nfv210Ia4QzyhL2Nux5L8toe1Uolyr3yQfvqcPL-NQ0vAhmFtc97vHIAk_Btfcyc_Qvun7X54iQNWUc9b3EM5iQPHU9fGDfx99oz6IDc2_AKWqv0BlxHWhNVoc
4cb59142,Rath,BBroot,BBartJuly 2019),https://lh4.googleusercontent.com/hAL9rbD1R120MO2LokvSPceUHe_M_KmvTodRcBI5fQJxj-Pmx5z6S_4OBx-xemHc6bk01nslTnQtq8-4hTLw--P_bjRPyeIp4W_QaTipAPtX35d0woN1Mr_BKXjhycKbr1aRf6Sl8uI
3c3bcbaf,Rath,BBroot,No-Face,https://lh5.googleusercontent.com/NVSXt5EHDyU9iAIj-UcXoWhCGSgd01SY8Kyer-3lFj43wBtLDrsl3RNV5fvhEDBlbu5G9eRLICIoTDjM2kOD4kjAgWwgP-jkINSFSbhGjZcWIil82QmFLWjzZSkchS-5Ka4EgiettBQ
d0c6ea8e,Rath,BBroot,BBrootpool,https://lh4.googleusercontent.com/6d_lZfF4rQD0j1VaJFwNbzQuxbMTr_O2rKm13YUFuA2KKlRzzIzfDfxO23la0-LsYrQQhaGXpeZ0FKTFNcKn4CFZjKhp-oSBIgsIEMANRbV3V5u0hL8K1qd-tZeinBbFrTYu53M24qQ
3ce473fc,Rath,BBroot,Monochrome,https://lh3.googleusercontent.com/foC7qTh6225UD0lG74dvMdG-LO0EMWI9St8gXsnZagIlmO0MhtmkSd76uiJ4bWqXa2r2cT1h_pe0yzX9hRN1zs34cAHfLT2mA1Sv0RwI2BHRWDrcBWLUQGe4v4Ych929FnlhM72ab9I
5bcf7b1b,Rath,BBroot,Glow Blue,https://lh4.googleusercontent.com/EzUrTsaQn4_7jkaQbMkzofo2HsCWWHctlPD_az5sCoFcYCceXitQEMeQXYdKe0VHVrZ34zJXkelHO-bhdj1yI06oYk6F5FU7rK-PYC6wnMRFH9aeDVAWiB16K7E3EHWvXZLxAQ5CSLE
474eb100,Rath,BBroot,Glow Green,https://lh4.googleusercontent.com/KvIAYVbMKZ3lQoPoBv8rbi2Z8li0Ty683sGCJ3TrThrlbR7Tlqd6quqnFn8jEwlov663s1AT715P3Md9kkXn3esphLueU4zXNt_0VsijkSXhfJs_bLiX1_JBhGBgBNhtnDlkIN1mhJo
b32cf830,Rath,BBroot,Glow Orange,https://lh6.googleusercontent.com/qBuUd_QTF03zswut9vvm-HIMEZWbLqEJtPPSuRcXHRvKjHrmaQ3QJpa3KbYjE-4Uhl6uOnSNtrCDCRF66g1eD-Uh6Q4TkHz1PtMEiOhvhWLJyIf5oE3xkoxqQKDh0wZon5sgKVeHeEs
e868dd47,Rath,BBroot,8-bit NES,https://lh5.googleusercontent.com/oGFxbxSdwhpHxoZ_ARnpjw7GnhT0e6QzdEny2li-ZTCB9zed6fQcVURMm1fyLwayHmKSoXNiJcBJ76Y_KYaRBJWfD8VMD8QwnKINN_CT1f9CwA9dKJ0iJloNp5f-qeMtmocui0QHev4
653182aa,Rath,BBroot,Pikaroot,https://lh5.googleusercontent.com/xyywGGBuI88WS1CvYzjYSNNMw0eXSDvjAiLlrh5lrkdyA81SBvBWfeCr-ADbbC2M5DUjOEar34VYa_53reOSQOMZFnnSDjee7ISZR_uHkeEtk9UsjLCgwjnnNAm6azHXVMXfKEKTGgY
19b9b189,Rath,BBroot,Splatter,https://lh5.googleusercontent.com/BTovZaU9OT8RGrkXJJmlcSP8ah_BNTwAZI-ETlU2wVV55QwDwQYFYJ_10Oy9n9Z8IaUg7a4tS8hpz8rD8nd5asRQDx9TYKZPiEASiW6hBXSHE3Bi4y-wYi0cKmH7irUjAvH6TWYCKdQ
f99656e9,Rath,BBroot,Translucent,https://lh4.googleusercontent.com/858ep4AD-yMU7HUeXRGNMm5izTavckA5VR7o925HlzSUrGei6t100cIC8WAW90Y11vBBa0fo_tsV2thP4uIv89gltz6U_1ywO7X8Sw5pwra7cWkvWXU4A--jAk2JOPR-kzjHNKzYExQ
519933f7,Rath,BBroot,BBjoker,https://lh4.googleusercontent.com/-NsUapzmQgCu9jAs6N76HaY8jTfvzdniMEvbXEhcbo11JbDBT6S-AAX6A3RRzR7viiGi5hgy5ZIBBEJCfaDwgPvetVaaWEZNaiLQKc45YlVggcKaqnOXxgIjqGM1NiNS8HNYTvxS_kA
aeb904f2,Rath,BBroot,Metallic,https://lh4.googleusercontent.com/2MjM8vFPAu8RLmFAtshisefeL-eO0-W4LrUftVGSC2CV6D_8-BPD8iNTKJCwscPHGo29BYOam0GJcT3z49YWpMclqT2Z33OV0TlTwLnCTVPq6a8AvN-zyxIByuch6mJDtKQlhVEyXSM
3050c780,Rath,BBroot,Glitter BCA,https://lh5.googleusercontent.com/SAp-hnJos6KkfMmSo_P6nv1HofuoBKC6OhPDuDc6lV6P4ZaDpIY9T2shYcXJZp8J7cr-Hjz5YwlOLEZ4yKXZyY516CS-tPg2vItWYQS364Ygqn63UXpmkAM2632PwCIM7m5Z9wBfO9Q
ae870180,Rath,BBroot,BCA,https://lh6.googleusercontent.com/cR9O-IYC2yb---aFTGCQGfeXg0szyqpQ3vcRXQWwnK53nzUg6-vUN9DEZe5WkiBrIlXKlVJUzcGgDHJTnxemXnX1hLIossXbNszVbdf1hOdICzswULOddUhqVBDrGtalwYSFf6Hq9IM
7dff2fce,Rath,BBroot,Puke,https://lh4.googleusercontent.com/qknRm7M7iiwUG5cB9AxDPrvcWLHlx3UMyOGrCfzPosJQx8_KgOpqDTtEUalyA1kqaX00zQjQbPh9OcADSS6XZC5IIViCS8hs15k-cujmMrbmgNvnzF3wd-y1_k1Olf6fsmX0xwk5R00
589a0ab6,Rath,BBroot,Pumpkin,https://lh3.googleusercontent.com/aG11y54hgU7IcnPsGHt1Vndo2vop2qKaVWDh-HJaHYeGXEH7vuB7CCrGIm2WPG6nLqxXltMZ-Gj9LMR3AeINJRXINsKuy63X7IS9n7uDtl4U_69Fi0nOLduKbZlBeegPDGy8iqaqS4A
89045a7e,Rath,BBroot,Ghost,https://lh5.googleusercontent.com/VTH3RVx-C9jKJKnkSaPLiYJHG8MrWRui1nyuoXrSNHcpGisp7motv12tJyuiOvUNPgPB2upEjG8xbUAWR22073JKaqM3YjPl-V1rNDdS1tj-cRXZEq_1IyD4I5uZlWTcGqUWEtGSlEs
cbb7c61a,Rath,BBroot,Scream,https://lh5.googleusercontent.com/p348a5GywlMImcUnq-5PW4jgdDsb1zdqQ37W1WH3VzacACD1YqOyn6G9YryJNJiBPtrgRzvEVeM9NHxLP7rnaRfN6dUZDFjTN-WWI5minkWQkT10dMY4J5pvL1702DiJFS2_GLRXL64
6f286101,Rath,BBroot,Blankface,https://lh5.googleusercontent.com/yxTc_luY0RapoJvIyFv6dD_9NFX-TrBS8AyImVot9260y0XejvohP1XuO8iii1lmPy-E4s_2ZGW3fBkITUlKkZkamifeXkzBTJQ6cWysblEumnxA9y_r5ACcTHcrx2o-23qx_IAyiB0
2e79b240,Rath,BBroot,Sudowoodo,https://lh3.googleusercontent.com/b5QZFuoPQ2LsBISbQdQZZzATOWy76hd2PQaiShbOahQbMFinskHrlOilKgj8jCNE_A4YO8tQaCGupgvps7_2Ab5_LG69ljGFBDpSkNv-qKudnI3Wfnscci7Jvp9NMfz0UdldzH2s6PA
ac7b4228,Rath,BBroot,Rudolph,https://lh5.googleusercontent.com/XFS0cnUaa97-Xk36RUxQbotM5necO3hvOBR4cJkcNuqCkXMquV-eOblWmzfj8tfgSvNpQnQ3eg74VruoyrXEvudI2VebvYTNSNSTBya7XlkNJA-Y1tGiCGfKrlyQtZxs83jfZdi6nRc
f718b61e,Rath,BBroot,Shimmer,https://lh3.googleusercontent.com/h935R6YGX1yC5G3R-ovL8IJ-u5VRn5lI6ZvwQX8i8j8UW8gp5SdJFTq-niwD-kko7-FaXzbF97WU0AvIi9iRUlmbuLkfjUQZtxef0W21WrGpbzOe17OeU_jp-9FptT2G8d-PoEjyo-E
b0bbd072,Rath,BBroot,Carbon Dark,https://lh6.googleusercontent.com/2UAxN2npPLmI8Mtn7JSUr7Fntp6LmT6x7HA5QQJpaasGvNW6P8cQf1rPibK-AfRpegdoz7OO310WIvxZl8AsJqAZOAOSTCg4Xa7iCnAmOi6BvfqV3IC6iqe7CZ-agiwCyAs0VGvJkr4
2f0efe20,Rath,BBroot,Carbon Medium,https://lh5.googleusercontent.com/7nOrs17IKEQAuignradB37m04H674-Z8LePENdeESf9RcK8UXcEia9T7HKnsyz1OOiQn_q8HurzP8IFeLPoaP08mCe9sidlYY7fFMHa1X3lDqqjtPHrgoUS3kjLfLGVM7LsN2f_fGVk
abcb9318,Rath,BBroot,Carbon Light,https://lh6.googleusercontent.com/Lo_nz_W6EvvLVoe07oWY_TlsuaH0mfGO_gXbCRylVLNNNpCvpdKpPhjFhj6uTHbYb5vq6g53N8_8llw8pE88RX5s59406kRGkl-jKHg2CfR_34j_7fXepsDuVw-Nex_J4azo6-DELRc
