id,artist,sculpt,name,img
4f64dc2b,Rathcaps,BBroot,OG,https://lh6.googleusercontent.com/Ru-gVIzDAqPpormECnvbQbbqnE5VyZDNfalcS2e4OHDrE0dmuuD1K0zQOg31e-dUZocHRsBANCAs8ve3jErZfX2qbTPQP-WYg7GDWKGxYfV3DmXi3CpljvuxdoORK7YUsQ
b4179caf,Rathcaps,BBroot,Lime Skittle,https://lh5.googleusercontent.com/aq1UIWhmOLtUKXN0aLUxWCvk3ghHyebRkNkBpmaoNg5dLN7e7CIcm33pZEdwTsxEmst388-bMLZOssijVE0socmja5vTYJgdtgP1BtvwwMM5QeCb4aLYAkGaydBQKCY3zg
fbdeac57,Rathcaps,BBroot,Grape Skittle,https://lh4.googleusercontent.com/Zfo-ol475PIVf79UZKFPstWHcPnEMDPG1N7ssPMvOCVMx4axp4_4T-xw92L0BUQiQCTUHJhIwo_fINNyHD5XvnLH2XPVSSrMm68zjD4Jday7fFlc0T8UlpKZM6kaTBlv5g
ac6db0ef,Rathcaps,BBroot,Orange Skittle,https://lh4.googleusercontent.com/H9csPgpoY2qUZkYtZQ4DW9USvRZ4h-0G_Qmvu2VCJWqYVqQYWg8BH2iR9Sd9iT65sv9pynYmSA5uVhgqIhDIhRIzLQTbBg25FJ7xrtflzMTBfwUaE5691GKiLovG6RTuGA
a6974336,Rathcaps,BBroot,Sky Blue Skittle,https://lh3.googleusercontent.com/1dbukKtLavSSY9-uyyhgSo7WcH6U1TYDmESmYShcwBKoM9AgC48l7mzzVEWvUUWcMV0-ZQKFFFrg7-6lmYjL51t8x8wswC7pKsC_fDgEvZdWxm0j9gLqZs9DGfMDI77nbg
7b6435e6,Rathcaps,BBroot,Area 51,https://lh6.googleusercontent.com/pNCdXpES88MNwQBac8ulSVtbo275Qm1tA-OJ1I-ZT9So69mfc9PpXaZpGBrXg0D-l_RY6PSjLi_m4kTIScGAY0DNiCZunMyI0QEeOqPgC9DBudKDrJ_S_B1ITo7r43mx_g
695c1c53,Rathcaps,BBroot,BBartJuly 2019),https://lh6.googleusercontent.com/ZNrjnJidcG81xlhbFU2ZjkbDFOxiTRsC__6Vvr77v_4MtvAOu4cedeetDEG1xgULzu0q57T6n6IFO9bzSDCZHLp2FykUmd6ek5vuWFP2vYr8h5dBwtvI38ynzyRLhUmhUw
a73650d4,Rathcaps,BBroot,No-Face,https://lh6.googleusercontent.com/qyf8Day5WzThDl8pslqIvHAyG5GxhVhcBQGTkAhoxiCOKbpv5VHWDz3HQbJuWyWsyqDun0st6FBL8tRKOvFfZWltJSp01dClPUQrQWLMOwPflnCHwLvrgrbc3wQyLfHd0A
2c3d89ea,Rathcaps,BBroot,BBrootpool,https://lh5.googleusercontent.com/iFFIf8FGE7wvbKAvGrcRn4b_BZJJVTOvtuBULk6xLeClRVJaVY4zURMmQdNKNg1lwmteoZRcSEAa3NSeqPKn1zmb7DFdLzsMYVmzbsEL2AE9rc2PifcKQ0OJ04l_HuCSHg
1b98e2ef,Rathcaps,BBroot,Monochrome,https://lh3.googleusercontent.com/HVpmcBZAwEUQAbx44PvDjtWS-tbKmb3IP9IGzC3gXE-KrRhwOhNwiQ9Qh1lci_izGKBUZhmmgWhfv_Fm3mK3PF08Qu1sIOu1GI1eNfQ1FfBYok80_KFinZQjhOtAc-8uwg
56a79099,Rathcaps,BBroot,Glow Blue,https://lh4.googleusercontent.com/4eysoPWNUvSkyIN7tLmH6tNdxI-rkZvL_HxQV8UhcJB3PVxs1gNQpP0v1woPxekNJ-qx2eh6qyDpihr7NZZax1T7uzn58m-3nWwVgZDko9yP2x8tesoDSzfND1bOWSIBmQ
baf2e370,Rathcaps,BBroot,Glow Green,https://lh6.googleusercontent.com/hboGjYJofUAg47EbSZTJMCSBB4TqHvOjjtZ8zN4FX0aS7EYUNxOwI--4E4eouS4C6TW5cwliuHMgRos3dlB19-vaII2t4v6wKeaJuLW9tVslXZIwMJ-aVU3HEbNL3rm8zA
b26b8bfc,Rathcaps,BBroot,Glow Orange,https://lh4.googleusercontent.com/fxvLpTiBG9vtK4tCGN7mTBEz-Ic2u8Pk-AKkRhrt4SgagII6CLyOsZzMuxQ1ZkZK9zqB9rGWH4akT6mQ06lqKVAGoZNGgUL3cysFkXf2eBtLafBgPpjPJ5jUD8_qKOGK2A
22868309,Rathcaps,BBroot,8-bit NES,https://lh6.googleusercontent.com/ymesAzZW-F_yn-7YK46sAxNHqKFe4b2SgIwry4Gk98V5wjVZ4hVHH1tTX280og-y4PgmWV19-qX-ecx713XSi9qczfORcj1FjjbR8-bcjMvZaGVH8B82JCglGFEiuwYllw
311e3bae,Rathcaps,BBroot,Pikaroot,https://lh3.googleusercontent.com/MZ2dJ3DPsyeFyhuTz2RCbv6P35NZ8CSt1BmM8BdtFQ7JOafG2njIlkEjiFLuaHrpH5cLtOtSzKjvXfx58Kq8ZadTiYfq_Mxs78NXtFHQI8HDUJdhjHV8hqASoM1ROj25zw
bd358483,Rathcaps,BBroot,Splatter,https://lh5.googleusercontent.com/1sDWRcDCsyBpaTayv1b3BpOl9qGabTvl0dlgNHIokaYylz0Lq9XVAQlMB1au-Rt6lK9FDQNGQKg7IgQW-g0GlmLuVsSgPCynAJ8S__GKtWnze0fP3slxjZP7cAyuJjjpWA
4856f6a0,Rathcaps,BBroot,Translucent,https://lh3.googleusercontent.com/_b5PUIxiFvxYRo7LJd20yRSdT2FpS0LtS4VV4QYJvIkOE-w1jUobLVpvnDwabu-OnYS_6tUulJUU7_Pqr2eguqpuXGKP8I1oS_fICnMy8SqyQo6K_njVuG00IZI888yeWA
529e9ed4,Rathcaps,BBroot,BBjoker,https://lh5.googleusercontent.com/r1ztBBPgLoE-x04a6htP-JknICu4SA9afnWjZv6k6_bGQq-kxlQ7f1elIYHEeIU_RZgmTwJUpNVDCL1F2ZKtxwis8sFA5UvpqPkdKR1rV8CS12qDuE0hjIyWccy6QMWcHg
e8c7d285,Rathcaps,BBroot,Metallic,https://lh5.googleusercontent.com/d4jeTqUREzl1gNjA08GTIXIfI3PeesBWvfEiARjpXlDpzp7h0S0J6TxeIAb2dx0LsZZ4fm4-pc_lAXqG6KxGSHRgVhqmEEmOM9JRiO5r2IzMqDZwBqtdFoDg4MeYGxLTDA
438a0121,Rathcaps,BBroot,Glitter BCA,https://lh5.googleusercontent.com/Xof6PpQzHzU3qax6zsZWwKYV_PAVIOe4yUcLzPzAvlO9Pdi6KON0aNSt2Dk5t6Mi2Y196mOEdOGQGPSCZPC3SoybvL0liSmLEjcKZeIuT1jgl7ixW13ESWteiXuVX6-Wgw
14db5397,Rathcaps,BBroot,BCA,https://lh5.googleusercontent.com/q5olQFGpy-2sGT-OyUZORcZbcwyhI8NfgptT2ZgblXqBA9QU3nMq28KqPlSSWqt0p01W7fs9Z_NVWGzmsu0_pgrlHaDNLQ3LQNEJK8GZGvZYxZ5HxWJsWz6lYf_8d8adRg
48169452,Rathcaps,BBroot,Puke,https://lh3.googleusercontent.com/0WMekhfNQmEk8IT-ekKYVfP_To1S357VviVghLG8YpsgjG_WJa4ekrVtvPFUofVvEESHYOvsWXzbuCQqOCZiUfDYQKP899aKsv2s5n0LR006UsRCe32pSxSXD4CjA3TDNw
8626b56d,Rathcaps,BBroot,Pumpkin,https://lh3.googleusercontent.com/9PftF33crT7rMWloxMLeZn54bQpBpiZnYLCvS9u9VQSbE77qZ2M0WwzTkl6htztoRTqW8TEOdAETNKU77RTPp1u6sMhe-kXyMocCStvcAyiVgRuKg-olYVDXK_PPsC-MIQ
20708385,Rathcaps,BBroot,Ghost,https://lh3.googleusercontent.com/dpp7E1b1I9xVHrbzKKyqrHb_jFsIf9yVaB0t0Vf3MwRm5nMWevkIiz0iJPkZoPyFWj_IkQ2BDtwx4v6O8kc2X9ywr3o5vD-tpjXt5J7Mbr_IdWbqirTKBs3sXrX9Xmi6JQ
