id,artist,sculpt,name,img
1e9bff05,Resin Party Design,Marturin (the turtle),Fantasy Star Fillies,https://lh6.googleusercontent.com/TCsiTIrB85G30q9j1G72QRIx6F42pJOOpx3nEc5kfOWPxFG02aSOug6wf7pj8cFvfNbxXELrGWNe59BA3mGdY0dho0TklnxyZE5S8RiuUCqSNr9aKC79X60pRcZQnXXUYA
d539687e,Resin Party Design,Marturin (the turtle),Jelly Shoe,https://lh6.googleusercontent.com/4m331sU1ASBwg85Ul-HwKoU9GQ04vGaFwTEoBYvaD1PYsw_naqX3uhr8OErGRTeuYR6l2vk94lijtXYsxZFx8QuD5hSM9kdvIVBGYQIQpc8Zz4RHDZITA9BY5Hen9V4DhA
8f5940d9,Resin Party Design,Marturin (the turtle),Pink Nightmare,https://lh5.googleusercontent.com/G8tYHha1TGk4sDOxaaQ-xNWLZ5h4UIgt2StNPLce-ruggt-8jvJ8eTAigkKLMVOX15H1LaorEgxtWevgtc2BYaoUkQV2Zg-VkNv4BaH_ScDVkJGVaLP68OoBqzAy23pMSw
90c8326a,Resin Party Design,Marturin (the turtle),Icebreakers,https://lh3.googleusercontent.com/t0O0tN_8GYiS2kXjO87EKPC9eeozAzDJJAEquwcayZ7BR9cDDPi4wh3TPkV55Ih848oxbRQOdyt0UwY50_3HlP46b3jcponX7lXi8sgByGdWy2gb2oL6OKaUeFC6XUZCvg
e487c29e,Resin Party Design,Marturin (the turtle),Gilt Galaxy,https://lh4.googleusercontent.com/noAc6cFP1R-sxwPMREAU_8metdkUc1zfCFa-dvsZ9YX-r1NHmq6K_XDTv5xm2vgMjtHzvnSto-Gew8Yn42S4zanJIyBdS000TYGwjJJb7oKSzNRQJvPtxLXgNHhXIb3ysw
f1a4b30e,Resin Party Design,Marturin (the turtle),Grape Fanta,https://lh3.googleusercontent.com/otxzBTlugL3bBiFHivjE11UIVtvwslSJ9qNFBD0ofcNN-CciKsLEZJ2VyokVdUXmaS-I7g1QU2l3mCEx1dkDs4ooIjplspitjERbOXUWKDzTe1DfjH7YXej9SSH4f-K03Q
649f39cb,Resin Party Design,Marturin (the turtle),Cosmic Turple,https://lh6.googleusercontent.com/MMsSEwodsrc3oKidtfebLGBK8A1ABK8ymFuC7ypL2W-BguCuwkONeTNxhbhieALlXWePuaU0R_ze4oBdywsUPYpBPsDFZV-S2hGJvLWbply34XCHYwaQP2_NZ4ble1AlqA
95166e67,Resin Party Design,Marturin (the turtle),Cooled Magma,https://lh4.googleusercontent.com/QJBtDcpdqLEyg7bB8Pj-244gHLwsSP3BsahBHG02pf6ewQQ3yLVvlt5HP5SBsuB3yKQTaVHmjCaLVaGMFDqxGTWWVZ2kBZ9jrhNfcLWGiV1JTA7nLZq9_yDE9qRHC-_U4w
bf1e19fe,Resin Party Design,Microdose,Red Megavitamin I,https://lh4.googleusercontent.com/kUBNENFrtfpyB78KKc2twpqJDUvMqmG0I3KJKUV4L-JEVMOklibcTiFv70mx7qhGkGrJuZEaKCIVfaTWM3fsmnRHvLmBT3eJxfOxT3ztO7JC_tYpvsEbhcv29j8VdHZ-ww
a00f587a,Resin Party Design,Microdose,Blue Megavitamin I,https://lh6.googleusercontent.com/jdZfL1BQjUyzQPvT3qCBDQDiamAhSB_DT5lwtUkTfotJEwj1SZHfTEe1snQzyQY9j4nq025meV5P69qDJ3maBmhPaMBaGnXt2oNBL7UWZ0mqrToa-b4AMjawPvcKiwz67Q
